GROUPID	Id	QID	QUESTION	ANSWER	SELECT1	SELECT2	SELECT3
8	7		当自身获得征战状态后，不能攻击以下哪类角色？	没有征战状态的玩家	有征战状态的敌对玩家	敌对帮会召唤的领土战雇佣兵	
8	8		下列哪种情况下，不会获得征战状态？	进入未宣战的未被其他帮会占领的领土	本帮已有领土，进入相邻的其他帮会占有的领土	进入本帮已宣战的领土	
8	9		争夺战结束后到领土战官员处领奖时，与声望奖励无关的因素是？	未领取军需数量	帮会领土数量	个人功勋在帮内排名	
9	1		征战期间进入征战地图，如何查看个人功勋和帮会积分？	按 ~ 键	按Ctrl + Z键	按Z键	
9	2		如何查看当前的领土占领情况？	按Tab，然后点击“领土地图”按钮	点击主界面上面的“领土地图”图标	按快捷键Ctrl + M	
9	3		领土地图界面中，白色图标<pic=\image\ui\001a\domainbattle\0domain.spr,0>表示？	该领土未被帮会占领，需要宣战才能攻打	该领土未被帮会占领，不需要宣战也可攻打	该领土未开放领土争夺战功能	
9	4		领土地图界面中，黑色图标<pic=\image\ui\001a\domainbattle\forbiddomain.spr>表示？	该领土未开放领土争夺战功能	该领土未被帮会占领，不需要宣战也可攻打	该领土未被帮会占领，需要宣战才能攻打	
9	5		在领土地图界面，如何查看某块领土对应的争夺地图？	把鼠标移到领土图标上查看	鼠标左键点击领土图标	鼠标右键点击领土图标	
9	6		领土地图界面中，如果两领土中间由一城市领土相连接，那么这两领土是相邻的么？	是	否	不能确定	
10	1		领土争夺战的军需在哪里领取？	各城市的领土战官员	各新手村和城市的礼官	各新手村和城市的药铺老板	
10	2		领土战官员处购买的帮会道具，不能被以下哪类玩家使用？	非本帮会的玩家	本帮会其他家族的玩家	购买道具的本人	
10	3		领土战期间，车夫的征战传送功能可以将帮会成员传送到？	本帮已占领领土	本帮宣战领土	任何一块未被帮会占领的领土	
10	4		领土争夺战的声望套装炼化图纸在哪里购买？	领土战官员	兵器铺老板	冶炼大师	
11	1		帮会中哪些人有权利进行宣战？	帮主或者具有宣战权力的成员	家族族长	长老	
11	2		什么时候可以在领土战官员处设置帮会额外军需？	宣战期和征战期	任何时候	宣战期开始前	
11	3		征战期间，在领土战官员处领取帮会设置的额外军需，需要消耗什么？	帮会建设资金	帮会行动力	个人资产	
11	4		帮会占有领土后，将领土设置为主城的好处不包括下列哪项？	征战期间在主城内，可获得额外的个人功勋。	成功守卫主城后，领土争夺战的声望奖励会有加成。	征战期间在己方主城内，作战能力得到大幅提升。	
11	5		什么时候可以在领土战官员处设置争夺战帮会额外的奖励？	征战期结束后	征战期	宣战期开始前	
12	1		征战期间，下列关于帮会积分的获得方式正确的是？	征战状态下击退敌对角色或NPC，不会获得帮会积分。	攻打下敌方龙柱，不会获得帮会积分。	击退敌对领土战将领和元帅，可以获得帮会积分。	
12	2		下列关于龙柱的说法正确的是？	龙柱的刷新次数越多，下一次被攻下后占领方获得的帮会积分将越高。	龙柱被攻下后占领方获得的帮会积分是固定不变的，与龙柱刷新次数无关。	己方龙柱每隔一段时间增加的帮会积分会随着龙柱存在时间增加而减少。	
12	3		己方领土发生NPC帮会反攻的条件不包括下列哪项？	设置为主城的领土	征战期间	任意一块占领的非新手村领土，且未设置为主城	以一定几率发生
12	4		领土地图被NPC帮会反攻成功的条件是？	征战结束时，该地图里NPC帮会的帮会积分最高。	征战结束时，该地图里NPC帮会占领的龙柱数量最多。	征战期间，该地图里的所有龙柱均被NPC帮会占领。	
12	5		关于NPC帮会反攻成功的领土占领结果，下列说法哪项是正确的？	该领土的占领权清零，下次领土战欲攻打此领土的帮会需要先进行宣战。	该领土的占领权不发生变化，仍由原占领帮会继续占领，但不能获得该领土的占领奖励。	该领土的占领权归征战结束时帮会积分排名第二的帮会所有。	
