TreasureId	Level	MapName	MapId	MapX	MapY	Desc	Pic	InstancingMapId	InstancingMapX	InstancingMapY	Duration	MaxMap	EnterLimtPerWeek
43	3	祁连山	39	1646	3448	祁连山的一个土堆下	image\icon\task\treasure\map_043.spr	287	1527	3276	120	0	6
44	3	祁连山	39	1857	3353	祁连山的一处民居内	image\icon\task\treasure\map_044.spr	287	1527	3276	120	0	6
45	3	祁连山	39	2025	3350	祁连山的一处山崖下	image\icon\task\treasure\map_045.spr	287	1527	3276	120	0	6
46	3	祁连山	39	1616	3496	祁连山的一个土堆下	image\icon\task\treasure\map_046.spr	287	1527	3276	120	0	6
47	3	祁连山	39	1903	3636	祁连山的一棵树下	image\icon\task\treasure\map_047.spr	287	1527	3276	120	0	6
48	3	祁连山	39	2009	3670	祁连山的一处山崖边	image\icon\task\treasure\map_048.spr	287	1527	3276	120	0	6
49	3	祁连山	39	1664	3768	祁连山的一处斜坡边	image\icon\task\treasure\map_049.spr	287	1527	3276	120	0	6
50	3	祁连山	39	1849	3241	祁连山的一处山崖下	image\icon\task\treasure\map_050.spr	287	1527	3276	120	0	6
51	3	军马场	32	2048	3511	军马场的一处山崖下	image\icon\task\treasure\map_051.spr	287	1527	3276	120	0	6
52	3	军马场	32	1952	3549	军马场的一个分叉路口前	image\icon\task\treasure\map_052.spr	287	1527	3276	120	0	6
53	3	军马场	32	1799	3553	军马场的一处斜坡下	image\icon\task\treasure\map_053.spr	287	1527	3276	120	0	6
54	3	军马场	32	1757	3490	军马场的两棵树间	image\icon\task\treasure\map_054.spr	287	1527	3276	120	0	6
55	3	军马场	32	1705	3460	军马场的一处山崖边	image\icon\task\treasure\map_055.spr	287	1527	3276	120	0	6
56	3	军马场	32	1748	3430	军马场的一簇花丛里	image\icon\task\treasure\map_056.spr	287	1527	3276	120	0	6
57	3	军马场	32	1882	3596	军马场的一处民居旁	image\icon\task\treasure\map_057.spr	287	1527	3276	120	0	6
58	3	军马场	32	2035	3680	军马场的一簇花丛里	image\icon\task\treasure\map_058.spr	287	1527	3276	120	0	6
59	3	军马场	32	2016	4058	军马场的一条河边	image\icon\task\treasure\map_059.spr	287	1527	3276	120	0	6
60	3	军马场	32	1655	3990	军马场的一簇花丛里	image\icon\task\treasure\map_060.spr	287	1527	3276	120	0	6
61	3	古战场	30	1835	4033	古战场南面的一条河边	image\icon\task\treasure\map_061.spr	344	1565	3202	120	0	6
62	3	古战场	30	1959	3903	古战场的一处山崖下	image\icon\task\treasure\map_062.spr	344	1565	3202	120	0	6
63	3	古战场	30	1943	3766	古战场的一条河边	image\icon\task\treasure\map_063.spr	344	1565	3202	120	0	6
64	3	古战场	30	1737	3836	古战场的一处泉水旁	image\icon\task\treasure\map_064.spr	344	1565	3202	120	0	6
65	3	古战场	30	1764	3688	古战场的一处山崖下	image\icon\task\treasure\map_065.spr	344	1565	3202	120	0	6
66	3	古战场	30	1694	3540	古战场的一棵大树下	image\icon\task\treasure\map_066.spr	344	1565	3202	120	0	6
67	3	古战场	30	1800	3371	古战场一处荒废的民居内	image\icon\task\treasure\map_067.spr	344	1565	3202	120	0	6
68	3	古战场	30	1979	3704	古战场的瀑布旁	image\icon\task\treasure\map_068.spr	344	1565	3202	120	0	6
69	3	古战场	30	1915	3433	古战场的一个十字路口前	image\icon\task\treasure\map_069.spr	344	1565	3202	120	0	6
70	3	古战场	30	1916	4073	古战场的河边	image\icon\task\treasure\map_070.spr	344	1565	3202	120	0	6
