Level	UpgardeExp	Value
581	710	13700000
582	710	13771000
583	715	13842000
584	715	13913000
585	725	13985000
586	725	14057000
587	730	14130000
588	730	14203000
589	735	14276000
590	735	14349000
591	740	14423000
592	740	14497000
593	745	14571000
594	745	14645000
595	750	14720000
596	750	14795000
597	755	14870000
598	755	14945000
599	760	15021000
600	795	15097000
601	830	15176000
602	840	15259000
603	840	15343000
604	840	15427000
605	850	15511000
606	850	15596000
607	850	15681000
608	850	15766000
609	865	15851000
610	865	15938000
611	865	16024000
612	875	16111000
613	875	16198000
614	875	16286000
615	875	16373000
616	885	16461000
617	885	16549000
618	885	16638000
619	885	16726000
620	895	16815000
621	895	16904000
622	895	16994000
623	910	17083000
624	910	17174000
625	910	17265000
626	910	17356000
627	920	17447000
628	920	17539000
629	920	17631000
630	930	17723000
631	930	17816000
632	930	17909000
633	930	18002000
634	940	18095000
635	940	18189000
636	940	18283000
637	955	18377000
638	955	18473000
639	955	18568000
640	955	18664000
641	965	18759000
642	965	18856000
643	965	18952000
644	975	19049000
645	975	19146000
646	975	19244000
647	985	19341000
648	985	19440000
649	985	19538000
650	985	19637000
651	995	19735000
652	995	19835000
653	995	19934000
654	1010	20034000
655	1010	20135000
656	1010	20236000
657	1020	20337000
658	1020	20439000
659	1020	20541000
660	1020	20643000
661	1030	20745000
662	1030	20848000
663	1030	20951000
664	1040	21054000
665	1040	21158000
666	1040	21262000
667	1055	21366000
668	1055	21471000
669	1055	21577000
670	1065	21682000
671	1065	21789000
672	1065	21895000
673	1065	22002000
674	1075	22108000
675	1075	22216000
676	1075	22323000
677	1085	22431000
678	1085	22539000
679	1085	22648000
680	1100	22756000
681	1100	22866000
682	1100	22976000
683	1110	23086000
684	1110	23197000
685	1110	23308000
686	1120	23419000
687	1120	23531000
688	1120	23643000
689	1120	23755000
690	1130	23867000
691	1130	23980000
692	1130	24093000
693	1145	24206000
694	1145	24321000
695	1145	24435000
696	1155	24550000
697	1155	24665000
698	1155	24781000
699	1165	24896000
700	1165	25013000
701	1165	25129000
702	1175	25246000
703	1175	25363000
704	1175	25481000
705	1190	25598000
706	1190	25717000
707	1190	25836000
708	1200	25955000
709	1200	26075000
710	1200	26195000
711	1210	26315000
712	1210	26436000
713	1210	26557000
714	1220	26678000
715	1220	26800000
716	1220	26922000
717	1235	27044000
718	1235	27168000
719	1235	27291000
720	1245	27415000
721	1245	27539000
722	1245	27664000
723	1255	27788000
724	1255	27914000
725	1255	28039000
726	1265	28165000
727	1265	28291000
728	1265	28418000
729	1275	28544000
730	1275	28672000
731	1275	28799000
732	1290	28927000
733	1290	29056000
734	1290	29185000
735	1300	29314000
736	1300	29444000
737	1300	29574000
738	1310	29704000
739	1310	29835000
740	1320	29966000
741	1320	30098000
742	1320	30230000
743	1335	30362000
744	1335	30495000
745	1335	30629000
746	1345	30762000
747	1345	30897000
748	1345	31031000
749	1355	31166000
750	1355	31301000
751	1355	31437000
752	1365	31572000
753	1365	31709000
754	1365	31845000
755	1380	31982000
756	1380	32120000
757	1390	32258000
758	1390	32397000
759	1390	32536000
760	1400	32675000
761	1400	32815000
762	1400	32955000
763	1410	33095000
764	1410	33236000
765	1410	33377000
766	1425	33518000
767	1425	33660000
768	1435	33803000
769	1435	33946000
770	1435	34090000
771	1445	34233000
772	1445	34378000
773	1445	34522000
774	1455	34667000
775	1455	34812000
776	1455	34958000
777	1470	35103000
778	1470	35250000
779	1480	35397000
780	1480	35545000
781	1480	35693000
782	1490	35841000
783	1490	35990000
784	1490	36139000
785	1500	36288000
786	1500	36438000
787	1515	36588000
788	1515	36740000
789	1515	36891000
790	1525	37043000
791	1525	37195000
792	1525	37348000
793	1535	37500000
794	1535	37654000
795	1545	37807000
796	1545	37962000
797	1545	38116000
798	1555	38271000
799	1555	38426000
800	1555	38582000
801	1570	38737000
802	1570	38894000
803	1580	39051000
804	1580	39209000
805	1580	39367000
806	1590	39525000
807	1590	39684000
808	1600	39843000
809	1600	40003000
810	1600	40163000
811	1615	40323000
812	1615	40485000
813	1615	40646000
814	1625	40808000
815	1625	40970000
816	1635	41133000
817	1635	41296000
818	1635	41460000
819	1645	41623000
820	1645	41788000
821	1660	41952000
822	1660	42118000
823	1660	42284000
824	1670	42450000
825	1670	42617000
826	1680	42784000
827	1680	42952000
828	1680	43120000
829	1690	43288000
830	1690	43457000
831	1705	43626000
832	1705	43797000
833	1705	43967000
834	1715	44138000
835	1715	44309000
836	1725	44481000
837	1725	44653000
838	1725	44826000
839	1730	44998000
840	1730	45171000
841	1745	45344000
842	1745	45519000
843	1745	45693000
844	1755	45868000
845	1755	46043000
846	1765	46219000
847	1765	46395000
848	1765	46572000
849	1775	46748000
850	1775	46926000
851	1790	47103000
852	1790	47282000
853	1800	47461000
854	1800	47641000
855	1800	47821000
856	1810	48001000
857	1810	48182000
858	1820	48363000
859	1820	48545000
860	1820	48727000
861	1830	48909000
862	1830	49092000
863	1845	49275000
864	1845	49460000
865	1845	49644000
866	1855	49829000
867	1855	50014000
868	1865	50200000
869	1865	50386000
870	1875	50573000
871	1875	50760000
872	1875	50948000
873	1890	51135000
874	1890	51324000
875	1900	51513000
876	1900	51703000
877	1910	51893000
878	1910	52084000
879	1910	52275000
880	1920	52466000
881	1920	52658000
882	1935	52850000
883	1925	53044000
884	1935	53236000
885	1935	53430000
886	1935	53623000
887	1945	53817000
888	1945	54011000
889	1955	54206000
890	1955	54401000
891	1970	54597000
892	1970	54794000
893	1970	54991000
894	1980	55188000
895	1980	55386000
896	1990	55584000
897	1990	55783000
898	2000	55982000
899	2000	56182000
900	2050	56382000
901	2060	56587000
902	2060	56793000
903	2070	56999000
904	2070	57206000
905	2080	57413000
906	2080	57621000
907	2090	57829000
908	2090	58038000
909	2090	58247000
910	2105	58456000
911	2105	58666000
912	2115	58877000
913	2115	59088000
914	2125	59300000
915	2125	59512000
916	2135	59725000
917	2135	59938000
918	2135	60152000
919	2150	60365000
920	2150	60580000
921	2160	60795000
922	2160	61011000
923	2170	61227000
924	2170	61444000
925	2180	61661000
926	2180	61879000
927	2195	62097000
928	2195	62317000
929	2195	62536000
930	2205	62756000
931	2205	62976000
932	2215	63197000
933	2215	63418000
934	2225	63640000
935	2225	63862000
936	2240	64085000
937	2240	64309000
938	2250	64533000
939	2250	64758000
940	2250	64983000
941	2260	65208000
942	2260	65434000
943	2270	65660000
944	2270	65887000
945	2285	66114000
946	2285	66342000
947	2295	66571000
948	2295	66800000
949	2305	67030000
950	2415	67260000
951	2430	67502000
952	2430	67745000
953	2430	67988000
954	2440	68231000
955	2440	68475000
956	2450	68719000
957	2450	68964000
958	2460	69209000
959	2460	69455000
960	2475	69701000
961	2475	69948000
962	2485	70196000
963	2485	70444000
964	2495	70693000
965	2495	70942000
966	2505	71192000
967	2505	71442000
968	2520	71693000
969	2520	71945000
970	2530	72197000
971	2530	72450000
972	2530	72703000
973	2540	72956000
974	2540	73210000
975	2550	73464000
976	2550	73719000
977	2565	73974000
978	2565	74230000
979	2575	74487000
980	2575	74744000
981	2585	75002000
982	2585	75260000
983	2595	75519000
984	2595	75778000
985	2610	76038000
986	2610	76299000
987	2620	76560000
988	2620	76822000
989	2630	77084000
990	2630	77347000
991	2640	77610000
992	2640	77874000
993	2650	78138000
994	2650	78403000
995	2665	78668000
996	2665	78934000
997	2675	79201000
998	2675	79468000
999	2685	79736000
1000	2670	80004000
1001	2680	80271000
1002	2680	80539000
1003	2680	80807000
1004	2680	81075000
1005	2680	81343000
1006	2690	81611000
1007	2690	81880000
1008	2690	82149000
1009	2690	82418000
1010	2690	82687000
1011	2700	82956000
1012	2700	83226000
1013	2700	83496000
1014	2700	83766000
1015	2700	84036000
1016	2710	84306000
1017	2710	84577000
1018	2710	84848000
1019	2710	85119000
1020	2710	85390000
1021	2720	85661000
1022	2720	85933000
1023	2720	86205000
1024	2720	86477000
1025	2720	86749000
1026	2730	87021000
1027	2730	87294000
1028	2730	87567000
1029	2730	87840000
1030	2730	88113000
1031	2740	88386000
1032	2740	88660000
1033	2740	88934000
1034	2740	89208000
1035	2740	89482000
1036	2750	89756000
1037	2750	90031000
1038	2750	90306000
1039	2750	90581000
1040	2750	90856000
1041	2760	91131000
1042	2760	91407000
1043	2760	91683000
1044	2760	91959000
1045	2760	92235000
1046	2770	92511000
1047	2770	92788000
1048	2770	93065000
1049	2770	93342000
1050	2770	93619000
1051	2780	93896000
1052	2780	94174000
1053	2780	94452000
1054	2780	94730000
1055	2780	95008000
1056	2790	95286000
1057	2790	95565000
1058	2790	95844000
1059	2790	96123000
1060	2790	96402000
1061	2800	96681000
1062	2800	96961000
1063	2800	97241000
1064	2800	97521000
1065	2800	97801000
1066	2810	98081000
1067	2810	98362000
1068	2810	98643000
1069	2810	98924000
1070	2810	99205000
1071	2820	99486000
1072	2820	99768000
1073	2820	100050000
1074	2820	100332000
1075	2820	100614000
1076	2830	100896000
1077	2830	101179000
1078	2830	101462000
1079	2830	101745000
1080	2830	102028000
1081	2840	102311000
1082	2840	102595000
1083	2840	102879000
1084	2840	103163000
1085	2840	103447000
1086	2850	103731000
1087	2850	104016000
1088	2850	104301000
1089	2850	104586000
1090	2850	104871000
1091	2860	105156000
1092	2860	105442000
1093	2860	105728000
1094	2860	106014000
1095	2860	106300000
1096	2870	106586000
1097	2870	106873000
1098	2870	107160000
1099	2870	107447000
1100	2870	107734000
1101	2880	108021000
1102	2880	108309000
1103	2880	108597000
1104	2880	108885000
1105	2880	109173000
1106	2890	109461000
1107	2890	109750000
1108	2890	110039000
1109	2890	110328000
1110	2890	110617000
1111	2900	110906000
1112	2900	111196000
1113	2900	111486000
1114	2900	111776000
1115	2900	112066000
1116	2910	112356000
1117	2910	112647000
1118	2910	112938000
1119	2910	113229000
1120	2910	113520000
1121	2920	113811000
1122	2920	114103000
1123	2920	114395000
1124	2920	114687000
1125	2920	114979000
1126	2930	115271000
1127	2930	115564000
1128	2930	115857000
1129	2930	116150000
1130	2930	116443000
1131	2940	116736000
1132	2940	117030000
1133	2940	117324000
1134	2940	117618000
1135	2940	117912000
1136	2950	118206000
1137	2950	118501000
1138	2950	118796000
1139	2950	119091000
1140	2950	119386000
1141	2960	119681000
1142	2960	119977000
1143	2960	120273000
1144	2960	120569000
1145	2960	120865000
1146	2970	121161000
1147	2970	121458000
1148	2970	121755000
1149	2970	122052000
1150	2970	122349000
1151	2980	122646000
1152	2980	122944000
1153	2980	123242000
1154	2980	123540000
1155	2980	123838000
1156	2990	124136000
1157	2990	124435000
1158	2990	124734000
1159	2990	125033000
1160	2990	125332000
1161	3000	125631000
1162	3000	125931000
1163	3000	126231000
1164	3000	126531000
1165	3000	126831000
1166	3010	127131000
1167	3010	127432000
1168	3010	127733000
1169	3010	128034000
1170	3010	128335000
1171	3020	128636000
1172	3020	128938000
1173	3020	129240000
1174	3020	129542000
1175	3020	129844000
1176	3030	130146000
1177	3030	130449000
1178	3030	130752000
1179	3030	131055000
1180	3030	131358000
1181	3040	131661000
1182	3040	131965000
1183	3040	132269000
1184	3040	132573000
1185	3040	132877000
1186	3050	133181000
1187	3050	133486000
1188	3050	133791000
1189	3050	134096000
1190	3050	134401000
1191	3065	134706000
1192	3065	135012500
1193	3065	135319000
1194	3065	135625500
1195	3065	135932000
1196	3075	136238500
1197	3075	136546000
1198	3075	136853500
1199	3075	137161000
1200	3075	137468500
1201	3085	137776000
1202	3085	138084500
1203	3085	138393000
1204	3085	138701500
1205	3085	139010000
1206	3095	139318500
1207	3095	139628000
1208	3095	139937500
1209	3095	140247000
1210	3095	140556500
1211	3110	140866000
1212	3110	141177000
1213	3110	141488000
1214	3110	141799000
1215	3110	142110000
1216	3120	142421000
1217	3120	142733000
1218	3120	143045000
1219	3120	143357000
1220	3120	143669000
1221	3130	143981000
1222	3130	144294000
1223	3130	144607000
1224	3130	144920000
1225	3130	145233000
1226	3140	145546000
1227	3140	145860000
1228	3140	146174000
1229	3140	146488000
1230	3140	146802000
1231	3155	147116000
1232	3155	147431500
1233	3155	147747000
1234	3155	148062500
1235	3155	148378000
1236	3170	148693500
1237	3170	149010500
1238	3170	149327500
1239	3180	149644500
1240	3180	149962500
1241	3180	150280500
1242	3190	150598500
1243	3190	150917500
1244	3190	151236500
1245	3190	151555500
1246	3190	151874500
1247	3200	152193500
1248	3200	152513500
1249	3200	152833500
1250	3200	153153500
1251	3200	153473500
1252	3200	153793500
1253	3210	154113500
1254	3210	154434500
1255	3210	154755500
1256	3210	155076500
1257	3210	155397500
1258	3220	155718500
1259	3220	156040500
1260	3220	156362500
1261	3230	156684500
1262	3230	157007500
1263	3230	157330500
1264	3245	157653500
1265	3245	157978000
1266	3245	158302500
1267	3245	158627000
1268	3245	158951500
1269	3260	159276000
1270	3260	159602000
1271	3260	159928000
1272	3260	160254000
1273	3260	160580000
1274	3260	160906000
1275	3270	161232000
1276	3270	161559000
1277	3270	161886000
1278	3270	162213000
1279	3270	162540000
1280	3280	162867000
1281	3280	163195000
1282	3280	163523000
1283	3280	163851000
1284	3295	164179000
1285	3295	164508500
1286	3295	164838000
1287	3300	165167500
1288	3300	165497500
1289	3300	165827500
1290	3300	166157500
1291	3310	166487500
1292	3310	166818500
1293	3310	167149500
1294	3310	167480500
1295	3310	167811500
1296	3320	168142500
1297	3320	168474500
1298	3320	168806500
1299	3320	169138500
1300	3320	169470500
1301	3330	169802500
1302	3330	170135500
1303	3330	170468500
1304	3330	170801500
1305	3330	171134500
1306	3340	171467500
1307	3340	171801500
1308	3340	172135500
1309	3340	172469500
1310	3340	172803500
1311	3350	173137500
1312	3350	173472500
1313	3350	173807500
1314	3350	174142500
1315	3350	174477500
1316	3360	174812500
1317	3360	175148500
1318	3360	175484500
1319	3360	175820500
1320	3360	176156500
1321	3370	176492500
1322	3370	176829500
1323	3370	177166500
1324	3370	177503500
1325	3370	177840500
1326	3380	178177500
1327	3380	178515500
1328	3380	178853500
1329	3380	179191500
1330	3380	179529500
1331	3390	179867500
1332	3390	180206500
1333	3390	180545500
1334	3390	180884500
1335	3390	181223500
1336	3400	181562500
1337	3400	181902500
1338	3400	182242500
1339	3400	182582500
1340	3400	182922500
1341	3410	183262500
1342	3410	183603500
1343	3410	183944500
1344	3410	184285500
1345	3410	184626500
1346	3420	184967500
1347	3420	185309500
1348	3420	185651500
1349	3420	185993500
1350	3420	186335500
1351	3430	186677500
1352	3430	187020500
1353	3430	187363500
1354	3430	187706500
1355	3430	188049500
1356	3440	188392500
1357	3440	188736500
1358	3440	189080500
1359	3440	189424500
1360	3440	189768500
1361	3450	190112500
1362	3450	190457500
1363	3450	190802500
1364	3450	191147500
1365	3450	191492500
1366	3460	191837500
1367	3460	192183500
1368	3460	192529500
1369	3460	192875500
1370	3460	193221500
1371	3470	193567500
1372	3470	193914500
1373	3470	194261500
1374	3470	194608500
1375	3470	194955500
1376	3480	195302500
1377	3480	195650500
1378	3480	195998500
1379	3480	196346500
1380	3480	196694500
1381	3490	197042500
1382	3490	197391500
1383	3490	197740500
1384	3490	198089500
1385	3490	198438500
1386	3500	198787500
1387	3500	199137500
1388	3500	199487500
1389	3500	199837500
1390	3500	200187500
1391	3510	200537500
1392	3510	200888500
1393	3510	201239500
1394	3510	201590500
1395	3510	201941500
1396	3520	202292500
1397	3520	202644500
1398	3520	202996500
1399	3520	203348500
1400	3520	203700500
1401	3530	204052500
1402	3530	204405500
1403	3530	204758500
1404	3530	205111500
1405	3530	205464500
1406	3540	205817500
1407	3540	206171500
1408	3540	206525500
1409	3540	206879500
1410	3540	207233500
1411	3550	207587500
1412	3550	207942500
1413	3550	208297500
1414	3550	208652500
1415	3550	209007500
1416	3560	209362500
1417	3560	209718500
1418	3560	210074500
1419	3560	210430500
1420	3560	210786500
1421	3570	211142500
1422	3570	211499500
1423	3570	211856500
1424	3570	212213500
1425	3570	212570500
1426	3580	212927500
1427	3580	213285500
1428	3580	213643500
1429	3580	214001500
1430	3580	214359500
1431	3590	214717500
1432	3590	215076500
1433	3590	215435500
1434	3590	215794500
1435	3590	216153500
1436	3600	216512500
1437	3600	216872500
1438	3600	217232500
1439	3600	217592500
1440	3600	217952500
1441	3610	218312500
1442	3610	218673500
1443	3610	219034500
1444	3610	219395500
1445	3610	219756500
1446	3620	220117500
1447	3620	220479500
1448	3620	220841500
1449	3620	221203500
1450	3620	221565500
1451	3630	221927500
1452	3630	222290500
1453	3630	222653500
1454	3630	223016500
1455	3630	223379500
1456	3640	223742500
1457	3640	224106500
1458	3640	224470500
1459	3640	224834500
1460	3640	225198500
1461	3650	225562500
1462	3650	225927500
1463	3650	226292500
1464	3650	226657500
1465	3650	227022500
1466	3660	227387500
1467	3660	227753500
1468	3660	228119500
1469	3660	228485500
1470	3660	228851500
1471	3670	229217500
1472	3670	229584500
1473	3670	229951500
1474	3670	230318500
1475	3670	230685500
1476	3680	231052500
1477	3680	231420500
1478	3680	231788500
1479	3680	232156500
1480	3680	232524500
1481	3690	232892500
1482	3690	233261500
1483	3690	233630500
1484	3690	233999500
1485	3690	234368500
1486	3700	234737500
1487	3700	235107500
1488	3700	235477500
1489	3700	235847500
1490	3700	236217500
1491	3710	236587500
1492	3710	236958500
1493	3710	237329500
1494	3720	237700500
1495	3720	238072500
1496	3720	238444500
1497	3730	238816500
1498	3730	239189500
1499	3730	239562500
1500	0	239935500
