ClassParamID	Id	Cost	Desc	TrueDesc	Probability	Name	BindMoney	Money	Coin	Genre	DetailType	ParticularType	Level	Series	EnhTimes	Amount	Exp	BaseExp	MKP	GTP	Bind	LuaScriptFun	TimeLimit	Announce	FriendMsg	KinOrTongMsg
8	10		金山二十周年庆典包	金山二十周年庆典包	400	灵兽毛皮				22	1	37	1	0	0											
8	11		金山二十周年庆典包	金山二十周年庆典包	400	紫晶原石				22	1	41	1	0	0											
8	12		金山二十周年庆典包	金山二十周年庆典包	400	灵兽血				22	1	39	1	0	0											
8	13		金山二十周年庆典包	金山二十周年庆典包		绑金			500												1					
9	1		联赛礼包	联赛礼包	4790	Huyền tinh-Lv4				18	1	1	4	0	0						1					
9	2		联赛礼包	联赛礼包	3600	Huyền tinh-Lv5				18	1	1	5	0	0						1					
9	3		联赛礼包	联赛礼包	1500	Huyền tinh-Lv6				18	1	1	6	0	0						1					
9	4		联赛礼包	联赛礼包	100	Huyền tinh-Lv7				18	1	1	7	0	0						1			1	1	1
9	5		联赛礼包	联赛礼包	10	Huyền tinh-Lv8				18	1	1	8	0	0						1			1	1	1
9	6		联赛礼包	联赛礼包		黄金福袋				18	1	80	1	0	0						1					
9	7		联赛礼包	联赛礼包		黄金福袋				18	1	80	1	0	0						1					
10	1		领土争夺战宝箱	领土争夺战宝箱	2000	玄铁原木				22	1	55	1	0												
10	2		领土争夺战宝箱	领土争夺战宝箱	2000	战虎毛皮				22	1	47	1	0												
10	3		领土争夺战宝箱	领土争夺战宝箱	2000	空白黄纸				22	1	49	1	0												
10	4		领土争夺战宝箱	领土争夺战宝箱	2000	镇魄原石				22	1	51	1	0												
10	5		领土争夺战宝箱	领土争夺战宝箱	2000	黄梅果				22	1	53	1	0												
11	1		家族活跃宝箱	家族活跃宝箱	1200	JXB50000	50000																			
11	2		家族活跃宝箱	家族活跃宝箱	500	JXB100000	100000																			
11	3		家族活跃宝箱	家族活跃宝箱	200	JXB150000	150000																			
11	4		家族活跃宝箱	家族活跃宝箱	7469	Huyền tinh-Lv6				18	1	114	6	0	0											
11	5		家族活跃宝箱	家族活跃宝箱	600	Huyền tinh-Lv7				18	1	114	7	0	0											
11	6		家族活跃宝箱	家族活跃宝箱	30	Huyền tinh-Lv8				18	1	114	8	0	0											
11	7		家族活跃宝箱	家族活跃宝箱	1	Huyền tinh-Lv9				18	1	114	9	0	0											
12	1		年兽宝箱	年兽宝箱	517	Huyền tinh-Lv4 (khóa)				18	1	114	4	0												
12	2		年兽宝箱	年兽宝箱	200	Huyền tinh-Lv5 (khóa)				18	1	114	5	0												
12	3		年兽宝箱	年兽宝箱	30	Huyền tinh-Lv6 (khóa)				18	1	114	6	0												
12	4		年兽宝箱	年兽宝箱	3	Huyền tinh-Lv7 (khóa)				18	1	114	7	0											1	
12	5		年兽宝箱	年兽宝箱	150	10000 bạc khóa	10000																			
12	6		年兽宝箱	年兽宝箱	60	20000 bạc khóa	20000																			
12	7		年兽宝箱	年兽宝箱	20	50000 bạc khóa	50000																			
12	8		年兽宝箱	年兽宝箱	5	100000 bạc khóa	100000																			
12	9		年兽宝箱	年兽宝箱	5	引魂雾(绑定的)				18	1	277	1	0							1				1	
12	10		年兽宝箱	年兽宝箱	10	红粉莲花(不绑定)				18	1	280	1	0												
13	1		雪仗胜者宝箱	雪仗胜者宝箱	467	Huyền tinh-Lv5 (khóa)				18	1	114	5	0												
13	2		雪仗胜者宝箱	雪仗胜者宝箱	150	Huyền tinh-Lv6 (khóa)				18	1	114	6	0												
13	3		雪仗胜者宝箱	雪仗胜者宝箱	30	Huyền tinh-Lv7 (khóa)				18	1	114	7	0											1	
13	4		雪仗胜者宝箱	雪仗胜者宝箱	10	Huyền tinh-Lv8 (khóa)				18	1	114	8	0										1	1	1
13	5		雪仗胜者宝箱	雪仗胜者宝箱	200	20000 bạc khóa	20000																			
13	6		雪仗胜者宝箱	雪仗胜者宝箱	100	50000 bạc khóa	50000																			
13	7		雪仗胜者宝箱	雪仗胜者宝箱	30	100000 bạc khóa	100000																			
13	8		雪仗胜者宝箱	雪仗胜者宝箱	10	200000 bạc khóa	200000																		1	
13	9		雪仗胜者宝箱	雪仗胜者宝箱	3	500000 bạc khóa	500000																	1	1	1
14	1		红包	红包	840	499绑金			499												1					
14	2		红包	红包	119	999绑金			999																	
14	3		红包	红包	30	1999绑金			1999																1	
14	4		红包	红包	10	2999绑金			2999																1	
14	5		红包	红包	1	4999绑金			4999															1	1	1
14	6		红包	红包		希望之种 (khóa)*1				18	1	552	1	0												
14	7		红包	红包		春联[未鉴定] (khóa)*1				18	1	555	1	0												
14	8		红包	红包		年画[未鉴定] (khóa)*1				18	1	557	1	0												
14	9		红包	红包		30分钟基准经验												30								
15	1		军饷袋	军饷袋	800	熟牛肉				20	1	488	1	0	0											
15	2		军饷袋	军饷袋	500	烤鹌鹑				20	1	488	2	0	0											
15	3		军饷袋	军饷袋	4800	经验12000											12000									
15	4		军饷袋	军饷袋	1900	金钱400		400																		
15	5		军饷袋	军饷袋	2000	9个绑定魂石				18	1	205	1	0	0	9					1					
15	6		军饷袋	军饷袋	-1	活力														60						
16	1		檀木匣	檀木匣	6000	Huyền tinh-Lv6				18	1	114	6	0												
16	2		檀木匣	檀木匣	700	Huyền tinh-Lv7				18	1	114	7	0											1	
16	3		檀木匣	檀木匣	100	Huyền tinh-Lv8				18	1	114	8	0										1	1	1
16	4		檀木匣	檀木匣	3200	百合花				18	1	293	1	0							1				1	
17	1		墨绿木盒	墨绿木盒	2500	经验											40000000									
17	2		墨绿木盒	墨绿木盒	1600	50000 bạc khóa	50000																			
17	3		墨绿木盒	墨绿木盒	1200	150000 bạc khóa	150000																			
17	4		墨绿木盒	墨绿木盒	1200	7级磨刀石箱				18	1	72	7	0									43200			
17	5		墨绿木盒	墨绿木盒	1200	7级护甲片箱				18	1	73	7	0									43200			
17	6		墨绿木盒	墨绿木盒	1200	7级五行石箱				18	1	74	7	0									43200			
17	7		墨绿木盒	墨绿木盒	900	6玄（绑定1个月期限）				18	1	114	6	0							1		43200			
17	8		墨绿木盒	墨绿木盒	150	7玄（绑定1个月期限）				18	1	114	7	0							1		43200	1	1	1
17	9		墨绿木盒	墨绿木盒	0	荣誉徽章				18	1	920	1	0							1			0		
17	10		墨绿木盒	墨绿木盒	50	8玄（绑定1个月期限）				18	1	114	8	0							1		43200	1	1	1
18	1		古旧盒子	古旧盒子	7190	6玄（绑定1个月期限）				18	1	114	6	0									43200			
18	2		古旧盒子	古旧盒子	2500	7玄（绑定1个月期限）				18	1	114	7	0									43200		1	
18	3		古旧盒子	古旧盒子	300	8玄（绑定1个月期限）				18	1	114	8	0									43200	1	1	1
18	4		古旧盒子	古旧盒子	10	9玄（绑定1个月期限）				18	1	114	9	0									43200	1	1	1
19	1		海陵王墓中的白银宝箱	海陵王墓中的白银宝箱	8650	5玄				18	1	114	5	0												
19	2		海陵王墓中的白银宝箱	海陵王墓中的白银宝箱	1000	6玄				18	1	114	6	0												
19	3		海陵王墓中的白银宝箱	海陵王墓中的白银宝箱	300	7玄（绑定1个月期限）				18	1	114	7	0									43200		1	
19	4		海陵王墓中的白银宝箱	海陵王墓中的白银宝箱	50	8玄（绑定1个月期限）				18	1	114	8	0									43200	1	1	1
20	1		海陵王墓中的青铜宝箱	海陵王墓中的青铜宝箱	8650	4玄				18	1	114	4	0												
20	2		海陵王墓中的青铜宝箱	海陵王墓中的青铜宝箱	1000	5玄				18	1	114	5	0												
20	3		海陵王墓中的青铜宝箱	海陵王墓中的青铜宝箱	300	6玄				18	1	114	6	0												
20	4		海陵王墓中的青铜宝箱	海陵王墓中的青铜宝箱	50	7玄（绑定1个月期限）				18	1	114	7	0									43200		1	
21	1		海陵王墓中的黑铁宝箱	海陵王墓中的黑铁宝箱	8580	3玄				18	1	114	3	0												
21	2		海陵王墓中的黑铁宝箱	海陵王墓中的黑铁宝箱	1250	4玄				18	1	114	4	0												
21	3		海陵王墓中的黑铁宝箱	海陵王墓中的黑铁宝箱	150	5玄				18	1	114	5	0												
21	4		海陵王墓中的黑铁宝箱	海陵王墓中的黑铁宝箱	20	6玄				18	1	114	6	0												
22	1		海陵王墓中的黄金宝箱	海陵王墓中的黄金宝箱	8580	6玄				18	1	114	6	0												
22	2		海陵王墓中的黄金宝箱	海陵王墓中的黄金宝箱	1250	7玄（绑定1个月期限）				18	1	114	7	0									43200		1	
22	3		海陵王墓中的黄金宝箱	海陵王墓中的黄金宝箱	150	8玄（绑定1个月期限）				18	1	114	8	0									43200	1	1	1
22	4		海陵王墓中的黄金宝箱	海陵王墓中的黄金宝箱	20	9玄（绑定1个月期限）				18	1	114	9	0									43200	1	1	1
23	1		军饷袋	军饷袋	800	熟牛肉				20	1	488	1	0	0											
23	2		军饷袋	军饷袋	500	烤鹌鹑				20	1	488	2	0	0											
23	3		军饷袋	军饷袋	4500	经验13500											13500									
23	4		军饷袋	军饷袋	1900	金钱500		500																		
23	5		军饷袋	军饷袋	2000	10个绑定魂石				18	1	205	1	0	0	10					1					
23	6		军饷袋	军饷袋	-1	活力														68						
24	1		划水先锋金箱子	划水先锋金箱子	3450	Huyền tinh-Lv6 (khóa)				18	1	114	6	0									43200			
24	2		划水先锋金箱子	划水先锋金箱子	4000	Huyền tinh-Lv7 (khóa)				18	1	114	7	0									43200			
24	3		划水先锋金箱子	划水先锋金箱子	500	Huyền tinh-Lv8 (khóa)				18	1	114	8	0									43200		1	
24	4		划水先锋金箱子	划水先锋金箱子	50	Huyền tinh-Lv9 (khóa)				18	1	114	9	0									43200	1	1	1
24	5		划水先锋金箱子	划水先锋金箱子	700	葫芦香溪粽				18	1	326	4	0												
24	6		划水先锋金箱子	划水先锋金箱子	1260	鲜香肉粽				18	1	326	1	0												
24	7		划水先锋金箱子	划水先锋金箱子	20	八宝粽				18	1	326	2	0										1	1	1
24	8		划水先锋金箱子	划水先锋金箱子	20	什锦百果粽				18	1	326	3	0										1	1	1
25	1		划水先锋银箱子	划水先锋银箱子	6280	Huyền tinh-Lv6 (khóa)				18	1	114	6	0									43200			
25	2		划水先锋银箱子	划水先锋银箱子	1500	Huyền tinh-Lv7 (khóa)				18	1	114	7	0									43200			
25	3		划水先锋银箱子	划水先锋银箱子	200	Huyền tinh-Lv8 (khóa)				18	1	114	8	0									43200		1	
25	4		划水先锋银箱子	划水先锋银箱子	20	Huyền tinh-Lv9 (khóa)				18	1	114	9	0									43200	1	1	1
25	5		划水先锋银箱子	划水先锋银箱子	700	葫芦香溪粽				18	1	326	4	0												
25	6		划水先锋银箱子	划水先锋银箱子	1260	鲜香肉粽				18	1	326	1	0												
25	7		划水先锋银箱子	划水先锋银箱子	20	八宝粽				18	1	326	2	0										1	1	1
25	8		划水先锋银箱子	划水先锋银箱子	20	什锦百果粽				18	1	326	3	0										1	1	1
26	1		划水先锋铜箱子	划水先锋铜箱子	4090	Huyền tinh-Lv6 (khóa)				18	1	114	6	0									43200			
26	2		划水先锋铜箱子	划水先锋铜箱子	3300	Huyền tinh-Lv6 (khóa)				18	1	114	6	0									43200			
26	3		划水先锋铜箱子	划水先锋铜箱子	1000	Huyền tinh-Lv7 (khóa)				18	1	114	7	0									43200			
26	4		划水先锋铜箱子	划水先锋铜箱子	100	Huyền tinh-Lv8 (khóa)				18	1	114	8	0									43200		1	
26	5		划水先锋铜箱子	划水先锋铜箱子	10	Huyền tinh-Lv9 (khóa)				18	1	114	9	0									43200	1	1	1
26	6		划水先锋铜箱子	划水先锋铜箱子	525	葫芦香溪粽				18	1	326	4	0												
26	7		划水先锋铜箱子	划水先锋铜箱子	945	鲜香肉粽				18	1	326	1	0												
26	8		划水先锋铜箱子	划水先锋铜箱子	15	八宝粽				18	1	326	2	0										1	1	1
26	9		划水先锋铜箱子	划水先锋铜箱子	15	什锦百果粽				18	1	326	3	0										1	1	1
27	1		龙舟原型	龙舟原型	3100	龙舟：破浪				18	1	327	1	0												
27	2		龙舟原型	龙舟原型	3100	龙舟：乘风				18	1	327	2	0												
27	3		龙舟原型	龙舟原型	3100	龙舟：离水				18	1	327	3	0												
27	4		龙舟原型	龙舟原型	700	龙舟：霸舟				18	1	327	4	0												
28	1		红颜的馈赠	红颜的馈赠	1703	Huyền tinh-Lv8				18	1	114	8	0											1	
28	2		红颜的馈赠	红颜的馈赠	1527	Huyền tinh-Lv9				18	1	114	9	0										1	1	1
28	3		红颜的馈赠	红颜的馈赠	1701	Huyền tinh-Lv10				18	1	114	10	0										1	1	1
28	4		红颜的馈赠	红颜的馈赠	2316	4988đồng khóa			4988																1	
28	5		红颜的馈赠	红颜的馈赠	1856	9988đồng khóa			9988															1	1	1
28	6		红颜的馈赠	红颜的馈赠	897	14988đồng khóa			14988															1	1	1
29	1		幸运宝箱	幸运宝箱	1200	Huyền tinh-Lv6				18	1	114	6	0									43200			
29	2		幸运宝箱	幸运宝箱	100	Huyền tinh-Lv7				18	1	114	7	0									43200		1	
29	3		幸运宝箱	幸运宝箱	10	Huyền tinh-Lv8				18	1	114	8	0									43200	1	1	1
29	4		幸运宝箱	幸运宝箱	1200	100000 bạc khóa	100000																			
29	5		幸运宝箱	幸运宝箱	300	200000 bạc khóa	200000																			
29	6		幸运宝箱	幸运宝箱	30	500000 bạc khóa	500000																		1	
29	7		幸运宝箱	幸运宝箱	10	1000000 bạc khóa	1000000																	1	1	1
29	8		幸运宝箱	幸运宝箱	5040	300đồng khóa			300												1					
29	9		幸运宝箱	幸运宝箱	1500	500đồng khóa			500												1					
29	10		幸运宝箱	幸运宝箱	500	1000đồng khóa			1000												1					
29	11		幸运宝箱	幸运宝箱	100	2000đồng khóa			2000												1				1	
29	12		幸运宝箱	幸运宝箱	10	5000đồng khóa			5000												1			1	1	1
30	1		盛夏活动黄金宝箱	盛夏活动黄金宝箱	100	Huyền tinh-Lv10 (khóa)				18	1	114	10	0									43200	1	1	1
30	2		盛夏活动黄金宝箱	盛夏活动黄金宝箱	1000	Huyền tinh-Lv9 (khóa)				18	1	114	9	0									43200	1	1	1
30	3		盛夏活动黄金宝箱	盛夏活动黄金宝箱	7400	Huyền tinh-Lv8 (khóa)				18	1	114	8	0									43200		1	
30	4		盛夏活动黄金宝箱	盛夏活动黄金宝箱	1500	盛夏的果实				18	1	380	1	0							1		43200	1	1	1
31	1		盛夏活动白银宝箱	盛夏活动白银宝箱	500	Huyền tinh-Lv9 (khóa)				18	1	114	9	0									43200	1	1	1
31	2		盛夏活动白银宝箱	盛夏活动白银宝箱	2500	Huyền tinh-Lv8 (khóa)				18	1	114	8	0									43200		1	
31	3		盛夏活动白银宝箱	盛夏活动白银宝箱	7000	Huyền tinh-Lv7 (khóa)				18	1	114	7	0									43200		1	
32	1		玄晶宝箱	玄晶宝箱	9600	Huyền tinh-Lv8				18	1	114	8	0									43200		1	
32	2		玄晶宝箱	玄晶宝箱	350	Huyền tinh-Lv9				18	1	114	9	0									43200	1	1	1
32	3		玄晶宝箱	玄晶宝箱	50	Huyền tinh-Lv10				18	1	114	10	0									43200	1	1	1
33	1		大马三宝箱	大马三宝箱		兰花箱				18	1	390	1								1		10080			
33	2		大马三宝箱	大马三宝箱		蝴蝶箱				18	1	390	2								1		10080			
33	3		大马三宝箱	大马三宝箱		巨猿箱				18	1	390	3								1		10080			
34	1		古木宝箱	古木宝箱		紫檀箱				18	1	391	1								1		10080			
34	2		古木宝箱	古木宝箱		红木箱				18	1	391	2								1		10080			
34	3		古木宝箱	古木宝箱		香樟箱				18	1	391	3								1		10080			
35	1		兰花箱	兰花箱	800	[面具]靖哥哥				1	13	29	1													
35	2		兰花箱	兰花箱	800	[面具]蓉妹妹				1	13	30	1													
35	3		兰花箱	兰花箱	2500	鲜香肉粽				18	1	326	1										43200			
35	4		兰花箱	兰花箱	5900	九转续命丸				18	1	24	1			3					1		43200			
36	1		蝴蝶箱	蝴蝶箱	3700	Tinh Khí Tán（回500）				18	1	89	1			3					1		43200			
36	2		蝴蝶箱	蝴蝶箱	1300	Tinh Khí Tán（回1000）				18	1	89	2			3					1		43200			
36	3		蝴蝶箱	蝴蝶箱	3700	Hoạt Khí Tán（回500）				18	1	90	1			3					1		43200			
36	4		蝴蝶箱	蝴蝶箱	1300	Hoạt Khí Tán（回1000）				18	1	90	2			3					1		43200			
37	1		巨猿箱	巨猿箱	400	优惠券：3折购买1个Huyền tinh-Lv7				18	1	394	1								1		43200			
37	2		巨猿箱	巨猿箱	80	优惠券：3折购买1个Huyền tinh-Lv9				18	1	395	1								1		43200			
37	3		巨猿箱	巨猿箱	1900	优惠券：3折购买10个大白驹丸				18	1	392	1								1		43200			
37	4		巨猿箱	巨猿箱	5900	强效白驹丸				18	1	71	3								1		43200			
37	5		巨猿箱	巨猿箱	1720	Lệnh bài Uy danh				18	1	236	1								1		43200			
38	1		紫檀箱	紫檀箱	3690	Tinh Khí Tán（回1000）				18	1	89	2			3					1		43200			
38	2		紫檀箱	紫檀箱	1300	Tinh Khí Tán（回1500）				18	1	89	3			3					1		43200			
38	3		紫檀箱	紫檀箱	3690	Hoạt Khí Tán（回1000）				18	1	90	2			3					1		43200			
38	4		紫檀箱	紫檀箱	1300	Hoạt Khí Tán（回1500）				18	1	90	3			3					1		43200			
38	5		紫檀箱	紫檀箱	20	黄金福袋·箱（50个）				18	1	303	1								1		43200			
39	1		红木箱	红木箱	170	特效白驹丸				18	1	71	4								1		43200			
39	2		红木箱	红木箱	1200	天山玉露				19	4	1	5								1		43200			
39	3		红木箱	红木箱	2140	乾坤符				18	1	85	1								1		43200			
39	4		红木箱	红木箱	4340	Huyền tinh-Lv5 (khóa)				18	1	1	5								1		43200			
39	5		红木箱	红木箱	1130	Huyền tinh-Lv6 (khóa)				18	1	1	6								1		43200			
39	6		红木箱	红木箱	40	Huyền tinh-Lv7 (khóa)				18	1	1	7								1		43200			
39	7		红木箱	红木箱	880	Rương Hồn Thạch 100个				18	1	244	1								1		43200			
39	8		红木箱	红木箱	100	藏宝图（1星）通用令牌				18	1	1019	1								1		43200			
40	1		香樟箱	香樟箱	2270	磨刀石(5级)				18	1	66	5			5					1		43200			
40	2		香樟箱	香樟箱	2410	护甲片(5级)				18	1	67	5			5					1		43200			
40	3		香樟箱	香樟箱	2570	五行石(5级)				18	1	68	5			5					1		43200			
40	4		香樟箱	香樟箱	770	磨刀石(8级)				18	1	66	8			2					1		43200			
40	5		香樟箱	香樟箱	910	护甲片(8级)				18	1	67	8			2					1		43200			
40	6		香樟箱	香樟箱	1060	五行石(8级)				18	1	68	8			2					1		43200			
40	7		香樟箱	香樟箱	10	优惠券：3折购买1个Huyền tinh-Lv9				18	1	395	1								1		43200			
41	1		逍遥宝箱（银）	逍遥宝箱（银）	8400	Huyền tinh-Lv7 (khóa)				18	1	114	7	0							1		43200			
41	2		逍遥宝箱（银）	逍遥宝箱（银）	1500	Huyền tinh-Lv8 (khóa)				18	1	114	8	0							1		43200		1	
41	3		逍遥宝箱（银）	逍遥宝箱（银）	100	Huyền tinh-Lv9 (khóa)				18	1	114	9	0							1		43200	1	1	1
42	1		逍遥宝箱（金）	逍遥宝箱（金）	8400	Huyền tinh-Lv8 (khóa)				18	1	114	8	0							1		43200		1	
42	2		逍遥宝箱（金）	逍遥宝箱（金）	1500	Huyền tinh-Lv9 (khóa)				18	1	114	9	0							1		43200	1	1	1
42	3		逍遥宝箱（金）	逍遥宝箱（金）	100	Huyền tinh-Lv10 (khóa)				18	1	114	10	0							1		43200	1	1	1
43	1		民族大团圆卡	民族大团圆卡	5600	Huyền tinh-Lv5（绑定)				18	1	114	5	0							1		43200			
43	2		民族大团圆卡	民族大团圆卡	1000	Huyền tinh-Lv6（绑定)				18	1	114	6	0							1		43200			
43	3		民族大团圆卡	民族大团圆卡	300	Huyền tinh-Lv7（绑定)				18	1	114	7	0							1		43200		1	
43	4		民族大团圆卡	民族大团圆卡	100	Huyền tinh-Lv8（绑定)				18	1	114	8	0							1		43200	1	1	1
43	5		民族大团圆卡	民族大团圆卡	2900	月满西楼				18	1	463	1										43200		1	
43	6		民族大团圆卡	民族大团圆卡	50	彩云追月				18	1	464	1										43200	1	1	1
43	7		民族大团圆卡	民族大团圆卡	50	沧海月明				18	1	465	1										43200	1	1	1
44	1		民族大团圆幸运卡片	民族大团圆幸运卡片	194	白驹丸				18	1	71	1										43200			
44	2		民族大团圆幸运卡片	民族大团圆幸运卡片	200	大白驹丸				18	1	71	2										43200			
44	3		民族大团圆幸运卡片	民族大团圆幸运卡片	200	强效白驹丸				18	1	71	3										43200			
44	4		民族大团圆幸运卡片	民族大团圆幸运卡片	10	Thỏi vàng (大)				18	1	118	2										43200	1	1	1
44	5		民族大团圆幸运卡片	民族大团圆幸运卡片	200	小块玄晶碎片（Huyền tinh-Lv1）				18	1	1	1	0									43200			
44	6		民族大团圆幸运卡片	民族大团圆幸运卡片	200	小块玄晶残片（Huyền tinh-Lv3）				18	1	1	3	0									43200			
44	7		民族大团圆幸运卡片	民族大团圆幸运卡片	200	未雕琢的玄晶（Huyền tinh-Lv5）				18	1	1	5	0									43200			
44	8		民族大团圆幸运卡片	民族大团圆幸运卡片	50	普通的玄晶（Huyền tinh-Lv7）				18	1	1	7	0									43200		1	
44	9		民族大团圆幸运卡片	民族大团圆幸运卡片	150	Thỏi vàng 				18	1	118	1										43200		1	
44	10		民族大团圆幸运卡片	民族大团圆幸运卡片	200	Thùng rượu（5瓶）				18	1	189	1										43200			
44	11		民族大团圆幸运卡片	民族大团圆幸运卡片	200	Thùng rượu（50瓶）				18	1	189	2										43200			
44	12		民族大团圆幸运卡片	民族大团圆幸运卡片	200	无限传送符（1周）				18	1	195	1										43200			
44	13		民族大团圆幸运卡片	民族大团圆幸运卡片	200	无限传送符（1月）				18	1	235	1										43200		1	
44	14		民族大团圆幸运卡片	民族大团圆幸运卡片	200	无限回城符（1周）				18	1	23	1										43200			
44	15		民族大团圆幸运卡片	民族大团圆幸运卡片	200	无限回城符（1月）				18	1	234	1										43200			
44	16		民族大团圆幸运卡片	民族大团圆幸运卡片	200	乾坤符（10次）				18	1	85	1										43200			
44	17		民族大团圆幸运卡片	民族大团圆幸运卡片	200	家族召唤令牌				18	1	87	1										43200		1	
44	18		民族大团圆幸运卡片	民族大团圆幸运卡片	200	摆摊许可证				18	1	116	1										43200			
44	19		民族大团圆幸运卡片	民族大团圆幸运卡片	200	九转续命丸				18	1	24	1										43200			
44	20		民族大团圆幸运卡片	民族大团圆幸运卡片	200	刑部令牌				18	1	17	1										43200			
