Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	ItemValue	MakeCost	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType
Thỏi đồng [cấp 1]	Thỏi đồng [cấp 1]	22	1	2	1	\image\item\lifeskill\kuangshi\kuangding_101_s.spr		32	Gia công từ Đồng khoáng thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo. Kỹ năng sống đạt cấp 10 có thể chế tạo trang bị cao hơn 1 cấp.<color>		0	0	100	100		0	0		stuffitem		1		
Thỏi thiếc [cấp 2]	Thỏi thiếc [cấp 2]	22	1	2	2	\image\item\lifeskill\kuangshi\kuangding_102_s.spr		32	Gia công từ Tích khoáng thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 10).<color>		0	0	100	200		0	0		stuffitem		1		
Thỏi sắt [cấp 3]	Thỏi sắt [cấp 3]	22	1	2	3	\image\item\lifeskill\kuangshi\kuangding_103_s.spr		32	Gia công từ Thiết khoáng thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 20).<color>		0	0	100	600		0	0		stuffitem		1		
Thỏi bạc [cấp 4]	Thỏi bạc [cấp 4]	22	1	2	4	\image\item\lifeskill\kuangshi\kuangding_104_s.spr		32	Gia công từ Ngân khoáng thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 30).<color>		0	0	100	1600		0	0		stuffitem		1		
Thỏi vàng [cấp 5]	Thỏi vàng [cấp 5]	22	1	2	5	\image\item\lifeskill\kuangshi\kuangding_105_s.spr		32	Gia công từ Kim khoáng thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 40).<color>		0	0	100	2800		0	0		stuffitem		1		
Thỏi ô kim [cấp 6]	Thỏi ô kim [cấp 6]	22	1	2	6	\image\item\lifeskill\kuangshi\kuangding_106_s.spr		32	Gia công từ Ô kim khoáng thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 50).<color>		0	0	100	4200		0	0		stuffitem		1		
Thỏi tử kim [cấp 7]	Thỏi tử kim [cấp 7]	22	1	2	7	\image\item\lifeskill\kuangshi\kuangding_107_s.spr		32	Gia công từ Tử kim khoáng thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 60).<color>		0	0	100	8000		0	0		stuffitem		1		
Thỏi hàn thiết [cấp 8]	Thỏi hàn thiết [cấp 8]	22	1	2	8	\image\item\lifeskill\kuangshi\kuangding_108_s.spr		32	Gia công từ Hàn thiết khoáng thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 70).<color>		0	0	100	12000		0	0		stuffitem		1		
Thỏi huyền thiết [cấp 9]	Thỏi huyền thiết [cấp 9]	22	1	2	9	\image\item\lifeskill\kuangshi\kuangding_109_s.spr		32	Gia công từ Huyền thiết khoáng thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 80).<color>		0	0	100	15000		0	0		stuffitem		1		
Thỏi vẫn thiết [cấp 10]	Thỏi vẫn thiết [cấp 10]	22	1	2	10	\image\item\lifeskill\kuangshi\kuangding_110_s.spr		32	Gia công từ Vẫn thạch khoáng thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 90).<color>		0	0	100	35000		0	0		stuffitem		1		
Vũ hoa nguyên thạch [cấp1]	Vũ hoa nguyên thạch [cấp1]	22	1	3	1	\image\item\lifeskill\baoshi\yuanshi_101_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành Vũ hoa thạch bằng kỹ năng sống [gia công khoáng]. Kỹ năng sống đạt cấp 10 có thể gia công vật liệu cao hơn 1 cấp.<color>		0	50	100	50		1	0		stuffitem		1		
Hổ tinh nguyên thạch [cấp 2]	Hổ tinh nguyên thạch [cấp 2]	22	1	3	2	\image\item\lifeskill\baoshi\yuanshi_102_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành Hổ tinh thạch bằng kỹ năng sống (kỹ năng trên cấp 10).<color>		0	100	100	100		1	0		stuffitem		1		
Đống nguyên thạch [cấp 3]	Đống nguyên thạch [cấp 3]	22	1	3	3	\image\item\lifeskill\baoshi\yuanshi_106_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành Băng thạch bằng kỹ năng sống (kỹ năng trên cấp 20).<color>		0	300	100	300		1	0		stuffitem		1		
Kê huyết nguyên thạch [cấp 4]	Kê huyết nguyên thạch [cấp 4]	22	1	3	4	\image\item\lifeskill\baoshi\yuanshi_108_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành Kê huyết thạch bằng kỹ năng sống (kỹ năng trên cấp 30).<color>		0	800	100	800		1	0		stuffitem		1		
Kim hồng nguyên thạch [cấp 5]	Kim hồng nguyên thạch [cấp 5]	22	1	3	5	\image\item\lifeskill\baoshi\yuanshi_105_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành Kim hồng thạch bằng kỹ năng sống (kỹ năng trên cấp 40).<color>		0	1400	100	1400		1	0		stuffitem		1		
Khổng tước nguyên thạch[cấp 6]	Khổng tước nguyên thạch[cấp 6]	22	1	3	6	\image\item\lifeskill\baoshi\yuanshi_103_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành Khổng tước thạch bằng kỹ năng sống (kỹ năng trên cấp 50).<color>		0	2100	100	2100		1	0		stuffitem		1		
Bồ đào nguyên thạch [cấp 7]	Bồ đào nguyên thạch [cấp 7]	22	1	3	7	\image\item\lifeskill\baoshi\yuanshi_107_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành Bồ đào thạch bằng kỹ năng sống (kỹ năng trên cấp 60).<color>		0	4000	100	4000		1	0		stuffitem		1		
Huỳnh nguyên thạch [cấp 8]	Huỳnh nguyên thạch [cấp 8]	22	1	3	8	\image\item\lifeskill\baoshi\yuanshi_104_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành Huỳnh thạch bằng kỹ năng sống (kỹ năng trên cấp 70).<color>		0	6000	100	6000		1	0		stuffitem		1		
Cúc hoa nguyên thạch [cấp 9]	Cúc hoa nguyên thạch [cấp 9]	22	1	3	9	\image\item\lifeskill\baoshi\yuanshi_109_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành Cúc hoa thạch bằng kỹ năng sống (kỹ năng trên cấp 80).<color>		0	10000	100	10000		1	0		stuffitem		1		
Kim cang nguyên thạch [cấp 10]	Kim cang nguyên thạch [cấp 10]	22	1	3	10	\image\item\lifeskill\baoshi\yuanshi_110_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành Kim cang thạch bằng kỹ năng sống (kỹ năng trên cấp 90).<color>		0	17500	100	17500		1	0		stuffitem		1		
Vũ hoa thạch [cấp 1]	Vũ hoa thạch [cấp 1]	22	1	4	1	\image\item\lifeskill\baoshi\baoshi_101_s.spr		32	Gia công từ Vũ hoa nguyên thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo. Kỹ năng sống đạt đến 10 có thể chế tạo trang bị cao hơn 1 cấp.<color>		0	0	100	100		0	0		stuffitem		1		
Hổ tinh thạch [cấp 2]	Hổ tinh thạch [cấp 2]	22	1	4	2	\image\item\lifeskill\baoshi\baoshi_102_s.spr		32	Gia công từ Hổ tinh nguyên thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 10).<color>		0	0	100	200		0	0		stuffitem		1		
Băng thạch [cấp 3]	Băng thạch [cấp 3]	22	1	4	3	\image\item\lifeskill\baoshi\baoshi_106_s.spr		32	Gia công từ Đống nguyên thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 20).<color>		0	0	100	600		0	0		stuffitem		1		
Kê huyết thạch [cấp 4]	Kê huyết thạch [cấp 4]	22	1	4	4	\image\item\lifeskill\baoshi\baoshi_108_s.spr		32	Gia công từ Kê huyết nguyên thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 30).<color>		0	0	100	1600		0	0		stuffitem		1		
Kim hồng thạch [cấp 5]	Kim hồng thạch [cấp 5]	22	1	4	5	\image\item\lifeskill\baoshi\baoshi_105_s.spr		32	Gia công từ Kim hồng nguyên thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 40).<color>		0	0	100	2800		0	0		stuffitem		1		
Khổng tước thạch [cấp 6]	Khổng tước thạch [cấp 6]	22	1	4	6	\image\item\lifeskill\baoshi\baoshi_103_s.spr		32	Gia công từ Khổng tước nguyên thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 50).<color>		0	0	100	4200		0	0		stuffitem		1		
Bồ đào thạch [cấp 7]	Bồ đào thạch [cấp 7]	22	1	4	7	\image\item\lifeskill\baoshi\baoshi_107_s.spr		32	Gia công từ Bồ đào nguyên thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 60).<color>		0	0	100	8000		0	0		stuffitem		1		
Huỳnh thạch [cấp 8]	Huỳnh thạch [cấp 8]	22	1	4	8	\image\item\lifeskill\baoshi\baoshi_104_s.spr		32	Gia công từ Huỳnh nguyên thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 70).<color>		0	0	100	12000		0	0		stuffitem		1		
Cúc hoa thạch [cấp 9]	Cúc hoa thạch [cấp 9]	22	1	4	9	\image\item\lifeskill\baoshi\baoshi_109_s.spr		32	Gia công từ Cúc hoa nguyên thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 80).<color>		0	0	100	20000		0	0		stuffitem		1		
Kim cang thạch [cấp 10]	Kim cang thạch [cấp 10]	22	1	4	10	\image\item\lifeskill\baoshi\baoshi_110_s.spr		32	Gia công từ Kim cang nguyên thạch bằng [gia công khoáng].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 90).<color>		0	0	100	35000		0	0		stuffitem		1		
Á ma [Vải cấp 1]	Á ma [Vải cấp 1]	22	1	5	1	\image\item\lifeskill\buliao\buliao_101_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công Vải á ma bằng kỹ năng sống [gia công vải]. Kỹ năng sống đạt đến 10 có thể chế tạo vật liệu cao hơn 1 cấp.<color>		0	50	100	50		1	0		stuffitem		1		
Hoàng ma [Vải cấp 2]	Hoàng ma [Vải cấp 2]	22	1	5	2	\image\item\lifeskill\buliao\buliao_102_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công Vải hoàng ma bằng kỹ năng sống [gia công vải] (kỹ năng sống trên cấp10).<color>		0	100	100	100		1	0		stuffitem		1		
Đằng cát [Vải cấp 3]	Đằng cát [Vải cấp 3]	22	1	5	3	\image\item\lifeskill\buliao\buliao_103_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công thành Vải đằng cát bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 20).<color>		0	300	100	300		1	0		stuffitem		1		
Thảo miên [Vải cấp 4]	Thảo miên [Vải cấp 4]	22	1	5	4	\image\item\lifeskill\buliao\buliao_104_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công thành Vải thảo miên bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 30).<color>		0	800	100	800		1	0		stuffitem		1		
Da dê [Vải cấp 5]	Da dê [Vải cấp 5]	22	1	5	5	\image\item\lifeskill\buliao\buliao_105_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công thành Vải da dê bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 40).<color>		0	1400	100	1400		1	0		stuffitem		1		
Cẩm mao [Vải cấp 6]	Cẩm mao [Vải cấp 6]	22	1	5	6	\image\item\lifeskill\buliao\buliao_106_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công thành Vải cẩm mao bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 50).<color>		0	2100	100	2100		1	0		stuffitem		1		
Nhung mao [Vải cấp 7]	Nhung mao [Vải cấp 7]	22	1	5	7	\image\item\lifeskill\buliao\buliao_107_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công thành Vải nhung mao bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 60).<color>		0	4000	100	4000		1	0		stuffitem		1		
Mộc miên [Vải cấp 8]	Mộc miên [Vải cấp 8]	22	1	5	8	\image\item\lifeskill\buliao\buliao_108_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công thành Vải mộc miên bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 70).<color>		0	6000	100	6000		1	0		stuffitem		1		
Hỏa ma [Vải cấp 9]	Hỏa ma [Vải cấp 9]	22	1	5	9	\image\item\lifeskill\buliao\buliao_109_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công thành Vải hỏa ma bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 80).<color>		0	7500	100	7500		1	0		stuffitem		1		
Hỏa cán miên [Vải cấp 10]	Hỏa cán miên [Vải cấp 10]	22	1	5	10	\image\item\lifeskill\buliao\buliao_110_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công thành Vải hỏa cán miên bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 90).<color>		0	17500	100	17500		1	0		stuffitem		1		
Vải á ma [cấp 1]	Vải á ma [cấp 1]	22	1	6	1	\image\item\lifeskill\buliao\bupi_101_s.spr		32	Gia công từ Á Ma bằng [gia công vải].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo. Kỹ năng sống đạt cấp 10 có thể chế tạo trang bị cao hơn 1 cấp.<color>		0	0	100	100		0	0		stuffitem		1		
Vải hoàng ma [cấp 2]	Vải hoàng ma [cấp 2]	22	1	6	2	\image\item\lifeskill\buliao\bupi_102_s.spr		32	Gia công từ Hoàng Ma bằng [gia công vải].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 10).<color>		0	0	100	200		0	0		stuffitem		1		
Vải đằng cát [cấp 3]	Vải đằng cát [cấp 3]	22	1	6	3	\image\item\lifeskill\buliao\bupi_103_s.spr		32	Gia công từ Đằng cát bằng [gia công vải].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 20).<color>		0	0	100	600		0	0		stuffitem		1		
Vải thảo miên [cấp 4]	Vải thảo miên [cấp 4]	22	1	6	4	\image\item\lifeskill\buliao\bupi_104_s.spr		32	Gia công từ Thảo miên bằng [gia công vải].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 30).<color>		0	0	100	1600		0	0		stuffitem		1		
Vải da dê [cấp 5]	Vải da dê [cấp 5]	22	1	6	5	\image\item\lifeskill\buliao\bupi_105_s.spr		32	Gia công từ Da dê bằng [gia công vải].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 40).<color>		0	0	100	2800		0	0		stuffitem		1		
Vải cẩm mao [cấp 6]	Vải cẩm mao [cấp 6]	22	1	6	6	\image\item\lifeskill\buliao\bupi_106_s.spr		32	Gia công từ Miên mao bằng [gia công vải].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 50).<color><color>		0	0	100	4200		0	0		stuffitem		1		
Vải nhung mao [cấp 7]	Vải nhung mao [cấp 7]	22	1	6	7	\image\item\lifeskill\buliao\bupi_107_s.spr		32	Gia công từ Nhung mao bằng [gia công vải].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 60).<color>		0	0	100	8000		0	0		stuffitem		1		
Vải mộc miên [cấp 8]	Vải mộc miên [cấp 8]	22	1	6	8	\image\item\lifeskill\buliao\bupi_108_s.spr		32	Gia công từ Mộc miên bằng [gia công vải].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 70).<color>		0	0	100	12000		0	0		stuffitem		1		
Vải hỏa ma [cấp 9]	Vải hỏa ma [cấp 9]	22	1	6	9	\image\item\lifeskill\buliao\bupi_109_s.spr		32	Gia công từ Hỏa ma bằng [gia công vải].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 80).<color>		0	0	100	15000		0	0		stuffitem		1		
Vải hỏa cán [cấp 10]	Vải hỏa cán [cấp 10]	22	1	6	10	\image\item\lifeskill\buliao\bupi_110_s.spr		32	Gia công từ Hỏa cán miên bằng [gia công vải].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 90).<color>		0	0	100	35000		0	0		stuffitem		1		
Tơ dã tàm [cấp 1]	Tơ dã tàm [cấp 1]	22	1	7	1	\image\item\lifeskill\sichou\sixian_101_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công thành Lụa dã tàm bằng kỹ năng sống [gia công vải]. Kỹ năng sống đạt cấp 10 có thể gia công vật liệu cao hơn 1 cấp.<color>		0	50	100	50		1	0		stuffitem		1		
Tơ tang tàm [cấp 2]	Tơ tang tàm [cấp 2]	22	1	7	2	\image\item\lifeskill\sichou\sixian_102_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công Lụa tang tàm bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 10).<color>		0	100	100	100		1	0		stuffitem		1		
Tơ lang thù [cấp 3]	Tơ lang thù [cấp 3]	22	1	7	3	\image\item\lifeskill\sichou\sixian_103_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công Lụa lang thù bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 20).<color>		0	300	100	300		1	0		stuffitem		1		
Tơ bạch tàm [cấp 4]	Tơ bạch tàm [cấp 4]	22	1	7	4	\image\item\lifeskill\sichou\sixian_104_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công Lụa bạch tàm bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 30).<color>		0	800	100	800		1	0		stuffitem		1		
Tơ huyết tàm [cấp 5]	Tơ huyết tàm [cấp 5]	22	1	7	5	\image\item\lifeskill\sichou\sixian_105_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công Lụa huyết tàm bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 40).<color>		0	1400	100	1400		1	0		stuffitem		1		
Tơ lãnh trùng [cấp 6]	Tơ lãnh trùng [cấp 6]	22	1	7	6	\image\item\lifeskill\sichou\sixian_106_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công Lụa lãnh trùng bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 50).<color>		0	2100	100	2100		1	0		stuffitem		1		
Tơ ô tàm [cấp 7]	Tơ ô tàm [cấp 7]	22	1	7	7	\image\item\lifeskill\sichou\sixian_107_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công Lụa ô tàm bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 60).<color>		0	4000	100	4000		1	0		stuffitem		1		
Tơ kim tàm [cấp 8]	Tơ kim tàm [cấp 8]	22	1	7	8	\image\item\lifeskill\sichou\sixian_108_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công Lụa kim tàm bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 70).<color>		0	6000	100	6000		1	0		stuffitem		1		
Tơ băng tàm [cấp 9]	Tơ băng tàm [cấp 9]	22	1	7	9	\image\item\lifeskill\sichou\sixian_109_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công Lụa băng tàm bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 80).<color>		0	10000	100	10000		1	0		stuffitem		1		
Tơ thiên tàm [cấp 10]	Tơ thiên tàm [cấp 10]	22	1	7	10	\image\item\lifeskill\sichou\sixian_110_s.spr		32	Bán tại tiệm tạp hóa.<enter><color=gold>Có thể gia công Lụa thiên tàm bằng kỹ năng sống [gia công vải] (kỹ năng trên cấp 90).<color>		0	17500	100	17500		1	0		stuffitem		1		
Lụa dã tàm [cấp 1]	Lụa dã tàm [cấp 1]	22	1	8	1	\image\item\lifeskill\sichou\sichou_101_s.spr		32	Gia công từ Tơ dã tàm bằng [gia công vải].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo. Kỹ năng sống đạt cấp 10 có thể chế tạo trang bị cao hơn 1 cấp.<color>		0	0	100	100		0	0		stuffitem		1		
Lụa tang tàm [cấp 2]	Lụa tang tàm [cấp 2]	22	1	8	2	\image\item\lifeskill\sichou\sichou_102_s.spr		32	Gia công từ Tơ tang tàm bằng [gia công vải].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 10).<color>		0	0	100	200		0	0		stuffitem		1		
Lụa lang thù [cấp 3]	Lụa lang thù [cấp 3]	22	1	8	3	\image\item\lifeskill\sichou\sichou_103_s.spr		32	Gia công từ Tơ lang thù bằng [gia công vải].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 20).<color>		0	0	100	600		0	0		stuffitem		1		
Lụa bạch tàm [cấp 4]	Lụa bạch tàm [cấp 4]	22	1	8	4	\image\item\lifeskill\sichou\sichou_104_s.spr		32	Gia công từ Tơ bạch tàm bằng [gia công vải].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 30).<color>		0	0	100	1600		0	0		stuffitem		1		
Lụa huyết tàm [cấp 5]	Lụa huyết tàm [cấp 5]	22	1	8	5	\image\item\lifeskill\sichou\sichou_105_s.spr		32	Gia công từ Tơ huyết tàm bằng [gia công vải].<enter><color=gold>Có thể chế tạo trang bị bằng kỹ năng sống hệ chế tạo (kỹ năng trên cấp 40).<color>		0	0	100	2800		0	0		stuffitem		1		
