Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	ItemValue	MakeCost	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	ExtParam11	ExtParam12	ExtParam13	ExtParam14	ExtParam15	ExtParam16	ExtParam17	ExtParam18	ExtParam19	ExtParam20	Effect
Diên Dương Thạch (Lung Linh) (Cấp 7)	Bảo thạch tăng tỉ lệ sinh lực và nội lực (cấp 7)	24	1	2	7	\image\item\gem\6_newgold.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					2	7																			
Diên Dương Thạch (Cấp 8)	Bảo Thạch Tỉ Lệ SL Và NL (Cấp 8)	24	1	2	8	\image\item\gem\8_newgold.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					2	8																			
Dạ Mạc Thạch (vỡ) (cấp 1)	Bảo Thạch (kháng độc) (cấp 1)	24	1	3	1	\image\item\gem\1_gold.spr		1	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					3																				
Dạ Mạc Thạch (mòn) (cấp 2)	Bảo Thạch (kháng độc) (cấp 2)	24	1	3	2	\image\item\gem\2_gold.spr		2	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					3																				
Dạ Mạc Thạch (hoàn chỉnh) (cấp 3)	Bảo Thạch (kháng độc) (cấp 3)	24	1	3	3	\image\item\gem\3_gold.spr		3	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					3	3																			
Dạ Mạc Thạch (tinh xảo) (cấp 4)	Bảo Thạch (kháng độc) (cấp 4)	24	1	3	4	\image\item\gem\4_gold.spr		4	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					3	4																			
Dạ Mạc Thạch (lấp lánh) (cấp 5)	 Bảo Thạch (kháng độc) (cấp 5)	24	1	3	5	\image\item\gem\5_gold.spr		5	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					3	5																			
Dạ Mạc Thạch Óng Ánh (Cấp 6)	Bảo thạch kháng độc (cấp 6)	24	1	3	6	\image\item\huodong\vn_putong6level.spr		6	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					3	6																			
Dạ Mạc Thạch (Lung Linh) (Cấp 7)	Bảo thạch kháng Độc (cấp 7)	24	1	3	7	\image\item\gem\6_newgold.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					3	7																			
Dạ Mạc Thạch (Cấp 8)	Bảo Thạch Kháng Độc (Cấp 8)	24	1	3	8	\image\item\gem\8_newgold.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					3	8																			
Hạ Dương Thạch (vỡ) (cấp 1)	Bảo Thạch (kháng thường) (cấp 1)	24	1	4	1	\image\item\gem\1_gold.spr		1	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					4																				
Hạ Dương Thạch (mòn) (cấp 2)	Bảo Thạch (kháng thường) (cấp 2)	24	1	4	2	\image\item\gem\2_gold.spr		2	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					4																				
Hạ Dương Thạch (hoàn chỉnh) (cấp 3)	Bảo Thạch (kháng thường) (cấp 3)	24	1	4	3	\image\item\gem\3_gold.spr		3	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					4	3																			
Hạ Dương Thạch (tinh xảo) (cấp 4)	Bảo Thạch (kháng thường) (cấp 4)	24	1	4	4	\image\item\gem\4_gold.spr		4	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					4	4																			
Hạ Dương Thạch (lấp lánh) (cấp 5)	Bảo Thạch (kháng thường) (cấp 5)	24	1	4	5	\image\item\gem\5_gold.spr		5	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					4	5																			
Hạ Dương Thạch Óng Ánh (Cấp 6)	Bảo thạch kháng phổ (cấp 6)	24	1	4	6	\image\item\huodong\vn_putong6level.spr		6	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					4	6																			
Hạ Dương Thạch (Lung Linh) (Cấp 7)	Bảo thạch kháng Phổ (cấp 7)	24	1	4	7	\image\item\gem\6_newgold.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					4	7																			
Hạ Dương Thạch (Cấp 8)	Bảo Thạch Kháng Phổ (Cấp 8)	24	1	4	8	\image\item\gem\8_newgold.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					4	8																			
Kiêu Dương Thạch (mòn) (cấp 1)	Bảo Thạch (kháng băng) (cấp 1)	24	1	5	1	\image\item\gem\1_gold.spr		1	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					5																				
Kiêu Dương Thạch (mòn) (cấp 2)	Bảo Thạch (kháng băng) (cấp 2)	24	1	5	2	\image\item\gem\2_gold.spr		2	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					5																				
Kiêu Dương Thạch (hoàn chỉnh) (cấp 3)	Bảo Thạch (kháng băng) (cấp 3)	24	1	5	3	\image\item\gem\3_gold.spr		3	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					5	3																			
Kiêu Dương Thạch (tinh xảo) (cấp 4)	Bảo Thạch (kháng băng) (cấp 4)	24	1	5	4	\image\item\gem\4_gold.spr		4	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					5	4																			
Kiêu Dương Thạch (lấp lánh) (cấp 5)	Bảo Thạch (kháng băng) (cấp 5)	24	1	5	5	\image\item\gem\5_gold.spr		5	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					5	5																			
Kiêu Dương Thạch Óng Ánh (Cấp 6)	Bảo thạch kháng băng (cấp 6)	24	1	5	6	\image\item\huodong\vn_putong6level.spr		6	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					5	6																			
Kiêu Dương Thạch (Lung Linh) (Cấp 7)	Bảo thạch kháng Băng (cấp 7)	24	1	5	7	\image\item\gem\6_newgold.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					5	7																			
Kiêu Dương Thạch (Cấp 8)	Bảo Thạch Kháng Băng (Cấp 8)	24	1	5	8	\image\item\gem\8_newgold.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					5	8																			
Lôi Đình Ngọc (vỡ) (cấp 1)	Bảo Thạch (kháng lôi) (cấp 1)	24	1	6	1	\image\item\gem\1_gold.spr		1	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					6																				
Lôi Đình Ngọc (mòn) (cấp 2)	Bảo Thạch (kháng lôi) (cấp 2)	24	1	6	2	\image\item\gem\2_gold.spr		2	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					6																				
Lôi Đình Ngọc (hoàn chỉnh) (cấp 3)	Bảo Thạch (kháng lôi) (cấp 3)	24	1	6	3	\image\item\gem\3_gold.spr		3	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					6	3																			
Lôi Đình Ngọc (tinh xảo) (cấp 4)	Bảo Thạch (kháng lôi) (cấp 4)	24	1	6	4	\image\item\gem\4_gold.spr		4	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					6	4																			
Lôi Đình Ngọc (lấp lánh) (cấp 5)	Bảo Thạch (kháng lôi) (cấp 5)	24	1	6	5	\image\item\gem\5_gold.spr		5	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					6	5																			
Lôi Đình Ngọc Óng Ánh (Cấp 6)	Bảo thạch kháng lôi (cấp 6)	24	1	6	6	\image\item\huodong\vn_putong6level.spr		6	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					6	6																			
Lôi Đình Ngọc (Lung Linh) (Cấp 7)	Bảo thạch kháng Lôi (cấp 7)	24	1	6	7	\image\item\gem\6_newgold.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					6	7																			
Lôi Đình Ngọc (Cấp 8)	Bảo Thạch Kháng Lôi (Cấp 8)	24	1	6	8	\image\item\gem\8_newgold.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					6	8																			
Băng Phong Thạch (vỡ) (cấp 1)	Bảo Thạch (kháng hỏa) (cấp 1)	24	1	7	1	\image\item\gem\1_gold.spr		1	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					7																				
Băng Phong Thạch (mòn) (cấp 2)	Bảo Thạch (kháng hỏa) (cấp 2)	24	1	7	2	\image\item\gem\2_gold.spr		2	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					7																				
Băng Phong Thạch (hoàn chỉnh) (cấp 3)	Bảo Thạch (kháng hỏa) (cấp 3)	24	1	7	3	\image\item\gem\3_gold.spr		3	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					7	3																			
Băng Phong Thạch (tinh xảo) (cấp 4)	Bảo Thạch (kháng hỏa) (cấp 4)	24	1	7	4	\image\item\gem\4_gold.spr		4	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					7	4																			
Băng Phong Thạch (lấp lánh) (cấp 5)	Bảo Thạch (kháng hỏa) (cấp 5)	24	1	7	5	\image\item\gem\5_gold.spr		5	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					7	5																			
Băng Phong Thạch Óng Ánh (Cấp 6)	Bảo thạch kháng hỏa (cấp 6)	24	1	7	6	\image\item\huodong\vn_putong6level.spr		6	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					7	6																			
Băng Phong Thạch (Lung Linh) (Cấp 7)	Bảo thạch kháng Hỏa (cấp 7)	24	1	7	7	\image\item\gem\6_newgold.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					7	7																			
Băng Phong Thạch (Cấp 8)	Bảo Thạch Kháng Hỏa (Cấp 8)	24	1	7	8	\image\item\gem\8_newgold.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					7	8																			
Cực Linh Ngọc (vỡ) (cấp 1)	Bảo Thạch (cấp 1) giúp giảm thời gian suy yếu	24	1	8	1	\image\item\gem\1_orange.spr		1	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					8																				
Cực Linh Ngọc (mòn) (cấp 2)	Bảo Thạch (cấp 2) giúp giảm thời gian suy yếu	24	1	8	2	\image\item\gem\2_orange.spr		2	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					8																				
Cực Linh Ngọc (hoàn chỉnh) (cấp 3)	Bảo Thạch (cấp 3) giúp giảm thời gian suy yếu	24	1	8	3	\image\item\gem\3_orange.spr		3	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					8	3																			
Cực Linh Ngọc (tinh xảo) (cấp 4)	Bảo Thạch (cấp 4) giúp giảm thời gian suy yếu	24	1	8	4	\image\item\gem\4_orange.spr		4	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					8	4																			
Cực Linh Ngọc (lấp lánh) (cấp 5)	Bảo Thạch (cấp 5) giúp giảm thời gian suy yếu	24	1	8	5	\image\item\gem\5_orange.spr		5	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					8	5																			
Cực Linh Ngọc Óng Ánh (Cấp 6)	Bảo thạch giảm thời gian suy yếu (cấp 6)	24	1	8	6	\image\item\huodong\vn_special6level.spr		6	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					8	6																			
Cực Linh Ngọc (Lung Linh) (Cấp 7)	Bảo thạch giảm thời gian suy yếu (cấp 7)	24	1	8	7	\image\item\gem\6_neworange.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					8	7																			
Cực Linh Ngọc (Cấp 8)	Bảo Thạch Giảm Thời Gian Suy Yếu (Cấp 8)	24	1	8	8	\image\item\gem\8_neworange.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					8	8																			
Tuyệt Linh Ngọc (vỡ) (cấp 1)	Bảo Thạch (cấp 1) giúp giảm thời gian thọ thương	24	1	9	1	\image\item\gem\1_orange.spr		1	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					9																				
Tuyệt Linh Ngọc (mòn) (cấp 2)	Bảo Thạch (cấp 2) giúp giảm thời gian thọ thương	24	1	9	2	\image\item\gem\2_orange.spr		2	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					9																				
Tuyệt Linh Ngọc (hoàn chỉnh) (cấp 3)	Bảo Thạch (cấp 3) giúp giảm thời gian thọ thương	24	1	9	3	\image\item\gem\3_orange.spr		3	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					9	3																			
Tuyệt Linh Ngọc (tinh xảo) (cấp 4)	Bảo Thạch (cấp 4) giúp giảm thời gian thọ thương	24	1	9	4	\image\item\gem\4_orange.spr		4	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					9	4																			
Tuyệt Linh Ngọc (lấp lánh) (cấp 5)	Bảo Thạch (cấp 5) giúp giảm thời gian thọ thương	24	1	9	5	\image\item\gem\5_orange.spr		5	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					9	5																			
Tuyệt Linh Ngọc Óng Ánh (Cấp 6)	Bảo thạch giảm thời gian thọ thương (cấp 6)	24	1	9	6	\image\item\huodong\vn_special6level.spr		6	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					9	6																			
Tuyệt Linh Ngọc (Lung Linh) (Cấp 7)	Bảo thạch giảm thời gian thọ thương (cấp 7)	24	1	9	7	\image\item\gem\6_neworange.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					9	7																			
Tuyệt Linh Ngọc (Cấp 8)	Bảo Thạch Giảm Thời Gian Thọ Thương (Cấp 8)	24	1	9	8	\image\item\gem\8_neworange.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					9	8																			
Chấn Linh Ngọc (vỡ) (cấp 1)	Bảo Thạch (cấp 1) giúp giảm thời gian làm chậm	24	1	10	1	\image\item\gem\1_orange.spr		1	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					10																				
Chấn Linh Ngọc (mòn) (cấp 2)	Bảo Thạch (cấp 2) giúp giảm thời gian làm chậm	24	1	10	2	\image\item\gem\2_orange.spr		2	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					10																				
Chấn Linh Ngọc (hoàn chỉnh) (cấp 3)	Bảo Thạch (cấp 3) giúp giảm thời gian làm chậm	24	1	10	3	\image\item\gem\3_orange.spr		3	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					10	3																			
Chấn Linh Ngọc (tinh xảo) (cấp 4)	Bảo Thạch (cấp 4) giúp giảm thời gian làm chậm	24	1	10	4	\image\item\gem\4_orange.spr		4	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					10	4																			
Chấn Linh Ngọc (lấp lánh) (cấp 5)	Bảo Thạch (cấp 5) giúp giảm thời gian làm chậm	24	1	10	5	\image\item\gem\5_orange.spr		5	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					10	5																			
Chấn Linh Ngọc Óng Ánh (Cấp 6)	Bảo thạch giảm thời gian làm chậm (cấp 6)	24	1	10	6	\image\item\huodong\vn_special6level.spr		6	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					10	6																			
Chấn Linh Ngọc (Lung Linh) (Cấp 7)	Bảo thạch giảm thời gian làm chậm (cấp 7)	24	1	10	7	\image\item\gem\6_neworange.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					10	7																			
