Name	ParticularType	Level	LiveTime	StateLog
[面具]英雄黄	121	1	43200	1
[面具]美女红	122	1	43200	1
[面具]美女白	123	1	43200	1
[面具]美女蓝	124	1	43200	1
[面具]美女黄	125	1	43200	1
[面具]财神	126	1	43200	1
[面具]灶君（红）	127	1	43200	1
[面具]灶君（蓝）	128	1	43200	1
[面具]灶君（黄）	129	1	43200	1
[面具]土地	130	1	43200	1
[面具]少女	131	1	43200	1
[面具]肖月月	134	1	4320	1
[面具]梨钢	135	1	4320	1
[面具]姜老爷	136	1	43200	1
[面具]金毛狮王	137	1	43200	1
[面具]西毒欧阳锋	138	1	43200	1
[面具]朝霞映雪	139	1	129600	1
[面具]唐伯虎	140	1	43200	1
[面具]秋香	141	1	43200	1
[面具]沃德卡普	142	1	86400	1
[面具]财神	143	1	86400	1
[面具]秦始皇	144	1	86400	1
[面具]窦昊	145	1	43200	1
[面具]倾世	146	1	43200	1
[面具]逍遥书生	147	1	43200	1
[面具]圣诞男孩（蓝）	160	10	17280	1
[面具]圣诞萝莉（蓝）	161	10	17280	1
[面具]圣诞男孩（粉红）	162	10	17280	1
[面具]圣诞萝莉（粉红）	163	10	17280	1
[面具]圣诞男孩和小熊（蓝）	164	10	43200	1
[面具]圣诞萝莉和小熊（蓝）	165	10	43200	1
[面具]圣诞男孩和雪人（红）	166	10	43200	1
[面具]圣诞萝莉和雪人（红）	167	10	43200	1
[面具]圣诞男孩和小熊（紫）	168	10	43200	1
[面具]圣诞萝莉和小熊（紫）	169	10	43200	1
[面具]圣诞男孩和小熊（红）	170	10	43200	1
[面具]圣诞萝莉和小熊（红）	171	10	43200	1
[面具]夏侯小小	176	10	43200	1
