Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	ItemValue	MakeCost	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType	SkillID	SkillLevel	CastType	IsBroadcasting
战场专用外电丸		19	2	5	1	\image\item\other\medicine\zc_711_s.spr		35	增加外功系电伤害100点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	423	30	2	1
战场专用内普丸		19	2	6	1	\image\item\other\medicine\zc_711_s.spr		35	增加内功系普攻伤害100点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	424	30	2	1
战场专用内毒丸		19	2	7	1	\image\item\other\medicine\zc_711_s.spr		35	增加内功系毒伤害50点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	425	30	2	1
战场专用内冰丸		19	2	8	1	\image\item\other\medicine\zc_711_s.spr		35	增加内功系冰伤害100点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	426	30	2	1
战场专用内火丸		19	2	9	1	\image\item\other\medicine\zc_711_s.spr		35	增加内功系火伤害100点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	427	30	2	1
战场专用内电丸		19	2	10	1	\image\item\other\medicine\zc_711_s.spr		35	增加内功系电伤害100点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	428	30	2	1
战场专用普防丸		19	2	11	1	\image\item\other\medicine\zc_711_s.spr		35	普防提高50点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	431	30	2	1
战场专用冰防丸		19	2	12	1	\image\item\other\medicine\zc_711_s.spr		35	冰防提高50点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	433	30	2	1
战场专用雷防丸		19	2	13	1	\image\item\other\medicine\zc_711_s.spr		35	雷防提高50点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	435	30	2	1
战场专用火防丸		19	2	14	1	\image\item\other\medicine\zc_711_s.spr		35	火防提高50点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	434	30	2	1
战场专用毒防丸		19	2	15	1	\image\item\other\medicine\zc_711_s.spr		35	毒防提高50点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	432	30	2	1
战场专用长命丸		19	2	16	1	\image\item\other\medicine\zc_711_s.spr		35	生命上限增加500点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	406	30	2	1
战场专用加跑丸		19	2	17	1	\image\item\other\medicine\zc_711_s.spr		35	移动速度加快20%，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	416	30	2	1
战场专用高闪丸		19	2	18	1	\image\item\other\medicine\zc_711_s.spr		35	闪避率提高500点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	413	30	2	1
战场专用高中丸		19	2	19	1	\image\item\other\medicine\zc_711_s.spr		35	命中率提高500点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	412	30	2	1
战场专用飞速丸		19	2	20	1	\image\item\other\medicine\zc_711_s.spr		35	攻击速度增加50，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	417	30	2	1
素炒竹肉	素炒竹肉（技能）	19	3	1	1	\image\item\other\medicine\food_311_s.spr		36	<color=green>适合野外练级使用。<color><enter>每半秒生命恢复：增加15点，持续30分钟<enter>每半秒内力恢复：增加15点，持续30分钟<enter><enter>优质腐竹，经劲火爆炒而成，香脆可口。		0	1	1			0			skillitem		1	1		476	1	2	1
家常四季豆	家常四季豆（技能）	19	3	1	2	\image\item\other\medicine\food_312_s.spr		36	<color=green>适合野外练级使用。<color><enter>每半秒生命恢复：增加30点，持续30分钟<enter>每半秒内力恢复：增加30点，持续30分钟<enter><enter>寻常的家常菜，喷香可口，香气袭人。		0	1	1			0		30	skillitem		1	1		476	2	2	1
炒豌豆角	炒豌豆角（技能）	19	3	1	3	\image\item\other\medicine\food_313_s.spr		36	<color=green>适合野外练级使用。<color><enter>每半秒生命恢复：增加45点，持续30分钟<enter>每半秒内力恢复：增加45点，持续30分钟<enter><enter>豌豆角爆炒而成，透着泥土气息，农家常菜。		0	1	1			0		50	skillitem		1	1		476	3	2	1
蒜茸生菜	蒜茸生菜（技能）	19	3	1	4	\image\item\other\medicine\food_314_s.spr		36	<color=green>适合野外练级使用。<color><enter>每半秒生命恢复：增加60点，持续30分钟<enter>每半秒内力恢复：增加60点，持续30分钟<enter><enter>优质生菜配以蒜茸炒制而成，农家常菜。		0	1	1			0		70	skillitem		1	1		476	4	2	1
玉笛谁家听落梅	玉笛谁家听落梅（技能）	19	3	1	5	\image\item\other\medicine\food_315_s.spr		36	<color=green>适合野外练级使用。<color><enter>每半秒生命恢复：增加75点，持续30分钟<enter>每半秒内力恢复：增加75点，持续30分钟<enter><enter>配料二十五变，合五五梅花之数，又因菜条形如笛子，故名。		0	1	1			0		90	skillitem		1	1		476	5	2	1
玉笛谁家听落梅（周）	玉笛谁家听落梅（技能）	19	3	1	6	\image\item\other\medicine\food_315_s.spr		36	每半秒生命恢复：增加75点，持续7天<enter>每半秒内力恢复：增加75点，持续7天<enter><enter>配料二十五变，合五五梅花之数，又因菜条形如笛子，故名。		0	1	1	50000		0		90	skillitem		1	1		476	6	2	1
玉笛谁家听落梅（月）	玉笛谁家听落梅（技能）	19	3	1	7	\image\item\other\medicine\food_315_s.spr		36	每半秒生命恢复：增加75点，持续30天<enter>每半秒内力恢复：增加75点，持续30天<enter><enter>配料二十五变，合五五梅花之数，又因菜条形如笛子，故名。		0	1	1	100000		0		90	skillitem		1	1		476	7	2	1
椿哥烧饼	椿哥烧饼	19	3	2	1	\image\item\other\scriptitem\jh_cai.spr		36	椿哥特色烧饼，喷香可口，香气袭人。<color=green>适合野外练级使用。<color>		0	1	1			0		1	skillitem		1	1		476	5	2	1
百果露（小）	白果露（小）	19	4	1	1	\image\item\other\medicine\xingyunyao_lv1.spr		36	用天下珍果精华炼成的甘露，<color=gold>服用后提升幸运2点，持续30分钟。<color>			1	1			0			skillitem		1	1		478	3	2	1
百果露（中）	百果露（中）	19	4	1	2	\image\item\other\medicine\xingyunyao_lv2.spr		36	用天下珍果精华炼成的甘露，<color=gold>服用后提升幸运5点，持续30分钟。<color>			1	1			0			skillitem		1	1		478	4	2	1
百果露（大）	百果露（大）	19	4	1	3	\image\item\other\medicine\xingyunyao_lv3.spr		36	用天下珍果精华炼成的甘露，<color=gold>服用后提升幸运9点，持续30分钟。<color>			1	1		8100	0			skillitem		1	1		478	5	2	1
虫草聚元露	虫草聚元露	19	4	1	4	\image\item\other\medicine\xingyunyao_lv4.spr		36	用各种珍奇药材炼成的甘露，<color=gold>服用后提升幸运14点，持续30分钟。<color>			1	1		24300	0			skillitem		1	1		478	6	2	1
天山玉露	天山玉露	19	4	1	5	\image\item\other\medicine\xingyunyao_lv5.spr		36	出天山之巅，集日月精华，<color=gold>服用后提升幸运20点，持续30分钟。<color>			1	1		72900	0			skillitem		1	1		478	7	2	1
