Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	MakeCost	ItemValue	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType	MagicName1	Value1	Time1	MagicName2	Value2	Time2	MagicName3	Value3	Time3	ExtParam1	ExtParam2	ExtParam3	ExtParam4
Bánh bao nhân thịt	Bánh bao nhân thịt	17	1	2	5	\image\item\other\medicine\food_115_s.spr		32	Nguyên liệu tuy bình thường, nhưng ăn vào mùi vị rất thơm ngon.		0	1	1					90	medicine		1	1	3	lifegrow_v	75	3240	managrow_v	75	3240							
Ngưng Thần Đơn (tiểu)	Ngưng Thần Đơn (tiểu)	17	2	1	1	\image\item\other\medicine\medicine_211_s.spr		36	Thuốc thường, hồi phục ít nội lực. <color=green>Dùng cho PK.<color>		0	1	200						localmedicine		1	1	1	manapotion_v	100	90										
Ngưng Thần Đơn (trung)	Ngưng Thần Đơn (trung)	17	2	1	2	\image\item\other\medicine\medicine_212_s.spr		36	Thuốc thường, hồi phục ít nội lực. <color=green>Dùng cho PK.<color>		0	20	200					20	localmedicine		1	1	1	manapotion_v	200	90										
Ngưng Thần Đơn (đại)	Ngưng Thần Đơn (đại)	17	2	1	3	\image\item\other\medicine\medicine_213_s.spr		36	Thuốc thường, hồi phục nhiều nội lực. <color=green>Dùng cho PK.<color>		0	60	200					40	localmedicine		1	1	1	manapotion_v	300	90										
Đại Bổ Tán	Đại Bổ Tán	17	2	1	4	\image\item\other\medicine\medicine_214_s.spr		36	Thuốc cường hiệu, hồi phục nhiều nội lực. <color=green>Dùng cho PK.<color>		0	120	200					70	localmedicine		1	1	1	manapotion_v	400	90										
Thủ Ô Hoàn Thần Đơn	Thủ Ô Hoàn Thần Đơn	17	2	1	5	\image\item\other\medicine\medicine_215_s.spr		36	Thần dược, hồi phục nhiều nội lực. <color=green>Dùng cho PK.<color>		0	200	200					90	localmedicine		1	1	1	manapotion_v	500	90										
Tuyết Tham Phản Khí Hoàn	Tuyết Tham Phản Khí Hoàn	17	2	1	6	\image\item\other\medicine\medicine_216_s.spr		36	Thần dược, có thể hồi phục tinh khí. <color=green>Dùng cho PK.<color>		0	480	200					100	localmedicine		1	1	1	manapotion_v	650	90										
Thiêu Đao Tử	Thiêu Đao Tử	17	2	2	1	\image\item\other\medicine\food_211_s.spr		36	Ủ bình thường, uống cay.		0	1	1						medicine		1	1	1	manapotion_v	10	90										
Nữ Nhi Hồng	Nữ Nhi Hồng	17	2	2	2	\image\item\other\medicine\food_212_s.spr		36	Người Giang Nam chôn rượu xuống đất khi đầy tháng con gái, lúc xuất giá đào lên uống.		0	2	1					20	medicine		1	1	1	manapotion_v	25	90										
Đạo Hoa Hương	Đạo Hoa Hương	17	2	2	3	\image\item\other\medicine\food_213_s.spr		36	Rượu Hồ Bắc, thơm ngào ngạt, uống vào cảm giác lâng lâng.		0	6	1					40	medicine		1	1	1	manapotion_v	50	90										
Túy Sinh Mộng Tử	Túy Sinh Mộng Tử	17	2	2	4	\image\item\other\medicine\food_214_s.spr		36	Rượu Giang Nam, uống vào đầu óc tỉnh táo, khi say ngủ đến nửa tháng.		0	12	1					70	medicine		1	1	1	manapotion_v	80	90										
Tây Bắc Vọng	Tây Bắc Vọng	17	2	2	5	\image\item\other\medicine\food_215_s.spr		36	Lấy từ câu "Tây bắc vọng, xạ thiên lang", rượu phía bắc Trường Thành.		0	20	1					90	medicine		1	1	1	manapotion_v	100	90										
Thừa Tiên Mật (tiểu)	Thừa Tiên Mật (tiểu)	17	3	1	1	\image\item\other\medicine\medicine_311_s.spr		36	Thuốc thường, hồi phục ít nội lực, sinh lực. <color=green>Dùng cho PK.<color>		0	1	200						localmedicine		1	1	1	lifepotion_v	60	90	manapotion_v	60	90							
Thừa Tiên Mật (trung)	Thừa Tiên Mật (trung)	17	3	1	2	\image\item\other\medicine\medicine_312_s.spr		36	Thuốc thường, hồi phục ít nội lực, sinh lực. <color=green>Dùng cho PK.<color>		0	20	200					20	localmedicine		1	1	1	lifepotion_v	120	90	manapotion_v	120	90							
Thừa Tiên Mật (đại)	Thừa Tiên Mật (đại)	17	3	1	3	\image\item\other\medicine\medicine_313_s.spr		36	Thuốc thường, hồi phục nhiều nội lực, sinh lực. <color=green>Dùng cho PK.<color>		0	60	200					40	localmedicine		1	1	1	lifepotion_v	180	90	manapotion_v	180	90							
Thất Xảo Bổ Tâm Đơn	Thất Xảo Bổ Tâm Đơn	17	3	1	4	\image\item\other\medicine\medicine_314_s.spr		36	Thuốc cường hiệu, hồi phục nhiều nội lực, sinh lực. <color=green>Dùng cho PK.<color>		0	120	200					70	localmedicine		1	1	1	lifepotion_v	240	90	manapotion_v	240	90							
Ngũ Hoa Ngọc Lộ Hoàn	Ngũ Hoa Ngọc Lộ Hoàn	17	3	1	5	\image\item\other\medicine\medicine_315_s.spr		36	Thần dược, hồi phục nhiều nội lực, sinh lực. <color=green>Dùng cho PK.<color>		0	200	200					90	localmedicine		1	1	1	lifepotion_v	300	90	manapotion_v	300	90							
Dao Trì Đại Hoàn Đơn	Dao Trì Đại Hoàn Đơn	17	3	1	6	\image\item\other\medicine\medicine_316_s.spr		36	Thần dược, có thể hồi phục nhanh nội lực, sinh lực. <color=green>Dùng cho PK.<color>		0	480	200					100	localmedicine		1	1	1	lifepotion_v	390	90	manapotion_v	390	90							
Thịt xào măng	Thịt xào măng (Hủy bỏ)	17	3	2	1	\image\item\other\medicine\food_311_s.spr		36	Măng non trộn thịt xào với lửa lớn, thơm ngon. <color=green>Dùng cho luyện cấp.<color>		0	1	1						medicine		1	1	5	lifegrow_v	15	32400	managrow_v	15	32400							
Đậu tứ quý	Đậu tứ quý (Hủy bỏ)	17	3	2	2	\image\item\other\medicine\food_312_s.spr		36	Món ăn thường ngày, thơm ngon. <color=green>Dùng cho luyện cấp.<color>		0	1	1					20	medicine		1	1	5	lifegrow_v	30	32400	managrow_v	30	32400							
Đậu Hòa Lan xào	Đậu Hòa Lan xào (Hủy bỏ)	17	3	2	3	\image\item\other\medicine\food_313_s.spr		36	Đậu Hòa Lan xào với lửa lớn, có mùi sình, món ăn của nhà nông. <color=green>Dùng cho luyện cấp.<color>		0	1	1					40	medicine		1	1	5	lifegrow_v	45	32400	managrow_v	45	32400							
Cải xào tỏi	Cải xào tỏi (Hủy bỏ)	17	3	2	4	\image\item\other\medicine\food_314_s.spr		36	Cải xào chung với tỏi, món ăn của nhà nông. <color=green>Dùng cho luyện cấp.<color>		0	1	1					70	medicine		1	1	5	lifegrow_v	60	32400	managrow_v	60	32400							
Ngọc Trúc Mai Hoa	Ngọc Trúc Mai Hoa (Hủy bỏ)	17	3	2	5	\image\item\other\medicine\food_315_s.spr		36	15 loại vật liệu, cùng 5 hoa mai 5 cánh, cọng thức ăn giống ống sáo, nên có tên như vậy. <color=green>Dùng cho luyện cấp.<color>		0	1	1					90	medicine		1	1	5	lifegrow_v	75	32400	managrow_v	75	32400							
Thừa Tiên Mật (đại)	Thừa Tiên Mật (đại)	17	3	3	3	\image\item\other\medicine\medicine_313_s.spr		36	Thuốc thường, hồi phục nhiều nội lực, sinh lực. <color=green>Dùng cho PK.<color>		0	60	200			1		36	localmedicine		1	1	1	lifepotion_v	180	90	manapotion_v	180	90							
Ngũ Hoa Ngọc Lộ Hoàn	Ngũ Hoa Ngọc Lộ Hoàn	17	3	3	4	\image\item\other\medicine\medicine_315_s.spr		36	Thần dược, hồi phục nhiều nội lực, sinh lực. <color=green>Dùng cho PK.<color>		0	200	200			1		90	localmedicine		1	1	1	lifepotion_v	300	90	manapotion_v	300	90							
Tam Hoa Tán	Tam Hoa Tán	17	4	1	1	\image\item\other\medicine\medicine_411_s.spr		36	Thuốc thường, hồi phục ít thể lực. <color=green>Dùng cho PK.<color>		0	50	200						localmedicine		1	1	1	stamina_v	50	90										
Ích Dương Tán	Ích Dương Tán	17	4	1	2	\image\item\other\medicine\medicine_412_s.spr		36	Thuốc thường, hồi phục một ít thể lực. <color=green>Dùng cho PK.<color>		0	100	200					20	localmedicine		1	1	1	stamina_v	85	90										
Thiên Kim Tán	Thiên Kim Tán	17	4	1	3	\image\item\other\medicine\medicine_413_s.spr		36	Thuốc thường, hồi phục nhiều thể lực. <color=green>Dùng cho PK.<color>		0	250	200					40	localmedicine		1	1	1	stamina_v	125	90										
Bổ Thiên Tán	Bổ Thiên Tán	17	4	1	4	\image\item\other\medicine\medicine_414_s.spr		36	Thuốc cường hiệu, hồi phục rất nhiều thể lực. <color=green>Dùng cho PK.<color>		0	500	200					70	localmedicine		1	1	1	stamina_v	210	90										
Đại Nhật Viêm Dương Tán	Đại Nhật Viêm Dương Tán	17	4	1	5	\image\item\other\medicine\medicine_415_s.spr		36	Thần dược, hồi phục rất nhiều thể lực. <color=green>Dùng cho PK.<color>		0	2000	200					90	localmedicine		1	1	1	stamina_v	400	90										
Thuốc giải độc (tiểu)	Thuốc giải độc (tiểu)	17	5	1	1	\image\item\other\medicine\medicine_511_s.spr		36	Đơn giản, ít tác dụng.		0	50	1						medicine		1	1	1	poisondamagereduce_v		90										
Thuốc giải độc (trung)	Thuốc giải độc (trung)	17	5	1	2	\image\item\other\medicine\medicine_512_s.spr		36	Có chút tác dụng.		0	100	1						medicine		1	1	1	poisondamagereduce_v		90										
Thuốc giải độc (đại)	Thuốc giải độc (đại)	17	5	1	3	\image\item\other\medicine\medicine_513_s.spr		36	Hiệu quả không tồi.		0	250	1						medicine		1	1	1	poisondamagereduce_v		90										
Ngân Kiều Khứ Độc Đơn	Ngân Kiều Khứ Độc Đơn	17	5	1	4	\image\item\other\medicine\medicine_514_s.spr		36	Hiệu quả rất tốt.		0	500	1						medicine		1	1	1	poisondamagereduce_v		90										
Long Diên Hóa Độc Đơn	Long Diên Hóa Độc Đơn	17	5	1	5	\image\item\other\medicine\medicine_515_s.spr		36	Không độc không giải được.		0	2000	1						medicine		1	1	1	poisondamagereduce_v		90										
Hồi Huyết Đơn (tiểu)	Hồi Huyết Đơn (tiểu)	17	6	1	1	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Thuốc chiến trường<color><enter>Thuốc bổ bình thường, có thể hồi phục không ít sinh lực.		0	1	1			1		60	songjinmedicine	songjin	1	1	1	lifepotion_v	400	90										
Hồi Huyết Đơn (trung)	Hồi Huyết Đơn (trung)	17	6	1	2	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Thuốc chiến trường<color><enter>Thuốc bổ cường hiệu, có thể hồi phục nhiều sinh lực.		0	1	1			1		90	songjinmedicine	songjin	1	1	1	lifepotion_v	500	90										
Hồi Huyết Đơn (đại)	Hồi Huyết Đơn (đại)	17	6	1	3	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Thuốc chiến trường<color><enter>Đại bổ thần dược, có thể hồi phục rất nhiều sinh lực.		0	1	1			1		120	songjinmedicine	songjin	1	1	1	lifepotion_v	600	90										
Hồi Nội Đơn (tiểu)	Hồi Nội Đơn (tiểu)	17	6	2	1	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Thuốc chiến trường<color><enter>Thuốc bổ bình thường, có thể hồi phục không ít nội lực.		0	1	1			1		60	songjinmedicine	songjin	1	1	1	manapotion_v	400	90										
Hồi Nội Đơn (trung)	Hồi Nội Đơn (trung)	17	6	2	2	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Thuốc chiến trường<color><enter>Thuốc bổ cường hiệu, có thể hồi phục nhiều nội lực.		0	1	1			1		90	songjinmedicine	songjin	1	1	1	manapotion_v	500	90										
Hồi Nội Đơn (đại)	Hồi Nội Đơn (đại)	17	6	2	3	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Thuốc chiến trường<color><enter>Đại bổ thần dược, có thể hồi phục rất nhiều nội lực.		0	1	1			1		120	songjinmedicine	songjin	1	1	1	manapotion_v	600	90										
Càn Khôn Tạo Hóa Hoàn (tiểu)	Càn Khôn Tạo Hóa Hoàn (tiểu)	17	6	3	1	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Thuốc chiến trường<color><enter>Thuốc bổ bình thường, có thể đồng thời hồi phục không ít sinh lực và nội lực.		0	1	1			1		60	songjinmedicine	songjin	1	1	1	lifepotion_v	240	90	manapotion_v	240	90							
Càn Khôn Tạo Hóa Hoàn (trung)	Càn Khôn Tạo Hóa Hoàn (trung)	17	6	3	2	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Thuốc chiến trường<color><enter>Thuốc bổ cường hiệu, có thể đồng thời hồi phục nhiều sinh lực và nội lực.		0	1	1			1		90	songjinmedicine	songjin	1	1	1	lifepotion_v	300	90	manapotion_v	300	90							
Càn Khôn Tạo Hóa Hoàn (đại)	Càn Khôn Tạo Hóa Hoàn (đại)	17	6	3	3	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Thuốc chiến trường<color><enter>Đại bổ thần dược, có thể đồng thời hồi phục rất nhiều sinh lực và nội lực.		0	1	1			1		120	songjinmedicine	songjin	1	1	1	lifepotion_v	360	90	manapotion_v	360	90							
Hồi Huyết Lãnh Thổ Đơn (tiểu)		17	7	1	1	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Thuốc Tranh đoạt lãnh thổ<color><enter>Thuốc bổ bình thường, có thể hồi phục không ít sinh lực.<enter>Chỉ trong trạng thái chinh chiến mới sử dụng được		0	1	1			1		50	domainmedicine		1	1	1	lifepotion_v	400	90										
Hồi Huyết Lãnh Thổ Đơn (trung)		17	7	1	2	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Thuốc Tranh đoạt lãnh thổ<color><enter>Thuốc bổ cường hiệu, có thể hồi phục nhiều sinh lực.<enter>Chỉ trong trạng thái chinh chiến mới sử dụng được		0	1	1			1		50	domainmedicine		1	1	1	lifepotion_v	500	90										
Hồi Huyết Lãnh Thổ Đơn (đại)		17	7	1	3	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Thuốc Tranh đoạt lãnh thổ<color><enter>Đại bổ thần dược, có thể hồi phục rất nhiều sinh lực.<enter>Chỉ trong trạng thái chinh chiến mới sử dụng được		0	1	1			1		50	domainmedicine		1	1	1	lifepotion_v	600	90										
Hồi Nội Lãnh Thổ Đơn (tiểu)		17	7	2	1	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Thuốc Tranh đoạt lãnh thổ<color><enter>Thuốc bổ bình thường, có thể hồi phục không ít nội lực.<enter>Chỉ trong trạng thái chinh chiến mới sử dụng được		0	1	1			1		50	domainmedicine		1	1	1	manapotion_v	400	90										
Hồi Nội Lãnh Thổ Đơn (trung)		17	7	2	2	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Thuốc Tranh đoạt lãnh thổ<color><enter>Thuốc bổ cường hiệu, có thể hồi phục nhiều nội lực.<enter>Chỉ trong trạng thái chinh chiến mới sử dụng được		0	1	1			1		50	domainmedicine		1	1	1	manapotion_v	500	90										
Hồi Nội Lãnh Thổ Đơn (đại)		17	7	2	3	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Thuốc Tranh đoạt lãnh thổ<color><enter>Đại bổ thần dược, có thể hồi phục rất nhiều nội lực.<enter>Chỉ trong trạng thái chinh chiến mới sử dụng được		0	1	1			1		50	domainmedicine		1	1	1	manapotion_v	600	90										
Càn Khôn Lãnh Thổ Hoàn (tiểu)		17	7	3	1	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Thuốc Tranh đoạt lãnh thổ<color><enter>Thuốc bổ bình thường, có thể đồng thời hồi phục không ít sinh lực và nội lực.<enter>Chỉ trong trạng thái chinh chiến mới sử dụng được		0	1	1			1		50	domainmedicine		1	1	1	lifepotion_v	240	90	manapotion_v	240	90							
Càn Khôn Lãnh Thổ Hoàn (trung)		17	7	3	2	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Thuốc Tranh đoạt lãnh thổ<color><enter>Thuốc bổ cường hiệu, có thể đồng thời hồi phục nhiều sinh lực và nội lực.<enter>Chỉ trong trạng thái chinh chiến mới sử dụng được		0	1	1			1		50	domainmedicine		1	1	1	lifepotion_v	300	90	manapotion_v	300	90							
Càn Khôn Lãnh Thổ Hoàn (đại)		17	7	3	3	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Thuốc Tranh đoạt lãnh thổ<color><enter>Đại bổ thần dược, có thể đồng thời hồi phục rất nhiều sinh lực và nội lực.<enter>Chỉ trong trạng thái chinh chiến mới sử dụng được		0	1	1			1		50	domainmedicine		1	1	1	lifepotion_v	360	90	manapotion_v	360	90							
Tiêu Dao Hồi Huyết Đơn (tiểu)	Hồi Huyết Đơn (tiểu)	17	8	1	1	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Dùng trong Tiêu Dao Cốc<color><enter>Có thể hồi phục không ít Sinh lực.		0	1	1			1		80	medicine	xoyomedicine	1	1	1	lifepotion_v	400	90										
Tiêu Dao Hồi Huyết Đơn (trung)	Hồi Huyết Đơn (trung)	17	8	1	2	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Dùng trong Tiêu Dao Cốc<color><enter>Có thể hồi phục rất nhiều Sinh lực.		0	1	1			1		90	medicine	xoyomedicine	1	1	1	lifepotion_v	500	90										
Tiêu Dao Hồi Huyết Đơn (đại)	Hồi Huyết Đơn (đại)	17	8	1	3	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Dùng trong Tiêu Dao Cốc<color><enter>Có thể hồi phục lượng lớn Sinh lực.		0	1	1			1		110	medicine	xoyomedicine	1	1	1	lifepotion_v	600	90										
Tiêu Dao Hồi Nội Đơn (tiểu)	Hồi Nội Đơn (tiểu)	17	8	2	1	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Dùng trong Tiêu Dao Cốc<color><enter>Có thể hồi phục không ít Nội lực.		0	1	1			1		80	medicine	xoyomedicine	1	1	1	manapotion_v	400	90										
Tiêu Dao Hồi Nội Đơn (trung)	Hồi Nội Đơn (trung)	17	8	2	2	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Dùng trong Tiêu Dao Cốc<color><enter>Có thể hồi phục rất nhiều Nội lực.		0	1	1			1		90	medicine	xoyomedicine	1	1	1	manapotion_v	500	90										
Tiêu Dao Hồi Nội Đơn (đại)	Hồi Nội Đơn (đại)	17	8	2	3	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Dùng trong Tiêu Dao Cốc<color><enter>Có thể hồi phục lượng lớn Nội lực.		0	1	1			1		110	medicine	xoyomedicine	1	1	1	manapotion_v	600	90										
Tiêu Dao Càn Khôn Tạo Hóa Hoàn (tiểu)	Càn Khôn Tạo Hóa Hoàn (tiểu)	17	8	3	1	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Dùng trong Tiêu Dao Cốc<color><enter>Đồng thời hồi phục không ít Sinh lực và Nội lực.		0	1	1			1		80	medicine	xoyomedicine	1	1	1	lifepotion_v	240	90	manapotion_v	240	90							
Tiêu Dao Càn Khôn Tạo Hóa Hoàn (trung)	Càn Khôn Tạo Hóa Hoàn (trung)	17	8	3	2	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Dùng trong Tiêu Dao Cốc<color><enter>Đồng thời hồi phục rất nhiều Sinh lực và Nội lực.		0	1	1			1		90	medicine	xoyomedicine	1	1	1	lifepotion_v	300	90	manapotion_v	300	90							
Tiêu Dao Càn Khôn Tạo Hóa Hoàn (đại)	Càn Khôn Tạo Hóa Hoàn (đại)	17	8	3	3	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Dùng trong Tiêu Dao Cốc<color><enter>Đồng thời hồi phục lượng lớn Sinh lực và Nội lực.		0	1	1			1		110	medicine	xoyomedicine	1	1	1	lifepotion_v	360	90	manapotion_v	360	90							
Tiêu Dao Hồi Huyết Đơn (giản)	Hồi Huyết Đơn (giản)	17	8	1	5	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Dùng trong Tiêu Dao Cốc<color><enter>Có thể hồi phục không ít Sinh lực.		0	1	1			1		30	medicine	xoyomedicine	1	1	1	lifepotion_v	300	90										
Tiêu Dao Hồi Nội Đơn (giản)	Hồi Nội Đơn (giản)	17	8	2	5	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Dùng trong Tiêu Dao Cốc<color><enter>Có thể hồi phục không ít Nội lực.		0	1	1			1		30	medicine	xoyomedicine	1	1	1	manapotion_v	300	90										
Tiêu Dao Càn Khôn Tạo Hóa Hoàn (giản)	Càn Khôn Tạo Hóa Hoàn (giản)	17	8	3	5	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Dùng trong Tiêu Dao Cốc<color><enter>Đồng thời hồi phục không ít Sinh lực và Nội lực.		0	1	1			1		30	medicine	xoyomedicine	1	1	1	lifepotion_v	180	90	manapotion_v	180	90							
Cửu Chuyển Hoàn Hồn Đơn	Cửu Chuyển Hoàn Hồn Đơn	17	9	1	5	\image\item\other\medicine\medicine_115_s.spr		36	Thần dược, hồi phục nhiều sinh lực. <color=green>Dùng cho PK.<color>		0	80	1					90	medicine		1	1	1	lifepotion_v	500	90										
Linh Chi Tục Mệnh Hoàn	Linh Chi Tục Mệnh Hoàn	17	9	1	6	\image\item\other\medicine\medicine_116_s.spr		36	Thần dược, có thể khởi tử hồi sinh. <color=green>Dùng cho PK.<color>		0	480	1					100	medicine		1	1	1	lifepotion_v	650	90										
Thủ Ô Hoàn Thần Đơn	Thủ Ô Hoàn Thần Đơn	17	9	2	5	\image\item\other\medicine\medicine_215_s.spr		36	Thần dược, hồi phục nhiều nội lực. <color=green>Dùng cho PK.<color>		0	80	1					90	medicine		1	1	1	manapotion_v	500	90										
Tuyết Tham Phản Khí Hoàn	Tuyết Tham Phản Khí Hoàn	17	9	2	6	\image\item\other\medicine\medicine_216_s.spr		36	Thần dược, có thể hồi phục tinh khí. <color=green>Dùng cho PK.<color>		0	480	1					100	medicine		1	1	1	manapotion_v	650	90										
Ngũ Hoa Ngọc Lộ Hoàn	Ngũ Hoa Ngọc Lộ Hoàn	17	9	3	5	\image\item\other\medicine\medicine_315_s.spr		36	Thần dược, hồi phục nhiều nội lực, sinh lực. <color=green>Dùng cho PK.<color>		0	80	1					90	medicine		1	1	1	lifepotion_v	300	90	manapotion_v	300	90							
Dao Trì Đại Hoàn Đơn	Dao Trì Đại Hoàn Đơn	17	9	3	6	\image\item\other\medicine\medicine_316_s.spr		36	Thần dược, có thể hồi phục nhanh nội lực, sinh lực. <color=green>Dùng cho PK.<color>		0	480	1					100	medicine		1	1	1	lifepotion_v	390	90	manapotion_v	390	90							
Ngọc Trúc Mai Hoa (tuần)	Ngọc Trúc Mai Hoa (Hủy bỏ)	17	3	2	6	\image\item\other\medicine\food_315_s.spr		36	15 loại vật liệu, cùng 5 hoa mai 5 cánh, cọng thức ăn giống ống sáo, nên có tên như vậy. <color=green>Dùng cho luyện cấp.<color>		0	1	1					90	medicine		1	1	5	lifegrow_v	75	10886400	managrow_v	75	10886400							
Ngọc Trúc Mai Hoa (tháng)	Ngọc Trúc Mai Hoa (Hủy bỏ)	17	3	2	7	\image\item\other\medicine\food_315_s.spr		36	15 loại vật liệu, cùng 5 hoa mai 5 cánh, cọng thức ăn giống ống sáo, nên có tên như vậy. <color=green>Dùng cho luyện cấp.<color>		0	1	1					90	medicine		1	1	5	lifegrow_v	75	46656000	managrow_v	75	46656000							
Tiêu Dao Hồi Huyết Đơn (tiểu)	Hồi Huyết Đơn (tiểu)	17	8	1	4	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Dùng trong Tiêu Dao Cốc<color><enter>Có thể hồi phục sinh lực.		0	1	1			1		50	medicine	xoyomedicine	1	1	1	lifepotion_v	200	90										
Tiêu Dao Hồi Nội Đơn (tiểu)	Hồi Nội Đơn (tiểu)	17	8	2	4	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Dùng trong Tiêu Dao Cốc<color><enter>Có thể hồi phục nội lực		0	1	1			1		50	medicine	xoyomedicine	1	1	1	manapotion_v	200	90										
Tiêu Dao Càn Khôn Tạo Hóa Hoàn (tiểu)	Càn Khôn Tạo Hóa Hoàn (tiểu)	17	8	3	4	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Dùng trong Tiêu Dao Cốc<color><enter>Có thể đồng thời hồi phục nội lực và sinh lực		0	1	1			1		50	medicine	xoyomedicine	1	1	1	lifepotion_v	120	90	manapotion_v	120	90							
Ngũ Hoa Ngọc Lộ Hoàn	Ngũ Hoa Ngọc Lộ Hoàn	17	10	1	1	\image\item\other\medicine\medicine_315_s.spr		36	Thần dược, hồi phục nhiều nội lực, sinh lực. <color=green>Dùng cho PK.<color>		0	0	1					90	medicine		1	1	1	lifepotion_v	300	90	manapotion_v	300	90							
