Name	Genre	DetailType	ParticularType	Level	Bind	SellBindMoney
¡¾±¦Îï¿¨¡¿Æß²ÊÏÉµ¤	18	1	313	28		4500
¡¾ÃØ±¦¿¨¡¿Ð°Áé	18	1	313	29		5000
¡¾ÃØ±¦¿¨¡¿Ê¥ºÛ	18	1	313	30		5000
¡¾ÃØ±¦¿¨¡¿±ùÁ«	18	1	313	31		5000
¡¾´³¹Ø¿¨¡¿ÖÇÓÂË«È«	18	1	313	32		3000
¡¾´³¹Ø¿¨¡¿ÉßÎÑÍÑÏÕ	18	1	313	33		3000
¡¾´³¹Ø¿¨¡¿ÖúÈËÎªÀÖ	18	1	313	34		3000
¡¾´³¹Ø¿¨¡¿ºóÉú¿ÉÎ·	18	1	313	35		4000
¡¾´³¹Ø¿¨¡¿ÌÓÍÑ´óÊ¦	18	1	313	36		5000
¡¾»÷É±¿¨¡¿»ú¹Ø¸«ÊÖ	18	1	313	37		2000
¡¾»÷É±¿¨¡¿ÅÑ¾üÍ³Áì	18	1	313	38		2500
¡¾»÷É±¿¨¡¿¹ûÅ©	18	1	313	39		2000
¡¾»÷É±¿¨¡¿»ú¹Ø¾ÞÀÇ	18	1	313	40		3500
¡¾»÷É±¿¨¡¿Ç¿µÁÍ·Áì	18	1	313	41		4000
¡¾»÷É±¿¨¡¿Íú²Æ	18	1	313	42		2500
¡¾ÃØ±¦¿¨¡¿Ô¹Áé	18	1	313	43		5000
¡¾ÃØ±¦¿¨¡¿Ñ©¾§Ê¯	18	1	313	44		5000
¡¾´³¹Ø¿¨¡¿´ËµØÎÞÒø	18	1	313	45		3000
¡¾´³¹Ø¿¨¡¿»¤»¨Ê¹Õß	18	1	313	46		2500
¡¾´³¹Ø¿¨¡¿É±³öÖØÎ§	18	1	313	47		3000
¡¾´³¹Ø¿¨¡¿ºï¿Ú¶áÊ³	18	1	313	48		3000
¡¾»÷É±¿¨¡¿ÕÅµÂºã	18	1	313	49		3000
¡¾´³¹Ø¿¨¡¿¼¼¸ßÒ»³ï	18	1	313	50		2500
¡¾´³¹Ø¿¨¡¿Í¯ÐÄÎ´ãý	18	1	313	51		3000
¡¾´³¹Ø¿¨¡¿ÓÂ¹ÚÈý¾ü	18	1	313	52		3000
¡¾ÌØÊâ¿¨¡¿±ä»Ã	18	1	314	1		5000
¡¾´³¹Ø¿¨¡¿ÖØÕñ¾üÍþ	18	1	313	53		3000
¡¾´³¹Ø¿¨¡¿ËÀÀïÌÓÉú	18	1	313	54		6000
¡¾»÷É±¿¨¡¿±¦Óñ	18	1	313	55		5000
¡¾»÷É±¿¨¡¿ÝºÝº	18	1	313	56		4000
¡¾»÷É±¿¨¡¿»ðÅî´º	18	1	313	57		6000
¡¾»÷É±¿¨¡¿·çÑ©Çç	18	1	313	58		6000
¡¾»÷É±¿¨¡¿Ä½ÈÝËØ	18	1	313	59		6000
¡¾»÷É±¿¨¡¿Ð»ÎÞ¼É	18	1	313	60		6000
¡¾»÷É±¿¨¡¿Òø»¨ÆÅÆÅ	18	1	313	61		7000
¡¾»÷É±¿¨¡¿Ï²¶à¶à	18	1	313	62		6000
¡¾»÷É±¿¨¡¿º«µ¤	18	1	313	63		6000
¡¾»÷É±¿¨¡¿Ö£Óê»ª	18	1	313	64		7000
¡¾»÷É±¿¨¡¿Ò¶è¯	18	1	313	65		7000
¡¾´³¹Ø¿¨¡¿Ô¡»ðÖØÉú	18	1	313	66		7000
¡¾»÷É±¿¨¡¿¶À¹Â½£	18	1	313	67		8000
