Id	Name	LocalName	ModuleType	ExParam	ParamList	ParamExplainList	ExampleDesc
15	CheckFaction	检查门派	default,npc_getaward,item_useitem,action_finishtask	2	factionid,message,eventpartid	门派,不满足条件提示,跳转事件Id	参数1:门派(0-- 无门派;1-- 少林;2-- 天王;3-- 唐门;4-- 五毒;5-- 峨嵋;6-- 翠烟;7-- 丐帮;8-- 天忍;9-- 武当;10-- 昆仑;11-- 明教;12-- 大理段氏;13-- 任何门派)<enter>参数2:提示信息<enter>参数3:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckFaction:1,"必须是天王才能参加" (门派Id为1为天王,检查玩家是否是天王,如果不是则返回提示信息)
16	CheckFreeBag	检查背包空间	default,npc_getaward,item_useitem,action_finishtask	2	int,message,eventpartid	要求空闲空间,不满足条件提示,跳转事件Id	参数1:需要背包空格<enter>参数2:提示信息<enter>参数3:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckFreeBag:2,"必须需要2格背包空间" (判断背包空间是否达到条件)
17	CheckGTask	[全局]检查任务变量大于	default,npc_getaward,item_useitem,action_finishtask	2	int,int,int,message,eventpartid	任务变量组,任务变量,比较的值,大于等于时提示,跳转事件Id	参数1:任务变量组;<enter>参数2:任务变量<enter>参数3:对比值(必须小于该值才能满足条件)<enter>参数4:提示信息<enter>参数5:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckTask:1000,51,5,"最多5次" (任务变量大于等于5则返回提示信息)
18	CheckGTaskCurTime	[全局]与当前时间判断	default,npc_getaward,item_useitem,action_finishtask	2	int,int,int,int,message,eventpartid	任务变量组,任务变量,时间(秒),判断类型,不满足条件提示,跳转事件Id	参数1:任务变量组;<enter>参数2:任务变量（记录时间）<enter>参数3:对比值（单位秒）<enter>参数4:判断类型（0为小于,1为大于）<enter>参数5:提示信息<enter>参数6:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例:CheckTaskCurTime:1000,51,60,0,"要相隔60秒才行." (变量存的时间是否小于当前时间;0为小于,1为大于)
19	CheckGTaskDay	[全局]检查任务变量（每天N次）	default,npc_getaward,item_useitem,action_finishtask	2	int,int,int,int,message,eventpartid	比较的值,任务变量组,记录次数任务变量,记录日期任务变量,不满足条件提示,跳转事件Id	参数1:对比值<enter>参数2:任务变量组;<enter>参数3:任务变量（记录次数）<enter>参数4:任务变量（记录天）<enter>参数5:提示信息<enter>参数6:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckTaskDay:5,1000,51,52,"每天只能5次" (51记录今天次数,52变量记录今天,51变量大于>=5则返还提示信息)
20	CheckGTaskEq	[全局]检查任务变量等于	default,npc_getaward,item_useitem,action_finishtask	2	int,int,int,message,eventpartid	任务变量组,任务变量,比较的值,不相等时提示,跳转事件Id	参数1:任务变量组;<enter>参数2:任务变量<enter>参数3:等于的值<enter>参数4:提示信息<enter>参数5:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckTaskEq:1000,51,0,"已参加过" (51号任务变量不等于0则返回提示信息)
21	CheckGTaskGotoEvent	[全局]判断跳到到另个事件	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	2	int,int,int,int,eventpartid	任务变量组,任务变量,比较值,判断类型,跳转事件Id	参数1:任务变量组;<enter>参数2:任务变量<enter>参数3:与参数1任务变量的比较值<enter>参数4:比较类型(0为等，1为小于，2为大于)<enter>参数5:当前面参数达到要求则跳转到当前大活动下几号事件（即该事件由本项触发）<enter>例:CheckTaskGotoEvent:1000,53,1,0,5 (如果53变量等于1则跳到5号事件，0为等，1为小于，2为大于)
22	CheckGTaskLt	[全局]检查任务变量小于	default,npc_getaward,item_useitem,action_finishtask	2	int,int,int,message,eventpartid	任务变量组,任务变量,比较的值,小于时提示,跳转事件Id	参数1:任务变量组;<enter>参数2:任务变量<enter>参数3:对比值(必须大于该值才能满足条件)<enter>参数4:提示信息<enter>参数5:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckTask:1000,51,5,"要达到5次才行" (51号任务变量小于5则返回提示信息)
23	CheckInMapLevel	检查是否在哪个等级地图	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem	2	int,int,message,eventpartid	地图等级,判断类型,不满足条件提示,跳转事件Id	参数1:地图等级<enter>参数2:类型(0-达到要求等级的地图，1-等于要求等级的地图，2-低于要求等级的地图)<enter>参数3:提示信息<enter>参数4:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckInMapLevel:50,0,"必须在50级及50级以上地图" 或 CheckInMapLevel:50,1,"必须在50级地图" 或 CheckInMapLevel:50,2,"必须在50级以下的地图"
24	CheckInMapType	检查是否在哪类地图	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem	2	maptype,int,message,eventpartid	地图类型,判断类型,不满足条件提示,跳转事件Id	参数1:地图类型,查看maplist.txt表的MapType列<enter>参数2:类型(0-在要求类型的地图,1不在要求类型的地图)<enter>参数3:提示信息<enter>参数4:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckInMapType:"fight",0,"必须在野外地图" 或 CheckInMapType:"fight",1,"必须不在野外地图"
25	CheckItemInAll	检查物品是否在背包和储物箱	default,npc_getaward,item_useitem,action_finishtask	2	itemstring,int,int,message,eventpartid	物品GDPL,数量要求,是否需要,不满足条件提示,跳转事件Id	参数1:物品的G,D,P,L;<enter>参数2:数量要求;<enter>参数3:是否需要(0-需要，1-不需要);<enter>参数4:提示信息<enter>参数5:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckItemInAll:"18,1,1,1",2,0,"你身上或仓库没有2个1玄。" 或 CheckItemInAll:"18,1,1,1",2,1,"你身上或仓库已经有2个1玄。"
26	CheckItemInBag	检查物品是否在背包	default,npc_getaward,item_useitem,action_finishtask	2	itemstring,int,int,message,eventpartid	物品GDPL,数量要求,是否需要,不满足条件提示,跳转事件Id	参数1:物品的G,D,P,L<enter>参数2:数量要求;<enter>参数3:是否需要(0-需要，1-不需要);<enter>参数4:提示信息<enter>参数5:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckItemInBag:"18,1,1,1",2,0,"你身上没有2个1玄。" 或 CheckItemInBag:"18,1,1,1",2,1,"你身上已经有2个1玄。"
27	CheckLevel	检查等级	default,npc_getaward,item_useitem,action_finishtask,boss_dropitem	2	int,message,eventpartid	等级,不满足条件提示,跳转事件Id	参数1:要求达到等级<enter>参数2:提示信息<enter>参数3:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckLevel:60,"要达到60级才行" (等级未达到60则返回提示信息)
28	CheckLuaScript	自定义检查脚本	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	2	luascript,eventpartid	自定义脚本代码,跳转事件Id	参数1:Lua脚本代码<enter>返回值1: 0为检查通过,1为检查不通过,2为检查通过但不往下执行下面参数<enter>返回值2:不通过时提示信息<enter>参数2:当该项>0时,则不满足条件时直接跳转到指定事件<enter>
29	CheckMoneyHonor	检查财富荣誉值	default,npc_getaward,item_useitem,action_finishtask	2	int,message,eventpartid	财富荣誉值,没达到值提示,跳转事件Id	参数1:财富荣誉值;<enter>参数2:没达到值提示<enter>参数3:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckMoneyHonor:1000,"财富荣誉必须达到1000点",0
30	CheckMoneyMax	检查银两是否达上限	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	2	int,message,int	可装下银两数量,不满足提示,跳转事件Id	参数1:绑银数量;<enter>参数2:提示信息<enter>参数3:当该项>0时,则不满足条件时直接跳转到指定事件<enter>
31	CheckMonthPay	检查每月累计充值	default,npc_getaward,item_useitem,action_finishtask	2	int,message,eventpartid	本月累计充值额,不满足条件提示,跳转事件Id	参数1:要求达到本月累计充值额（单位元）<enter>参数2:提示信息<enter>参数3:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckMonthPay:100,"本月累计充值必须达100元" (判断累计充值是否达到条件)
32	CheckNpcAtNear	检查某个npc是否在附近	default,npc_getaward,item_useitem,action_finishtask	2	int,int,message,eventpartid	对话Npc模版ID,是否属于我的,不满足条件提示,跳转事件Id	参数1:npc模版Id<enter>参数2:npc属于(0所有人,1属于自己的，npc会标上自己的名字)<enter>参数3:提示信息<enter>参数4:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckNpcAtNear:1000,1,"ID为1000的属于我的npc不在我附近" 或 CheckNpcAtNear:1000,0,"ID为1000的npc不在我附近"
33	CheckNpcTaskEq	Npc变量等于	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	2	string,int,message	变量名,对比值,不等于时提示	Npc变量存在npc上,当npc消失或者死亡时变量将会清除;
34	CheckNpcTaskGt	Npc变量大于	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	2	string,int,message	变量名,对比值,不大于时提示	Npc变量存在npc上,当npc消失或者死亡时变量将会清除;
35	CheckNpcTaskLt	Npc变量小于	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	2	string,int,message	变量名,对比值,不小于时提示	Npc变量存在npc上,当npc消失或者死亡时变量将会清除;
36	CheckSex	检查性别	default,npc_getaward,item_useitem,action_finishtask	2	sex,message,eventpartid	性别,不满足条件提示,跳转事件Id	参数1:性别(0男，1女)<enter>参数2:提示信息<enter>参数3:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckSex:0,"必须是男性玩家" (不满足要求则返回提示)
37	CheckTask	检查任务变量大于等于	default,npc_getaward,item_useitem,action_finishtask	2	task,int,message,eventpartid	任务变量,比较的值,大于等于时提示,跳转事件Id	参数1:任务变量<enter>参数2:对比值(必须小于该值才能满足条件)<enter>参数3:提示信息<enter>参数4:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckTask:51,5,"最多5次" (51号任务变量大于等于5则返回提示信息)
38	CheckTaskCurTime	与当前时间判断	default,npc_getaward,item_useitem,action_finishtask	2	task,int,int,message,eventpartid	任务变量,时间(秒),判断类型,不满足条件提示,跳转事件Id	参数1:任务变量（记录时间）<enter>参数2:对比值（单位秒）<enter>参数3:判断类型（0为小于,1为大于）<enter>参数4:提示信息<enter>参数5:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例:CheckTaskCurTime:51,60,0,"要相隔60秒才行." (51号存的时间是否小于当前时间;0为小于,1为大于)
39	CheckTaskDay	检查任务变量（每天N次）	default,npc_getaward,item_useitem,action_finishtask	2	int,task,task,message,eventpartid	比较的值,记录次数任务变量,记录日期任务变量,不满足条件提示,跳转事件Id	参数1:对比值<enter>参数2:任务变量（记录次数）<enter>参数3:任务变量（记录天）<enter>参数4:提示信息<enter>参数5:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckTaskDay:5,51,52,"每天只能5次" (51记录今天次数,52变量记录今天,51变量大于>=5则返还提示信息)
40	CheckTaskEq	检查任务变量等于	default,npc_getaward,item_useitem,action_finishtask	2	task,int,message,eventpartid	任务变量,比较的值,不相等时提示,跳转事件Id	参数1:任务变量<enter>参数2:等于的值<enter>参数3:提示信息<enter>参数4:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckTaskEq:51,0,"已参加过" (51号任务变量不等于0则返回提示信息)
41	CheckTaskGotoEvent	判断跳到到另个事件	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	2	task,int,int,eventpartid	任务变量,比较值,判断类型,跳转事件Id	参数1:任务变量<enter>参数2:与参数1任务变量的比较值<enter>参数3:比较类型(0为等，1为小于，2为大于)<enter>参数4:当前面参数达到要求则跳转到当前大活动下几号事件（即该事件由本项触发）<enter>例:CheckTaskGotoEvent:53,1,0,5 (如果53变量等于1则跳到5号事件，0为等，1为小于，2为大于)
42	CheckTaskLt	检查任务变量小于	default,npc_getaward,item_useitem,action_finishtask	2	task,int,message,eventpartid	任务变量,比较的值,小于时提示,跳转事件Id	参数1:任务变量<enter>参数2:对比值(必须大于该值才能满足条件)<enter>参数3:提示信息<enter>参数4:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckTask:51,5,"要达到5次才行" (51号任务变量小于5则返回提示信息)
43	CheckWeek	检查星期几	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	2	week,message,eventpartid	星期几(0-6),不满足条件提示,跳转事件Id	参数1:周几(0-6,为周日)<enter>参数2:提示信息<enter>参数3:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckWeek:1,"现在不是周1,不能参加活动" (必须满足周几才能参加活动, 周表示:0-6)
44	CheckWeiWang	检查江湖威望	default,npc_getaward,item_useitem,action_finishtask	2	int,message,eventpartid	江湖威望,不满足条件提示,跳转事件Id	参数1:要求达到的江湖威望<enter>参数2:提示信息<enter>参数3:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckWeiWang:100,"江湖威望必须达100点" (判断江湖威望是否达到条件)
45	AddBaseExp	增加基准经验	default,npc_getaward,item_useitem,action_finishtask	3	int,int	基准经验,时间类型	参数1:基准经验<enter>参数2:单位（0为单位分钟,1为单位秒）<enter>例子:AddBaseExp:30,0 (增加30分钟基准经验,0为单位分钟,1为单位秒)
46	AddBaseMoney	增加生产效率货币	default,npc_getaward,item_useitem,action_finishtask	3	int,cointype,int	货币数值,货币类型,最大上限值	参数1:数值(生存效率百分比*该数值)<enter>参数2:货币类型(货币类型：1为银两，3为魂石，7为绑银; 百分比：100%为原价)<enter>参数3:上限值,按生产效率算出的值最大上限不能超过上限值,超过将按上限值给予(0为不限制)
47	AddBindCoin	增加绑定金币	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	3	int	绑定金币数量	参数1:绑定金币数量
48	AddBindMoney	增加绑定银两	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	3	int	绑定银两数量	参数1:绑定银两数量
49	AddBuyHeShiBiSum	增加金币购买和氏璧机会	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	3	int	增加次数	参数1:次数，可以累计;
50	AddExp	增加经验值	default,npc_getaward,item_useitem,action_finishtask	3	int	经验值	参数1:经验值<enter>例子:AddExp:10000 (增加10000经验值)
51	AddExt	增加每月扩展点项	default,npc_getaward,item_useitem,action_finishtask	3	int	扩展点增加值	参数1:记录每月扩展点加1<enter>例子AddExt:1
52	AddFactionExSum	增加门派辅修机会	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	3	int	增加次数	参数1:次数，可以累计;
53	AddGTask	[全局]增加任务变量值	default,npc_getaward,item_useitem,action_finishtask	3	int,int,int	任务变量组,任务变量,增加值	参数1:任务变量组;<enter>参数2:任务变量<enter>参数3:增加值<enter>例子:AddTask:1000,51,2 (51号任务变量值加2)
54	AddGTaskDay	[全局]增加任务变量每天次数值	default,npc_getaward,item_useitem,action_finishtask	3	int,int,int	任务变量组,任务变量,任务变量	参数1:任务变量组;<enter>参数2:任务变量（记录次数）<enter>参数3:任务变量（记录天）<enter>例子:AddTaskDay:1000,51,52 (执行每天能参加的次数赠1,51号任务变量赠1,52号变量记录天)
55	AddItem	获得物品	default,npc_getaward,item_useitem,action_finishtask	3	itemstring,int,int,time	物品GDPL,数量,是否绑定,有效期(分)	参数1:物品的G,D,P,L;<enter>参数2:数量要求;<enter>参数3:绑定(0-不绑定,1-绑定);<enter>参数4:物品有效期，2种格式（格式1:相对时间(分钟)，格式2:绝对时间,清空点击修改选择）<enter>例子:AddItem:"18,1,1,9",2,1,1440 (获得物品,"18,1,1,9"为9玄Id, 2为2个,1为绑定,1440为获得有效期1440分钟)
56	AddMoney	增加银两	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	3	int	银两数量	参数1:银两数量
57	AddNpcInNear	在身边召唤npc	default,npc_getaward,item_useitem,action_finishtask	3	int,int,int,string,string	npcId,存在时间(秒),是否属于召唤者,npc名字,称号	参数1:npc模版Id<enter>参数2:存在时间<enter>参数3:属于（0所有人，1召唤者自己）<enter>参数4:名字,不填按默认<enter>参数5:称号，不填按默认<enter>例子:AddNpcInNear:1000,60,1,\"\",\"\" (存在60秒,1为属于召唤者,0为默认)
58	AddNpcTask	增加Npc变量	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	3	string,int	变量名,增加值	Npc变量存在npc上,当npc消失或者死亡时变量将会清除;
59	AddSkillBuff	获得技能buff	default,npc_getaward,item_useitem,action_finishtask	3	skillid,int,int,int	技能Id,等级,持续时间(分),时间计算类型	参数1:skill.txt表技能Id;<enter>参数2:技能等级;<enter>参数3:持续时间(分钟);<enter>参数4:时间计算类型(1为游戏时间，2为现实时间);<enter>例子:AddSkillBuff:892,1,1440，2 (获得状态,892为状态技能Id, 1为等级, 1440为有效期,单位分钟，实际时间)<enter>892:强化费用减少20%;1336:奇珍阁消费返还20%绑金
60	AddTask	增加任务变量值	default,npc_getaward,item_useitem,action_finishtask	3	task,int	任务变量,增加值	参数1:任务变量<enter>参数2:增加值<enter>例子:AddTask:51,2 (51号任务变量值加2)
61	AddTaskDay	增加任务变量每天次数值	default,npc_getaward,item_useitem,action_finishtask	3	task,task	任务变量,任务变量	参数1:任务变量（记录次数）<enter>参数2:任务变量（记录天）<enter>例子:AddTaskDay:51,52 (执行每天能参加的次数赠1,51号任务变量赠1,52号变量记录天)
62	AddTitle	获得称号	default,npc_getaward,item_useitem,action_finishtask	3	titlestring	称号类型	参数1:称号类别(称号大类,称号小类,称号详细类,称号参数（无填0）)<enter>例子:AddTitle:"3,2,1,0 "(获得称号,4个参数为称号Id值)
63	CoinBuyHeShiBi	用金币购买和氏璧	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	3	string	描述	参数1:无参数,可填写注释信息;
64	DelItem	删除物品	default,npc_getaward,item_useitem,action_finishtask	3	itemstring,int	物品GDPL,数量	参数1:物品的G,D,P,L;<enter>参数2:数量;<enter>例子:DelItem:"18,1,1,8",2 (删除2个8玄)
65	DelLinkUseItem	删除UseItem接口物品	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	3	string	描述信息	参数1:描述信息;<enter>调用该事件,如果是使用物品调用过来的,将会删除该物品.
66	MinusGTask	[全局]减少任务变量值	default,npc_getaward,item_useitem,action_finishtask	3	int,int,int	任务变量组,任务变量,增加值	参数1:任务变量组;<enter>参数2:任务变量<enter>参数3:减少值<enter>例子:MinusTask:1000,51,2 (51号任务变量值减2)
67	MinusTask	减少任务变量值	default,npc_getaward,item_useitem,action_finishtask	3	task,int	任务变量,增加值	参数1:任务变量<enter>参数2:减少值<enter>例子:MinusTask:51,2 (51号任务变量值减2)
68	OpenShop	打开商店	default,npc_getaward,item_useitem	3	shopid,cointype,int	商店编号,货币类型,打折	参数1:shop.txt表种的商店Id号<enter>参数2:货币类型(货币类型：1为银两，3为魂石，7为绑银; 百分比：100%为原价)<enter>参数3:折扣(百分比，原价为100)<enter>例子: OpenShop:100,1,100 
69	SetAwardId	设置普通给予奖励的奖励表中的哪项	default,npc_getaward,item_useitem,action_finishtask	3	awardid	eventaward奖励表Id项	参数1:奖励表项（eventaward.txt中哪项）<enter>例子:SetAwardId:1 (执行奖励表中的第1项内容)(奖励表为eventaward.txt)
70	SetAwardIdUi	设置给予界面奖励的奖励表中的哪项	default,npc_getaward,item_useitem,action_finishtask	3	awardid,eventpartid	eventaward奖励表Id项,交换后执行事件	参数1:奖励表项（eventaward.txt中哪项）<enter>例子:SetAwardIdUi:2 (给予界面执行奖励表中的第2项内容)(奖励表为eventaward.txt)参数2:跳转的事件<enter>例子:SetAwardIdUi:2,2 (给予完成之后执行跳转到第二个，不同于一般跳转，是有延迟的)
71	SetCallNpcId	设置npc召唤表中的哪项	default,action_callnpc	3	callnpcid	eventcallnpc表Id项	参数1:召唤npc表项（eventcallnpc.txt中哪项）<enter>例子:SetCallNpcId:1 (执行召唤npc表中的第一项内容)(表为eventcallnpc.txt)
72	SetDropItemId	设置怪物掉落表中的哪项	default,boss_dropitem	3	dropitemid,int	eventdropitem表Id项,掉落次数	参数1:eventdropitem.txt表中掉落那个Id项<enter>参数2:掉落次数(普通怪1次，精英8次，首领16次)<enter>例子:SetDropItemId:1,10 (怪物死亡时,执行掉落表中的第一项内容,掉落执行次数10次)
73	SetDroprate	设置指向的怪物掉落表	default,boss_dropitem	3	string,int	掉落表路径,掉落次数	参数1:掉落文件路径<enter>参数2:掉落次数(普通怪1次，精英8次，首领16次)<enter>例子:SetDroprate:"\setting\npc\droprate\droprate_10.txt",5 (怪物死亡时,执行\setting\npc\droprate\droprate_10.txt掉落表,执行次数5次)
74	SetExt	设置每月扩展点项(1-2)	default,npc_getaward,item_useitem,action_finishtask	3	int,int	第几位(1-2),扩展点标记值(0或1)	参数1:第几位，只有1－2位可用；<enter>参数2:设置本月扩展参数值(0或1)<enter>例子:SetExt:1,1 (设置每月扩展点第一位为1)<enter>(!!!第3位已用于每月领取江湖威望激活)
75	SetGTask	[全局]设置任务变量	default,npc_getaward,item_useitem,action_finishtask	3	int,int,int	任务变量组,任务变量,设置值	参数1:任务变量组;<enter>参数2:任务变量<enter>参数3:设置值<enter>例子:SetTask:1000,51,2 (51号任务变量设置成2)
76	SetGTaskCurTime	[全局]设置任务变量为现在时间	default,npc_getaward,item_useitem,action_finishtask	3	int,int	任务变量组,任务变量	参数1:任务变量组;<enter>参数2:任务变量<enter>例子:SetTaskCurTime:1000,51 (51变量设为当前时间秒数)
77	SetGTaskMsg	[全局]设置公告(根据任务变量生成)	default,npc_getaward,item_useitem	3	int,message,int,int,int,int,int,int	类型,系统公告内容,任务变量组,任务变量参数1,任务变量参数2,任务变量参数3,任务变量参数4,任务变量参数5	参数1:公告类型(0为左边系统公告，1为Dialog，2为黑色中央字体公告)<enter>参数2:格式类型(format格式)<enter>参数3:任务变量组;<enter>参数4-参数8:foramt所需的参数任务变量<enter>例子:SetTaskMsg:0,"有%s个，已使用%s个。",1000,51,52,0,0,0 
78	SetLayer1Msg	设置第一层描述对话	npc_multdialog	3	message	描述对话内容	参数1:对话信息<enter>例子:SetLayer1Msg:"想了解什么？"(多层对话，第一层描述)
79	SetLayer2Msg	设置第二层选项和对话内容	npc_multdialog	3	message,message	选项名,描述对话内容	参数1:对话选项<enter>参数2:对话信息<enter>例子:SetLayer2Msg:"关于活动","活动是指...."(多层对话，第二层选项和描述);
80	SetLuaScript	自定义执行脚本	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	3	luascript	自定义脚本代码	Lua脚本代码<enter>返回值1: 0为执行完成,1为执行错误 <enter>返回值2:错误时提示信息
81	SetMsg	设置公告	default,npc_getaward,item_useitem,action_finishtask	3	int,message	类型,系统公告内容	参数1:公告类型<enter>参数2:信息内容<enter>例:SetMsg:0,"公告内容"<enter>类型表：<enter>0 - 左边红字系统公告<enter>1 - 对话框Dialog公告<enter>2 - 黑色中央字体公告<enter>3 - 好友公告(无前缀，内容都要自己输入获得名字用<%me.szName%>)<enter>4 - 家族帮会公告(有默认成员名字前缀)<enter>5 - 世界公告
82	SetNpcTask	设置Npc变量	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	3	string,int	变量名,设置值	Npc变量存在npc上,当npc消失或者死亡时变量将会清除;
83	SetTask	设置任务变量	default,npc_getaward,item_useitem,action_finishtask	3	task,int	任务变量,设置值	参数1:任务变量<enter>参数2:设置值<enter>例子:SetTask:51,2 (51号任务变量设置成2)
