Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	UnLockInterval	FightPower
Quan Ấn Thừa Tướng	Quan ấn cấp 7 (Mộc)	1	1	18	2	7	\image\item\equip\guanyin\guanyin7_s.spr	\image\item\equip\guanyin\guanyin7.spr	32			2	1	18000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	5	5			899	899																																																									7	2																																																												20
Quan Ấn Hoàng Đế	Quan ấn cấp 8 (Mộc)	1	1	18	2	8	\image\item\equip\guanyin\guanyin8_s.spr	\image\item\equip\guanyin\guanyin8.spr	32			2	1	42000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	6	6			899	899																																																									7	2																																																												30
Quan Ấn Trí Sự	Quan ấn cấp 1 (Thủy)	1	1	18	3	1	\image\item\equip\guanyin\guanyin1_s.spr	\image\item\equip\guanyin\guanyin1.spr	32			3	1	400000			1	1	chop			allskill_v	1	1			1297	1297																																																																7	3																																																												1
Quan Ấn Tư Mã	Quan ấn cấp 2 (Thủy)	1	1	18	3	2	\image\item\equip\guanyin\guanyin2_s.spr	\image\item\equip\guanyin\guanyin2.spr	32			3	1	600000			1	1	chop			allskill_v	2	2			1297	1297																																																																7	3																																																												2
Quan Ấn Thái Thú	Quan ấn cấp 3 (Thủy)	1	1	18	3	3	\image\item\equip\guanyin\guanyin3_s.spr	\image\item\equip\guanyin\guanyin3.spr	32			3	1	1000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	1	1			899	899																																																									7	3																																																												4
Quan Ấn Thiếu Khanh	Quan ấn cấp 4 (Thủy)	1	1	18	3	4	\image\item\equip\guanyin\guanyin4_s.spr	\image\item\equip\guanyin\guanyin4.spr	32			3	1	3000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	2	2			899	899																																																									7	3																																																												6
Quan Ấn Thượng Khanh	Quan ấn cấp 5 (Thủy)	1	1	18	3	5	\image\item\equip\guanyin\guanyin5_s.spr	\image\item\equip\guanyin\guanyin5.spr	32			3	1	6000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	3	3			899	899																																																									7	3																																																												9
Quan Ấn Quốc Công	Quan ấn cấp 6 (Thủy)	1	1	18	3	6	\image\item\equip\guanyin\guanyin6_s.spr	\image\item\equip\guanyin\guanyin6.spr	32			3	1	10000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	4	4			899	899																																																									7	3																																																												12
Quan Ấn Thừa Tướng	Quan ấn cấp 7 (Thủy)	1	1	18	3	7	\image\item\equip\guanyin\guanyin7_s.spr	\image\item\equip\guanyin\guanyin7.spr	32			3	1	18000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	5	5			899	899																																																									7	3																																																												20
Quan Ấn Hoàng Đế	Quan ấn cấp 8 (Thủy)	1	1	18	3	8	\image\item\equip\guanyin\guanyin8_s.spr	\image\item\equip\guanyin\guanyin8.spr	32			3	1	42000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	6	6			899	899																																																									7	3																																																												30
Quan Ấn Trí Sự	Quan ấn cấp 1 (Hỏa)	1	1	18	4	1	\image\item\equip\guanyin\guanyin1_s.spr	\image\item\equip\guanyin\guanyin1.spr	32			4	1	400000			1	1	chop			allskill_v	1	1			1297	1297																																																																7	4																																																												1
Quan Ấn Tư Mã	Quan ấn cấp 2 (Hỏa)	1	1	18	4	2	\image\item\equip\guanyin\guanyin2_s.spr	\image\item\equip\guanyin\guanyin2.spr	32			4	1	600000			1	1	chop			allskill_v	2	2			1297	1297																																																																7	4																																																												2
Quan Ấn Thái Thú	Quan ấn cấp 3 (Hỏa)	1	1	18	4	3	\image\item\equip\guanyin\guanyin3_s.spr	\image\item\equip\guanyin\guanyin3.spr	32			4	1	1000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	1	1			899	899																																																									7	4																																																												4
Quan Ấn Thiếu Khanh	Quan ấn cấp 4 (Hỏa)	1	1	18	4	4	\image\item\equip\guanyin\guanyin4_s.spr	\image\item\equip\guanyin\guanyin4.spr	32			4	1	3000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	2	2			899	899																																																									7	4																																																												6
Quan Ấn Thượng Khanh	Quan ấn cấp 5 (Hỏa)	1	1	18	4	5	\image\item\equip\guanyin\guanyin5_s.spr	\image\item\equip\guanyin\guanyin5.spr	32			4	1	6000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	3	3			899	899																																																									7	4																																																												9
Quan Ấn Quốc Công	Quan ấn cấp 6 (Hỏa)	1	1	18	4	6	\image\item\equip\guanyin\guanyin6_s.spr	\image\item\equip\guanyin\guanyin6.spr	32			4	1	10000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	4	4			899	899																																																									7	4																																																												12
Quan Ấn Thừa Tướng	Quan ấn cấp 7 (Hỏa)	1	1	18	4	7	\image\item\equip\guanyin\guanyin7_s.spr	\image\item\equip\guanyin\guanyin7.spr	32			4	1	18000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	5	5			899	899																																																									7	4																																																												20
Quan Ấn Hoàng Đế	Quan ấn cấp 8 (Hỏa)	1	1	18	4	8	\image\item\equip\guanyin\guanyin8_s.spr	\image\item\equip\guanyin\guanyin8.spr	32			4	1	42000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	6	6			899	899																																																									7	4																																																												30
Quan Ấn Trí Sự	Quan ấn cấp 1 (Thổ)	1	1	18	5	1	\image\item\equip\guanyin\guanyin1_s.spr	\image\item\equip\guanyin\guanyin1.spr	32			5	1	400000			1	1	chop			allskill_v	1	1			1297	1297																																																																7	5																																																												1
Quan Ấn Tư Mã	Quan ấn cấp 2 (Thổ)	1	1	18	5	2	\image\item\equip\guanyin\guanyin2_s.spr	\image\item\equip\guanyin\guanyin2.spr	32			5	1	600000			1	1	chop			allskill_v	2	2			1297	1297																																																																7	5																																																												2
Quan Ấn Thái Thú	Quan ấn cấp 3 (Thổ)	1	1	18	5	3	\image\item\equip\guanyin\guanyin3_s.spr	\image\item\equip\guanyin\guanyin3.spr	32			5	1	1000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	1	1			899	899																																																									7	5																																																												4
Quan Ấn Thiếu Khanh	Quan ấn cấp 4 (Thổ)	1	1	18	5	4	\image\item\equip\guanyin\guanyin4_s.spr	\image\item\equip\guanyin\guanyin4.spr	32			5	1	3000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	2	2			899	899																																																									7	5																																																												6
Quan Ấn Thượng Khanh	Quan ấn cấp 5 (Thổ)	1	1	18	5	5	\image\item\equip\guanyin\guanyin5_s.spr	\image\item\equip\guanyin\guanyin5.spr	32			5	1	6000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	3	3			899	899																																																									7	5																																																												9
Quan Ấn Quốc Công	Quan ấn cấp 6 (Thổ)	1	1	18	5	6	\image\item\equip\guanyin\guanyin6_s.spr	\image\item\equip\guanyin\guanyin6.spr	32			5	1	10000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	4	4			899	899																																																									7	5																																																												12
Quan Ấn Thừa Tướng	Quan ấn cấp 7 (Thổ)	1	1	18	5	7	\image\item\equip\guanyin\guanyin7_s.spr	\image\item\equip\guanyin\guanyin7.spr	32			5	1	18000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	5	5			899	899																																																									7	5																																																												20
Quan Ấn Hoàng Đế	Quan ấn cấp 8 (Thổ)	1	1	18	5	8	\image\item\equip\guanyin\guanyin8_s.spr	\image\item\equip\guanyin\guanyin8.spr	32			5	1	42000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	6	6			899	899																																																									7	5																																																												30
Hiệp Khách Ấn	Hiệp Khách Ấn	1	1	18	6	1	\image\item\equip\guanyin\guanyin3_s.spr	\image\item\equip\guanyin\guanyin3.spr	32			1	1	1000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	1	1			899	899																																																									7	1																																																												4
Hiệp Khách Ấn	Hiệp Khách Ấn	1	1	18	7	1	\image\item\equip\guanyin\guanyin3_s.spr	\image\item\equip\guanyin\guanyin3.spr	32			2	1	1000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	1	1			899	899																																																									7	2																																																												4
Hiệp Khách Ấn	Hiệp Khách Ấn	1	1	18	8	1	\image\item\equip\guanyin\guanyin3_s.spr	\image\item\equip\guanyin\guanyin3.spr	32			3	1	1000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	1	1			899	899																																																									7	3																																																												4
Hiệp Khách Ấn	Hiệp Khách Ấn	1	1	18	9	1	\image\item\equip\guanyin\guanyin3_s.spr	\image\item\equip\guanyin\guanyin3.spr	32			4	1	1000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	1	1			899	899																																																									7	4																																																												4
Hiệp Khách Ấn	Hiệp Khách Ấn	1	1	18	10	1	\image\item\equip\guanyin\guanyin3_s.spr	\image\item\equip\guanyin\guanyin3.spr	32			5	1	1000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	1	1			899	899																																																									7	5																																																												4
Tôn Vinh Hồi Quy Ấn	Tôn Vinh Hồi Quy Ấn_Hệ Kim	1	1	18	11	1	\image\item\equip\guanyin\guanyin3_s.spr	\image\item\equip\guanyin\guanyin3.spr	32			1	1	1000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	1	1			899	899																																																									7	1																																																												4
Tôn Vinh Hồi Quy Ấn	Tôn Vinh Hồi Quy Ấn_hệ Mộc	1	1	18	12	1	\image\item\equip\guanyin\guanyin3_s.spr	\image\item\equip\guanyin\guanyin3.spr	32			2	1	1000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	1	1			899	899																																																									7	2																																																												4
Tôn Vinh Hồi Quy Ấn	Tôn Vinh Hồi Quy Ấn_Hệ Thủy	1	1	18	13	1	\image\item\equip\guanyin\guanyin3_s.spr	\image\item\equip\guanyin\guanyin3.spr	32			3	1	1000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	1	1			899	899																																																									7	3																																																												4
Tôn Vinh Hồi Quy Ấn	Tôn Vinh Hồi Quy Ấn_Hệ Hỏa	1	1	18	14	1	\image\item\equip\guanyin\guanyin3_s.spr	\image\item\equip\guanyin\guanyin3.spr	32			4	1	1000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	1	1			899	899																																																									7	4																																																												4
Tôn Vinh Hồi Quy Ấn	Tôn Vinh Hồi Quy Ấn_Hệ Thổ	1	1	18	15	1	\image\item\equip\guanyin\guanyin3_s.spr	\image\item\equip\guanyin\guanyin3.spr	32			5	1	1000000			1	1	chop			allskill_v	2	2			1297	1297	allskill_v	1	1			899	899																																																									7	5																																																												4
