Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	ResEffect	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	RideProp1Type	RideProp1PA1Min	RideProp1PA1Max	RideProp1PA2Min	RideProp1PA2Max	RideProp1PA3Min	RideProp1PA3Max	RideProp2Type	RideProp2PA1Min	RideProp2PA1Max	RideProp2PA2Min	RideProp2PA2Max	RideProp2PA3Min	RideProp2PA3Max	RideProp3Type	RideProp3PA1Min	RideProp3PA1Max	RideProp3PA2Min	RideProp3PA2Max	RideProp3PA3Min	RideProp3PA3Max	RideProp4Type	RideProp4PA1Min	RideProp4PA1Max	RideProp4PA2Min	RideProp4PA2Max	RideProp4PA3Min	RideProp4PA3Max	RideProp5Type	RideProp5PA1Min	RideProp5PA1Max	RideProp5PA2Min	RideProp5PA2Max	RideProp5PA3Min	RideProp5PA3Max	RideProp6Type	RideProp6PA1Min	RideProp6PA1Max	RideProp6PA2Min	RideProp6PA2Max	RideProp6PA3Min	RideProp6PA3Max	SkillID1	SkillID2	SkillID3	SkillID4	UnLockInterval
Mã bài (Bôn Tiêu)	Mã bài (Bôn Tiêu)	1	1	12	11	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse011.spr	32	Một trong tám con ngựa của Chu Mục Vương, đêm đi ngàn dặm		0	1	2000000			2		horse	11	11																																																																								5	110																																																											fastwalkrun_p	90	90	-1	-1	0	0	lifemax_v	800	800	-1	-1	0	0	armordefense_v	90	90	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0																			
Mã bài (Phiên Vũ)	Mã bài (Phiên Vũ)	1	1	12	12	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, cưỡi mây đạp gió<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, có thể dùng Vô Hạn Truyền Tống Phù để đến được nhiều nơi hơn		0	1	7200000			2		horse	12	12																																																																								5	120																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	100	100	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417												
Mã bài (Táo Hồng Mã)	Kỳ Trân Các (Táo Hồng Mã)	1	1	12	13	1	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse001.spr	32	Ngựa thường, khắp nơi đều thấy		0	1	2400			2		horse	1	1																																																																								5	30																																																											fastwalkrun_p	30	30	-1	-1	0	0	lifemax_v	100	100	-1	-1	0	0	armordefense_v	20	20	-1	-1	0	0	staminamax_v	20	20	-1	-1	0	0																			
Mã bài (Thanh Mã)	Kỳ Trân Các (Thanh Mã)	1	1	12	14	1	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse002.spr	32	Ngựa thường, khắp nơi đều thấy		0	1	2400			2		horse	2	2																																																																								5	30																																																											fastwalkrun_p	30	30	-1	-1	0	0	lifemax_v	100	100	-1	-1	0	0	armordefense_v	20	20	-1	-1	0	0	staminamax_v	20	20	-1	-1	0	0																			
Mã bài (Đại Uyển Mã)	Kỳ Trân Các (Đại Uyển Mã)	1	1	12	15	2	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse003.spr	32	Danh mã nước Đại Uyển, chạy nhanh, độ bền tốt		0	1	36000			2		horse	3	3																																																																								5	60																																																											fastwalkrun_p	50	50	-1	-1	0	0	lifemax_v	250	250	-1	-1	0	0	armordefense_v	50	50	-1	-1	0	0	staminamax_v	50	50	-1	-1	0	0																			
Mã bài (Ô Truy)	Kỳ Trân Các (Ô Truy)	1	1	12	16	2	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse004.spr	32	Ngựa cực phẩm, ngựa của Sở Bá Vương Hạng Vũ		0	1	36000			2		horse	4	4																																																																								5	60																																																											fastwalkrun_p	50	50	-1	-1	0	0	lifemax_v	250	250	-1	-1	0	0	armordefense_v	50	50	-1	-1	0	0	staminamax_v	50	50	-1	-1	0	0																			
Mã bài (Ô Vân Đạp Tuyết)	Kỳ Trân Các (Ô Vân Đạp Tuyết)	1	1	12	17	3	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse005.spr	32	Tuyệt thế danh mã, quan ngoại danh câu		0	1	480000			2		horse	5	5																																																																								5	60																																																											fastwalkrun_p	65	65	-1	-1	0	0	lifemax_v	500	500	-1	-1	0	0	armordefense_v	65	65	-1	-1	0	0	staminamax_v	80	80	-1	-1	0	0																			
Mã bài (Đích Lô)	Kỳ Trân Các (Đích Lô)	1	1	12	18	3	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse006.spr	32	Ngựa của Lưu Bị thời Tam quốc, ngựa quý hiếm có		0	1	480000			2		horse	6	6																																																																								5	90																																																											fastwalkrun_p	65	65	-1	-1	0	0	lifemax_v	500	500	-1	-1	0	0	armordefense_v	65	65	-1	-1	0	0	staminamax_v	80	80	-1	-1	0	0																			
Mã bài (Tuyệt Ảnh)	Kỳ Trân Các (Tuyệt Ảnh)	1	1	12	19	3	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse007.spr	32	Ngựa một thời của Tào Tháo, rất hung bạo.		0	1	480000			2		horse	7	7																																																																								5	60																																																											fastwalkrun_p	70	70	-1	-1	0	0	lifemax_v	400	400	-1	-1	0	0	armordefense_v	70	70	-1	-1	0	0	staminamax_v	80	80	-1	-1	0	0																			
Mã bài (Chiếu Dạ Ngọc Sư Tử)	Kỳ Trân Các (Chiếu Dạ Ngọc Sư Tử)	1	1	12	20	3	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse008.spr	32	Thiên lí mã, chạy nhanh như gió		0	1	480000			2		horse	8	8																																																																								5	60																																																											fastwalkrun_p	70	70	-1	-1	0	0	lifemax_v	400	400	-1	-1	0	0	armordefense_v	70	70	-1	-1	0	0	staminamax_v	80	80	-1	-1	0	0																			
Mã bài (Hãn Huyết Bảo Mã)	Kỳ Trân Các (Hãn Huyết Bảo Mã)	1	1	12	21	3	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse009.spr	32	Ngựa đỏ như máu, độ bền tốt		0	1	480000			2		horse	9	9																																																																								5	60																																																											fastwalkrun_p	70	70	-1	-1	0	0	lifemax_v	450	450	-1	-1	0	0	armordefense_v	80	80	-1	-1	0	0	staminamax_v	80	80	-1	-1	0	0																			
Mã bài (Xích Thố)	Kỳ Trân Các (Xích Thố)	1	1	12	22	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse010.spr	32	Tuyệt thế danh mã thời Tam Quốc, toàn thân đỏ như lửa, không có sợi lông tạp nào.		0	1	7200000			2		horse	10	10																																																																								5	120																																																											fastwalkrun_p	95	95	-1	-1	0	0	lifemax_v	700	700	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0																			
Mã bài (Bôn Tiêu)	Kỳ Trân Các (Bôn Tiêu)	1	1	12	23	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse011.spr	32	Một trong tám con ngựa của Chu Mục Vương, đêm đi ngàn dặm		0	1	7200000			2		horse	11	11																																																																								5	120																																																											fastwalkrun_p	90	90	-1	-1	0	0	lifemax_v	800	800	-1	-1	0	0	armordefense_v	90	90	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0																			
Mã bài (Phiên Vũ)	Kỳ Trân Các (Phiên Vũ)	1	1	12	24	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt		0	1	7200000			2		horse	12	12																																																																								5	120																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	100	100	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0																			
Hoan Hoan	Hoan Hoan	1	1	12	25	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\hl_baihu2.spr	32	Thú cưỡi hiệp lữ-Bạch Hổ, phẩm chất tốt hợp với dáng của chủ nhân, thể hiện thân phận cao quý.		0	1	7200000			2		horse	22	22																																																																								5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	700	700	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0																			
Hỷ Hỷ 	Hỷ Hỷ 	1	1	12	26	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\hl_bailu.spr	32	Thú cưỡi hiệp lữ-Bạch Lộc, phẩm chất tốt hợp với dáng của chủ nhân, thể hiện thân phận cao quý.		0	1	7200000			2		horse	21	21																																																																								5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	700	700	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0																			
Hổ Cát Tường	Hổ Cát Tường	1	1	12	27	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\hl_baihu.spr	32	Phẩm chất tốt hợp với dáng của chủ nhân, thể hiện thân phận cao quý.		0	1	7200000			2		horse	25	25																																																																								5	60																																																											fastwalkrun_p	95	95	-1	-1	0	0	lifemax_v	700	700	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0																			
Mã bài (Trục Nhật)	Liên server_Ngựa thị vệ	1	1	12	28	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Thú cưỡi chuyên dụng cho Trục Nhật Dũng Sĩ.		0	1	7200000			2		horse	24	24																																																																								5	120																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	650	650	-1	-1	0	0	armordefense_v	150	150	-1	-1	0	0	staminamax_v	150	150	-1	-1	0	0																			
Mã bài (Lăng Thiên)	Liên server_Ngựa thành chủ	1	1	12	29	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Thú cưỡi của thành chủ Thiết Phù Thành.<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, dùng Vô Hạn Truyền Tống Phù có thể đến được nhiều nơi.		0	1	7200000			2		horse	23	23																																																																								5	120																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	650	650	-1	-1	0	0	armordefense_v	150	150	-1	-1	0	0	staminamax_v	150	150	-1	-1	0	0	allskill_v	1	1			1417	1417												
Mã bài (Ô Vân Đạp Tuyết)	Mã bài 90vn (Ô Vân Đạp Tuyết)	1	1	12	28	3	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse005.spr	32	Tuyệt thế danh mã, quan ngoại danh câu		0	1	480000			2		horse	5	5		damage_all_resist	30	30																																																																				5	90																																																											fastwalkrun_p	65	65	-1	-1	0	0	lifemax_v	500	500	-1	-1	0	0	armordefense_v	65	65	-1	-1	0	0	staminamax_v	80	80	-1	-1	0	0																			
Mã bài (Đích Lô)	Mã bài 90vn (Đích Lô)	1	1	12	29	3	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse006.spr	32	Ngựa của Lưu Bị thời Tam quốc, ngựa quý hiếm có		0	1	480000			2		horse	6	6		damage_all_resist	30	30																																																																				5	90																																																											fastwalkrun_p	65	65	-1	-1	0	0	lifemax_v	500	500	-1	-1	0	0	armordefense_v	65	65	-1	-1	0	0	staminamax_v	80	80	-1	-1	0	0																			
Mã bài (Tuyệt Ảnh)	Mã bài 90vn (Tuyệt Ảnh)	1	1	12	30	3	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse007.spr	32	Ngựa một thời của Tào Tháo, rất hung bạo.		0	1	480000			2		horse	7	7		damage_all_resist	30	30																																																																				5	90																																																											fastwalkrun_p	70	70	-1	-1	0	0	lifemax_v	400	400	-1	-1	0	0	armordefense_v	70	70	-1	-1	0	0	staminamax_v	80	80	-1	-1	0	0																			
Mã bài (Chiếu Dạ Ngọc Sư Tử)	Mã bài 90vn (Chiếu Dạ Ngọc Sư Tử)	1	1	12	31	3	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse008.spr	32	Thiên lí mã, chạy nhanh như gió		0	1	480000			2		horse	8	8		damage_all_resist	30	30																																																																				5	90																																																											fastwalkrun_p	70	70	-1	-1	0	0	lifemax_v	400	400	-1	-1	0	0	armordefense_v	70	70	-1	-1	0	0	staminamax_v	80	80	-1	-1	0	0																			
Mã bài (Hãn Huyết Bảo Mã)	Mã bài 90vn (Hãn Huyết Bảo Mã)	1	1	12	32	3	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse009.spr	32	Ngựa đỏ như máu, độ bền tốt		0	1	480000			2		horse	9	9		damage_all_resist	30	30																																																																				5	90																																																											fastwalkrun_p	70	70	-1	-1	0	0	lifemax_v	450	450	-1	-1	0	0	armordefense_v	80	80	-1	-1	0	0	staminamax_v	80	80	-1	-1	0	0																			
Mã bài (Phiên Vũ)	Mã bài 120vn (Phiên Vũ)	1	1	12	33	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, cưỡi mây đạp gió<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, có thể dùng Vô Hạn Truyền Tống Phù để đến được nhiều nơi hơn		0	1	7200000			4		horse	12	12		damage_all_resist	60	60																																																																				5	120																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	100	100	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417												604800
Mã bài (Xích Thố)	Mã bài (Xích Thố)-vn	1	1	12	34	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse010.spr	32	Tuyệt thế danh mã thời Tam Quốc, toàn thân đỏ như lửa, không có sợi lông tạp nào.		0	1	2000000			2		horse	10	10		damage_all_resist	40	40																																																																				5	60																																																											fastwalkrun_p	95	95	-1	-1	0	0	lifemax_v	700	700	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0																			
Mã bài (Bôn Tiêu)	Mã bài (Bôn Tiêu)-vn	1	1	12	35	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse011.spr	32	Một trong tám con ngựa của Chu Mục Vương, đêm đi ngàn dặm		0	1	2000000			2		horse	11	11		damage_all_resist	45	45																																																																				5	110																																																											fastwalkrun_p	90	90	-1	-1	0	0	lifemax_v	800	800	-1	-1	0	0	armordefense_v	90	90	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0																			
Hoan Hoan	Hoan Hoan-vn	1	1	12	36	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\hl_baihu.spr	32	Thú cưỡi hiệp lữ-Bạch Hổ, phẩm chất tốt hợp với dáng của chủ nhân, thể hiện thân phận cao quý.		0	1	7200000			2		horse	22	22		damage_all_resist	60	60																																																																				5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	100	100	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0																			
Hỷ Hỷ 	Hỷ Hỷ-vn	1	1	12	37	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\hl_bailu.spr	32	Thú cưỡi hiệp lữ-Bạch Lộc, phẩm chất tốt hợp với dáng của chủ nhân, thể hiện thân phận cao quý.		0	1	7200000			2		horse	21	21		damage_all_resist	60	60																																																																				5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	100	100	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0																			
