Index	Msg
29	我爱上了我的帮主，但是我觉得自己不够漂亮，想去整容，请大家推荐一下啊！
30	帮主家生小孩儿了，求各位帮忙想个名字，我姓王。
31	一天我擦亮阿拉丁的神灯，灯神说：我会满足你一个愿望。我说：请祝福正在看消息的都开出声望令牌！ 
32	楼下的 想尝尝板砖的滋味吗？
33	帮主是女的，多次要求和我见面，我应该去吗？
34	马上就要上大学了，还能有时间玩剑侠时间吗？好困惑啊！
35	有一只小兔子跑两步回头看一下，跑两步回头看一下，又跑两步回头看一下这是为什么呢？
36	听说跟着圣诞老人屁股后面嘴里喊着“我爸是李刚”能开出好东西！
37	今晚又玩儿不成了，加班啊！谁能告诉我怎么样在公司偷偷玩剑侠世界！
38	帮助拍拍我的肩膀对我说“干了这瓶84！我们就是兄弟了！！！”
39	老公遇到你我才知道真爱的滋味那么美好，我们的爱是那么的让人幸福陶醉。
40	老公总是调戏会里的小MM，我该如何是好？
41	我骨子里是一个很传统的人，所以我比较喜欢看古装的爱情动作片。！
42	人活着的意义就是能和心爱的人一起去澳门玩百家乐，输光了把心爱的人做抵押借高利贷。
43	这么个时代，这么个世界，不得个抑郁症什么的你都不好意思见朋友。
44	妈妈说我出生的时候,屋子上出现祥云,汇成一个字帅!
45	有一个城市，我就不说这个城市是成都了，成都是坐飞机还差200米落到机场，就听到哗啦哗啦打麻将的声音
46	他们告诉我说大难之后必有后福，几个月过去了我终于领悟到了。他妈的是心服口服的服。。
47	这几天想我的人真不少，喷嚏一个接着一个。真叫人感动！我也会想你们的。。
48	感冒病毒经口腔沿呼吸道直冲肺部，我军先后投入了3片青霉素及6片消炎药，经过两个昼夜的艰苦奋战至今无果。
49	一声惊雷过后，再醒来又看到了阳光。。感觉两个字——好困！
50	我问佛：世间为何有那么多遗憾？ 佛曰：这是一个婆娑世界，婆娑即遗憾 。
51	我最喜欢的明星是王菲，楼下的你呢？
52	剑侠世界我已经玩了两年多，有苦有乐，这个游戏见证了我这两年的故事，我希望我能继续我的剑侠路。
53	踮起脚尖，我们就能离幸福更近一点吗？
54	现在找个合适的工作比找老婆还难，金山还要人吗？
55	我一个月1800，房租水电700，玩游戏200，吃饭600，还要给女朋友300零花。我怎么这么苦！
56	每月在游戏里花费400，我的至尊之路并非想象般艰辛。真是小成本高回报！
57	大家说2010会不会真的来了啊！
58	你愿意毁了生活，还是愿意让生活毁了你？
59	你还记得你曾经的理想吗，你妥协了吗？你真的为自己的理想努力过吗？
60	每天一直游戏真的好累，但是仿佛不能自拔啊！有人和有一样的感觉么？
61	你印象最深刻的电影是什么？能说下为什么吗？
62	我是个女孩子，女孩子抽烟真的很损形象么?
63	女朋友不是处 女。我总会想着她和她一起啊那个那啥的样子。
64	最近日夜颠倒严重失眠啊，起床就是吃饭玩游戏，看来最近真的颓废。
65	谈恋爱的时候都做什么？
66	怎样才能一直笑啊笑。(*^?^*)
67	我对自己的未来感到恐惧，怎么办？
68	现在最困扰的事情就是怕自己大学毕业找不到合适的工作了，希望能有神人帮帮我啊！
69	见到讨厌的人还要装出笑脸，这个社会为什么要这么假。
70	每天逍遥谷和军营刷的要吐血，金山你就不能出点新鲜玩意吗？
71	喵的，每天游龙阁出的都是垃圾，GM好小气！！！！
72	我暗恋帮里一个女的，但是挣不过那些有钱的，真是无奈啊！女人是因为钱而接近你吗？
73	听说这次新活动要出新护腕了，这速度，看来又要冲钱咯！
74	希望这次英语四级能顺利过关啊，不然真的拿不到毕业证了，但是我每天不复习又怎么可能过关啊崩溃！
75	不知道啥时候能住上像美国那样的乡村别墅，再养几只牛羊，美哉美哉！
76	我是四川自贡的，有老乡吗？留个联系方式哈！
77	我是辽宁抚顺滴，有老乡吗，留个联系方式哈！
78	问我能有几多愁，恰似一群太监上青楼，你说我发愁的事情咋这么多呢！
79	希望爸爸妈妈身体健康，希望我能多多赚钱让二老过上幸福的晚年！
80	咱中国什么时候打日本鬼子？
81	前几天玩了征途2，等级到100了，后来感觉没啥好玩就又回归剑世了，大家放鞭炮欢迎我吧。
82	关于鸡和蛋的，生物进化过程中，是先有的鸡还是先有的蛋呢？
83	楼下的你一生中干过最挫的事情是啥？我是初二的时候在课堂上大 便失禁……
84	昨晚我忽然有一种想去冬泳的冲动。
85	中国足球的出路在哪里？？－_－b在哪里在哪里……
86	有时候觉得自己太执着，太在乎，是否放开一些会更好？
87	原来我真是废人一个！发奋图强吧，还来得及吗？永远铭记2010！~
88	身边的人一个一个结婚了，今年又参加了不少场婚礼，可是属于自己的那场还遥遥无期……
89	我慢慢的忘却了自己还是需要睡眠的，眼前那个身影一直挥之不去，我是否沉溺于此不再前行。
90	不管未来怎样，请你记得，时至今日我依然爱你，小杰留。
91	爱你很久了，等你很久了，可现在我真的要离开你了，你很久很久……还要久。
92	多年以前，在我还青涩时喜欢听一首歌曲叫《不值得》
93	最近看了一个短片叫《老男孩》，它把我打动了，希望也能打动你。
94	我不知道该说什么，我只是忽然，在这一刻，很想你。Miss you so much——胖熊
95	在生命中，再无聊的时刻都是限量版。珍惜眼前人，这道理我可以慢慢体会了——小?
96	勇敢的追求自己的幸福，这就是向日葵的话语。
97	海明威说过，“这个世界很美好，我们应该为之而奋斗。”我同意后半句。
98	我觉得请犀利哥做剑侠世界丐帮帮主，请他代言费应该不贵吧？
99	最近迷上了钓鱼，冷落了帮里一直追随着我的兄弟们还有几个一直迷恋着我的女人们，对不起，我会很快回归的！
100	也许有一天，我老无所依，请把我留在那时光里。
101	试试看，沙发哇哈哈
102	我的这个不懂能被谁抽中……
103	祝能看到这张许愿纸的人圣诞快乐！事事如意！
104	···楼下吃饭了没
105	每天上线的最大愿望就是能看到她，陪她去刷副本，做任何事情……希望这是永远
106	希望期末考试不挂科！！！
107	祝福我中个金奖吧~~
108	希望我马上就要打的游龙能爆机！给个声望牌子吧
109	希望圣诞那天能成功约她出来 ^0^
110	下周就要武器强16了，失败了立马删号，立此存照。
111	嗜血，你永远不会忘记我的，是不是！是不是！！
112	愿我家傻傻的天狼能永远开心，圣诞快乐~ 哈哈
113	有没有武汉的美女呀？留个QQ吧~~ 嘿嘿 ↖(^ω^)↗
114	小琴，不管以后我们分隔多远，我会永远记得生命里有这么一段路你陪我走过，谢谢你
115	我是你的什么呀~~ 你是我的安尔乐。。。
116	愿有一天我和她能成为眷属，一辈子幸福！
117	有人喜欢喝咖啡的吗？
118	有没有天津的美女呀？来我们家族吧嘿嘿
119	我觉得这游戏越来越无聊了，你们平时上线一般都做些啥呀？都说说吧
120	没有任何一个人能替代你在我心中的地位，小瓶
121	希望能看到这个帖子的你，男的妻妾成群，女的万众追求！
122	今天我特别的不开心！！！非常的不开心！！不解释！！！
123	看看，是不是真的不留名字
124	在圣诞之际，祝愿我的宝宝能健康成长，也祝天下所有父母的宝贝幸福安康·
125	任时光匆匆我只在乎你~  (*^?^*)
126	上班好无聊啊，楼下说说今天都发生什么有意思的事情
127	我家的小狗今天6个月大了，嘿嘿~ 
128	金山你敢不敢让我中一次奖啊？NND
129	我想在2011年能找到我的真爱，顺便祝我的父母身体健康！
130	Big happy everyday!
131	为啥他总是这么笨呢，唉！
132	在此我祝天下所有盗号的于2011年元旦之前全家死一户口本！
133	美剧《绝望主妇》实在太好看了，有人同样喜欢的吗？
134	能看到这张许愿纸是你我的缘分，希望能珍惜生活的每一秒 ^^
135	祝福遥远的那个她，能幸福
136	希望你在远方能幸福——永远记得你的大飞
137	希望工作上所有的愿望都能在来年春天实现，加油！！！
138	好喜欢那天在球场上看到的女孩啊。。。神啊让我在新的一年里能认识她吧
139	我不期盼什么，只要我爱的人们永远幸福
140	饿了，想吃炸酱面
141	愿老公能远离帮里面的那些小人，听信谗言是没有好处的
142	我忘了哪年哪月的哪一天， 我在哪面墙上刻下一张脸， 一张微笑着， 忧伤着， 凝望我的脸。。。
143	11月的销售任务完成了，希望12月生意能再烧把火，完成任务！
144	我想要的，一定要得到
145	爱人和肚子里的小孩子平平安安
146	算命的说明年是我的本命年，祈祷能平平安安的渡过去
147	我想要的生活什么时候可以实现，只想找个喜欢自己的人依靠吧了
148	这是10年最后一个月了 好好好的过啊！
149	圣诞节那天是她生日，祝她生日快乐，和她一起庆祝的应该有很多人吧，我只能在这里默默祝福
150	祝我们情义家族的兄弟姐妹圣诞节快乐！爱你们的小狼留
151	金山敢不敢多发一点儿绑银？根本不够用
152	多出几套外装
153	妈妈说名字要起的很长很长这样躲在树后才不会被敌对帮会看到
154	从前有一个剑客他的心很冷剑也很冷最后他冷死了
155	我一定要进你家户口本，当不成你老婆就当你后妈！
156	祝你长命百岁孤单一人！
157	这世界上唯一的主题就是一切都不会变
158	love her mother whowhowho
159	婚姻是坟墓
160	赶紧出离婚啊，我后悔跟那女的结婚了！
161	我没有说谎，我何必说谎
162	我这号是dao的
163	好像感冒了，什么烂天气
164	烦死了，一个玉分都分不公平，什么烂帮
165	找个月薪一万的女朋友我就奔小康了
166	地位是靠实力和脾气整回来的
167	最近比较火大
168	年轻的时候，我也曾经以为自己是风。可是最后遍体鳞伤，才知道自己是草
169	魔忍能不能再弱一点儿？让不让金系活了？
170	感谢cctv感谢郭嘉，我今天14%上15成功了
171	长春哪里有卖圣诞树的呀，想给家里买一个
172	如果有人陪你走,即使很长的路,也会变的很短
173	一去不回头
174	今天换了个发型，金山能不能多出几套衣服，就那么几个样子都看够了
175	求包养，会暖床
176	肚子疼也传染么，我今天正打逍遥就肚子疼，结果队里其他人也说肚子疼
177	人生之美便在于人生的不完美，用微笑面对昨天，用感恩面对今天，用期待面对明天
178	游歌唱了五个小时根本不够啊
179	联通的垃圾短信真多
180	能不能多送点8玄，现在玄太少了
181	是买新电脑还是不买呢，这是个问题
182	快2012了，昂宿星人快来救我
183	芙蓉姐姐都瘦了你还好意思胖下去吗
184	对不起，其实我是npc
185	今天打军营的时候把杯子摔碎了，碎碎平安
186	生活就像曾哥的音乐,时而不靠谱,时而不着调
187	谁人望见了犹豫，达到理想不太易
188	把气武的盾还回来行不行？！
189	我同学的女儿都会叫妈妈了，我还没找到老婆
190	我最讨厌的就是巴萨队
191	琳琳是我最爱的老婆大人
192	帮会招人，详细情况见城聊，6P以上的来
193	我们家族有几个mm的声音很甜，不信来yy5050
194	我最喜欢心童的声音了
195	啥时候开大逃杀？
196	六技能的同伴养不起了
197	今天再上不了16老子就删号不玩了
198	BB能不能显示的时间长一点儿，一会出现一下吓死人了
199	秦陵的时间长一点儿，两个小时不够
200	不知道该下啥，随便写点吧，楼下你有老婆吗
201	三个月没发工资了，这年咋过啊？
202	剑三真不好玩，有剑三回来的兄弟吗？
203	希望得到的圣诞礼物是一个雪佛兰-科鲁兹。
204	我QQ号丢了，MLGBD!
205	垃圾游戏，脑残策划，同意的打1。
206	今天听到个消息，希望是真的，苍天保佑~
207	年纪大了，捱不了夜~~好困，好想我张床~~~ 
208	大石砸S蟹，心情唔好~~
209	腾讯与360超幼稚！！就是俩傻X 
210	LG已到上海，希望LG早点回来~~
211	今天早上好冻~~宜家晒住太阳做野，好温暖~~
212	青春尚未消失，而内心却是如此沧桑
213	傻逼！哭啥？老子告诉你：笑到最后的人，才是最牛逼的。” 
214	妈个比，腾讯太欺负人！！！号召大家全部停用QQ改用MSN或者飞信
215	三天三夜没怎合眼，我终于走出来了，我终于重新找回了自己的坐标，这世界上没有过不去的坎，我永远是最棒的
216	老子又胖了 胖了又觉得困 开始恶性循环了 
217	the day you went away 
218	房子、车子、房子、车子。。。艾。。没票子什么都是幌子。。。
219	老子再过两天就要放出来了。
220	喜欢一个人，如果不表现出来，人家可能永远不知道你的想法 ！
221	物管公司的人，真流氓！！
222	我买1000块钱的，朝鲜赢！
223	这鬼网吧通宵好冷，半夜冻死我了！
224	今天不小心看到了不该看的，又心神不宁了！
225	计划本周冲件+16的，祝我好运吧。
226	MLGB，老子花了十几万，怎么被个几千块玩家虐的跟孙子似的？垃圾游戏，爷不玩了
227	发个试试，剑侠也开始赶时髦了吗？
228	鹊连相思羽做桥，青颜黛月绣愁容。情叹离分思飘远，霓裳歌舞虞情郎。
229	如果流失的是青春，保留的是记忆，那我能选择流失记忆，保留青春么？
230	人生如滔滔江河，浪花淘尽，剩下的是什么？
231	离职的拖鞋，休息好在走路!
232	弈剑随风舞，阁楼听雨声，来者是谁？
233	祝，天下有情人，都是失散多年的亲兄妹
234	美人卷珠帘,万径人踪灭.两岸猿声啼不住,惊起蛙声一片
235	我爱老婆我怕谁？
236	今天的皇陵，非常的不给力啊，兄弟们！
237	120技能啥时候能出啊，知道消息的说下啊~~~
238	卖吉祥区各服务器精活账号，有需要的老板联系我！
239	强烈建议金山取消玄晶的有效期！
240	收五色石，大量，价格公道，成都广场常年摆摊~~
241	免费游戏比收费游戏还贵，真TMD不想玩了！
242	喜欢上了家族的一个女的，怕被拒绝朋友都没得做，咋办？
243	金山有毛病啊，大盗改成这样！
244	昨晚睡觉梦见在做梦，何解啊？
245	最近有没有啥好看的电影？帮忙推荐下。
246	新服卡成球了，打电话给客服，他们说是我自己网络问题，日！
247	要想人不知，除非己莫为，写给某些人。
248	谷歌拼音和搜狗拼音哪个好用一些啊？纠结~
249	每天早上起床的第一件事，就是双手合十，面对毛主席像，祈祷世界和平。
250	这年代什么2B都有，果断无语了，看啥，又没说你。
