nActiveId	nSubId	szName	szInfo	nMaxCount	nGrade	nWeek	nDownLevel	nUpLevel	nTimerFrame	bOneOff	unable
29	2529	Hoàn thành nhiệm vụ Hiệp khách	Hoàn thành nhiệm vụ hiệp khách trong ngày được 6 điểm năng động	1	6			100			
30	2530	Vượt ải Thời Quang Điện 1 lần	Tiêu diệt Đại Tư Mệnh trong Thời Quang Điện được 8 điểm năng động	1	8			100			
31	2531	Hoàn thành 1 trận Mông Cổ Tây Hạ	Hoàn thành (Nhận thưởng) 1 trận Mông Cổ Tây Hạ, nhận 12 điểm năng động	1	12			60			
32	2532	Hoàn thành 2 trận Võ Lâm Liên Đấu	Hoàn thành (nhận thưởng) 1 trận Võ Lâm Liên Đấu (sơ, cao cấp) được 10 điểm năng động	2	10			100			
33	2533	Hoàn thành 1 trận Liên Đấu liên server	Hoàn thành (nhận thưởng) 1 trận Liên Đấu liên server, nhận 10 điểm năng động	1	10			100			1
34	2534	Tham gia 1 trận vượt Bạch Hổ Đường	Tham gia vượt ải Bạch Hổ Đường 1 lần được 12 điểm năng động	1	12			50			
35	2535	Nhận thưởng 1 trận Bạch Hổ Đường liên server	Hoàn thành (nhận thưởng) 1 trận Bạch Hổ Đường liên server được 16 điểm năng động	1	16			100			1
36	2536	Hoàn thành Thành chiến liên server	Hoàn thành (nhận thưởng) Thành chiến liên server, nhận 8 điểm năng động	1	8	6		100			1
37	2537	Dùng Tàng Bảo Đồ đào kho báu	Dùng Tàng Bảo Đồ nhận được từ nhiệm vụ Nghĩa Quân để đào kho báu, nhận 8 điểm năng động	1	8						
38	2538	Nhận Tinh Hoạt	Tăng tinh hoạt lực bản thân (không tính điểm nhận được khi làm nhiệm vụ) được 10 điểm năng động	1	10						
39	2539	Thăng lên cấp 30	Thăng lên cấp 30, nhận 10 điểm năng động	1	10		30			1	1
40	2540	Thăng lên cấp 40	Thăng lên cấp 40, nhận 10 điểm năng động	1	10		40			1	1
41	2541	Thăng lên cấp 50	Thăng lên cấp 50, nhận 10 điểm năng động	1	10		50			1	1
42	2542	Sửa trang bị	Sửa trang bị, nhận 8 điểm năng động	1	8		50			1	1
43	2543	Sử dụng thực phẩm	Sử dụng thực phẩm mua ở chỗ Đại Lão Bạch tại các Tân Thủ Thôn và các thành, nhận 7 điểm năng động	1	7		50			1	1
44	2544	Đối thoại với Long Ngũ Thái Gia	Đối thoại với Long Ngũ Thái Gia, nhận 8 điểm năng động	1	8		50	20		1	1
45	2545	Cường hóa trang bị	Cường hóa trang bị ở chỗ Dã Luyện Đại Sư, nhận 10 điểm năng động	1	10		50			1	1
46	2546	Chế tạo vật phẩm	Dùng kỹ năng sống chế tạo 1 thành phẩm cấp 5 trở lên, nhận 10 điểm năng động	1	10		50			1	1
47	2547	Thu hoạch cây trồng	Mỗi ngày thu hoạch cây trồng thành công 3 lần, nhận 10 điểm năng động	3	10						1
48	2548	Vượt ải Thần Trùng Trấn 1 lần	Chiến thắng Thác Bạt Phù Anh, xông vào biển lửa, được 8 điểm năng động	1	8			100			
49	2549	Nhiệm vụ Khắc Di Môn mở bảo rương	Mở 3 bảo rương trong nhiệm vụ Khắc Di Môn, được 10 điểm năng động	3	10						
