EventId	EventName	EventDescript	EventStartDate	EventEndDate	EventTable	TaskIdBegin	TaskIdEnd	InFor	TaskPacth	TimeFrame
71	五一劳动节兑换奖励	在我这里可以兑换到很丰富的奖品哦!	2010/04/28/00/00	2010/05/18/00/00	eventpart.txt	0	0		0	
72	<color=yellow>植树节活动<color>	你有没有觉得我们村子的树木太少了？看上去没什么生机啊，现在战火纷飞，人们颠沛流离，此情此景岂不是更填伤悲。现在正是植树之良辰，你可以从奇珍阁买树种去栽种，若得到新鲜的树种给我，你会得到奖品的！	2009/06/09/00/00	2009/06/10/00/00	eventpart.txt	0	0		0	
73	领取开心棒	凡是等级达到60级的玩家，在五一活动期间<color=green>4月28日-5月11日<color>均可领取开心棒。有了开心棒，随心变形象。开心棒每日使用的<color=yellow>第1次<color>，奖励增益效果，其余时间可点击开心棒道具变成动物形象，或者点击开心棒选项变回本身形象。开心棒，变变变，快来领取吧！	2010/04/28/00/00	2010/05/12/00/00	eventpart.txt	0	0		0	
74	5.1劳动节-帮助锦囊	描述	2010/04/28/00/00	2010/05/12/00/00	eventpart.txt	0	0		0	
75	5.1劳动节-帮助锦囊（越南）	描述	2010/04/28/00/00	2010/05/18/00/00	eventpart.txt	0	0		0	
76	帮会选举	达到60级以上的玩家可以参加众人合力活动。活动时间为<color=green>4.28-5.18<color>。参加<color=green>宋金战场、领土争夺战、门派竞技、通缉江洋大盗、逍遥谷、白虎堂<color>活动后获得争夺令。与我对话，可输入要评选的帮会名称，为其投票。 每次投票，你将获得2010绑银和1个胜利徽章。不过最多只能获得100次绑银哦，在第101次只能获得胜利徽章了。<enter>帮会投票的结果可以在官网查询。<enter>	2010/04/28/00/00	2010/05/18/00/00	eventpart.txt	0	0		0	
77	2010赈灾祈福-帮助锦囊	描述	2010/04/20/00/00	2010/05/12/00/00	eventpart.txt	0	0		0	
78	家族竞技活动-种蘑菇	描述	2010/05/01/00/00	2010/06/01/00/00	eventpart.txt	0	0		0	
80	水晶裂片产出	描述	2010/06/09/00/00	2010/06/10/00/00	eventpart.txt	0	0		0	
81	合成水晶	　　夏日惊喜不断，我这里可以合成具有独特效果的特殊水晶，使用水晶可以帮助你更快的成长并且还有丰富的奖励哦！	2010/06/09/00/00	2010/06/10/00/00	eventpart.txt	0	0		0	
82	2010年盛夏活动	描述	2010/06/11/00/00	2010/07/13/00/00	eventpart.txt	0	0		0	
83	劝说王母	    又是一年七夕月，每到这个时节很多人都会来江津村或石鼓镇劝我，为了爱情。<enter><color=green>8月10日起-8月21日23：59分<color>，通过参加逍遥谷、军营副本等多种活动，可获得<color=yellow>鹊羽和琉璃石<color>。用<color=green>三个鹊羽和三个琉璃石可合成一个金鹊琉璃钗<color>，你可以将它献给我，你便能得到好宝贝了，每天只有3次机会哦。	2010/08/10/00/00	2010/08/22/00/00	eventpart.txt	0	0		0	
84	七夕筑鹊桥	   <color=green> 8月10日0点-8月21日23：59分<color>我会向人间征集相思石，用以修建鹊桥。传说相思石是由织女相思的泪水幻化而成。每送上一个相思石便<color=yellow>可获得一次增益效果<color>；累计上缴满5个相思石可获得一<color=yellow>金鹊礼包<color><enter>    将金鹊礼包馈赠给异性队友，可增加你们的亲密度，他/她也将会得到意想不到的惊喜。<enter>   <color=green> 参加巧手劝王母活动可获得相思石<color>，具体参见<color=green>F12<color>；相思石在奇珍阁里也可以购得。	2010/8/10/00/00	2010/08/22/00/00	eventpart.txt	0	0		0	
85	忠君爱国	我这里有代表国家荣誉而进行的活动，快来看看吧！	2010/08/08/00/00	2010/09/08/00/00	eventpart.txt	0	0		0	
86	七夕同心魁星问	描述	2010/08/22/00/00	2010/09/7/00/00	eventpart.txt	0	0		0	
87	冲级奖励	激情八月，如果您在2010/8/8日后新建的角色当达到110等级以后可以在我这里领取很极品装备哦！	2010/08/08/00/00	2010/09/08/00/00	eventpart.txt	0	0		0	
88	圣诞快乐	祝福大家圣诞节快乐，特来祝贺！	2010/11/13/00/00	2010/01/13/00/00	eventpart.txt	0	0		0	
89	<color=yellow>寂寞后羿<color>	   我得到了西王母赐予不老药，却被嫦娥误食，她在广寒宫受尽千年孤寂。而我只能仰望着月亮默默念着她的名字……<enter>   <color=green>2011年9月9日0点-2011年9月14日0点期间<color>，完成<color=yellow>军营，逍遥谷以及跨服宋金（未开放100级的服务器为普通宋金）<color>，可获得嫦娥亲手制作的月饼，把它交给我，我一定会给你报酬的。	2011/09/09/00/00	2011/09/14/00/00	eventpart.txt	0	0		1	
90	爱我中华	描述	2010/09/20/00/00	2010/10/15/00/00	eventpart.txt	0	0		0	
91	普天庆双节	    爱我中华，神州同乐，昆仑屹立、泰山昂首、长城扬眉、黄河高歌。<color=green>9月20日-10月8日期间，每天下列时间：<color><enter>       19：45--20：15；<enter>       20：45--21：15；<enter>    在临安、成都、凤翔三大城市将刷出欢乐篝火。侠客们围绕在附近可获高额经验。（酒和修炼珠无加成效果）侠客们每天可以点击篝火，领取一个<color=green>热辣辣的礼包<color>。礼包中可开出绑银和面具等惊喜奖励。另外，凡累计领取10个热辣辣的礼包还可获得节日称号：<color=pink>神州万里同欢乐。<color>	2010/09/20/00/00	2010/10/09/00/00	eventpart.txt	0	0		0	
93	2010中秋国庆使用物品	描述	0	0	eventpart.txt	0	0		0	
94	淘宝字符兑换	“剑雨风云，淘宝江湖”我正在收集这几个字，您是不是有呢？	2010/10/10/00/00	2010/11/20/24/00	eventpart.txt	0	0		0	
95	<color=yellow>购买4988声望道具及物品兑换<color>	"    嘿嘿，大家好！老朽这里有<color=yellow>各种4988声望道具<color>出售，如果你有<color=yellow>资格<color>就可以选择购买！<enter>    同时如果你有<color=yellow>广寒月桂花<color>，也可以在我这里换取<color=yellow>玄晶宝箱<color>，一换一！<enter>    同时如果你有<color=yellow>菩提果<color>，也可以在我这里换取<color=yellow>特别的精魄<color>，一换五！"	2012/09/19/22/05	2012/10/01/00/00	eventpart.txt	0	0		34	
96	<color=yellow>4988元多选一奖励领取<color>	"    嘿嘿，大家好！在这里你可以领取充值达<color=yellow>4988元<color>的奖励。<enter>    这里领奖<color=yellow>只能选一<color>，领取过就不能领其他奖了，所以请先想好再来领奖。<enter><color=green>（以下奖励按上个月全服玩家选取的优先顺序从上到下排列，仅供参考，请按您的实际需求选择奖励）<color>"	2012/09/19/22/05	2012/10/01/00/00	eventpart.txt	0	0		34	
97	<color=yellow>988元多选一奖励领取<color>	"    嘿嘿，大家好！在这里你可以领取充值达<color=yellow>988元<color>的奖励。<enter>    这里领奖<color=yellow>只能选择一个<color>，领取过就不能领其他奖了，所以请先想好再来领奖。<enter><color=green>（以下奖励按上个月全服玩家选取的优先顺序从上到下排列，仅供参考，请按您的实际需求选择奖励）<color>"	2012/09/19/22/05	2012/10/01/00/00	eventpart.txt	0	0		34	
98	<color=yellow>588元多选一奖励领取<color>	"    嘿嘿，大家好！在这里你可以领取充值达<color=yellow>588元<color>的奖励。<enter>    这里领奖<color=yellow>只能选一<color>，领取过就不能领其他奖了，所以请先想好再来领奖。<enter><color=green>（以下奖励按上个月全服玩家选取的优先顺序从上到下排列，仅供参考，请按您的实际需求选择奖励）<color>"	2012/09/19/22/05	2012/10/01/00/00	eventpart.txt	0	0		34	
99	<color=yellow>188元多选一奖励领取<color>	"    嘿嘿，大家好！在这里你可以领取充值达<color=yellow>188元<color>的奖励。<enter>    这里领奖<color=yellow>只能选一<color>，领取过就不能领其他奖了，所以请先想好再来领奖。<enter><color=green>（以下奖励按上个月全服玩家选取的优先顺序从上到下排列，仅供参考，请按您的实际需求选择奖励）<color>"	2012/09/19/22/05	2012/10/01/00/00	eventpart.txt	0	0		34	
100	<color=yellow>本月充值优惠领奖基本奖励<color>	"    嘿嘿，大家好!<enter>    这次，你可以领取<color=yellow>幸运奖券<color>，获得绑金或绑银的同时还能<color=yellow>参加抽奖<color>！<enter>    如果你本月累计充值达到<color=yellow>1000元<color>以上，超过的部分还可以获得<color=yellow>20%<color>的绑金返还，哈哈~~！"	2012/09/19/22/05	2012/10/01/00/00	eventpart.txt	0	0		34	0/0
101	<color=yellow>本月充值促销活动<color>	"    大家好，我们又见面了！从我这里可以打开<color=yellow>充值促销活动界面<color>。也可以通过<color=yellow>福利特权界面<color>处打开充值促销活动界面。"	2012/09/19/22/05	2012/10/01/00/00	eventpart.txt	0	0		34	
102	<color=yellow>九月充值抽奖领奖<color>	"    在这里你可以领取本月充值的抽奖奖励，中奖后领奖时限<color=yellow>3天<color>，超过时限视为自动放弃。你中奖了吗？"	2012/09/20/00/00	2012/10/04/00/00	eventpart.txt	0	0		34	
103	淘包礼包奖励	描述	0	0	eventpart.txt	0	0		0	
104	铸黄金白银龙	为庆祝青龙-河内1000年的历史，在我这里你可以铸造黄金龙，白银龙，更有丰富的奖励哟，快来铸造吧。	2010/10/20/00/00	2010/11/04/00/00	eventpart.txt	0	0		0	
105	金珠玉翠产出	描述	2010/10/12/00/00	2010/10/26/00/00	eventpart.txt	0	0		0	
106	教师节	找我有什么事 ?	2010/10/08/00/00	2010/10/07/00/00	eventpart.txt	0	0		0	
107	植树活动	找我有什么事吗？	2010/10/08/00/00	2010/10/07/00/00	eventpart.txt	0	0		0	
108	送上香喷喷的火鸡	<%me.szName%>，人间自有真情在，很多大侠都帮助了我，你就是我的大侠！为了答谢你，你可以用火鸡兑换雪人。将雪人摆放后将会获得经验和相应的奖励。<enter>您今天已兑换<color=yellow><%EventManager:GetTask(191)%>/5<color>个。	2010/12/21/00/00	2011/01/03/00/00	eventpart.txt	0	0		0	
109	摘果实	我这里有丰富的活动哦！	2010/10/13/00/00	2010/01/13/00/00	eventpart.txt	0	0		0	
110	名扬英雄	如果你集齐了5种牌子，是可以在我这里兑换一个圣诞礼盒的。	2010/10/13/00/00	2010/01/13/00/00	eventpart.txt	0	0		0	
111	烟花庆元旦	描述	2010/12/31/00/00	2011/01/03/00/00	eventpart.txt	0	0		0	
113	心语许愿树帮助锦囊	描述	2010/12/21/00/00	2011/01/03/00/00	eventpart.txt	0	0		0	
114	充值抽奖信息登记	12月充值满100元，点击此处即可登记信息，月末会进行抽奖	2010/12/21/00/00	2011/01/01/00/00	eventpart.txt	0	0		0	
116	寒武遗迹	<%me.szName%>，人间自有真情在，很多大侠都帮助了我，你就是我的大侠！	2012/04/26/00/00	2012/05/15/00/00	eventpart.txt	0	0		0	
117	新年活动	新年快乐，快来我这里有很多丰富的活动等着你哟！	2010/01/21/00/00	2010/02/21/00/00	eventpart.txt	0	0		0	
118	决战夜岚关帮助锦囊	描述	2011/05/01/00/00	2011/05/31/00/00	eventpart.txt	0	0		0	
119	年兽攻城帮助锦囊	描述	2011/01/28/00/00	2011/02/01/23/59	eventpart.txt	0	0		0	
120	2011情人节活动-爱神的祝福帮助锦囊	描述	2011/02/12/00/00	2011/02/22/00/00	eventpart.txt	0	0		0	
121	2011元宵节活动-团圆盛宴	描述	2011/02/03/00/00	2011/02/18/00/00	eventpart.txt	0	0		0	
122	返还游龙战书	　　本月是<color=yellow>游龙活动月<color>，和纤纤比武的同时还能获得额外的的游龙战书。<enter><color=red>2011年05月21日到2011年5月31日之前消耗的前200个的战书，每5个返还1个。<color>	2011/05/21/00/00	2011/06/01/00/00	eventpart.txt	0	0		0	
123	2012妇女节	描述	2012/03/08/00/00	2012/03/12/23/59	eventpart.txt	0	0		0	
124	<color=yellow>【春天里】植树节活动<color>	   在这充满着希望和爱的春天里，手拉着手，我们植树去！<enter>   <color=green>3月10日0点-3月16日23点59分期<color>间，三人组队在我这里可以领取植树道具。队长将获得希望之土，其余两名队友随机获得希望之水和希望之风。队长在新手村放下希望之土，队友则根据当前提示培育希望的种子，<color=green>每人每天只能获得一次免费的希望道具和种子哟。<color>	2011/03/10/00/00	2011/03/17/00/00	eventpart.txt	0	0		0	
