ClassId	TypeId	EventType	EventId	PartId	TypePartId	MonthPay	Desc	Name	AwardType	Award	Tip	ImgItem
2	1	1	100	2	8	188	188元充值	强化传承符	AddItem	18,1,1198,1,1,1	1个强化传承符，可以将10级装备的强化等级转移到同类型的另一个装备上，在100%优惠转移状态下不需要再补充玄晶和银两。	
2	1	1	100	2	9	188	188元充值	寒武魂珠	AddItem	18,1,510,1,3,1	3个寒武魂珠，可以参加寒武遗迹	
2	1	1	100	2	10	188	188元充值	玲珑宝盒	AddItem	18,1,1805,1,1,1,43200	1个玲珑宝盒，能开出各种返还券	
2	1	1	100	2	11	188	188元充值	2012国庆礼包	AddItem	18,1,1806,1,1,43200	1个2012国庆礼包	
2	2	1	99	1	1	188	188元充值	乾坤袋	AddItem	18,1,718,1,1,1	1个充值优惠乾坤袋，可以获得价值不菲的奖励，运气好的话有可能获得同伴特殊秘籍。	
2	2	2	99	2	1	188	188元充值	游龙古币	AddItem	18,1,553,1,200,1	200个游龙古币，用于在龙五太爷的游龙杂货店购买珍稀物品。	
2	2	3	99	3	1	188	188元充值	购买精华资格	AddBuyItemSum	50,3	以100金币/个的优惠价格购买黄金智慧精华（2级），限购50个。	18,1,565,2,1
2	2	4	99	4	1	188	188元充值	菩提果	AddItem	18,1,564,2,1,1	1个菩提果，使120级的同伴重生到1级 或 点击菩提果兑换按钮兑换为5个【特别的精魄】。	
2	2	5	99	5	1	188	188元充值	【真元】夏小倩	AddItem	18,1,712,9,1,1	1个【真元】夏小倩（四技能同伴凝聚），右键使用后，可获得【真元】夏小倩	
2	2	6	99	6	1	188	188元充值	【真元】紫苑	AddItem	18,1,712,10,1,1	1个【真元】紫苑（四技能同伴凝聚）,右键使用后，可获得【真元】紫苑。	
2	2	7	99	7	1	188	188元充值	【同伴】夏侯小小	AddItem	18,1,666,1,1,1	1个【同伴】夏侯小小	
2	3	1	95	4	1	188	188元充值	黄金智慧精华	CoinBuyItem	3	充值188元购买一折黄金智慧精华	18,1,565,2,1
3	1	1	100	3	1	588	588元充值	幸运奖券【绑银】	AddItem	18,1,637,2,2,1	2张幸运奖券【绑银】，每张奖券可获得50万绑银和一次充值抽奖机会	
3	1	1	100	3	2	588	588元充值	战书·游龙密室	AddItem	18,1,524,1,30,1	30个战书·游龙密室，使用后可挑战游龙阁，赢取极品道具。	
3	1	1	100	3	3	588	588元充值	五行魂石	AddItem	18,1,205,1,1500,1	1500个五行魂石，累积一定数量可在钱庄老板处兑换装备，或用于五行印的升级、官印/城主坐骑等的兑换。	
3	1	1	100	3	4	588	588元充值	充值优惠乾坤袋	AddItem	18,1,718,1,1,1	1个充值优惠乾坤袋，可以获得价值不菲的奖励，运气好的话有可能获得同伴特殊秘籍。	
3	1	1	100	3	5	588	588元充值	马牌（赤兔）	AddItem	1,12,10,4,1,0,57600	1个马牌（赤兔），移动速度+95%、生命+700、闪避+120、体力+120。	
3	1	1	100	3	6	588	588元充值	游龙古币	AddItem	18,1,553,1,200,1	200个游龙古币，用于在龙五太爷的游龙杂货店购买珍稀物品。	
3	1	1	100	3	7	588	588元充值	优惠券宝箱	AddItem	18,1,1700,1,2,1,43200	2个优惠券宝箱，可开出9玄优惠券或者精活优惠券。	
3	1	1	100	3	8	588	588元充值	强化传承符	AddItem	18,1,1198,1,1,1	1个强化传承符，可以将10级装备的强化等级转移到同类型的另一个装备上，在100%优惠转移状态下不需要再补充玄晶和银两。	
3	1	1	100	3	9	588	588元充值	强化传承优惠	AddItem	18,1,1702,1,1,1,10080	1个强化传承100%优惠符领取，该状态下对装备使用【强化传承符】进行强化转移可以无任何消耗，且高级装备剥离状态也不会消失，可一次性无损强化转移多件装备。	
3	1	1	100	3	10	588	588元充值	情·红色挚爱	AddItem	18,1,1655,1,1,1,43200	1个情·红色挚爱	
3	1	1	100	3	11	588	588元充值	玲珑宝盒	AddItem	18,1,1805,1,2,1,43200	2个玲珑宝盒	
3	2	1	98	1	1	588	588元充值	充值优惠乾坤袋	AddItem	18,1,718,1,2,1	2个充值优惠乾坤袋，可以获得价值不菲的奖励，运气好的话有可能获得同伴特殊秘籍。	
3	2	2	98	2	1	588	588元充值	中级祈福令牌	AddItem	18,1,212,2,3,1	3个中级祈福令牌，每个获得200点祈福声望和10次祈福机会，更快速积累祈福声望，到达对应声望等级可购买白银/黄金祈福护身符【激活所有首饰的暗属性】等装备。	
3	2	3	98	3	1	588	588元充值	购买和氏璧资格	AddBuyHeShiBiSum	18,1,377,1,1,2	2次8折购买机会【秦陵·和氏璧】	
3	2	4	98	4	1	588	588元充值	游龙古币	AddItem	18,1,553,1,500,1	500个游龙古币，用于在龙五太爷的游龙杂货店购买珍稀物品。	
3	2	5	98	5	1	588	588元充值	【同伴】萧不实	AddItem	18,1,666,2,1,1	1个【同伴】萧不实（五技能），五技能同伴。	
3	2	6	98	6	1	588	588元充值	【护体真元】宝玉	AddItem	18,1,712,3,1,1	1个【护体真元】宝玉（五技能同伴凝聚），右键使用后，可获得【护体真元】宝玉	
3	2	7	98	7	1	588	588元充值	【护体真元】叶静	AddItem	18,1,712,4,1,1	1个【护体真元】叶静（五技能同伴凝聚），右键使用后，可获得【护体真元】叶静。	
3	2	8	98	8	1	588	588元充值	【护体真元】紫苑	AddItem	18,1,712,7,1,1	1个【护体真元】紫苑（五技能同伴凝聚），右键使用后，可获得【护体真元】紫苑。	
3	2	9	98	9	1	588	588元充值	同伴经验书·箱	AddItem	18,1,716,1,1,1	1个同伴经验书·箱（内含150本），同伴道具，使用后可以增加同伴或真元的经验值，1箱包含150本同伴经验书。	
3	2	10	98	10	1	588	588元充值	点逸石	AddItem	24,1,37,1,1,0	1颗点逸石（可交易），特殊宝石，镶嵌在防具特殊孔，杀死敌人经验增加+5%。	
3	3	1	95	1	1	588	588元充值	购买和氏璧资格	CoinBuyHeShiBi	18,1,377,1,1	充值588和988元购买和氏璧	
4	1	1	100	4	1	988	988元充值	幸运奖券【绑银】	AddItem	18,1,637,2,2,1	2张幸运奖券【绑银】，每张奖券可获得50万绑银和一次充值抽奖机会。	
4	1	1	100	4	2	988	988元充值	千里传音	AddItem	18,1,924,1,2,1,43200	2个千里传音，获得2次大区公聊的机会。	
4	1	1	100	4	3	988	988元充值	充值返还坐骑箱	AddItem	18,1,1706,1,1,0,57600	1个充值返还坐骑箱(988元)，可选择获得珍惜坐骑吉祥虎或月华·澜 坐骑属性：移动速度+95%、生命+700、闪避+120、体力+120。	
4	1	1	100	4	4	988	988元充值	充值优惠乾坤袋	AddItem	18,1,718,1,1,1	1个充值优惠乾坤袋，可以获得价值不菲的奖励，运气好的话有可能获得同伴特殊秘籍。	
4	1	1	100	4	5	988	988元充值	优惠券宝箱	AddItem	18,1,1700,1,3,1,43200	3个优惠券宝箱，可开出9玄优惠券或者精活优惠券。	
4	1	1	100	4	6	988	988元充值	月光宝盒·小	AddItem	18,1,1764,1,1,0,14400	1个月光宝盒·小，打开可选取妖精之羽/霸蝶之羽，7天有效期。	
4	1	1	100	4	7	988	988元充值	强化传承符	AddItem	18,1,1198,1,3,1	3个强化传承符，可以将10级装备的强化等级转移到同类型的另一个装备上，在100%优惠转移状态下不需要再补充玄晶和银两。	
4	1	1	100	4	8	988	988元充值	游龙古币	AddItem	18,1,553,1,200,1	200个游龙古币，用于在龙五太爷的游龙杂货店购买珍稀物品。	
4	1	1	100	4	9	988	988元充值	情·蓝色妖姬	AddItem	18,1,1657,1,1,1,43200	1个情·蓝色妖姬	
4	2	1	97	1	1	988	988元充值	充值优惠乾坤袋	AddItem	18,1,718,1,2,1	2个充值优惠乾坤袋，可以获得价值不菲的奖励，运气好的话有可能获得同伴特殊秘籍。	
4	2	2	97	2	1	988	988元充值	购买和氏璧资格	AddBuyHeShiBiSum	18,1,377,1,1,3	3次优惠购买机会【秦陵·和氏璧】，以8折优惠价格购买秦陵·和氏璧，每使用一个和氏璧可获得100点皇陵·发丘门声望，更快速累积此类声望，到达对应声望等级可购买120级白银/黄金武器（购买价8000金币/个，可交易）。	
4	2	3	97	3	1	988	988元充值	中级祈福令牌	AddItem	18,1,212,2,3,1	3个中级祈福令牌，获得200点祈福声望和10次祈福机会。	
4	2	4	97	4	1	988	988元充值	昏暗封印·真元	AddItem	18,1,1025,2,30,1	30个昏暗封印·真元，使用后将会召唤出来一个真元BOSS。	
4	2	5	97	5	1	988	988元充值	【同伴】纤纤	AddItem	18,1,666,9,1,1	1个【同伴】纤纤（六技能），六技能同伴（绑定攻击全抗会心三基础技能）。	
4	2	6	97	6	1	988	988元充值	财宝兔（7天）	AddItem	18,1,1748,1,1,0	1个财宝兔7天	
4	2	7	97	7	1	988	988元充值	【护体真元】叶静	AddItem	18,1,712,6,1,1	1个【护体真元】叶静（六技能同伴凝聚），右键使用后，可获得【护体真元】叶静（六技能同伴凝聚）。	
4	2	8	97	8	1	988	988元充值	购买储物箱资格	AddBuyItemSum	1,21	1次购买机会【储物箱扩展令牌Lv3】，消耗5W金币获得储物箱扩展令牌Lv3，右键点击使用后使储物箱空间增加一页（40格），每人只能使用一次该令牌。使用后玩家最多开四页仓库。	18,1,216,3,1
4	2	9	97	9	1	988	988元充值	【同伴】东方若寒	AddItem	18,1,729,1,1,1	1个【同伴】东方若寒（经验技能）	
4	2	10	97	10	1	988	988元充值	游龙古币	AddItem	18,1,553,1,500,1	500个游龙古币，用于在龙五太爷的游龙杂货店购买珍稀物品。	
4	3	2	95	5	1	988	988元充值	第四页储物箱	CoinBuyItem	21	充值988元购买第四页储物箱	18,1,216,3,1
5	1	1	100	5	1	1000	1000元以上	绑金返还领取	BindCoinBack		充值超过1000元，每增加50元获得一次绑金返还（50元×20%=10元，即1000绑定金币）	
6	1	1	100	7	1	1988	1988元充值	宠物宝箱	AddItem	18,1,1725,1,1,0	一只可爱的财宝兔跟宠	
6	1	1	100	7	2	1988	1988元充值	情·玫瑰花语	AddItem	18,1,1786,1,1,1,43200	1个情·玫瑰花语	
6	1	1	100	7	3	1988	1988元充值	绝世雪羽·箱	AddItem	18,1,1749,1,1,0,43200	1个坐骑宝箱	
6	1	1	100	7	4	1988	1988元充值	月光宝盒·大	AddItem	18,1,1765,1,1,0,14400	1个月光宝盒·大，打开可选取妖精之羽/霸蝶之羽，30天有效期。	
7	1	1	100	6	1	4988	4988元充值	    <color=gold>购买资格<color><enter> 巾帼英雄24格包<enter>	AddBuyItemSum	1,12	巾帼英雄赛背包	21,9,6,1,1,1
7	1	1	100	6	2	4988	4988元充值	    <color=gold>购买资格<color><enter>   极品真元箱<enter>	AddBuyItemSum	1,24	极品真元礼包	18,1,738,1,1,1
7	2	1	96	1	1	4988	4988元充值	    <color=gold>购买资格<color><enter>武林大会英雄令牌<enter>   <color=pink>【指环王】<color>	AddBuyItemSum	16,1	【戒指】武林大会英雄令牌，武林大会英雄令牌购买资格以及尊贵称号【指环王】：以21888金币/个的价格购买英雄令牌（非绑定），限购16个，每个使用后可增加300点武林大会声望，当该声望达到2级时，可在武林大会报名官处购买极品装备【凌云之戒】。	18,1,487,1,0,16
7	2	2	96	2	1	4988	4988元充值	    <color=gold>购买资格<color><enter>  秦陵·和氏璧<enter>   <color=pink>【玉如意】<color>	AddBuyItemSum	50,4	【武器】八折购买和氏璧成品，八折秦陵和氏璧优惠购买资格以及尊贵称号【玉如意】：以8000金币/个的价格购买秦陵·和氏璧，限购50个。可在秦始皇陵内白苗苗处购买声望武器。	18,1,377,1,0,50
7	2	3	96	3	1	4988	4988元充值	    <color=gold>购买资格<color><enter>2010盛夏纪念徽章<enter>  <color=pink>【海洋之心】<color>	AddBuyItemSum	150,2	【项链】2010年盛夏纪念徽章，盛夏徽章购买资格以及尊贵称号【海洋之心】：以7000金币/个的价格购买2010盛夏纪念徽章（非绑定），限购150个，每个使用后可增加100点2010盛夏活动声望。可在汴京府逍遥谷客商购买声望项链。	18,1,663,1,0,150
7	2	4	96	4	1	4988	4988元充值	    <color=gold>购买资格<color><enter>跨服联赛声望白玉<enter>  <color=pink>【乱世枭雄】<color>	AddBuyItemSum	48,5	【玉佩&腰坠】跨服联赛声望白玉，48个跨服联赛声望白玉优惠购买资格以及尊贵称号【乱世枭雄】：以7500金币/个的价格购买跨服联赛声望白玉（非绑定），限购48个。可在临安府跨服联赛官处购买声望腰坠。	18,1,916,1,0,48
7	2	5	96	5	1	4988	4988元充值	    <color=gold>购买资格<color><enter> 寒武遗迹雪魂令<enter>  <color=pink>【雪山飞狐】<color>	AddBuyItemSum	60,17	【护腕】寒武遗迹雪魂令，60个雪魂令优惠购买资格以及尊贵称号【雪山飞狐】：以6000金币/个的价格购买雪魂令（非绑定），限购60个。可在汴京府逍遥谷客商处购买声望护腕。	18,1,512,1,0,60
7	2	6	96	6	1	4988	4988元充值	    <color=gold>购买资格<color><enter>   雷霆印碎片<enter>   <color=pink>【霹雳火】<color>	AddBuyItemSum	2,25	【印鉴】雷霆印碎片，购买雷霆印碎片以及尊贵称号【霹雳火】：以24W金币/个的价格购买雷霆印碎片（非绑定），限购2个。10个雷霆印碎片可在礼官处换取雷霆印。	18,1,741,1,0,2
7	3	1	95	6	1	4988	4988元充值	【秦陵·和氏璧】	CoinBuyItem	4	充值4988元购买八折和氏璧	18,1,377,1,0
7	3	2	95	7	1	4988	4988元充值	武林大会英雄令牌	CoinBuyItem	1	充值4988元购买武林大会英雄令牌	18,1,487,1,0
7	3	3	95	8	1	4988	4988元充值	盛夏纪念徽章	CoinBuyItem	2	充值4988元购买2010盛夏纪念徽章	18,1,663,1,0
7	3	4	95	9	1	4988	4988元充值	白玉	CoinBuyItem	5	充值4988元购买跨服联赛声望白玉	18,1,916,1,0
7	3	5	95	10	1	4988	4988元充值	寒武遗迹雪魂令	CoinBuyItem	17	充值4988元购买寒武遗迹雪魂令	18,1,512,1,0
7	3	6	95	11	1	4988	4988元充值	雷霆印碎片	CoinBuyItem	25	充值4988元购买雷霆印碎片	18,1,741,1,0
7	3	7	95	12	1	4988	4988元充值	巾帼英雄赛24格包	CoinBuyItem	12	充值4988元购买巾帼英雄赛24格包	21,9,6,1,1
7	3	8	95	13	1	4988	4988元充值	极品真元包	CoinBuyItem	24	充值4988元购买极品真元包	18,1,738,1,1
