Id	PartId	Desc	Name	Kind	Exp	ExpBase	JxMoney	JxBindMoney	JxCoin	Genre	Detail	Particular	Level	Series	Amount	RandRate	Bind	TimeLimit	Annouce	FriendMsg	KinTongMsg	NeedBagFree
43	3	马来金秋庆典	战功礼包	0	0	0	0	0	0	18	1	1065	1	0	1	0	0	43200	0	0	0	0
44	1	越南12月活动	调味品	2	0	0	0	0	0	18	1	1082	1	0	5	0	0	0	0	0	0	0
44	2	越南12月活动	香菇	2	0	0	0	0	0	18	1	1083	1	0	2	0	0	0	0	0	0	0
44	3	越南12月活动	酒	2	0	0	0	0	0	18	1	1084	1	0	1	0	0	0	0	0	0	0
44	4	越南12月活动	鸭肉	2	0	0	0	0	0	18	1	1080	1	0	1	0	0	0	0	0	0	0
44	5	越南12月活动	银两	2	0	0	5000	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
44	6	越南12月活动	烤鸭	0	0	0	0	0	0	18	1	1086	1	0	1	0	0	43200	0	0	0	0
45	1	越南12月活动	调味品	2	0	0	0	0	0	18	1	1082	1	0	5	0	0	0	0	0	0	0
45	2	越南12月活动	香菇	2	0	0	0	0	0	18	1	1083	1	0	2	0	0	0	0	0	0	0
45	3	越南12月活动	酒	2	0	0	0	0	0	18	1	1084	1	0	1	0	0	0	0	0	0	0
45	4	越南12月活动	鹅肉	2	0	0	0	0	0	18	1	1079	1	0	1	0	0	0	0	0	0	0
45	5	越南12月活动	银两	2	0	0	5000	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
45	6	越南12月活动	烤鹅	0	0	0	0	0	0	18	1	1085	1	0	1	0	0	43200	0	0	0	0
46	1	越南12月活动	桃子	2	0	0	0	0	0	18	1	1096	1	0	1	0	0	0	0	0	0	0
46	2	越南12月活动	酒壶	2	0	0	0	0	0	18	1	1095	1	0	1	0	0	0	0	0	0	0
46	3	越南12月活动	陈年桃酒	0	0	0	0	0	0	18	1	1097	1	0	1	7000	0	10080	0	0	0	
46	4	越南12月活动	上等桃酒	0	0	0	0	0	0	18	1	1098	1	0	1	3000	0	10080	0	0	0	0
47	1	堆圣诞雪人	20分钟经验	0	0	20	0	0	0	0	0	0	0	0	1	6900	0	0	0	0	0	0
47	2	堆圣诞雪人	40分钟经验	0	0	40	0	0	0	0	0	0	0	0	1	2000	0	0	0	0	0	0
47	3	堆圣诞雪人	60分钟经验	0	0	60	0	0	0	0	0	0	0	0	1	800	0	0	0	0	0	0
47	4	堆圣诞雪人	120分钟经验	0	0	120	0	0	0	0	0	0	0	0	1	300	0	0	0	0	0	0
48	1	堆圣诞雪人	200绑金	0	0	0	0	0	200	0	0	0	0	0	1	7600	0	0	0	0	0	0
48	2	堆圣诞雪人	500绑金	0	0	0	0	0	500	0	0	0	0	0	1	1200	0	0	0	0	0	0
48	3	堆圣诞雪人	1000绑金	0	0	0	0	0	1000	0	0	0	0	0	1	800	0	0	0	1	0	0
48	4	堆圣诞雪人	2000绑金	0	0	0	0	0	2000	0	0	0	0	0	1	300	0	0	1	1	0	0
48	5	堆圣诞雪人	5000绑金	0	0	0	0	0	5000	0	0	0	0	0	1	100	0	0	1	1	0	0
49	1	堆圣诞雪人	12000绑银	0	0	0	0	12000	0	0	0	0	0	0	1	7600	0	0	0	0	0	0
49	2	堆圣诞雪人	30000绑银	0	0	0	0	30000	0	0	0	0	0	0	1	1200	0	0	0	0	0	0
49	3	堆圣诞雪人	60000绑银	0	0	0	0	60000	0	0	0	0	0	0	1	800	0	0	0	1	0	0
49	4	堆圣诞雪人	120000绑银	0	0	0	0	120000	0	0	0	0	0	0	1	300	0	0	1	1	0	0
49	5	堆圣诞雪人	300000绑银	0	0	0	0	300000	0	0	0	0	0	0	1	100	0	0	1	1	0	0
50	1	越南1月活动	柚子	2	0	0	0	0	0	18	1	1129	1	0	1	0	0	0	0	0	0	0
50	2	越南1月活动	香蕉	2	0	0	0	0	0	18	1	1130	1	0	1	0	0	0	0	0	0	0
50	3	越南1月活动	芒果	2	0	0	0	0	0	18	1	1131	1	0	1	0	0	0	0	0	0	0
50	4	越南1月活动	刺果番荔枝	2	0	0	0	0	0	18	1	1132	1	0	1	0	0	0	0	0	0	0
50	5	越南1月活动	人参果	2	0	0	0	0	0	18	1	1133	1	0	1	0	0	0	0	0	0	0
50	6	越南1月活动	白银果盘	2	0	0	0	0	0	18	1	1134	1	0	1	0	0	0	0	0	0	0
50	7	越南1月活动	五果白银盘	0	0	0	0	0	0	18	1	1135	1	0	1	0	0	43200	0	0	0	0
51	1	越南1月活动	柚子	2	0	0	0	0	0	18	1	1129	1	0	1	0	0	0	0	0	0	0
51	2	越南1月活动	香蕉	2	0	0	0	0	0	18	1	1130	1	0	1	0	0	0	0	0	0	0
51	3	越南1月活动	芒果	2	0	0	0	0	0	18	1	1131	1	0	1	0	0	0	0	0	0	0
51	4	越南1月活动	刺果番荔枝	2	0	0	0	0	0	18	1	1132	1	0	1	0	0	0	0	0	0	0
51	5	越南1月活动	人参果	2	0	0	0	0	0	18	1	1133	1	0	1	0	0	0	0	0	0	0
51	6	越南1月活动	黄金果盘	2	0	0	0	0	0	18	1	1124	1	0	1	0	0	0	0	0	0	0
51	7	越南1月活动	五果黄金盘	0	0	0	0	0	0	18	1	1136	1	0	1	0	0	43200	0	0	0	0
52	1	越南3月活动	水	2	0	0	0	0	0	18	1	1215	1	0	1	0	0	0	0	0	0	0
52	2	越南3月活动	糯米	2	0	0	0	0	0	18	1	1216	1	0	1	0	0	0	0	0	0	0
52	3	越南3月活动	馅儿	2	0	0	0	0	0	18	1	1214	1	0	1	0	0	0	0	0	0	0
52	4	越南3月活动	银两	2	0	0	10000	0	0		0	0	0	0	1	0	0	0	0	0	0	0
52	5	越南3月活动	米饼	0	0	0	0	0	0	18	1	1218	1	0	1	0	0	43200	0	0	0	0
53	1	越南3月活动	水	2	0	0	0	0	0	18	1	1215	1	0	1	0	0	0	0	0	0	0
53	2	越南3月活动	糯米	2	0	0	0	0	0	18	1	1216	1	0	1	0	0	0	0	0	0	0
53	3	越南3月活动	馅儿	2	0	0	0	0	0	18	1	1214	1	0	1	0	0	0	0	0	0	0
53	4	越南3月活动	叶子	2	0	0	0	0	0	18	1	1212	1	0	1	0	0	0	0	0	0	0
53	5	越南3月活动	粽子	0	0	0	0	0	0	18	1	1217	1	0	1	0	0	43200	0	0	0	0
54	1	越南3月活动	义军令牌	2	0	0	0	0	0	18	1	84	1	0	1	0	0	0	0	0	0	0
54	2	越南3月活动	名捕令	2	0	0	0	0	0	18	1	190	1	0	1	0	0	0	0	0	0	0
54	3	越南3月活动	凤翔战场令牌	2	0	0	0	0	0	18	1	112	2	0	1	0	0	0	0	0	0	0
54	4	越南3月活动	逍遥谷3级令牌	2	0	0	0	0	0	18	1	289	9	0	1	0	0	0	0	0	0	0
54	5	越南3月活动	活跃礼盒	0	0	0	0	0	0	18	1	1219	1	0	1	0	0	43200	0	0	0	0
55	1	越南4月活动	空袋子	2	0	0	0	0	0	18	1	1265	1	0	1	0	0	0	0	0	0	0
55	2	越南4月活动	水瓶	2	0	0	0	0	0	18	1	1264	1	0	1	0	0	0	0	0	0	0
55	3	越南4月活动	水袋子	0	0	0	0	0	0	18	1	1266	1	0	1	0	0	0	0	0	0	0
56	1	越南4月活动	空袋子	2	0	0	0	0	0	18	1	1265	1	0	1	0	0	0	0	0	0	0
56	2	越南4月活动	干粮	2	0	0	0	0	0	18	1	1263	1	0	1	0	0	0	0	0	0	0
56	3	越南4月活动	干粮袋子	0	0	0	0	0	0	18	1	1267	1	0	1	0	0	43200	0	0	0	0
57	1	福满家园快乐之果活动	丰硕的果实	2	0	0	0	0	0	18	1	1472	1	0	10	0	0	0	0	0	0	0
57	2	福满家园快乐之果活动	丰收的果篮	0	0	0	0	0	0	18	1	1473	1	0	1	0	0	43200	0	0	0	0
58	1	雷霆印碎片	雷霆印碎片	2	0	0	0	0	0	18	1	741	1	0	10	0	0	0	0	0	0	0
58	2	雷霆印	雷霆印	0	0	0	0	0	0	1	16	14	2	0	1	0	0	0	0	0	0	0
