PRAY_1	PRAY_2	PRAY_3	PRAY_4	PRAY_5	AWARD_TYPE_1	AWARD_VALUE_1	AWARD_TYPE_2	AWARD_VALUE_2	AWARD_TYPE_3	AWARD_VALUE_3	AWARD_TYPE_4	AWARD_VALUE_4	AWARD_TYPE_5	AWARD_VALUE_5	AWARD_TYPE_6	AWARD_VALUE_6	AWARD_TYPE_7	AWARD_VALUE_7	AWARD_TYPE_8	AWARD_VALUE_8	AWARD_TYPE_9	AWARD_VALUE_9	AWARD_TYPE_10	AWARD_VALUE_10	PRAYWORDS	PRAYTHING
3	4	0	0	0	item	18,1,80,1	effect	876,6,1,64800,1,0,1	effect	879,1,1,64800,1,0,1									repute	5,4,1					<color=blue>水能克火，火多水干！情无崖，生有限，卿知之。<color>	<color=blue>省痴心；烈火之意，弱水难覆，慎之。<color>
3	5	0	0	0	item	18,1,80,1	effect	876,6,1,64800,1,0,1	effect	877,5,1,64800,1,0,1									repute	5,4,1					<color=blue>水弱逢土，必为淤塞！子已出尘，卿奈何为强。<color>	<color=blue>拾心斜阳下；晚春已至，相思无花，秋实难望，古道痴心。<color>
4	1	0	0	0	item	18,1,80,1	effect	879,2,1,64800,1,0,1	effect	878,5,1,64800,1,0,1									repute	5,4,1					<color=blue>火能克金，金多火熄！今日行事较顺，然不无磕绊。<color>	<color=blue>事事用心；千头万绪，唯细致不误。<color>
4	2	0	0	0	item	18,1,80,1	effect	879,2,1,64800,1,0,1	effect	880,1,1,64800,1,0,1									repute	5,4,1					<color=blue>火赖木生，木多火炽！壮志未酬，然心迫矣。<color>	<color=blue>静心；心乱志难酬，东郭竹色青，近而忘忧。<color>
4	3	0	0	0	item	18,1,80,1	effect	879,2,1,64800,1,0,1	effect	876,5,1,64800,1,0,1									repute	5,4,1					<color=blue>火弱逢水，必为熄灭！壮志不已，时机未到。<color>	<color=blue>卧薪尝胆；君子相机而动，无谓挣扎空余恨。<color>
4	5	0	0	0	item	18,1,80,1	effect	879,2,1,64800,1,0,1	effect	877,5,1,64800,1,0,1									repute	5,4,1					<color=blue>火能生土，土多火晦！志未酬，心莫已。<color>	<color=blue>闻鸡起舞；入世一路，实为险途，豺狼饿虎左右，谨心。<color>
5	1	0	0	0	item	18,1,80,1	effect	877,6,1,64800,1,0,1	effect	878,5,1,64800,1,0,1									repute	5,4,1					<color=blue>土能生金，金多土变！万化归一，异念乱性。<color>	<color=blue>沐浴焚香；静养生息，端正心魄。<color>
5	2	0	0	0	item	18,1,80,1	effect	877,6,1,64800,1,0,1	effect	880,1,1,64800,1,0,1									repute	5,4,1					<color=blue>土弱逢木，必为倾陷！木者，利也，君子远之。<color>	<color=blue>正心术；尘世浮云，不益养性，戒之。<color>
5	3	0	0	0	item	18,1,80,1	effect	877,6,1,64800,1,0,1	effect	876,5,1,64800,1,0,1									repute	5,4,1					<color=blue>土能克水，水多土流！水，乱心者，滥而损修为。<color>	<color=blue>禅思；非外物乱，心动也，静。<color>
5	4	0	0	0	item	18,1,80,1	effect	877,6,1,64800,1,0,1	effect	879,1,1,64800,1,0,1									repute	5,4,1					<color=blue>土赖火生，火多土焦！君莫急，急者歧途。<color>	<color=blue>话桑麻；如水之友，清泉为茶，星阵以欢。<color>
1	1	2	0	0	item	18,1,80,1	effect	878,7,1,64800,1,0,1	effect	880,2,1,64800,1,0,1									repute	5,4,5	achievement	96			<color=blue>两金克木，木虽坚，亦易折！今日行事利大于弊。<color>	<color=blue>勇于尝试；败亡之胁，强者之路也。<color>
1	1	3	0	0	item	18,1,80,1	effect	878,7,1,64800,1,0,1	effect	876,6,1,64800,1,0,1									repute	5,4,5	achievement	96			<color=blue>两金生水，水虽多，不易沉！以武相斗，有得有失。<color>	<color=blue>谨慎用武；武力虽强，欲伤人必伤己。<color>
1	1	4	0	0	item	18,1,80,1	effect	878,7,1,64800,1,0,1	effect	879,2,1,64800,1,0,1									repute	5,4,5	achievement	96			<color=blue>双金遇火，火虽炽，不易熔！矢志以斗，胜望在即。<color>	<color=blue>孤注一掷；君子若无退路，奋而起。<color>
1	1	5	0	0	item	18,1,80,1	effect	878,7,1,64800,1,0,1	effect	877,6,1,64800,1,0,1									repute	5,4,5	achievement	96			<color=blue>两金土埋，无双之才，他日终现！<color>	<color=blue>利见大人；市井千里马，唯伯乐识之。<color>
2	2	1	0	0	item	18,1,80,1	effect	880,3,1,64800,1,0,1	effect	878,6,1,64800,1,0,1									repute	5,4,5	achievement	100			<color=blue>双木逢金，木虽弱，亦难折！今日行事利大于弊。<color>	<color=blue>败而再战；屡败屡战，强者之象也。<color>
2	2	3	0	0	item	18,1,80,1	effect	880,3,1,64800,1,0,1	effect	876,6,1,64800,1,0,1									repute	5,4,5	achievement	100			<color=blue>双木在水，亦可为舟！命数在天，顺流而下。<color>	<color=blue>顺其自然；木已成舟，姑暂乘之。<color>
2	2	4	0	0	item	18,1,80,1	effect	880,3,1,64800,1,0,1	effect	879,2,1,64800,1,0,1									repute	5,4,5	achievement	100			<color=blue>双木孤火，木难焚！君子之途，一片坦荡。<color>	<color=blue>大胆行事；前途有险，勇者胜。<color>
2	2	5	0	0	item	18,1,80,1	effect	880,3,1,64800,1,0,1	effect	877,6,1,64800,1,0,1									repute	5,4,5	achievement	100			<color=blue>对木孤土，难为折！机运顺，益奋发。<color>	<color=blue>悬梁刺股；命途多舛，然天运助，契机。<color>
3	3	1	0	0	item	18,1,80,1	effect	876,7,1,64800,1,0,1	effect	878,6,1,64800,1,0,1									repute	5,4,5	achievement	104			<color=blue>两水金生，金虽多，不易浊！感情之事，包容为是。<color>	<color=blue>审情义；情之一途，本已不易，包容为善。<color>
3	3	2	0	0	item	18,1,80,1	effect	876,7,1,64800,1,0,1	effect	880,2,1,64800,1,0,1									repute	5,4,5	achievement	104			<color=blue>两水生木，木虽多，亦不缩！问心无愧也。<color>	<color=blue>宽心待；卿卿吾心，朗朗如月。<color>
3	3	4	0	0	item	18,1,80,1	effect	876,7,1,64800,1,0,1	effect	879,2,1,64800,1,0,1									repute	5,4,5	achievement	104			<color=blue>强水弱火，胜负已分！水火本无情。<color>	<color=blue>慎付真心；由来多情对无情，流水落花。<color>
3	3	5	0	0	item	18,1,80,1	effect	876,7,1,64800,1,0,1	effect	877,6,1,64800,1,0,1									repute	5,4,5	achievement	104			<color=blue>奇土之伤，柔水抚之；深情难辞。<color>	<color=blue>深痴心；情渐深，能释冰心。<color>
4	4	1	0	0	item	18,1,80,1	effect	879,3,1,64800,1,0,1	effect	878,6,1,64800,1,0,1									repute	5,4,5	achievement	108			<color=blue>两火克金，金虽坚，火精易熔！炙炎之势，烈不可当。<color>	<color=blue>雷厉风行；做大事者，不拘小节，速战速决。<color>
4	4	2	0	0	item	18,1,80,1	effect	879,3,1,64800,1,0,1	effect	880,2,1,64800,1,0,1									repute	5,4,5	achievement	108			<color=blue>偶火奇木，难焚心！顺性而为，善哉。<color>	<color=blue>益稳心性；当此时刻，稳住乱心，可矣。<color>
4	4	3	0	0	item	18,1,80,1	effect	879,3,1,64800,1,0,1	effect	876,6,1,64800,1,0,1									repute	5,4,5	achievement	108			<color=blue>聚萤烛以为火，可拒大水！卒子之力，不可小视。<color>	<color=blue>体恤下士；壮志将成，卒下即奔，稳军心。<color>
4	4	5	0	0	item	18,1,80,1	effect	879,3,1,64800,1,0,1	effect	877,6,1,64800,1,0,1									repute	5,4,5	achievement	108			<color=blue>双火生土，志易酬！壮怀激烈，与友飨。<color>	<color=blue>围釜聚；笑谈渴饮，共啖乳牛，思前途。<color>
5	5	1	0	0	item	18,1,80,1	effect	877,7,1,64800,1,0,1	effect	878,6,1,64800,1,0,1									repute	5,4,5	achievement	112			<color=blue>双土含金，德才兼备！矢志不渝，虚怀以待。<color>	<color=blue>依栏静思；天涯尽头，流云飞舟，几点柳絮飘飞。<color>
5	5	2	0	0	item	18,1,80,1	effect	877,7,1,64800,1,0,1	effect	880,2,1,64800,1,0,1									repute	5,4,5	achievement	112			<color=blue>双土逢木，难为陷！浊世小利，君子不耻。<color>	<color=blue>采菊东篱下；滚滚红尘，白衣若雪。<color>
5	5	3	0	0	item	18,1,80,1	effect	877,7,1,64800,1,0,1	effect	876,6,1,64800,1,0,1									repute	5,4,5	achievement	112			<color=blue>倍土克水，修为固！渐入佳境，未达纯青。<color>	<color=blue>燃炉；至炉火青，古书呕咽，待神丹。<color>
5	5	4	0	0	item	18,1,80,1	effect	877,7,1,64800,1,0,1	effect	879,2,1,64800,1,0,1									repute	5,4,5	achievement	112			<color=blue>土为厚，火势强！不知所以，向苍天。<color>	<color=blue>观星象；天机不泄，君子自知，遵天命。<color>
1	1	1	2	0	item	18,1,80,1	effect	878,7,1,777600,1,0,1	effect	880,2,1,777600,1,0,1	playertitle	7,1,1,0,2							repute	5,4,30	achievement	97			<color=blue>三金克木，坚木立断！比武决斗之良日。<color>	<color=blue>抢擂；阁下今日于擂台之上定轻取魁首。<color>
1	1	1	3	0	item	18,1,80,1	effect	878,7,1,777600,1,0,1	effect	876,6,1,777600,1,0,1	playertitle	7,3,1,0,0	playertitle	7,2,1,0,1	item	18,1,80,1			repute	5,4,30	achievement	97			<color=blue>三金生水，水多不沉！用武良机也。<color>	<color=blue>以武为用；以武谋利之大好时机，善哉。<color>
1	1	1	4	0	item	18,1,80,1	effect	878,7,1,777600,1,0,1	effect	879,2,1,777600,1,0,1	playertitle	7,4,1,0,2			item	18,1,80,1			repute	5,4,30	achievement	97			<color=blue>三金遇火，金多火易灭！众志成城，千难为克。<color>	<color=blue>团结奋进；众心一致，万险莫敌。<color>
1	1	1	5	0	item	18,1,80,1	effect	878,7,1,777600,1,0,1	effect	877,6,1,777600,1,0,1	playertitle	7,5,1,0,2			item	18,1,80,1			repute	5,4,30	achievement	97			<color=blue>三金在土，锋芒初现，岂为弱土埋之。<color>	<color=blue>毛遂自荐；德才兼备，时不待我，唯自荐以为进。<color>
2	2	2	1	0	item	18,1,80,1	effect	880,3,1,777600,1,0,1	effect	878,6,1,777600,1,0,1	playertitle	7,6,1,0,2			item	18,1,80,1			repute	5,4,30	achievement	101			<color=blue>三木逢金，难为斫折！以弱胜强之日。<color>	<color=blue>比武；大侠虽处弱势，亦有制胜之良机。<color>
2	2	2	3	0	item	18,1,80,1	effect	880,3,1,777600,1,0,1	effect	876,6,1,777600,1,0,1	playertitle	7,7,1,0,2			item	18,1,80,1			repute	5,4,30	achievement	101			<color=blue>三木入水，惊涛难覆！好运横来，魑魅难当。<color>	<color=blue>逆激流；天时地利，虽逆流亦行舟。<color>
2	2	2	4	0	item	18,1,80,1	effect	880,3,1,777600,1,0,1	effect	879,2,1,777600,1,0,1	playertitle	7,8,1,0,2			item	18,1,80,1			repute	5,4,30	achievement	101			<color=blue>木已成林，星火难伤！天命已定，命数难逃。<color>	<color=blue>替天行道；天命当头，君子不辞。<color>
2	2	2	5	0	item	18,1,80,1	effect	880,3,1,777600,1,0,1	effect	877,6,1,777600,1,0,1	playertitle	7,9,1,0,2			item	18,1,80,1			repute	5,4,30	achievement	101			<color=blue>众木克土，多土难存。前路通达，可为行。<color>	<color=blue>远行；虽荆棘之途，必有贵人助。<color>
3	3	3	1	0	item	18,1,80,1	effect	876,7,1,777600,1,0,1	effect	878,6,1,777600,1,0,1	playertitle	7,10,1,0,2			item	18,1,80,1			repute	5,4,30	achievement	105			<color=blue>三水金生，浊金可清！嫌隙小事，不值一提。<color>	<color=blue>烛窗夜话；悠悠长夜，共剪烛窗，同婵娟。<color>
3	3	3	2	0	item	18,1,80,1	effect	876,7,1,777600,1,0,1	effect	880,2,1,777600,1,0,1	playertitle	7,12,1,0,0	playertitle	7,11,1,0,1	item	18,1,80,1			repute	5,4,30	achievement	105			<color=blue>涌泉之施，虽滴水而无悔。水不在深，有容乃大。<color>	<color=blue>敞心扉；今日气数，他人难拒，情路畅矣。<color>
3	3	3	4	0	item	18,1,80,1	effect	876,7,1,777600,1,0,1	effect	879,2,1,777600,1,0,1	playertitle	7,13,1,0,2			item	18,1,80,1			repute	5,4,30	achievement	105			<color=blue>淼淼水兮，一豆灯火！此情此境，诚难消受。<color>	<color=blue>掌灯观花裳；是夜，烛与花，思念成狂。<color>
3	3	3	5	0	item	18,1,80,1	effect	876,7,1,777600,1,0,1	effect	877,6,1,777600,1,0,1	playertitle	7,14,1,0,2			item	18,1,80,1			repute	5,4,30	achievement	92	achievement	105	<color=blue>三水为一，势如波涛！沙土淘净，现真金。<color>	<color=blue>江湖同路；天涯如梦，形影匆匆，风雨不阻。<color>
4	4	4	1	0	item	18,1,80,1	effect	879,3,1,777600,1,0,1	effect	878,6,1,777600,1,0,1	playertitle	7,15,1,0,2			item	18,1,80,1			repute	5,4,30	achievement	109			<color=blue>三火克金，坚金为熔！烈火之威，万壑无用。<color>	<color=blue>勇往直前；后顾无用，临渊不乱。<color>
4	4	4	2	0	item	18,1,80,1	effect	879,3,1,777600,1,0,1	effect	880,2,1,777600,1,0,1	playertitle	7,16,1,0,2			item	18,1,80,1			repute	5,4,30	achievement	109			<color=blue>火渐烈，木助威！英雄壮志，天数已约。<color>	<color=blue>整行装；天涯路，尽苍茫，游侠心未伤。<color>
4	4	4	3	0	item	18,1,80,1	effect	879,3,1,777600,1,0,1	effect	876,6,1,777600,1,0,1	playertitle	7,18,1,0,0	playertitle	7,17,1,0,1	item	18,1,80,1			repute	5,4,30	achievement	109			<color=blue>火骤烈，弱水干，势不可当。<color>	<color=blue>急行；天下事，趁势而为，出奇功。<color>
4	4	4	5	0	item	18,1,80,1	effect	879,3,1,777600,1,0,1	effect	877,6,1,777600,1,0,1	playertitle	7,19,1,0,2			item	18,1,80,1			repute	5,4,30	achievement	109			<color=blue>真火聚首，胜利已望！群雄逐鹿，鹿肉谁啖，未可知。<color>	<color=blue>理思虑；细谋密划，鹿死吾手。<color>
5	5	5	1	0	item	18,1,80,1	effect	877,7,1,777600,1,0,1	effect	878,6,1,777600,1,0,1	playertitle	7,20,1,0,2			item	18,1,80,1			repute	5,4,30	achievement	113			<color=blue>厚土利金，苦修之才！久闭柴扉，忧苦日生。<color>	<color=blue>阖东扉而西行；迟暮，草色含金，明晨再飞。<color>
5	5	5	2	0	item	18,1,80,1	effect	877,7,1,777600,1,0,1	effect	880,2,1,777600,1,0,1	playertitle	7,21,1,0,2			item	18,1,80,1			repute	5,4,30	achievement	113			<color=blue>三土为丘，弱木何为患！吾以吾心对长空。<color>	<color=blue>吟诗容膝；旧诗行，容膝易安，浅吟低唱自逍遥。<color>
5	5	5	3	0	item	18,1,80,1	effect	877,7,1,777600,1,0,1	effect	876,6,1,777600,1,0,1	playertitle	7,22,1,0,2			item	18,1,80,1			repute	5,4,30	achievement	113			<color=blue>君之修为，已若厚土，残存俗念，莫奈何。<color>	<color=blue>闭关；幽幽古壁，仙影婆娑，此景苦修，成正果。<color>
5	5	5	4	0	item	18,1,80,1	effect	877,7,1,777600,1,0,1	effect	879,2,1,777600,1,0,1	playertitle	7,23,1,0,2			item	18,1,80,1			repute	5,4,30	achievement	113			<color=blue>炉尘重，火微弱！已是冷炉时。<color>	<color=blue>熄炉；静待炉冷，莫为强求，他日神丹即现。<color>
1	1	1	1	1	item	18,1,80,1	effect	878,10,1,1555200,1,0,1			playertitle	7,46,1,0,2	item	18,1,80,1	item	18,1,80,1			repute	5,4,500	achievement	99			<color=blue>金曰从革，具肃杀，变革之特性。五金，金之极也！<color>	<color=blue>战舞；大侠，保家卫国，建功立业，就在今日！<color>
1	1	1	1	2	item	18,1,80,1	effect	878,8,1,1555200,1,0,1	effect	880,3,1,1555200,1,0,1	playertitle	7,24,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	90	achievement	98	<color=blue>众金克木，天下无坚木！战无不胜。<color>	<color=blue>与人战；大侠今日若与人战，战无不胜。<color>
1	1	1	1	3	item	18,1,80,1	effect	878,8,1,1555200,1,0,1	effect	876,7,1,1555200,1,0,1	playertitle	7,25,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	98			<color=blue>众金生水，弱水难沉！武，无所不用其极。<color>	<color=blue>闯关；阁下于今日闯关，必是所向披靡。<color>
1	1	1	1	4	item	18,1,80,1	effect	878,8,1,1555200,1,0,1	effect	879,3,1,1555200,1,0,1	playertitle	7,26,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	98			<color=blue>金旺得火，方成器皿！宝剑锋从磨砺出。<color>	<color=blue>坚定意志；十年苦修一朝偿，梅花香自苦寒来。<color>
1	1	1	1	5	item	18,1,80,1	effect	878,8,1,1555200,1,0,1	effect	877,7,1,1555200,1,0,1	playertitle	7,27,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	98			<color=blue>众金之光，厚土难掩！伯乐万里以寻。<color>	<color=blue>正装待伯乐；君子之才，名扬神州。<color>
2	2	2	2	1	item	18,1,80,1	effect	880,4,1,1555200,1,0,1	effect	878,7,1,1555200,1,0,1	playertitle	7,28,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	91	achievement	102	<color=blue>众木逢金，利金难断！鸿运当头。<color>	<color=blue>渡劫；阁下今日虽逢死地，依天命而后生。<color>
2	2	2	2	2	item	18,1,80,1	effect	880,5,1,1555200,1,0,1			playertitle	7,47,1,0,2	item	18,1,80,1	item	18,1,80,1			repute	5,4,500	achievement	103			<color=blue>木曰曲直，具生长，升发之特性。五木，木之极也！<color>	<color=blue>寻宝；阁下今日鸿运当头，若探寻宝藏，必有所获。<color>
2	2	2	2	3	item	18,1,80,1	effect	880,4,1,1555200,1,0,1	effect	876,7,1,1555200,1,0,1	playertitle	7,29,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	102			<color=blue>巨木在水，中流砥柱！木不在巨，根深为是。<color>	<color=blue>万事皆宜；天地人，三元归一，何事不成？<color>
2	2	2	2	4	item	18,1,80,1	effect	880,4,1,1555200,1,0,1	effect	879,3,1,1555200,1,0,1	playertitle	7,30,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	102			<color=blue>强木得火，方化其顽！时运过盛，逆天。<color>	<color=blue>隐忍；命数之用，过而伤理，慎之。<color>
2	2	2	2	5	item	18,1,80,1	effect	880,4,1,1555200,1,0,1	effect	877,7,1,1555200,1,0,1	playertitle	7,31,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	102			<color=blue>强林之土，木以为养！海阔天空，任君行。<color>	<color=blue>万事皆宜；海阔凭鱼跃，天高任鸟飞，君知之。<color>
3	3	3	3	1	item	18,1,80,1	effect	876,8,1,1555200,1,0,1	effect	878,7,1,1555200,1,0,1	playertitle	7,32,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	106			<color=blue>三水为一，势如波涛！沙土淘净，现真金。<color>	<color=blue>登高望远；独立山风，离尘畅怀，天海一色残阳血。<color>
3	3	3	3	2	item	18,1,80,1	effect	876,8,1,1555200,1,0,1	effect	880,3,1,1555200,1,0,1	playertitle	7,34,1,0,0	playertitle	7,33,1,0,1	item	18,1,80,1			repute	5,4,100	achievement	106			<color=blue>强水得木，方泄其势！一味强求，终是不妥，佳木以寻。<color>	<color=blue>静亭闲坐；心弦日张，疲矣，春花秋月绕阶苔。<color>
3	3	3	3	3	item	18,1,80,1	effect	876,10,1,1555200,1,0,1			playertitle	7,49,1,0,0	playertitle	7,48,1,0,1	item	18,1,80,1	item	18,1,80,1	repute	5,4,500	achievement	107			<color=blue>水曰润下，具滋润，向下之特性。五水，水之极也！<color>	<color=blue>三人之行；吾师在旁，路克问道；侠士今日益向师傅请教，或向徒弟传授。<color>
3	3	3	3	4	item	18,1,80,1	effect	876,8,1,1555200,1,0,1	effect	879,3,1,1555200,1,0,1	playertitle	7,35,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	106			<color=blue>众水，海也，纳万物。<color>	<color=blue>了却此生缘；千年缘，情难收，今生得尝。<color>
3	3	3	3	5	item	18,1,80,1	effect	876,8,1,1555200,1,0,1	effect	877,7,1,1555200,1,0,1	playertitle	7,37,1,0,0	playertitle	7,36,1,0,1	item	18,1,80,1			repute	5,4,100	achievement	106			<color=blue>水旺得土，方成池沼！柔情似水，绕指柔。<color>	<color=blue>比翼；此情天作，卿意诚难负，一梦百年。<color>
4	4	4	4	1	item	18,1,80,1	effect	879,4,1,1555200,1,0,1	effect	878,7,1,1555200,1,0,1	playertitle	7,38,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	110			<color=blue>众火克金，金不存，水难留！焚空烈焰，势威盛。<color>	<color=blue>断绝大事；今日之机，机不可失，失不再来，万难为决。<color>
4	4	4	4	2	item	18,1,80,1	effect	879,4,1,1555200,1,0,1	effect	880,3,1,1555200,1,0,1	playertitle	7,39,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	110			<color=blue>烈焰汹汹，以木为势！此气势，王者相。<color>	<color=blue>与友豪饮；壮志将酬，唯知己可享。<color>
4	4	4	4	3	item	18,1,80,1	effect	879,4,1,1555200,1,0,1	effect	876,7,1,1555200,1,0,1	playertitle	7,40,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	110			<color=blue>火旺得水，方成相济！贤者在右，大善。<color>	<color=blue>宴群臣；英雄非圣，错难免，贤者辅之。<color>
4	4	4	4	4	item	18,1,80,1	effect	879,5,1,1555200,1,0,1			playertitle	7,51,1,0,0	playertitle	7,50,1,0,1	item	18,1,80,1	item	18,1,80,1	repute	5,4,500	achievement	111			<color=blue>火曰炎上，具发热，向上之特性。五火，火之极也！<color>	<color=blue>武学修炼；习武者当此日用功，事半而功倍矣！<color>
4	4	4	4	5	item	18,1,80,1	effect	879,4,1,1555200,1,0,1	effect	877,7,1,1555200,1,0,1	playertitle	7,41,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	93	achievement	110	<color=blue>烈焰熊熊，壮志既酬，亡人勿忘。<color>	<color=blue>秋风祭；旗舞秋风红若血，白骨三千，浊酒难祭。<color>
5	5	5	5	1	item	18,1,80,1	effect	877,8,1,1555200,1,0,1	effect	878,7,1,1555200,1,0,1	playertitle	7,42,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	114			<color=blue>强土得金，方制其壅！德之极，阻也，金制之。<color>	<color=blue>湖畔踏青；固守一隅，日久必僵，柔荑幽幽，闲云缭绕，露如珠。<color>
5	5	5	5	2	item	18,1,80,1	effect	877,8,1,1555200,1,0,1	effect	880,3,1,1555200,1,0,1	playertitle	7,43,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	114			<color=blue>众土，山也，木为折！一片红尘难为山。<color>	<color=blue>雪衣凌绝顶；云海滔滔，仿若蓬莱，临风释怀，似登仙。<color>
5	5	5	5	3	item	18,1,80,1	effect	877,8,1,1555200,1,0,1	effect	876,7,1,1555200,1,0,1	playertitle	7,44,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	94	achievement	114	<color=blue>已登仙境，莫忘世情！先天下而忧，后天下而乐。<color>	<color=blue>观凡情；出尘独立，益救苍生，劝世人。<color>
5	5	5	5	4	item	18,1,80,1	effect	877,8,1,1555200,1,0,1	effect	879,3,1,1555200,1,0,1	playertitle	7,45,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	114			<color=blue>多土火晦，然炉火纯青！修为已深，西行无虑。<color>	<color=blue>采丹；揭炉鼎，神丹璀璨，益登仙。<color>
5	5	5	5	5	item	18,1,80,1	effect	877,10,1,1555200,1,0,1			playertitle	7,53,1,0,0	playertitle	7,52,1,0,1	item	18,1,80,1	item	18,1,80,1	repute	5,4,500	achievement	115			<color=blue>土爰稼墙，具种植，生化万物之特性。五土，土之极也！<color>	<color=blue>春华秋实；今日之运，益为生产收获相关之事。<color>
