Index	Type	AwardItem	RandomSpeedTotal	RandomSpeed	AwardType	TaskType	AwardTypeEx	AwardTypeEx2	AwardTotal	AwardMax	AwardMin	AwardRandomMax	AwardRandomMin	SpeakTotal	SpeakNum	SkillTotal	SkillNum	RandomSkillId	RandomSkillLevel	SkillType	ItemChat	AwardChat	FollowChat1	FollowChat2	FollowChat3	FollowChat4	FollowChat5	FollowChat6	FollowChat7	FollowChat8	FollowChat9	FollowChat10	ItemTip
10	4		100	50	killnpc		addnum	random	1000	10	0	10000	1000	1000	10						Khi <color=yellow>đánh quái<color> chỉ cần dẫn ta theo, ta sẽ giúp tăng <color=yellow>%s đồng khóa<color> mỗi ngày.<enter><enter>Đã tích lũy được <color=yellow>%s đồng khóa<color><enter><color=red>(Phải tích lũy đến điểm tối đa mới nhận được thưởng, mỗi ngày chỉ nhận 1 lần)<color>	Thư Đồng giúp ngươi tăng thêm [%s đồng khóa]	Ta đến giúp chủ nhân rửa nghiên mực, là la lá!	Khổng lão phu nói rất đúng: Trong 3 người, tất sẽ có 1 người là thầy của ta!	Trường kiếm nhất bôi tửu, phương thốn nam nhi tâm, ta sẽ cùng chủ nhân đến chân trời góc biển!	Nguyệt Nguyệt tỷ thôn bên cạnh luôn liếc mắt với ta, xem ra đẹp trai cũng khổ!	Là một thiếu niên trong thôn, đôi khi cũng áp lực lắm!	Nhân chi sơ, tính bản thiện…hehe...chủ nhân, ta đọc đã đúng chưa?					Đồng khóa Thư Đồng tích lũy: %s / %s
11	4		100	50	killnpc		addnum	random	1000	10	0	10000	1000	1000	10						Khi <color=yellow>đánh quái<color> chỉ cần dẫn ta theo, ta sẽ giúp tăng <color=yellow>%s đồng khóa<color> mỗi ngày.<enter><enter>Đã tích lũy được <color=yellow>%s đồng khóa<color><enter><color=red>(Phải tích lũy đến điểm tối đa mới nhận được thưởng, mỗi ngày chỉ nhận 1 lần)<color>	Hùng Bảo giúp ngươi tăng thêm [%s đồng khóa]	Tiểu tử, xem ta đây!	Ngươi không thể chạy, một võ sĩ chân chính sẽ không tháo lui!	Thấy chiêu kim kê độc lập của ta thế nào?								Đồng khóa Hùng Bảo tích lũy: %s / %s
12	1		100	50	killnpc		random	random	50000	2000	100	10000	2000	1000	10						Chào chủ nhân, tôi là <color=green>Tài Bảo Thố<color> của ngài, chỉ cần ngài dẫn theo tôi khi <color=yellow>đánh quái<color>, tôi sẽ giúp ngài <color=yellow>mỗi ngày nhận được %s Bạc khóa<color>.<enter><enter>Đã tích lũy được <color=yellow>%s Bạc khóa<color><enter><color=red>(Chỉ khi tích lũy đạt tối đa mới được nhận thưởng, mỗi ngày chỉ được nhận 1 lần)<color>	Thỏ thu được [%s Bạc khóa], thật đáng yêu!	Chủ nhân thật lợi hại!	Ước nguyện duy nhất là được cùng ngài luyện võ.	Chủ nhân hãy cẩn thận phía sau!	Chủ nhân hãy hẹn ý trung nhân cùng đi ngắm cảnh nào!							Bạc khóa mà Tài Bảo Thố tích lũy được: %s / %s
13	4		100	50	killnpc		addnum	random	100	10	0	10000	1000	1000	10						Khi <color=yellow>đánh quái<color> chỉ cần dẫn ta theo, ta sẽ giúp tăng <color=yellow>%s đồng khóa<color> mỗi ngày.<enter><enter>Đã tích lũy được <color=yellow>%s đồng khóa<color><enter><color=red>(Phải tích lũy đến điểm tối đa mới nhận được thưởng, mỗi ngày chỉ nhận 1 lần)<color>	Hùng Bảo giúp ngươi tăng thêm [%s đồng khóa]	Tiểu tử, xem ta đây!	Ngươi không thể chạy, một võ sĩ chân chính sẽ không tháo lui!	Thấy chiêu kim kê độc lập của ta thế nào?								Đồng khóa Hùng Bảo tích lũy: %s / %s
14	1		100	50	killnpc		random	random	500000	2000	100	10000	2000	1000	10						Khi <color=yellow>đánh quái<color> chỉ cần dẫn ta theo, ta sẽ giúp tăng <color=yellow>%s bạc khóa<color> mỗi ngày.<enter><enter>Đã tích lũy được <color=yellow>%s bạc khóa<color><enter><color=red>(Phải tích lũy đến điểm tối đa mới nhận được thưởng, mỗi ngày chỉ nhận 1 lần)<color>	Tỵ Nhi giúp ngươi tăng thêm [%s bạc khóa]	Chủ nhân thật lợi hại!	Cảnh đẹp Tây Hồ…ta rất muốn đến Tây Hồ thơ mộng đó!	Chủ nhân, người không cảm thấy chúng ta rất có duyên hay sao?	Chủ nhân, nhìn cây dù của ta đi, có thể che mưa che nắng cho chúng ta đó!	Dẫn ta đến cây cầu gãy ở Tây Hồ đi, nhất định sẽ gặp được vị lang quân như ý!						Bạc khóa Quân Tị tích lũy: %s / %s
15	2		100	50	killnpc		addnum	random	360	10	0	10000	1000	1000	10						Chỉ cần ngài dẫn theo tôi khi <color=yellow>đánh quái<color>, tôi sẽ giúp ngài <color=yellow>mỗi ngày nhận được %s kinh nghiệm<color>.<enter><enter>Đã tích lũy được <color=yellow>%s kinh nghiệm<color><enter><color=red>(Chỉ khi tích lũy đạt tối đa mới được nhận thưởng, mỗi ngày chỉ được nhận 1 lần)<color>	Hương Hương tăng thêm [%s kinh nghiệm]	Chủ nhân thật lợi hại!	Cảnh đẹp Tây Hồ…ta rất muốn đến Tây Hồ thơ mộng đó!	Chủ nhân, người không cảm thấy chúng ta rất có duyên hay sao?	Chủ nhân, nhìn cây dù của ta đi, có thể che mưa che nắng cho chúng ta đó!	Dẫn ta đến cây cầu gãy ở Tây Hồ đi, nhất định sẽ gặp được vị lang quân như ý!						Kinh nghiệm Hương Hương tích lũy: %s / %s
16	4		100	50	killnpc		addnum	random	1000	10	0	10000	1000	1000	10						Khi <color=yellow>đánh quái<color> chỉ cần dẫn ta theo, ta sẽ giúp tăng <color=yellow>%s đồng khóa<color> mỗi ngày.<enter><enter>Đã tích lũy được <color=yellow>%s đồng khóa<color><enter><color=red>(Phải tích lũy đến điểm tối đa mới nhận được thưởng, mỗi ngày chỉ nhận 1 lần)<color>	Hoàng Tử Ếch tăng thêm cho ngươi [%s đồng khóa]	Hu hu, người trong mộng của ta, chừng nào người mới đến đây?	Quả nhân là thái tử tiền triều, bị vu bà ếm bùa mới thành ra thế này! Hừ!	Nhìn cái gì, chưa thấy qua ếch đẹp trai sao?	Thời tiết hôm nay rất tốt, có thể ra khỏi giếng tắm nắng rồi!							Số lượng đồng khóa tích lũy: %s / %s
17	1		100	50	killnpc		random	random	250000	2000	100	10000	2000	1000	10						Chủ nhân, ta là <color=green>Bánh Ú May Mắn<color>, chỉ cần khi <color=yellow>diệt quái<color> hãy đưa ta đi cùng sẽ giúp ngài <color=yellow>mỗi ngày nhận được %s Bạc khóa<color>.<enter><enter>Đã tích lũy <color=yellow>%s Bạc khóa<color><enter><color=red>(Tích lũy đạt tối đa mới có thể nhận thưởng, mỗi ngày chỉ được nhận 1 lần)<color>	Bánh ú giúp tăng thêm [%s Bạc khóa]	Thưởng thức bánh ú, ăn 1 miếng cười rạng rỡ! Năm nay chủ nhân đã ăn bánh ú chưa?	Thưởng thức bánh ú, ăn 2 miếng vận tốt đến! Chủ nhân xin đừng ăn ta!	Thưởng thức bánh ú, ăn 3 miếng hạnh phúc đến! Ta chính là áo bông ấm áp của chủ nhân đây!	Thưởng thức bánh ú, ăn 4 miếng ai cũng thích! Ta cũng muốn nếm thử bánh ú							Bánh Ú May Mắn tích lũy Bạc khóa: %s / %s
18	1		100	50	killnpc		random	random	90000	2000	100	10000	2000	1000	10						Chủ nhân, ta là <color=green>thú cưng<color> yêu quý của ngài, chỉ cần khi <color=yellow>diệt quái<color> hãy đưa ta đi cùng sẽ giúp ngài <color=yellow>mỗi ngày nhận được %s Bạc khóa<color>.<enter><enter>Đã tích lũy <color=yellow>%s Bạc khóa<color><enter><color=red>(Tích lũy đạt tối đa mới có thể nhận thưởng, chỉ được nhận 1 lần)<color>	Thú cưng giúp tăng thêm [%s Bạc khóa]	Chủ nhân thật lợi hại!	Ước nguyện duy nhất là được cùng ngài luyện võ.	Chủ nhân hãy cẩn thận phía sau!	Chủ nhân hãy hẹn ý trung nhân cùng đi ngắm cảnh nào!							Thú cưng tích lũy Bạc khóa: %s / %s
19	2		100	50	killnpc		random	random	720	10	100	10000	2000	1000	10						Chủ nhân, ta là <color=green>thú cưng<color> yêu quý của ngài, chỉ cần khi <color=yellow>diệt quái<color> hãy đưa ta đi cùng sẽ giúp ngài <color=yellow>mỗi ngày nhận được %s kinh nghiệm<color>.<enter><enter>Đã tích lũy <color=yellow>%s kinh nghiệm<color><enter><color=red>(Tích lũy đạt tối đa mới có thể nhận thưởng, mỗi ngày chỉ được nhận 1 lần)<color>	Thú cưng giúp tăng thêm [%s Kinh nghiệm]	Chủ nhân thật lợi hại!	Ước nguyện duy nhất là được cùng ngài luyện võ.	Chủ nhân hãy cẩn thận phía sau!	Chủ nhân hãy hẹn ý trung nhân cùng đi ngắm cảnh nào!							Thú cưng tích lũy kinh nghiệm: %s / %s
20	4		100	50	killnpc		random	random	900	10	100	10000	2000	1000	10						Chủ nhân, ta là <color=green>thú cưng<color> yêu quý của ngài, chỉ cần khi <color=yellow>diệt quái <color> hãy đưa ta theo cùng sẽ giúp ngài <color=yellow>mỗi ngày nhận được %s Đồng khóa<color>.<enter><enter>Đã tích lũy <color=yellow>%s Đồng khóa<color><enter><color=red>(Tích lũy đạt tối đa mới có thể nhận thưởng, chỉ được nhận 1 lần)<color>	Thú cưng giúp tăng thêm [%s Đồng khóa]	Chủ nhân thật lợi hại!	Ước nguyện duy nhất là được cùng ngài luyện võ.	Chủ nhân hãy cẩn thận phía sau!	Chủ nhân hãy hẹn ý trung nhân cùng đi ngắm cảnh nào!							Thú cưng tích lũy Đồng khóa: %s / %s
21	4		100	50	killnpc		addnum	random	10000	200	0	10000	2000	1000	10						Chỉ cần khi <color=yellow>diệt quái<color> hãy đưa chúng tôi đi cùng sẽ giúp ngài <color=yellow>mỗi ngày nhận được %s Đồng khóa<color>.<enter><enter>Đã tích lũy <color=yellow>%s Đồng khóa<color><enter><color=red>(Tích lũy đạt tối đa mới có thể nhận thưởng, chỉ được nhận 1 lần)<color>	Tỉ Dực Điệp giúp tăng [%s Đồng khóa]	Trang sinh hiểu mộng mê hồ điệp, vọng đế xuân tâm thác đỗ quyên.	Nguyện như chim liền cánh như cây liền cành.	Trời có tình thì trời cũng già, ai chà! Chạy thôi!	Phong cảnh đẹp thế này sao có thể không đối ẩm thưởng nguyệt.							Tỉ Dực Điệp tích lũy Đồng khóa: %s / %s
22	4		100	50	killnpc		addnum	random	1000	10	0	10000	2000	1000	10						Chỉ cần khi <color=yellow>diệt quái<color> hãy đưa chúng tôi đi cùng sẽ giúp ngài <color=yellow>mỗi ngày nhận được %s Đồng khóa<color>.<enter><enter>Đã tích lũy <color=yellow>%s Đồng khóa<color><enter><color=red>(Tích lũy đạt tối đa mới có thể nhận thưởng, chỉ được nhận 1 lần)<color>	Tỉ Dực Điệp giúp tăng [%s Đồng khóa]	Trang sinh hiểu mộng mê hồ điệp, vọng đế xuân tâm thác đỗ quyên.	Nguyện như chim liền cánh như cây liền cành.	Trời có tình thì trời cũng già, ai chà! Chạy thôi!	Phong cảnh đẹp thế này sao có thể không đối ẩm thưởng nguyệt.							Tỉ Dực Điệp tích lũy Đồng khóa: %s / %s
23	1		100	50	killnpc		addnum	random	85330	2000	100	10000	2000	1000	10						Chủ nhân, khi diệt quái hãy đưa ta đi cùng sẽ giúp ngài thu thập %s Bạc khóa, mau tăng cấp.<enter><enter>Đã tích lũy được <color=yellow>%s Bạc khóa<color><enter><color=red>(Tích lũy đạt tối đa mới có thể nhận thưởng, chỉ được nhận 1 lần)<color>	Thú cưng giúp tăng thêm [%s Kinh nghiệm]	Chủ nhân thật lợi hại!	Ước nguyện duy nhất là được cùng ngài luyện võ.	Chủ nhân, cưỡi ngựa quá tốc độ rồi!	Chủ nhân, đã hẹn được người trong mộng hãy cùng nhau đi dạo đi!	Chủ nhân sẽ mãi mãi chỉ yêu thích chúng tôi chứ?						Thú cưng tích lũy Bạc khóa: %s / %s
24	2		100	50	killnpc		addnum	random	480	10	100	10000	2000	1000	10						Chủ nhân, khi diệt quái hãy đưa chúng tôi đi cùng mỗi ngày sẽ thu thập %s Kinh nghiệm.<enter><enter>Đã tích lũy được <color=yellow>%s kinh nghiệm<color><enter><color=red>(Tích lũy đạt tối đa mới có thể nhận thưởng, chỉ được nhận 1 lần)<color>	Thú cưng giúp tăng thêm [%s Bạc khóa]	Chủ nhân thật lợi hại!	Ước nguyện duy nhất là được cùng ngài luyện võ.	Chủ nhân, cưỡi ngựa quá tốc độ rồi!	Chủ nhân, đã hẹn được người trong mộng hãy cùng nhau đi dạo đi!	Chủ nhân sẽ mãi mãi chỉ yêu thích chúng tôi chứ?						Thú cưng tích lũy kinh nghiệm: %s / %s
25	4		100	50	killnpc		addnum	random	850	10	100	10000	2000	1000	10						Chủ nhân, khi diệt quái hãy đưa chúng tôi đi cùng sẽ giúp ngài thu thập %s Đồng khóa.<enter><enter>Đã tích lũy <color=yellow>%s Đồng khóa<color><enter><color=red>(Tích lũy đạt tối đa mới có thể nhận thưởng, chỉ được nhận 1 lần)<color>	Thú cưng giúp tăng thêm [%s Đồng khóa]	Chủ nhân thật lợi hại!	Ước nguyện duy nhất là được cùng ngài luyện võ.	Chủ nhân, cưỡi ngựa quá tốc độ rồi!	Chủ nhân, đã hẹn được người trong mộng hãy cùng nhau đi dạo đi!	Chủ nhân sẽ mãi mãi chỉ yêu thích chúng tôi chứ?						Thú cưng tích lũy Đồng khóa: %s / %s
26	1		100	50	killnpc		random	random	500000	2000	100	10000	2000	1000	10						Khi <color=yellow>đánh quái<color> chỉ cần dẫn ta theo, ta sẽ giúp tăng <color=yellow>%s bạc khóa<color> mỗi ngày.<enter><enter>Đã tích lũy được <color=yellow>%s bạc khóa<color><enter><color=red>(Phải tích lũy đến điểm tối đa mới nhận được thưởng, mỗi ngày chỉ nhận 1 lần)<color>	Tỵ Nhi giúp ngươi tăng thêm [%s bạc khóa]	Chủ nhân thật lợi hại!	Cảnh đẹp Tây Hồ…ta rất muốn đến Tây Hồ thơ mộng đó!	Chủ nhân, người không cảm thấy chúng ta rất có duyên hay sao?	Chủ nhân, nhìn cây dù của ta đi, có thể che mưa che nắng cho chúng ta đó!	Dẫn ta đến cây cầu gãy ở Tây Hồ đi, nhất định sẽ gặp được vị lang quân như ý!						Bạc khóa Quân Tị tích lũy: %s / %s
27	1		100	50	killnpc		random	random	500000	2000	100	10000	2000	1000	10						Chủ nhân, khi diệt quái hãy đưa chúng tôi đi cùng mỗi ngày sẽ nhận được <color=yellow>%s Bạc khóa<color>.<enter><enter>Đã tích lũy <color=yellow>%s Bạc khóa<color><enter><color=red>(Tích lũy đạt tối đa mới có thể nhận thưởng, mỗi ngày chỉ được nhận 1 lần)<color>		Ước nguyện duy nhất là được cùng ngài luyện võ.	Chủ nhân, cưỡi ngựa quá tốc độ rồi!	Chủ nhân, đã hẹn được người trong mộng hãy cùng nhau đi dạo đi!	Chủ nhân sẽ mãi mãi chỉ yêu thích chúng tôi chứ?							Cậu Bé Cá Chép tích lũy Bạc khóa: %s / %s
28	1		100	50	killnpc		random	random	500000	2000	100	10000	2000	1000	10						Chỉ cần khi <color=yellow>diệt quái<color> đưa chúng tôi đi cùng sẽ giúp ngài <color=yellow>mỗi ngày nhận được %s Bạc khóa<color>.<enter><enter>Đã tích lũy <color=yellow>%s Bạc khóa<color><enter><color=red>(Tích lũy đạt tối đa mới có thể nhận thưởng, mỗi ngày chỉ được nhận 1 lần)<color>		Trang sinh hiểu mộng mê hồ điệp, vọng đế xuân tâm thác đỗ quyên.	Nguyện như chim liền cánh như cây liền cành.	Trời có tình thì trời cũng già, ai chà! Chạy thôi!	Phong cảnh đẹp thế này sao có thể không đối ẩm thưởng nguyệt.							Tỉ Dực Điệp tích lũy Bạc khóa: %s / %s
29	1		100	50	killnpc		random	random	80000	2000	100	10000	2000	1000	10						Chỉ cần khi <color=yellow>diệt quái<color> đưa chúng tôi đi cùng sẽ giúp ngài <color=yellow>mỗi ngày nhận %s Bạc khóa<color>.<enter><enter>Bạn đã tích lũy<color=yellow>%s Bạc khóa<color><enter><color=red>(Tích lũy đạt tối đa mới có thể nhận thưởng, chỉ được nhận 1 lần)<color>	Thú cưng giúp tăng thêm [%s Bạc khóa]	Chủ nhân hãy hẹn ý trung nhân cùng đi ngắm cảnh nào!	Chủ nhân, cưỡi ngựa quá tốc độ rồi	Chủ nhân Giáng Sinh vui không?								Tai Dài tích lũy Bạc khóa: %s / %s
30	1		100	50	killnpc		random	random	80000	2000	100	10000	2000	1000	10						Chỉ cần khi <color=yellow>diệt quái<color> đưa chúng tôi đi cùng sẽ giúp ngài <color=yellow>mỗi ngày nhận %s Bạc khóa<color>.<enter><enter>Bạn đã tích lũy<color=yellow>%s Bạc khóa<color><enter><color=red>(Tích lũy đạt tối đa mới có thể nhận thưởng, chỉ được nhận 1 lần)<color>	Thú cưng giúp tăng thêm [%s Bạc khóa]	Chủ nhân hãy hẹn ý trung nhân cùng đi ngắm cảnh nào!	Chủ nhân, cưỡi ngựa quá tốc độ rồi	Chủ nhân Giáng Sinh vui không?								Tiểu Ma Nữ tích lũy Bạc khóa: %s / %s
