Id	Map	ClassName	MapId	Msg	Option1	Option2	Option3	Option4	Option5	Option6	Option7	Option8	Option9	Option10	Option11	Option12
11	Côn Lôn Phái	bingqipulaoban	12	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Kiếm"",""Dialog:OpenShop"",2,1"	"""Đao"",""Dialog:OpenShop"",3,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
12	Võ Đang Phái	bingqipulaoban	14	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Kiếm"",""Dialog:OpenShop"",2,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""							
13	Cái Bang	bingqipulaoban	15	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Triền thủ"",""Dialog:OpenShop"",1,1"	"""Côn"",""Dialog:OpenShop"",4,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
14	Nga My Phái	bingqipulaoban	16	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Triền thủ"",""Dialog:OpenShop"",1,1"	"""Kiếm"",""Dialog:OpenShop"",2,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
15	Thúy Yên Môn	bingqipulaoban	17	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Kiếm"",""Dialog:OpenShop"",2,1"	"""Đao"",""Dialog:OpenShop"",3,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
16	Đường Môn	bingqipulaoban	18	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Phi đao"",""Dialog:OpenShop"",8,1"	"""Tụ tiễn"",""Dialog:OpenShop"",9,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
17	Ngũ Độc Giáo	bingqipulaoban	20	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Triền thủ"",""Dialog:OpenShop"",1,1"	"""Đao"",""Dialog:OpenShop"",3,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
18	Thiên Vương Bang	bingqipulaoban	22	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Thương"",""Dialog:OpenShop"",5,1"	"""Chùy"",""Dialog:OpenShop"",6,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
19	Biện Kinh	bingqipulaoban	23	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Đao"",""Dialog:OpenShop"",3,1"	"""Côn"",""Dialog:OpenShop"",4,1"	"""Thương"",""Dialog:OpenShop"",5,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""					
20	Phượng Tường	bingqipulaoban	24	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Kiếm"",""Dialog:OpenShop"",2,1"	"""Đao"",""Dialog:OpenShop"",3,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
21	Tương Dương	bingqipulaoban	25	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Thương"",""Dialog:OpenShop"",5,1"	"""Chùy"",""Dialog:OpenShop"",6,1"	"""Kiếm"",""Dialog:OpenShop"",2,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""					
22	Dương Châu	bingqipulaoban	26	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Triền thủ"",""Dialog:OpenShop"",1,1"	"""Côn"",""Dialog:OpenShop"",4,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
23	Thành Đô	bingqipulaoban	27	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Triền thủ"",""Dialog:OpenShop"",1,1"	"""Kiếm"",""Dialog:OpenShop"",2,1"	"""Phi đao"",""Dialog:OpenShop"",8,1"	"""Tụ tiễn"",""Dialog:OpenShop"",9,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""				
24	Đại Lý	bingqipulaoban	28	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Kiếm"",""Dialog:OpenShop"",2,1"	"""Đao"",""Dialog:OpenShop"",3,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
25	Lâm An	bingqipulaoban	29	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Triền thủ"",""Dialog:OpenShop"",1,1"	"""Đao"",""Dialog:OpenShop"",3,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
26		fangjupulaoban		Mời ghé vào xem, trang bị của ta tuy không bằng phi phong của Tạ Hiền, nhưng cũng là tâm huyết do một tay ta làm ra!	"""<color=yellow>Khoác<color>"",""Shop:OpenWaiZhuangShop"",175,3"	"""<color=yellow>Nón<color>"",""Shop:OpenWaiZhuangShop"",176,3"	"""Y phục"",""Dialog:OpenShop"",10,1"	"""Giày, thắt lưng"",""Dialog:OpenShop"",11,1"	"""Nón"",""Dialog:OpenShop"",12,1"	"""Hộ uyển, thủ trạc"",""Dialog:OpenShop"",13,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Da"",""Dialog:OpenShop"",20,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""		
27		zahuopulaoban		Tạp hóa Nam Bắc gì cũng có! Khách quan muốn mua gì?	"""<color=gold>[Bạc khóa]<color> Tạp hóa"",""Dialog:OpenShop"",15,7"	"""Tạp hóa"",""Dialog:OpenShop"",15,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Thuốc"",""Dialog:OpenShop"",18,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Da"",""Dialog:OpenShop"",20,1"	"""Không mua nữa"""				
28		yaopulaoban		Những năm gần đây cục thế biến loạn nhưng tiệm thuốc của ta lại làm ăn ngày càng phát đạt, ta nên vui hay nên buồn đây…Thật mong sao phi phong của Tạ Hiền có thể thay đổi thời cuộc này. 	"""<color=gold>[Bạc khóa]<color> Dược phẩm"",""Dialog:OpenShop"",14,7"	"""Dược phẩm"",""Dialog:OpenShop"",14,1"	"""Thuốc"",""Dialog:OpenShop"",18,1"	"""Đổi rương thuốc cao cấp"", ""Npc:ExchangeYaoXiang"""	"""Không mua nữa"""							
29		shoushipulaoban		Nam đeo ngọc bội, nữ đeo hương nang. Ta vừa nhập về một lô hàng thủ công tinh xảo, khách quan chớ bỏ qua! Lại là người muốn mua phi phong, khách quan đi tìm Tạ Hiền thì hơn! 	"""Hạng liên"",""Dialog:OpenShop"",73,1"	"""Nhẫn"",""Dialog:OpenShop"",74,1"	"""Ngọc bội, hương nang"",""Dialog:OpenShop"",75,1"	"""Hộ thân phù"",""Dialog:OpenShop"",76,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Da"",""Dialog:OpenShop"",20,1"	"""Không mua nữa"""				
30		jiuloulaoban		Nghe Tiểu Nhị nói gần đây Tạ Hiền vừa tìm được một số tuyệt thế phi phong, chỉ những anh hùng có tên trên Xếp hạng vinh dự mới xứng sở hữu chúng, nếu không vì phải nuôi gia đình, ta cũng quyết xông pha giang hồ một phen! 	"""<color=gold>[Bạc khóa]<color> Thực phẩm"",""Dialog:OpenShop"",21,7"	"""Thực phẩm"",""Dialog:OpenShop"",21,1"	"""Không mua nữa"""									
31		liehuxiaowulaoban		Từ ngày ta mặc chiếc phi phong do Tạ Hiền tặng, đi săn không còn bị đau lưng, tay cũng không đau nữa, một mũi tên bắn ra có thể hạ được bốn, năm con mồi!	"""Da"",""Dialog:OpenShop"",20,1"											
32		famuxiaowulaoban		Tuyển người đây! Bao ăn ở, 1 tháng 10 lượng bạc. Yêu cầu biết đốn gỗ, trẻ tuổi cường tráng, dung mạo không được tuấn tú hơn ta! Còn một điều nữa, không thuê người mặc phi phong của Tạ Hiền, ta đánh không lại!	"""Gỗ"",""Dialog:OpenShop"",19,1"											
33		mafan		Ngựa quý ngựa hiếm, muốn gì có nấy! Muốn mua phi phong xin đi tìm Tạ Hiền, ta không bán thứ đó.	"""Ta muốn mua ngựa"",""Dialog:OpenShop"",22,1"											
34	Đại Lý Đoàn Thị	bingqipulaoban	19	Bổn tiệm có bán các loại trang bị ngũ hành, khi khách quan không tìm được trang bị ngũ hành thích hợp để kích hoạt thuộc tính ẩn thì mời ghé vào bổn tiệm để chọn mua những món trang bị phù hợp với mình. 	"""Triền thủ"",""Dialog:OpenShop"",1,1"	"""Kiếm"",""Dialog:OpenShop"",2,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
35	Minh Giáo	bingqipulaoban	224	Bổn tiệm có bán các loại trang bị ngũ hành, khi khách quan không tìm được trang bị ngũ hành thích hợp để kích hoạt thuộc tính ẩn thì mời ghé vào bổn tiệm để chọn mua những món trang bị phù hợp với mình. 	"""Kiếm"",""Dialog:OpenShop"",2,1"	"""Chùy"",""Dialog:OpenShop"",6,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
36		pvpwuqi		Binh khí tốt chỗ ta không thiếu, nhưng chúng đều tự chọn chủ cho mình, nếu bản lĩnh khách quan không bao nhiêu thì có mua cũng vô ích. Nhưng chỉ cần cầm vũ khí của ta, rồi mặc thêm phi phong của Tạ Hiền thì khách quan có thể xưng hùng võ lâm. 	"""Ta muốn mua vũ khí hệ kim"",""Dialog:OpenShop"",135,1"	"""Ta muốn mua vũ khí hệ mộc"",""Dialog:OpenShop"",136,1"	"""Ta muốn mua vũ khí hệ thủy"",""Dialog:OpenShop"",137,1"	"""Ta muốn mua vũ khí hệ hỏa"",""Dialog:OpenShop"",138,1"	"""Ta muốn mua vũ khí hệ thổ"",""Dialog:OpenShop"",139,1"	"""Đống sắt vụn này ta không thèm."""						
37	Vân Trung Trấn	techanshangren	1	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",109,1"	"""Không mua nữa"""										
38	Long Môn Trấn	techanshangren	2	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",108,1"	"""Không mua nữa"""										
39	Vĩnh Lạc Trấn	techanshangren	3	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",110,1"	"""Không mua nữa"""										
40	Đạo Hương Thôn	techanshangren	4	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",111,1"	"""Không mua nữa"""										
41	Giang Tân Thôn	techanshangren	5	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",112,1"	"""Không mua nữa"""										
42	Thạch Cổ Trấn	techanshangren	6	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",115,1"	"""Không mua nữa"""										
43	Long Tuyền Thôn	techanshangren	7	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",114,1"	"""Không mua nữa"""										
44	Ba Lăng Huyện	techanshangren	8	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",113,1"	"""Không mua nữa"""										
45	Thiếu Lâm Phái	shenmishangren	9	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",116,1"	"""Không mua nữa"""										
46	Thiên Nhẫn Giáo	shenmishangren	10	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",125,1"	"""Không mua nữa"""										
47	Côn Lôn Phái	shenmishangren	12	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",127,1"	"""Không mua nữa"""										
48	Võ Đang Phái	shenmishangren	14	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",126,1"	"""Không mua nữa"""										
49	Cái Bang	shenmishangren	15	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",124,1"	"""Không mua nữa"""										
50	Nga My Phái	shenmishangren	16	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",121,1"	"""Không mua nữa"""										
51	Thúy Yên Môn	shenmishangren	17	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",122,1"	"""Không mua nữa"""										
52	Đường Môn	shenmishangren	18	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",118,1"	"""Không mua nữa"""										
53	Ngũ Độc Giáo	shenmishangren	20	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",119,1"	"""Không mua nữa"""										
54	Thiên Vương Bang	shenmishangren	22	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",117,1"	"""Không mua nữa"""										
55	Đại Lý Đoàn Thị	shenmishangren	19	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",123,1"	"""Không mua nữa"""										
56	Minh Giáo	shenmishangren	224	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",120,1"	"""Không mua nữa"""										
57	Biện Kinh	techanshangren	23	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",101,1"	"""Không mua nữa"""										
58	Phượng Tường	techanshangren	24	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",102,1"	"""Không mua nữa"""										
59	Tương Dương	techanshangren	25	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",103,1"	"""Không mua nữa"""										
60	Dương Châu	techanshangren	26	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",106,1"	"""Không mua nữa"""										
61	Thành Đô	techanshangren	27	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",104,1"	"""Không mua nữa"""										
62	Đại Lý	techanshangren	28	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",105,1"	"""Không mua nữa"""										
63	Lâm An	techanshangren	29	Những thứ ta bán đều là đặc sản của vùng này, ngươi có muốn xem thử không?	"""Đặc sản"",""Dialog:OpenShop"",107,1"	"""Không mua nữa"""										
64		jipinshangren		Nhắc đến Tiêu Dao Cốc, đó quả là tiên cảnh giữa cõi người! Không biết thiếu hiệp có từng đến đó chưa? Ai da, lạc đề rồi, lạc đề rồi….. Thiếu hiệp có muốn xem thử trang bị cực phẩm thế gian hiếm có không?	"""Mua trang bị Danh vọng hoạt động Thịnh Hạ"",""Dialog:OpenShop"",128,1"	"""Mua đạo cụ danh vọng chúc phúc"",""Dialog:OpenShop"",133,1"	"""Mua giày hoạt động Đoàn Viên"",""Dialog:OpenShop"",161,1"	"""Mua Hộ uyển Di Tích Hàn Vũ"",""Dialog:OpenShop"",185,1"	"""Không mua nữa"""								
65	Phục Ngưu Sơn Quân Doanh	bingqipulaoban	556	Công dục thiện kỳ sự, tất tiên lợi kỳ khí. Ta không thể thay ngươi lên sa trường, nhưng có thể mài sắc đao thương của ngươi, hãy xem thử coi có món gì cần không!	"""Đao"",""Dialog:OpenShop"",3,1"	"""Côn"",""Dialog:OpenShop"",4,1"	"""Thương"",""Dialog:OpenShop"",5,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Không mua nữa"""						
66	Phục Ngưu Sơn Quân Doanh	bingqipulaoban	558	Công dục thiện kỳ sự, tất tiên lợi kỳ khí. Ta không thể thay ngươi lên sa trường, nhưng có thể mài sắc đao thương của ngươi, hãy xem thử coi có món gì cần không!	"""Đao"",""Dialog:OpenShop"",3,1"	"""Côn"",""Dialog:OpenShop"",4,1"	"""Thương"",""Dialog:OpenShop"",5,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Không mua nữa"""						
