Name	Desc	Id	Title	Kind	Camp	Treasure	Portrait	ClientOnly	CorpseIdx	NpcResType	ArmorType	HelmType	WeaponType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	AttackFrame	ClassName	AIParam	SkillParam	PropParam	ScriptParam	WalkSpeed	RunSpeed	VisionRadius	ActiveRadius	ReviveFrame	DropRateFile	AIMaxTime	HeadPic	NoBoss	BloodType	LastAttackCalcType	AssignMode
Viêm Dương Sứ	Viêm Dương Sứ	23		0	5	2				enemy110	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillsword	intensity3	sc	9	7	600	900	90		18	\image\item\other\sculpt\enemy110.spr	1	2		
Thống Lĩnh Sát Thủ	Thống Lĩnh Sát Thủ_[Hành dinh]	24		0	5	2				enemy116	0	0	0	0	0	36	36	20	11	10	20		activeflee	fleeskillrange	intensity1	sc	12	7	600	900	90		18	\image\item\other\sculpt\enemy047.spr	1	3		
Trưởng Lão Diêm Bang	Trưởng Lão Diêm Bang	25	Trảm Thiết Đao	0	5	2				enemy073	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillrange	intensity3	sc	12	7	600	900	90		18	\image\item\other\sculpt\enemy090.spr	1	2		
Tổng Quản Đại Nội	Tổng Quản Đại Nội_[Hành dinh]	26		0	5	2				enemy079	0	0	0	0	0	36	36	20	11	10	20		activenormal	singleskillfist	intensity2	sc	12	7	600	900	900		18	\image\item\other\sculpt\enemy061.spr	1	3		
Tống Đao Binh	Tống Đao Binh_[Hành dinh]	27		0	5	2				enemy081	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillsword	intensity0	sc	7	7	300	700	18		18	\image\item\other\sculpt\enemy081.spr	1			
Tống Thống Lĩnh Lưu Khoát	Tống Thống Lĩnh Lưu Khoát	28		0	5	2				enemy084	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillmidrange	intensity3	sc	12	7	600	900	90		18	\image\item\other\sculpt\enemy086.spr	1	3		
Ngư Phu	Ngư Phu_[Hành dinh]	29		3	5	2				passerby010	0	0	0	0	0	36	36	20	11	10	27	yufu		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passerby010.spr	1			
Thạch Hiên Viên	Thạch Hiên Viên_[Lễ Trường]	30		3	5	2				enemy042	0	0	0	0	0	36	36	20	11	10	27	shixuanyuan1		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy042.spr	1			
Cầu Chỉ Thủy	Cầu Chỉ Thủy_[Lễ Trường]	31		3	5	2				enemy040	0	0	0	0	0	36	36	20	11	10	27	qiuzhishui		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy040.spr	1			
La Phong	La Phong_[Lễ Trường]	32		3	5	2				enemy041	0	0	0	0	0	36	36	20	11	10	27	luofeng		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy041.spr	1			
Môn đồ Không Động	Môn đồ Không Động	33		3	5	2				passerby074	0	0	0	0	0	36	36	20	11	10	27	kongtongpaimenren		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy064.spr	1			
Môn đồ Thanh Thành	Môn đồ Thanh Thành	34		3	5	2				passerby047	0	0	0	0	0	36	36	20	11	10	27	qingchengpaimenren		sk	pp	sc	6	6	400	700	510		18		1			
Môn đồ Tích Lịch Hỏa Lôi	Môn đồ Tích Lịch Hỏa Lôi	35		3	5	2				passerby087	0	0	0	0	0	36	36	20	11	10	27	pilihuoleijiamenren		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy062.spr	1			
Đệ Tử Chấp Sự Cái Bang	Đệ Tử Chấp Sự Cái Bang	36		3	5	2				enemy037	0	0	0	0	0	36	36	20	11	10	27	gaibangzhishidizi		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy037.spr	1			
Đường Lang Quyền Sư	Đường Lang Quyền Sư	37		0	5	2				enemy097	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillrange	intensity0	sc	6	6	350	700	540		18	\image\item\other\sculpt\enemy097.spr	1			
Lục Trầm Châu	Lục Trầm Châu_[Chiến đấu]	38		0	5	2				enemy099	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillrange	intensity5	sc	7	7	400	700	810		18	\image\item\other\sculpt\enemy099.spr	1	3		
Lục Trầm Châu	Lục Trầm Châu_[Phi chiến]	39		3	5	2				enemy099	0	0	0	0	0	36	36	20	11	10	27	luchenzhou		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy099.spr	1			
Hàn Thác Trụ	Hàn Thác Trụ_[Cái Bang]	40		3	5	2				enemy157	0	0	0	0	0	36	36	20	11	10	27	hantuozhou		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy157.spr	1			
Lục Trầm Châu	Lục Trầm Châu_[Tàng Vân Hiên]	41		3	5	2				enemy099	0	0	0	0	0	36	36	20	11	10	27	luchenzhou		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy099.spr	1			
Sát Thủ Diêm Bang	Sát Thủ Diêm Bang	42		0	5	2				enemy081	0	0	0	0	0	36	36	20	11	10	27		stup	sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy081.spr	1			
Tô Hữu Tưởng	Tô Hữu Tưởng	43		0	5	2				enemy116	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillsword	intensity5	sc	7	7	300	700	90		18	\image\item\other\sculpt\enemy090.spr	1	3		
Đệ Tử Chấp Pháp	Đệ Tử Chấp Pháp	44		3	5	2				enemy037	0	0	0	0	0	36	36	20	11	10	27	zhifadizi		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy037.spr	1			
Túy Hán	Túy Hán	45		0	5	2				enemy097	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillrange	intensity0	sc	6	6	350	700	36		18	\image\item\other\sculpt\enemy097.spr	1			
Thạch Hiên Viên	Thạch Hiên Viên_[Ngoại Chủng]	46		3	5	2				enemy042	0	0	0	0	0	36	36	20	11	10	27	shixuanyuan1		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy042.spr	1			
Thôi Xuất Trần	Thôi Xuất Trần	47		0	5	2				enemy041	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillmidrange	intensity5	sc	7	7	300	700	90		18	\image\item\other\sculpt\enemy098.spr	1	3		
Đệ Tử Thủ Sơn	Đệ Tử Thủ Sơn	48		3	5	2				enemy037	0	0	0	0	0	36	36	20	11	10	27	shoushandizi		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy037.spr	1			
Lâm Đông Sơn	Lâm Đông Sơn	49		0	5	2				enemy113	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillfist	fellow2	sc	6	6	400	700	450		18	\image\item\other\sculpt\enemy113.spr	1			
Củng Thiếu Trăn	Củng Thiếu Trăn_[Thạch Trường]	50		3	5	2				enemy038	0	0	0	0	0	36	36	20	11	10	27	gongshaozhen		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy038.spr	1			
La Phong	La Phong_[Thạch Trường]	51		3	5	2				enemy041	0	0	0	0	0	36	36	20	11	10	27	luofeng		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy041.spr	1			
Lãnh Thu Vân	Lãnh Thu Vân_[Thạch Trường]	52		3	5	2				enemy039	0	0	0	0	0	36	36	20	11	10	27	lengqiuyun		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy039.spr	1			
Lâm Đông Sơn	Lâm Đông Sơn_[Lễ Trường]	53		3	5	2				enemy113	0	0	0	0	0	36	36	20	11	10	27	lindongshan		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy113.spr	1			
Mãnh Hổ	Mãnh Hổ_[Thạch Trường]	54		0	5	2				ani019	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillfist	intensity1	sc	7	7	250	700	54		18	ani019	1	1		
Cơ Quan Thú	Cơ Quan Thú_[Thạch Trường]	55		0	5	2				enemy102	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillmidrange	intensity1	sc	7	7	300	700	54		18	\image\item\other\sculpt\enemy102.spr	1	1		
Bạch Hổ	Bạch Hổ_[Thạch Trường]	56		0	5	2				ani019	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillsword	intensity1	sc	7	7	350	700	90		18	ani019	1	1		
Hổ Chúa	Bạch Hổ Vương_[Thạch Trường]	57		0	5	2				ani019	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillrange	intensity5	sc	7	7	300	700	90		18	ani019	1	3		
Đái Kiếm Dị Giả	Đái Kiếm Dị Giả_[Thạch Trường]	58		0	5	2				enemy098	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillrange	intensity1	sc	7	7	250	700	450		18	\image\item\other\sculpt\enemy098.spr	1	1		
Gấu Đen	Gấu Đen_[Thạch Trường]	59		0	5	2				ani018	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillfist	intensity4	sc	7	7	300	700	54		18	ani018	1	2		
Sài Cẩu	Sài Cẩu_[Thạch Trường]	60		0	5	2				ani004	0	0	0	0	0	36	36	20	11	10	27		activeflee	fleeskillmelee	intensity4	sc	7	7	400	700	54		18	ani004	1	2		
Thợ Săn	Thợ Săn_[Chiến đấu]	61		0	5	2				enemy088	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillmidrange	intensity5	sc	7	7	300	700	810		18	\image\item\other\sculpt\enemy088.spr	1	3		
Thợ Săn	Thợ Săn_[Phi chiến]	62		3	5	2				enemy088	0	0	0	0	0	36	36	20	11	10	27	lieren		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy088.spr	1			
Sĩ Binh Kim Quốc	Sĩ Binh Kim Quốc	63		0	5	2				enemy086	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillrange	intensity1	sc	7	7	350	700	90		18	\image\item\other\sculpt\enemy086.spr	1	1		
Tướng Lĩnh Kim Quốc	Tướng Lĩnh Kim Quốc_[Chiến đấu]	64		0	5	2				enemy089	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillmidrange	intensity5	sc	7	7	300	700	810		18	\image\item\other\sculpt\enemy087.spr	1	3		
Tướng Lĩnh Kim Quốc	Tướng Lĩnh Kim Quốc_[Phi chiến]	65		3	5	2				enemy089	0	0	0	0	0	36	36	20	11	10	27	jinguojiangling		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy087.spr	1			
La Phong	La Phong_[Hiết Mã Độ]	66		3	5	2				enemy041	0	0	0	0	0	36	36	20	11	10	27	luofeng		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy041.spr	1			
Hàn Thác Trụ	Hàn Thác Trụ_[Quan Đào chiến]	67		0	5	2				enemy157	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillfist	fellow2	sc	6	6	400	700	450		18	\image\item\other\sculpt\enemy157.spr	1			
Hàn Thác Trụ	Hàn Thác Trụ_[Quan Đào phi chiến]	68		3	5	2				enemy157	0	0	0	0	0	36	36	20	11	10	27	hantuozhou		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy157.spr	1			
Thạch Hiên Viên	Thạch Hiên Viên_[Quan Đào Các]	69		3	5	2				enemy042	0	0	0	0	0	36	36	20	11	10	27	shixuanyuan1		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy042.spr	1			
Thái Lão Đầu	Thái Lão Đầu	70		3	5	2				passerby063	0	0	0	0	0	36	36	20	11	10	27	cailaotou		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy062.spr	1			
Hãn Huyết Bảo Mã	Hãn Huyết Bảo Mã	71		0	5	2				ani010	0	0	0	0	0	36	36	20	11	10	27		activeflee	fleeskillrange	intensity5	sc	7	7	400	700	36		18	ani010	1	3		
Thần Toán Liễu Quỷ	Thần Toán Liễu Quỷ	72		3	5	2				passerby047	0	0	0	0	0	36	36	20	11	10	27	shensuanliugui		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy014.spr	1			
Sói Vàng	Sói Vàng_[Liễu Quỷ]	73		0	5	2				ani006	0	0	0	0	0	36	36	20	11	10	27		passiveflee	fleeskillmidrange	intensity1	sc	7	7	300	700	36		18	ani006	1	1		
Hươu	Hươu_[Liễu Quỷ]	74		0	5	2				ani011	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillfist	intensity1	sc	7	7	250	700	36		18	ani011	1	1		
Người bắt rắn	Người bắt rắn	75		3	5	2				passerby090	0	0	0	0	0	36	36	20	11	10	27	busheren	passivenormal	singleskillfist	intensity1	sc	7	7	400	700	450		18	\image\item\other\sculpt\enemy066.spr	1	1		
Cơ Chú	Cơ Chú	76		3	5	2				passerby090	0	0	0	0	0	36	36	20	11	10	27	jizhu		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy066.spr	1			
Mộc Dung Thanh	Mộc Dung Thanh	77		0	5	2				enemy139	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillmidrange	intensity4	sc	7	7	300	700	810		18	\image\item\other\sculpt\enemy021.spr	1	2		
Mộc Nhất Lâu	Mộc Nhất Lâu	78		0	5	2				enemy141	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillmidrange	intensity4	sc	7	7	300	700	810		18	\image\item\other\sculpt\enemy022.spr	1	2		
Di Nhân Đao Khách	Di Nhân Đao Khách	79		0	5	2				enemy107	0	0	0	0	0	36	36	20	11	10	27		passivenormal	fleeskillrange	intensity1	sc	6	6	250	700	450		18	\image\item\other\sculpt\enemy110.spr	1	1		
Ân Phương	Ân Phương_[Vật Quy Cốc]	80		3	5	2				enemy113	0	0	0	0	0	36	36	20	11	10	27	yinfang		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passerby061.spr	1			
Ân Đồng	Ân Đồng_[Vật Quy Cốc]	81		3	5	2				enemy035	0	0	0	0	0	36	36	20	11	10	27	yintong		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passby027.spr	1			
Điệp Phiêu Phiêu	Điệp Phiêu Phiêu_[Tùng Đào Lâm]	82		3	5	2				enemy023	0	0	0	0	0	36	36	20	11	10	27	diepiaopiao		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy023.spr	1			
Võ Lâm Cao Thủ	Võ Lâm Cao Thủ_[Tùng Đào Lâm]	83		0	5	2				enemy063	0	0	0	0	0	36	36	20	11	10	27		activeflee	fleeskillrange	intensity1	sc	7	7	400	700	810		18	\image\item\other\sculpt\enemy063.spr	1	2		
Quan Vạn Sơn	Quan Vạn Sơn	84		3	5	2				passerby088	0	0	0	0	0	36	36	20	11	10	27	guanwanshan		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy075.spr	1			
Võ Sĩ Di Nhân	Võ Sĩ Di Nhân	85		0	5	2				enemy110	0	0	0	0	0	36	36	20	11	10	27		passivenormal	fleeskillrange	intensity1	sc	6	6	250	700	450		18	\image\item\other\sculpt\enemy110.spr	1	1		
Thủ Lĩnh Di Nhân	Thủ Lĩnh Di Nhân	86		0	5	2				enemy133	0	0	0	0	0	36	36	20	11	10	27		passivenormal	fleeskillrange	intensity5	sc	7	7	400	700	810		18	\image\item\other\sculpt\enemy090.spr	1	3		
Ân Phương	Ân Phương_[Biệt Viện Tùng Đào]	87		3	5	2				enemy113	0	0	0	0	0	36	36	20	11	10	27	yinfang		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passerby061.spr	1			
Ân Đồng	Ân Đồng_[Biệt Viện Tùng Đào]	88		3	5	2				enemy035	0	0	0	0	0	36	36	20	11	10	27	yintong		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passby027.spr	1			
Đồng Tử	Đồng Tử	89		3	5	2				enemy136	0	0	0	0	0	36	36	20	11	10	27	shoumentongzi1		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy100.spr	1			
Xích Luyện Xà Vương	Xích Luyện Xà Vương	90		0	5	2				ani017	0	0	0	0	0	36	36	20	11	10	27		activeflee	fleeskillmelee	intensity6	sc	7	7	400	700	810		18	ani017	1	3		
Ân Phương	Ân Phương_[Xà Động]	91		3	5	2				enemy113	0	0	0	0	0	36	36	20	11	10	27	yinfang		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passerby061.spr	1			
Ân Đồng	Ân Đồng_[Xà Động]	92		3	5	2				enemy035	0	0	0	0	0	36	36	20	11	10	27	yintong		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passby027.spr	1			
Ân Phương	Ân Phương_[Xà Động chiến]	93		0	5	2				enemy113	0	0	0	0	0	36	36	20	11	10	27		noaction	noskill	fellow1	sc	6	6	400	700	450		18	\image\item\other\sculpt\passerby061.spr	1			
Ân Đồng	Ân Đồng_[Xà Động chiến]	94		0	5	2				enemy035	0	0	0	0	0	36	36	20	11	10	27		noaction	noskill	fellow1	sc	6	6	400	700	450		18	\image\item\other\sculpt\passby027.spr	1			
Người Nuôi Ong	Người Nuôi Ong	95		0	5	2				enemy097	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillrange	intensity1	sc	7	7	350	700	450		18	\image\item\other\sculpt\enemy097.spr	1	1		
Kim Tiền Báo	Kim Tiền Báo_[Cam Lộ Cốc]	96		0	5	2				ani016	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillmidrange	intensity1	sc	7	7	350	700	450		18	ani016	1	1		
Ân Phương	Ân Phương_[Cam Lộ Cốc]	97		3	5	2				enemy113	0	0	0	0	0	36	36	20	11	10	27	yinfang		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passerby061.spr	1			
Ân Đồng	Ân Đồng_[Cam Lộ Cốc]	98		3	5	2				enemy035	0	0	0	0	0	36	36	20	11	10	27	yintong		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passby027.spr	1			
Ngư Tàng Phong	Ngư Tàng Phong_[Đăng Sát Khẩu]	99		3	5	2				enemy126	0	0	0	0	0	36	36	20	11	10	27	yucangfeng1		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy153.spr	1			
Đệ Tử Bạch Kỳ	Đệ Tử Bạch Kỳ_[Đăng Sát Khẩu]	100		3	5	2				enemy061	0	0	0	0	0	36	36	20	11	10	27	baiqidizi		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy061.spr	1			
Thám Tử Trường Ca Môn	Thám Tử Trường Ca Môn	101		0	5	2				enemy063	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillmidrange	intensity4	sc	7	7	300	700	900		18	\image\item\other\sculpt\enemy063.spr	1	2		
Đăng Sát Khẩu Tiêu Binh	Đăng Sát Khẩu Tiêu Binh	102		0	5	2				enemy087	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillsword	intensity1	sc	7	7	350	700	180		18	\image\item\other\sculpt\enemy087.spr	1	1		
Đệ Tử Ngũ Độc	Đệ Tử Ngũ Độc	103		0	5	2				enemy019	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillmidrange	intensity0	sc	7	7	300	700	180		18	\image\item\other\sculpt\enemy108.spr	1			
Thủ Lĩnh Bạch Kỳ	Thủ Lĩnh Bạch Kỳ	104		0	5	2				enemy111	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillmidrange	intensity5	sc	7	7	300	700	90		18	\image\item\other\sculpt\enemy111.spr	1	2		
Xe lớn	Xe chuyển thư	105		0	5	2				enemy156	0	0	0	0	0	36	36	20	11	10	27		noaction	noskill	intensity5	sc	7	7	400	700	540		18	\image\item\other\sculpt\enemy156.spr	1	3		
Đệ Tử Cái Bang	Đệ Tử Cái Bang_[Đăng Sát Khẩu]	106		0	5	2				enemy037	0	0	0	0	0	36	36	20	11	10	27		stup	sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy037.spr	1			
Cơ Chú	Cơ Chú_[Đăng Sát Khẩu]	107		3	5	2				passerby090	0	0	0	0	0	36	36	20	11	10	27	jizhu1		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy066.spr	1			
Bạch Kỳ Truyền Lệnh Sứ	Bạch Kỳ Truyền Lệnh Sứ	108		0	5	2				enemy114	0	0	0	0	0	36	36	20	11	10	27		stup	sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy114.spr	1			
Cổ Yên Nhiên	Cổ Yên Nhiên_[Thiềm Cung]	109		3	5	2				enemy024	0	0	0	0	0	36	36	20	11	10	27	guyanran		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy024.spr	1			
Lan Tùng Lâm	Lan Tùng Lâm_[Vong Tình Khê]	110		3	5	2				enemy064	0	0	0	0	0	36	36	20	11	10	27	lansonglin		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy064.spr	1			
Xe Dược Thảo	Xe Dược Thảo 3	111		0	5	2				enemy156	0	0	0	0	0	36	36	20	11	10	27		noaction	noskill	fellow4	sc	6	6	400	700	450		18	\image\item\other\sculpt\enemy156.spr	1			
Võ Sĩ Thiên Vương	Võ Sĩ Thiên Vương_[Long Quán Pha]	112		0	5	2				enemy001	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillfist	intensity1	sc	7	7	350	700	450		18	\image\item\other\sculpt\enemy081.spr	1	1		
Tướng Lĩnh Thiên Vương	Tướng Lĩnh Thiên Vương_[Long Quán Pha]	113		0	5	2				enemy002	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillmidrange	intensity4	sc	7	7	300	700	810		18	\image\item\other\sculpt\enemy082.spr	1	2		
