AREAID	MAPID	POSX	POSY	NAME
1	2	56608	116160	龙门镇
1	2	56864	116928	龙门镇
1	2	57440	115872	龙门镇
1	2	57856	115936	龙门镇
1	2	58592	116928	龙门镇
1	2	59040	117632	龙门镇
1	2	58976	117056	龙门镇
1	2	59232	117728	龙门镇
1	2	59840	117088	龙门镇
1	2	60160	116768	龙门镇
1	2	60896	115584	龙门镇
1	2	61280	115200	龙门镇
1	2	61440	115008	龙门镇
2	35	57280	114304	白族市集
2	35	56928	114816	白族市集
2	35	57664	113568	白族市集
2	35	57504	114816	白族市集
2	35	57792	115072	白族市集
2	35	58080	113984	白族市集
2	52	57440	102336	百花谷
2	52	57920	103520	百花谷
2	52	58304	104576	百花谷
2	52	57856	105472	百花谷
2	52	58624	106496	百花谷
2	52	59488	107680	百花谷
2	52	60032	108416	百花谷
2	52	60960	109696	百花谷
2	52	61376	111072	百花谷
2	52	62336	110880	百花谷
2	72	57280	116320	百花阵内阵
2	72	58304	115680	百花阵内阵
2	72	58336	116640	百花阵内阵
2	72	58688	113792	百花阵内阵
2	72	58880	116288	百花阵内阵
2	72	59552	115296	百花阵内阵
2	72	72256	121856	百花阵内阵
2	72	72480	122656	百花阵内阵
2	72	72480	123360	百花阵内阵
2	62	57280	116320	百花阵外阵
2	62	58304	115680	百花阵外阵
2	62	58336	116640	百花阵外阵
2	62	58688	113792	百花阵外阵
2	62	58880	116288	百花阵外阵
2	62	59552	115296	百花阵外阵
2	62	72256	121856	百花阵外阵
2	62	72480	122656	百花阵外阵
2	62	72480	123360	百花阵外阵
2	43	49728	120416	茶马古道
2	43	50464	120704	茶马古道
2	43	51328	120928	茶马古道
2	43	52448	120832	茶马古道
2	43	53696	117088	茶马古道
2	43	53248	120352	茶马古道
2	43	54240	116576	茶马古道
2	43	53920	117248	茶马古道
2	43	53792	118560	茶马古道
2	43	54976	116256	茶马古道
2	43	55584	116224	茶马古道
2	43	56128	115520	茶马古道
2	43	57152	115136	茶马古道
2	43	57760	110432	茶马古道
2	43	57536	115360	茶马古道
2	43	58272	114592	茶马古道
2	43	57952	113696	茶马古道
2	43	58560	113056	茶马古道
2	43	59200	108416	茶马古道
2	43	59616	108032	茶马古道
2	43	60640	108224	茶马古道
2	43	62560	112864	茶马古道
2	98	53760	111584	点苍山
2	98	54464	109600	点苍山
2	98	54592	111424	点苍山
2	98	54816	110272	点苍山
2	98	54848	111040	点苍山
2	91	57120	116416	洱海摩岩
2	91	57728	116416	洱海摩岩
2	91	59360	117152	洱海摩岩
2	91	60384	118720	洱海摩岩
2	91	60352	122272	洱海摩岩
2	91	60896	121248	洱海摩岩
2	91	61088	122368	洱海摩岩
2	91	61824	121184	洱海摩岩
2	91	61568	121760	洱海摩岩
2	53	51680	110880	翡翠湖
2	53	51680	112064	翡翠湖
2	53	52512	115936	翡翠湖
2	53	52608	116768	翡翠湖
2	53	52224	117504	翡翠湖
2	53	52992	111168	翡翠湖
2	53	53120	113184	翡翠湖
2	53	52800	114560	翡翠湖
2	63	53632	114656	湖畔竹林东部
2	63	53408	115904	湖畔竹林东部
2	63	54048	111808	湖畔竹林东部
2	63	54016	114080	湖畔竹林东部
2	63	53792	115328	湖畔竹林东部
2	63	54624	110176	湖畔竹林东部
2	63	54624	111200	湖畔竹林东部
2	63	54656	113056	湖畔竹林东部
2	73	53632	114656	湖畔竹林西部
2	73	53408	115904	湖畔竹林西部
2	73	54048	111808	湖畔竹林西部
2	73	54016	114080	湖畔竹林西部
2	73	53792	115328	湖畔竹林西部
2	73	54624	110176	湖畔竹林西部
2	73	54624	111200	湖畔竹林西部
2	73	54656	113056	湖畔竹林西部
2	119	53504	101152	苗岭
2	119	54208	103008	苗岭
2	119	56512	105184	苗岭
2	119	58688	106656	苗岭
2	135	56992	117696	夜郎旧墟
2	135	57376	107424	夜郎旧墟
2	135	57568	108672	夜郎旧墟
2	135	57536	111104	夜郎旧墟
2	135	57472	113216	夜郎旧墟
2	135	57760	114976	夜郎旧墟
2	135	57376	119008	夜郎旧墟
2	135	58240	109472	夜郎旧墟
2	135	57952	113056	夜郎旧墟
2	135	58208	113504	夜郎旧墟
2	135	58272	120960	夜郎旧墟
2	135	58816	121824	夜郎旧墟
2	135	59168	114464	夜郎旧墟
2	135	58976	119200	夜郎旧墟
2	135	59840	115136	夜郎旧墟
2	135	60032	118432	夜郎旧墟
2	135	60224	122944	夜郎旧墟
2	135	60896	116256	夜郎旧墟
2	135	60608	117408	夜郎旧墟
2	135	60672	124288	夜郎旧墟
2	135	61312	123904	夜郎旧墟
2	135	62144	124832	夜郎旧墟
2	135	62752	125696	夜郎旧墟
2	6	47392	98400	石鼓镇
2	6	50880	94720	石鼓镇
2	6	51328	95104	石鼓镇
2	6	51392	94912	石鼓镇
2	6	52992	97184	石鼓镇
2	6	53440	96672	石鼓镇
2	6	53440	97856	石鼓镇
2	6	53632	101920	石鼓镇
2	6	53440	103424	石鼓镇
2	6	53248	103648	石鼓镇
2	6	53792	97408	石鼓镇
2	6	54240	102976	石鼓镇
2	6	54464	103136	石鼓镇
2	6	55264	96896	石鼓镇
2	6	55136	97344	石鼓镇
2	6	54784	97536	石鼓镇
3	132	57984	122976	阿房宫废墟
3	132	58656	123200	阿房宫废墟
3	132	59328	123392	阿房宫废墟
3	132	59744	122176	阿房宫废墟
3	132	60416	122272	阿房宫废墟
3	132	60736	122656	阿房宫废墟
3	87	50496	123136	大散关
3	87	50848	123520	大散关
3	87	51392	124096	大散关
3	87	52000	124736	大散关
3	87	52352	125024	大散关
3	87	52864	125600	大散关
3	87	53184	126464	大散关
3	125	50816	105376	大禹台
3	125	51008	105248	大禹台
3	125	52192	121792	大禹台
3	125	53120	104288	大禹台
3	125	53408	120256	大禹台
3	125	54048	103904	大禹台
3	125	54560	119520	大禹台
3	125	55072	103776	大禹台
3	125	55616	119456	大禹台
3	125	56160	118944	大禹台
3	125	56320	103680	大禹台
3	125	57184	116928	大禹台
3	125	56960	118304	大禹台
3	125	58368	103296	大禹台
3	125	58848	115488	大禹台
3	125	59168	114784	大禹台
3	125	59456	102720	大禹台
3	125	59840	113248	大禹台
3	125	60960	113120	大禹台
3	125	61984	112832	大禹台
3	100	52032	99840	风陵渡
3	100	52128	101248	风陵渡
3	100	52224	103296	风陵渡
3	100	52352	104800	风陵渡
3	100	52224	106336	风陵渡
3	100	52352	108000	风陵渡
3	100	52384	109696	风陵渡
3	100	52448	111232	风陵渡
3	100	52576	112672	风陵渡
3	100	52416	116480	风陵渡
3	100	52704	118016	风陵渡
3	100	52608	119424	风陵渡
3	100	52800	100128	风陵渡
3	100	52992	102432	风陵渡
3	100	53120	103744	风陵渡
3	100	52864	105664	风陵渡
3	100	53120	108832	风陵渡
3	100	53088	110464	风陵渡
3	100	53088	113728	风陵渡
3	100	53152	115584	风陵渡
3	100	52800	115040	风陵渡
3	100	53312	112800	风陵渡
3	100	53280	117632	风陵渡
3	100	53312	120160	风陵渡
3	100	59776	99840	风陵渡
3	100	60832	100768	风陵渡
3	100	61792	103040	风陵渡
3	100	62176	102304	风陵渡
3	95	53184	123040	伏牛山
3	95	53408	123168	伏牛山
3	95	53920	122464	伏牛山
3	95	53888	123136	伏牛山
3	95	54112	123008	伏牛山
3	30	58784	129824	古战场
3	30	58464	131136	古战场
3	30	59392	124096	古战场
3	30	60160	128864	古战场
3	30	60608	125856	古战场
3	30	60800	129984	古战场
3	30	61472	130880	古战场
3	30	63168	120064	古战场
3	46	52288	106048	后山禁地
3	46	52736	105472	后山禁地
3	46	53728	105344	后山禁地
3	46	54528	104544	后山禁地
3	46	55648	104000	后山禁地
3	46	56256	104352	后山禁地
3	46	57536	105024	后山禁地
3	46	58560	105376	后山禁地
3	46	59072	105856	后山禁地
3	46	59616	106176	后山禁地
3	46	60736	105696	后山禁地
3	46	61440	105472	后山禁地
3	116	58400	115680	华山
3	116	58944	118464	华山
3	116	59328	121152	华山
3	116	59104	121888	华山
3	116	59456	112480	华山
3	116	59776	113824	华山
3	116	60160	110976	华山
3	116	60448	110912	华山
3	102	37952	86784	鸡冠洞
3	102	38048	88416	鸡冠洞
3	102	38176	91456	鸡冠洞
3	102	38560	90208	鸡冠洞
3	102	39360	87872	鸡冠洞
3	102	39584	89184	鸡冠洞
3	102	40512	89632	鸡冠洞
3	102	43104	91008	鸡冠洞
3	102	43616	99776	鸡冠洞
3	102	44416	91264	鸡冠洞
3	102	44608	89472	鸡冠洞
3	102	44928	99776	鸡冠洞
3	102	44576	101984	鸡冠洞
3	102	45440	102144	鸡冠洞
3	102	45664	90112	鸡冠洞
3	102	45824	104320	鸡冠洞
3	102	46208	91168	鸡冠洞
3	102	50080	100224	鸡冠洞
3	102	50592	90464	鸡冠洞
3	102	51008	99776	鸡冠洞
3	102	50912	101792	鸡冠洞
3	102	51520	99168	鸡冠洞
3	102	51936	88288	鸡冠洞
3	102	52032	89984	鸡冠洞
3	102	51776	100704	鸡冠洞
3	102	52384	88704	鸡冠洞
3	102	52576	89600	鸡冠洞
3	102	52896	91296	鸡冠洞
3	133	55424	104960	梁山泊
3	133	55584	105312	梁山泊
3	133	55680	106304	梁山泊
3	133	56064	106880	梁山泊
3	133	57312	112928	梁山泊
3	133	57088	114464	梁山泊
3	133	57568	113376	梁山泊
3	133	57664	115200	梁山泊
3	133	58080	114272	梁山泊
3	133	59616	114464	梁山泊
3	133	60256	114752	梁山泊
3	103	53824	109632	蜀冈山
3	103	54208	110912	蜀冈山
3	103	55456	112288	蜀冈山
3	103	56256	111392	蜀冈山
3	103	56896	110752	蜀冈山
3	103	58304	111072	蜀冈山
3	103	58816	111744	蜀冈山
3	103	59072	119552	蜀冈山
3	103	59168	120704	蜀冈山
3	103	59808	113504	蜀冈山
3	103	59680	117088	蜀冈山
3	103	59808	122752	蜀冈山
3	103	60256	124672	蜀冈山
3	103	60544	116320	蜀冈山
3	103	60448	125440	蜀冈山
3	103	61120	117312	蜀冈山
3	103	62112	118208	蜀冈山
3	103	62304	119104	蜀冈山
3	103	62752	118912	蜀冈山
3	56	57056	105440	塔林东部
3	56	57952	106400	塔林东部
3	56	58592	106592	塔林东部
3	56	59552	106624	塔林东部
3	56	60032	107072	塔林东部
3	56	60736	107840	塔林东部
3	56	61344	110304	塔林东部
3	56	61792	109152	塔林东部
3	56	61600	110688	塔林东部
3	56	61920	112384	塔林东部
3	56	62048	113088	塔林东部
3	56	62656	113120	塔林东部
3	56	62720	114592	塔林东部
3	56	64000	115904	塔林东部
3	56	64352	117632	塔林东部
3	66	57056	105440	塔林西部
3	66	57952	106400	塔林西部
3	66	58592	106592	塔林西部
3	66	59552	106624	塔林西部
3	66	60032	107072	塔林西部
3	66	60736	107840	塔林西部
3	66	61344	110304	塔林西部
3	66	61792	109152	塔林西部
3	66	61600	110688	塔林西部
3	66	61920	112384	塔林西部
3	66	62048	113088	塔林西部
3	66	62656	113120	塔林西部
3	66	62720	114592	塔林西部
3	66	64000	115904	塔林西部
3	66	64352	117632	塔林西部
3	47	51456	102080	天忍教禁地
3	47	52000	101344	天忍教禁地
3	47	52096	103360	天忍教禁地
3	47	53280	106848	天忍教禁地
3	47	54176	108544	天忍教禁地
3	47	55360	109024	天忍教禁地
3	47	56256	108640	天忍教禁地
3	47	57184	108832	天忍教禁地
3	40	50368	104256	潼关
3	40	50784	104160	潼关
3	40	51488	103648	潼关
3	40	51776	103840	潼关
3	40	52416	103488	潼关
3	40	52960	103616	潼关
3	40	53792	103744	潼关
3	40	54720	103936	潼关
3	40	55456	103936	潼关
3	40	56224	104384	潼关
3	40	56704	104416	潼关
3	40	57408	104000	潼关
3	93	52896	120256	药王洞
3	93	53088	121024	药王洞
3	93	53568	120448	药王洞
3	93	54688	120064	药王洞
3	93	54912	108320	药王洞
3	93	55296	119552	药王洞
3	93	55488	121056	药王洞
3	93	56160	120192	药王洞
3	93	57248	113536	药王洞
3	93	58400	108288	药王洞
3	93	58880	107552	药王洞
3	93	59168	108416	药王洞
3	93	59840	110240	药王洞
3	38	50368	118528	镇东墓园
3	38	50912	119040	镇东墓园
3	38	51776	119840	镇东墓园
3	38	52768	121536	镇东墓园
3	38	54176	122912	镇东墓园
3	38	54432	121728	镇东墓园
3	38	55712	117632	镇东墓园
3	38	56672	118816	镇东墓园
3	3	52032	100736	永乐镇
3	3	52512	101216	永乐镇
3	3	53376	102080	永乐镇
3	3	53952	102656	永乐镇
3	3	54528	103232	永乐镇
3	3	54848	103552	永乐镇
3	3	55008	103712	永乐镇
3	3	55168	103872	永乐镇
3	1	42048	100256	云中镇
3	1	42336	100512	云中镇
3	1	43968	101728	云中镇
3	1	43520	101696	云中镇
3	1	44352	101760	云中镇
3	1	45024	101408	云中镇
3	1	45504	102176	云中镇
3	1	45312	102016	云中镇
3	1	45568	100832	云中镇
3	1	45984	100384	云中镇
3	1	46368	100160	云中镇
3	1	47008	99296	云中镇
3	1	46784	102816	云中镇
3	1	47232	100224	云中镇
3	1	47904	103488	云中镇
3	1	48192	104480	云中镇
3	1	48640	104544	云中镇
4	113	43744	119392	帮源秘洞
4	113	43776	120064	帮源秘洞
4	113	50912	110208	帮源秘洞
4	113	51232	108448	帮源秘洞
4	113	51872	109152	帮源秘洞
4	113	52096	109440	帮源秘洞
4	113	57536	111104	帮源秘洞
4	113	61440	112320	帮源秘洞
4	113	61600	113184	帮源秘洞
4	92	50752	113792	采石矶
4	92	51264	113792	采石矶
4	92	52128	114656	采石矶
4	92	53728	113440	采石矶
4	92	53312	114496	采石矶
4	92	54336	113600	采石矶
4	92	55040	112608	采石矶
4	92	55968	109184	采石矶
4	92	56384	109408	采石矶
4	92	57312	107136	采石矶
4	50	50496	109824	姑苏水榭
4	50	50368	111136	姑苏水榭
4	50	50880	115712	姑苏水榭
4	50	51936	109344	姑苏水榭
4	50	52992	108544	姑苏水榭
4	50	54208	109536	姑苏水榭
4	50	54080	116064	姑苏水榭
4	50	54016	118112	姑苏水榭
4	50	54336	110464	姑苏水榭
4	50	54752	111584	姑苏水榭
4	50	54336	113888	姑苏水榭
4	50	55072	104800	姑苏水榭
4	50	55680	104064	姑苏水榭
4	89	52544	101600	寒山古刹
4	89	52928	102176	寒山古刹
4	89	53440	102912	寒山古刹
4	89	53952	103904	寒山古刹
4	89	54368	103680	寒山古刹
4	89	55168	103936	寒山古刹
4	89	54784	104608	寒山古刹
4	89	55904	104320	寒山古刹
4	89	56576	106144	寒山古刹
4	89	57152	106528	寒山古刹
4	89	57536	107648	寒山古刹
4	89	57952	108672	寒山古刹
4	96	50464	122912	虎丘剑池
4	96	50336	126304	虎丘剑池
4	96	50816	103136	虎丘剑池
4	96	51104	126976	虎丘剑池
4	96	51584	102912	虎丘剑池
4	96	52576	125152	虎丘剑池
4	96	53568	110912	虎丘剑池
4	96	54080	110912	虎丘剑池
4	96	54976	126272	虎丘剑池
4	96	60000	103904	虎丘剑池
4	96	61280	105664	虎丘剑池
4	41	52128	116992	淮水沙洲
4	41	52160	119328	淮水沙洲
4	41	51776	120480	淮水沙洲
4	41	51744	123296	淮水沙洲
4	41	51744	125248	淮水沙洲
4	41	52384	115488	淮水沙洲
4	41	52448	116480	淮水沙洲
4	41	53280	125248	淮水沙洲
4	41	53728	125664	淮水沙洲
4	41	54624	125632	淮水沙洲
4	41	55232	125856	淮水沙洲
4	41	56384	126080	淮水沙洲
4	41	57184	125760	淮水沙洲
4	41	57920	125280	淮水沙洲
4	41	58432	116288	淮水沙洲
4	41	58976	115200	淮水沙洲
4	41	59040	117248	淮水沙洲
4	41	58880	125344	淮水沙洲
4	41	59616	115776	淮水沙洲
4	41	59872	122976	淮水沙洲
4	41	59808	124448	淮水沙洲
4	41	60256	121088	淮水沙洲
4	41	60608	118848	淮水沙洲
4	41	61152	116384	淮水沙洲
4	41	60960	118016	淮水沙洲
4	41	61824	117216	淮水沙洲
4	106	51328	107296	九嶷溪
4	106	52608	109632	九嶷溪
4	106	53248	110880	九嶷溪
4	106	54048	112512	九嶷溪
4	106	54688	114752	九嶷溪
4	106	58464	116352	九嶷溪
4	33	58016	116544	梅花岭
4	33	58720	116768	梅花岭
4	33	58592	117952	梅花岭
4	33	58496	118368	梅花岭
4	54	51200	103360	南夷部落
4	54	51328	104096	南夷部落
4	54	51616	105344	南夷部落
4	54	51552	106176	南夷部落
4	99	41760	77760	彭蠡古泽
4	99	42784	80064	彭蠡古泽
4	99	44416	78624	彭蠡古泽
4	99	44320	85952	彭蠡古泽
4	99	44992	78944	彭蠡古泽
4	99	44608	85536	彭蠡古泽
4	99	45440	83744	彭蠡古泽
4	99	45792	82976	彭蠡古泽
4	99	46144	82400	彭蠡古泽
4	99	46336	84064	彭蠡古泽
4	99	46752	83136	彭蠡古泽
4	99	47104	81120	彭蠡古泽
4	128	51456	110976	锁云渊
4	128	52544	112736	锁云渊
4	128	53120	113184	锁云渊
4	128	52768	113952	锁云渊
4	120	49792	107264	武夷山
4	120	50272	107808	武夷山
4	120	50816	110048	武夷山
4	120	51168	112160	武夷山
4	120	51200	110592	武夷山
4	120	51680	113600	武夷山
4	120	51936	111360	武夷山
4	120	52320	113792	武夷山
4	120	52896	117376	武夷山
4	120	54816	116768	武夷山
4	120	55808	117600	武夷山
4	120	56832	118304	武夷山
4	120	57696	115776	武夷山
4	120	57344	117152	武夷山
4	120	57760	120576	武夷山
4	120	58208	114496	武夷山
4	120	59328	109312	武夷山
4	120	59232	123776	武夷山
4	120	59520	114336	武夷山
4	120	60000	110976	武夷山
4	36	54144	124320	雁荡龙湫
4	36	55072	120832	雁荡龙湫
4	36	56352	119072	雁荡龙湫
4	36	57888	119200	雁荡龙湫
4	36	58816	113280	雁荡龙湫
4	36	60096	115040	雁荡龙湫
4	36	60704	100256	雁荡龙湫
4	36	60640	101664	雁荡龙湫
4	36	60416	111296	雁荡龙湫
4	36	60512	116064	雁荡龙湫
4	36	61248	103904	雁荡龙湫
4	36	60992	106208	雁荡龙湫
4	36	61568	105376	雁荡龙湫
4	36	61664	107264	雁荡龙湫
4	60	47456	101312	燕子坞外围
4	60	48512	98880	燕子坞外围
4	60	48576	100384	燕子坞外围
4	60	49472	88768	燕子坞外围
4	60	49952	87872	燕子坞外围
4	60	49664	89376	燕子坞外围
4	60	50112	93408	燕子坞外围
4	60	50080	96096	燕子坞外围
4	60	49888	101472	燕子坞外围
4	60	50208	98784	燕子坞外围
4	60	50336	104576	燕子坞外围
4	60	52320	104576	燕子坞外围
4	70	47456	101312	燕子坞中段
4	70	48512	98880	燕子坞中段
4	70	48576	100384	燕子坞中段
4	70	49472	88768	燕子坞中段
4	70	49952	87872	燕子坞中段
4	70	49664	89376	燕子坞中段
4	70	50112	93408	燕子坞中段
4	70	50080	96096	燕子坞中段
4	70	49888	101472	燕子坞中段
4	70	50208	98784	燕子坞中段
4	70	50336	104576	燕子坞中段
4	70	52320	104576	燕子坞中段
4	64	53024	111584	原始深林东部
4	64	54656	110880	原始深林东部
4	64	56000	109824	原始深林东部
4	64	57056	104096	原始深林东部
4	64	57280	105952	原始深林东部
4	64	57472	107264	原始深林东部
4	74	53024	111584	原始森林西部
4	74	54656	110880	原始森林西部
4	74	56000	109824	原始森林西部
4	74	57056	104096	原始森林西部
4	74	57280	105952	原始森林西部
4	74	57472	107264	原始森林西部
4	44	51424	122400	铸剑坊
4	44	54048	118400	铸剑坊
4	44	54528	119392	铸剑坊
4	44	54816	117472	铸剑坊
4	44	55680	111872	铸剑坊
4	44	56128	115232	铸剑坊
4	44	56736	110784	铸剑坊
4	44	56544	116064	铸剑坊
4	44	59104	111040	铸剑坊
4	44	59200	113888	铸剑坊
4	44	60320	115264	铸剑坊
4	44	60640	105248	铸剑坊
4	44	60864	106304	铸剑坊
4	44	60640	108544	铸剑坊
4	44	60960	107488	铸剑坊
4	4	49184	105088	稻香村
4	4	50912	99488	稻香村
4	4	50752	99968	稻香村
4	4	51424	101248	稻香村
4	4	51200	102464	稻香村
4	4	52224	103040	稻香村
4	4	52608	106880	稻香村
4	4	53408	106112	稻香村
4	4	54240	102336	稻香村
4	4	54112	104864	稻香村
4	4	54624	102720	稻香村
4	4	54688	104224	稻香村
4	4	55104	103776	稻香村
4	7	45248	109536	龙泉村
4	7	45728	109856	龙泉村
4	7	46432	108096	龙泉村
4	7	46208	108384	龙泉村
4	7	46080	108832	龙泉村
4	7	46528	108864	龙泉村
4	7	46080	109632	龙泉村
4	7	46752	107904	龙泉村
4	7	46624	108032	龙泉村
4	7	46848	108640	龙泉村
4	7	47136	108096	龙泉村
4	7	47424	109952	龙泉村
4	7	50080	109824	龙泉村
4	7	52800	109408	龙泉村
5	34	64256	124352	长江河谷
5	34	64000	124416	长江河谷
5	34	64704	122784	长江河谷
5	34	64992	123520	长江河谷
5	34	64832	123936	长江河谷
5	34	64672	124256	长江河谷
5	34	65280	123744	长江河谷
5	34	65440	123008	长江河谷
5	34	65632	123232	长江河谷
5	90	52192	121568	长江河谷
5	90	51744	121952	长江河谷
5	90	52608	114848	长江河谷
5	90	52608	115872	长江河谷
5	90	52480	118048	长江河谷
5	90	52736	116896	长江河谷
5	90	52768	120416	长江河谷
5	90	53408	112928	长江河谷
5	90	55104	111168	长江河谷
5	90	55776	112288	长江河谷
5	90	57280	113088	长江河谷
5	90	58112	113280	长江河谷
5	90	58816	109696	长江河谷
5	90	58592	112800	长江河谷
5	90	59264	109792	长江河谷
5	90	59232	112608	长江河谷
5	90	59808	109536	长江河谷
5	90	59456	112896	长江河谷
5	90	60192	107904	长江河谷
5	90	60256	108672	长江河谷
5	90	60384	110784	长江河谷
5	90	60576	107136	长江河谷
5	90	60416	107872	长江河谷
5	90	60672	108288	长江河谷
5	90	60704	109376	长江河谷
5	90	60416	109280	长江河谷
5	90	60608	112640	长江河谷
5	90	61280	105632	长江河谷
5	90	62784	104736	长江河谷
5	37	52416	129440	洞庭湖畔
5	37	53600	129856	洞庭湖畔
5	37	54720	130176	洞庭湖畔
5	37	55296	130400	洞庭湖畔
5	37	57280	129632	洞庭湖畔
5	37	57472	129824	洞庭湖畔
5	37	57792	129920	洞庭湖畔
5	37	58592	130240	洞庭湖畔
5	37	58944	130176	洞庭湖畔
5	37	60160	130144	洞庭湖畔
5	104	50048	115392	剑阁蜀道
5	104	50464	114400	剑阁蜀道
5	104	51136	113088	剑阁蜀道
5	104	51840	112896	剑阁蜀道
5	104	52672	112960	剑阁蜀道
5	104	53344	111552	剑阁蜀道
5	61	53088	117184	九老洞一层
5	61	53504	116512	九老洞一层
5	61	53280	117344	九老洞一层
5	61	53248	116928	九老洞一层
5	61	53696	117056	九老洞一层
5	61	53888	117536	九老洞一层
5	61	54880	120704	九老洞一层
5	61	54944	120000	九老洞一层
5	61	55168	120384	九老洞一层
5	61	57344	116384	九老洞一层
5	61	57504	115904	九老洞一层
5	61	57984	111296	九老洞一层
5	61	58240	111808	九老洞一层
5	61	57952	116128	九老洞一层
5	61	58272	117728	九老洞一层
5	61	58080	116896	九老洞一层
5	61	58368	111200	九老洞一层
5	61	58528	111808	九老洞一层
5	61	58592	116736	九老洞一层
5	61	58592	117312	九老洞一层
5	61	60384	117600	九老洞一层
5	61	60640	117184	九老洞一层
5	61	60544	118112	九老洞一层
