nTemplateId	nMapId	nMapX	nMapY
3431	120	49696	110464
3431	120	49728	119456
3431	120	50816	113344
3431	120	51872	110144
3431	120	51840	123808
3431	120	52480	106592
3431	120	52256	120864
3431	120	56064	106336
3431	120	56000	123648
3431	120	58592	108672
3431	120	59648	119968
3431	120	60672	118464
3431	120	61024	108736
3431	120	61088	123712
3431	120	61760	113536
3431	121	46304	104288
3431	121	47520	98624
3431	121	47392	106656
3431	121	48512	110848
3431	121	49120	113312
3431	121	50848	98816
3431	121	52032	112768
3431	121	53248	97248
3431	121	55200	96192
3431	121	55168	112896
3431	121	56608	110272
3431	121	56896	96832
3431	121	57504	103968
3431	121	58752	97984
3431	121	58656	101984
3431	126	49440	108224
3431	126	49376	110816
3431	126	49376	113728
3431	126	50560	118080
3431	126	50688	108320
3431	126	50912	123488
3431	126	52416	104416
3431	126	53536	121984
3431	126	54368	104096
3431	126	56000	106048
3431	126	56256	120512
3431	126	57664	104160
3431	126	57632	123136
3431	126	59104	105344
3431	126	58912	110112
3431	126	59488	117280
3431	126	59488	121344
3431	126	60608	113568
3431	128	51008	111936
3431	128	51360	101472
3431	128	51200	107616
3431	128	51328	114016
3431	128	51904	104608
3431	128	52800	116640
3431	128	53280	101632
3431	128	54240	118496
3431	128	54528	120576
3431	128	56032	121216
3431	128	56448	101888
3431	128	57760	119136
3431	128	58208	100576
3431	128	60352	101728
3431	128	60160	115424
3431	128	60064	120480
3431	128	61856	106912
3431	128	61728	112544
3431	128	61664	117184
3431	128	62368	103904
3431	134	50656	119168
3431	134	51136	104992
3431	134	51040	110528
3431	134	51136	116704
3431	134	51616	107584
3431	134	51296	113248
3431	134	51936	122336
3431	134	52864	102336
3431	134	53152	121856
3431	134	54816	121664
3431	134	56576	102208
3431	134	56416	121216
3431	134	58176	121792
3431	134	59008	103104
3431	134	60192	121472
3431	134	61408	112704
3431	134	61024	115392
3431	134	61440	118048
3431	134	62208	104512
3431	134	62080	108800
3431	136	49888	105952
3431	136	50336	102880
3431	136	51488	104928
3431	136	51296	108608
3431	136	52032	98848
3431	136	57984	112224
3431	136	58400	100928
3431	136	58976	103936
3431	136	59968	100448
3431	136	59936	111968
3431	136	60672	104832
3431	136	61184	107904
3431	136	60992	110720
3431	136	61568	100896
3431	137	51584	113504
3431	137	52416	115808
3431	137	52224	117856
3431	137	52864	111136
3431	137	53056	120000
3431	137	54112	121760
3431	137	55616	109920
3431	137	55776	123776
3431	137	56512	106112
3431	137	56768	107616
3431	137	57856	104800
3431	137	58304	124160
3431	137	60192	124736
3431	137	61152	122912
3431	137	61824	106240
3431	137	62912	122464
3431	137	63296	107168
3431	137	63296	116096
3431	137	63328	119072
3431	137	63712	110176
