Id	StartDate	EndDate	Desc
1600	20090526	20090626	Thuyền rồng (Hoạt động)
1601	20090526	20090626	Thuyền rồng (Hoạt động)
1602	20090526	20090626	Thuyền rồng (Hoạt động)
1557	0	0	Vỏ sò thần bí
1558	0	0	Vỏ sò thần bí
1559	0	0	Vỏ sò thần bí
1560	0	0	Vỏ sò thần bí
1561	0	0	Vỏ sò thần bí
1562	0	0	Vỏ sò vàng
1563	0	0	Vỏ sò vàng
1564	0	0	Vỏ sò vàng
1565	0	0	Vỏ sò vàng
1566	0	0	Vỏ sò vàng
1577	0	0	Vỏ sò thần bí-Rương
1578	0	0	Vỏ sò thần bí-Rương
1579	0	0	Vỏ sò thần bí-Rương
1580	0	0	Vỏ sò thần bí-Rương
1581	0	0	Vỏ sò thần bí-Rương
1582	0	0	Vỏ sò vàng-Rương
1583	0	0	Vỏ sò vàng-Rương
1584	0	0	Vỏ sò vàng-Rương
1585	0	0	Vỏ sò vàng-Rương
1586	0	0	Vỏ sò vàng-Rương
1673	20090825	20090901	Hoa (hoạt động Thất Tịch)
1674	20090825	20090901	Hoa (hoạt động Thất Tịch)
1675	20090825	20090901	Hoa (hoạt động Thất Tịch)
1676	20090825	20090901	Hoa (hoạt động Thất Tịch)
1677	20090825	20090901	Hoa (hoạt động Thất Tịch)
1678	20090825	20090901	Rượu (hoạt động Thất Tịch)
1679	20090825	20090901	Rượu (hoạt động Thất Tịch)
1680	20090825	20090901	Rượu (hoạt động Thất Tịch)
1681	20090825	20090901	Rượu (hoạt động Thất Tịch)
1682	20090825	20090901	Rượu (hoạt động Thất Tịch)
1683	20090825	20090901	Thi (hoạt động Thất Tịch)
1684	20090825	20090901	Thi (hoạt động Thất Tịch)
1685	20090825	20090901	Thi (hoạt động Thất Tịch)
1686	20090825	20090901	Thi (hoạt động Thất Tịch)
1687	20090825	20090901	Thi (hoạt động Thất Tịch)
1688	20090825	20090901	Kiếm (hoạt động Thất Tịch)
1689	20090825	20090901	Kiếm (hoạt động Thất Tịch)
1690	20090825	20090901	Kiếm (hoạt động Thất Tịch)
1691	20090825	20090901	Kiếm (hoạt động Thất Tịch)
1692	20090825	20090901	Kiếm (hoạt động Thất Tịch)
1693	20090825	20090901	Hoa Rượu (hoạt động Thất Tịch)
1694	20090825	20090901	Hoa Rượu (hoạt động Thất Tịch)
1695	20090825	20090901	Hoa Rượu (hoạt động Thất Tịch)
1696	20090825	20090901	Hoa Rượu (hoạt động Thất Tịch)
1697	20090825	20090901	Hoa Rượu (hoạt động Thất Tịch)
1698	20090825	20090901	Thi Kiếm (hoạt động Thất Tịch)
1699	20090825	20090901	Thi Kiếm (hoạt động Thất Tịch)
1700	20090825	20090901	Thi Kiếm (hoạt động Thất Tịch)
1701	20090825	20090901	Thi Kiếm (hoạt động Thất Tịch)
1702	20090825	20090901	Thi Kiếm (hoạt động Thất Tịch)
1737	20110203	20110218	Hoạt động xuân 2011
1738	20110203	20110218	Hoạt động xuân 2011
1739	20110203	20110218	Hoạt động xuân 2011
1740	20110203	20110218	Hoạt động xuân 2011
1741	20110203	20110218	Hoạt động xuân 2011
1742	20110203	20110218	Hoạt động xuân 2011
1743	20110203	20110218	Hoạt động xuân 2011
1744	20110203	20110218	Hoạt động xuân 2011
1745	20110203	20110218	Hoạt động xuân 2011
1746	20110203	20110218	Hoạt động xuân 2011
1567	0	0	Mảnh bí cảnh
1568	0	0	Mảnh bí cảnh
1569	0	0	Mảnh bí cảnh
1570	0	0	Mảnh bí cảnh
1571	0	0	Mảnh bí cảnh
1572	0	0	Bản đồ bí cảnh
1767	20120205	20120208	Chế biến bánh trôi tân xuân 2012
1768	20120205	20120208	Chế biến bánh trôi tân xuân 2012
1769	20120205	20120208	Chế biến bánh trôi tân xuân 2012
1770	20120205	20120208	Chế biến bánh trôi tân xuân 2012
1771	20120205	20120208	Chế biến bánh trôi tân xuân 2012
1772	20120205	20120208	Chế biến bánh trôi tân xuân 2012
1773	20120205	20120208	Chế biến bánh trôi tân xuân 2012
1774	20120205	20120208	Chế biến bánh trôi tân xuân 2012
1775	20120205	20120208	Chế biến bánh trôi tân xuân 2012
1776	20120205	20120208	Chế biến bánh trôi tân xuân 2012
