Name	Kind	kind3	kind2	kind7	kind4	kind5	kind6	SuiteID	bVN	b2	Category	Genre	DetailType	ParticularType	Level
Yển Nguyệt Đao	Trang bị xanh_Yển Nguyệt Đao (Đao Côn)	Hệ ngoại công		Hệ Thổ		3	pve				13	2	1	151	10
Long Uyên Kiếm	Trang bị xanh_Long Uyên Kiếm (Kiếm Võ)	Hệ ngoại công		Hệ Thổ		3	pve				12	2	1	161	10
Long Uyên Kiếm	Trang bị xanh_Long Uyên Kiếm (Khí Võ)	Hệ nội công		Hệ Thổ		3	pve				12	2	1	171	10
Long Uyên Kiếm	Trang bị xanh_Long Uyên Kiếm (Kiếm Côn)	Hệ nội công		Hệ Thổ		3	pve				12	2	1	181	10
Yển Nguyệt Đao	Trang bị tím PVE_Yển Nguyệt Đao (Đao Thiếu)	Hệ ngoại công		Hệ Kim		4	pve				13	2	1	191	10
Kim Cô Bổng	Trang bị tím PVE_Kim Cô Bổng (Côn Thiếu)	Hệ ngoại công		Hệ Kim		4	pve				14	2	1	201	10
Phá Thiên Kích	Trang bị tím PVE_Phá Thiên Kích (Thương Thiên)	Hệ cách đấu		Hệ Kim		4	pve				15	2	1	211	10
Phá Thiên Chùy	Trang bị tím PVE_Phá Thiên Chùy (Chùy Thiên)	Hệ cách đấu		Hệ Kim		4	pve				16	2	1	221	10
Yển Nguyệt Đao	Trang bị tím PVE_Yển Nguyệt Đao (Đao Độc)	Hệ ngoại công		Hệ Mộc		4	pve				13	2	1	231	10
Thanh Long Triền Thủ	Trang bị tím PVE_Thanh Long Triền Thủ (Chưởng Độc)	Hệ nội công		Hệ Mộc		4	pve				11	2	1	241	10
Yển Nguyệt Đao	Trang bị tím PVE_Yển Nguyệt Đao (Đao Thúy)	Hệ ngoại công		Hệ Thủy		4	pve				13	2	1	251	10
Thanh Long Triền Thủ	Trang bị tím PVE_Thanh Long Triền Thủ (Chỉ Đoàn)	Hệ cách đấu		Hệ Thủy		4	pve				11	2	1	261	10
Thanh Long Triền Thủ	Trang bị tím PVE_Thanh Long Triền Thủ (Chưởng Nga)	Hệ nội công		Hệ Thủy		4	pve				11	2	1	271	10
Long Uyên Kiếm	Trang bị tím PVE_Long Uyên Kiếm (Kiếm Thúy, Khí Đoàn, Phụ Nga)	Hệ nội công		Hệ Thủy		4	pve				12	2	1	281	10
Kim Cô Bổng	Trang bị tím PVE_Kim Cô Bổng (Côn Cái)	Hệ ngoại công		Hệ Hỏa		4	pve				14	2	1	291	10
Phá Thiên Kích	Trang bị tím PVE_Phá Thiên Kích (Chiến Nhẫn)	Hệ ngoại công		Hệ Hỏa		4	pve				15	2	1	301	10
Thanh Long Triền Thủ	Trang bị tím PVE_Thanh Long Triền Thủ (Chưởng Cái)	Hệ nội công		Hệ Hỏa		4	pve				11	2	1	311	10
Yển Nguyệt Đao	Trang bị tím PVE_Yển Nguyệt Đao (Ma Nhẫn)	Hệ nội công		Hệ Hỏa		4	pve				13	2	1	321	10
Yển Nguyệt Đao	Trang bị tím PVE_Yển Nguyệt Đao (Đao Côn)	Hệ ngoại công		Hệ Thổ		4	pve				13	2	1	331	10
Long Uyên Kiếm	Trang bị tím PVE_Long Uyên Kiếm (Kiếm Võ)	Hệ ngoại công		Hệ Thổ		4	pve				12	2	1	341	10
Long Uyên Kiếm	Trang bị tím PVE_Long Uyên Kiếm (Khí Võ)	Hệ nội công		Hệ Thổ		4	pve				12	2	1	351	10
Long Uyên Kiếm	Trang bị tím PVE_Long Uyên Kiếm (Kiếm Côn)	Hệ nội công		Hệ Thổ		4	pve				12	2	1	361	10
Yển Nguyệt Đao	Trang bị tím PVP_Yển Nguyệt Đao (Đao Thiếu)	Hệ ngoại công		Hệ Kim		4	pvp				13	2	1	371	10
Kim Cô Bổng	Trang bị tím PVP_Kim Cô Bổng (Côn Thiếu)	Hệ ngoại công		Hệ Kim		4	pvp				14	2	1	381	10
Phá Thiên Kích	Trang bị tím PVP_Phá Thiên Kích (Thương Thiên)	Hệ cách đấu		Hệ Kim		4	pvp				15	2	1	391	10
Phá Thiên Chùy	Trang bị tím PVP_Phá Thiên Chùy (Chùy Thiên)	Hệ cách đấu		Hệ Kim		4	pvp				16	2	1	401	10
Yển Nguyệt Đao	Trang bị tím PVP_Yển Nguyệt Đao (Đao Độc)	Hệ ngoại công		Hệ Mộc		4	pvp				13	2	1	411	10
Thanh Long Triền Thủ	Trang bị tím PVP_Thanh Long Triền Thủ (Chưởng Độc)	Hệ nội công		Hệ Mộc		4	pvp				11	2	1	421	10
Yển Nguyệt Đao	Trang bị tím PVP_Yển Nguyệt Đao (Đao Thúy)	Hệ ngoại công		Hệ Thủy		4	pvp				13	2	1	431	10
Thanh Long Triền Thủ	Trang bị tím PVP_Thanh Long Triền Thủ (Chỉ Đoàn)	Hệ cách đấu		Hệ Thủy		4	pvp				11	2	1	441	10
Thanh Long Triền Thủ	Trang bị tím PVP_Thanh Long Triền Thủ (Chưởng Nga)	Hệ nội công		Hệ Thủy		4	pvp				11	2	1	451	10
Long Uyên Kiếm	Trang bị tím PVP_Long Uyên Kiếm (Kiếm Thúy, Khí Đoàn, Phụ Nga)	Hệ nội công		Hệ Thủy		4	pvp				12	2	1	461	10
Kim Cô Bổng	Trang bị tím PVP_Kim Cô Bổng (Côn Cái)	Hệ ngoại công		Hệ Hỏa		4	pvp				14	2	1	471	10
Phá Thiên Kích	Trang bị tím PVP_Phá Thiên Kích (Chiến Nhẫn)	Hệ ngoại công		Hệ Hỏa		4	pvp				15	2	1	481	10
Thanh Long Triền Thủ	Trang bị tím PVP_Thanh Long Triền Thủ (Chưởng Cái)	Hệ nội công		Hệ Hỏa		4	pvp				11	2	1	491	10
Yển Nguyệt Đao	Trang bị tím PVP_Yển Nguyệt Đao (Ma Nhẫn)	Hệ nội công		Hệ Hỏa		4	pvp				13	2	1	501	10
Yển Nguyệt Đao	Trang bị tím PVP_Yển Nguyệt Đao (Đao Côn)	Hệ ngoại công		Hệ Thổ		4	pvp				13	2	1	511	10
Long Uyên Kiếm	Trang bị tím PVP_Long Uyên Kiếm (Kiếm Võ)	Hệ ngoại công		Hệ Thổ		4	pvp				12	2	1	521	10
Long Uyên Kiếm	Trang bị tím PVP_Long Uyên Kiếm (Khí Võ)	Hệ nội công		Hệ Thổ		4	pvp				12	2	1	531	10
Long Uyên Kiếm	Trang bị tím PVP_Long Uyên Kiếm (Kiếm Côn)	Hệ nội công		Hệ Thổ		4	pvp				12	2	1	541	10
Yển Nguyệt Đao	Trang bị cam PVE_Yển Nguyệt Đao (Đao Thiếu)	Hệ ngoại công		Hệ Kim		5	pve				13	2	1	551	10
Kim Cô Bổng	Trang bị cam PVE_Kim Cô Bổng (Côn Thiếu)	Hệ ngoại công		Hệ Kim		5	pve				14	2	1	561	10
Phá Thiên Kích	Trang bị cam PVE_Phá Thiên Kích (Thương Thiên)	Hệ cách đấu		Hệ Kim		5	pve				15	2	1	571	10
Phá Thiên Chùy	Trang bị cam PVE_Phá Thiên Chùy (Chùy Thiên)	Hệ cách đấu		Hệ Kim		5	pve				16	2	1	581	10
Yển Nguyệt Đao	Trang bị cam PVE_Yển Nguyệt Đao (Đao Độc)	Hệ ngoại công		Hệ Mộc		5	pve				13	2	1	591	10
Thanh Long Triền Thủ	Trang bị cam PVE_Thanh Long Triền Thủ (Chưởng Độc)	Hệ nội công		Hệ Mộc		5	pve				11	2	1	601	10
Yển Nguyệt Đao	Trang bị cam PVE_Yển Nguyệt Đao (Đao Thúy)	Hệ ngoại công		Hệ Thủy		5	pve				13	2	1	611	10
Thanh Long Triền Thủ	Trang bị cam PVE_Thanh Long Triền Thủ (Chỉ Đoàn)	Hệ cách đấu		Hệ Thủy		5	pve				11	2	1	621	10
Thanh Long Triền Thủ	Trang bị cam PVE_Thanh Long Triền Thủ (Chưởng Nga)	Hệ nội công		Hệ Thủy		5	pve				11	2	1	631	10
Long Uyên Kiếm	Trang bị cam PVE_Long Uyên Kiếm (Kiếm Thúy, Khí Đoàn, Phụ Nga)	Hệ nội công		Hệ Thủy		5	pve				12	2	1	641	10
Kim Cô Bổng	Trang bị cam PVE_Kim Cô Bổng (Côn Cái)	Hệ ngoại công		Hệ Hỏa		5	pve				14	2	1	651	10
Phá Thiên Kích	Trang bị cam PVE_Phá Thiên Kích (Chiến Nhẫn)	Hệ ngoại công		Hệ Hỏa		5	pve				15	2	1	661	10
Thanh Long Triền Thủ	Trang bị cam PVE_Thanh Long Triền Thủ (Chưởng Cái)	Hệ nội công		Hệ Hỏa		5	pve				11	2	1	671	10
Yển Nguyệt Đao	Trang bị cam PVE_Yển Nguyệt Đao (Ma Nhẫn)	Hệ nội công		Hệ Hỏa		5	pve				13	2	1	681	10
Yển Nguyệt Đao	Trang bị cam PVE_Yển Nguyệt Đao (Đao Côn)	Hệ ngoại công		Hệ Thổ		5	pve				13	2	1	691	10
Long Uyên Kiếm	Trang bị cam PVE_Long Uyên Kiếm (Kiếm Võ)	Hệ ngoại công		Hệ Thổ		5	pve				12	2	1	701	10
Long Uyên Kiếm	Trang bị cam PVE_Long Uyên Kiếm (Khí Võ)	Hệ nội công		Hệ Thổ		5	pve				12	2	1	711	10
Long Uyên Kiếm	Trang bị cam PVE_Long Uyên Kiếm (Kiếm Côn)	Hệ nội công		Hệ Thổ		5	pve				12	2	1	721	10
Yển Nguyệt Đao	Trang bị cam PVP_Yển Nguyệt Đao (Đao Thiếu)	Hệ ngoại công		Hệ Kim		5	pvp				13	2	1	731	10
Kim Cô Bổng	Trang bị cam PVP_Kim Cô Bổng (Côn Thiếu)	Hệ ngoại công		Hệ Kim		5	pvp				14	2	1	741	10
Phá Thiên Kích	Trang bị cam PVP_Phá Thiên Kích (Thương Thiên)	Hệ cách đấu		Hệ Kim		5	pvp				15	2	1	751	10
Phá Thiên Chùy	Trang bị cam PVP_Phá Thiên Chùy (Chùy Thiên)	Hệ cách đấu		Hệ Kim		5	pvp				16	2	1	761	10
Yển Nguyệt Đao	Trang bị cam PVP_Yển Nguyệt Đao (Đao Độc)	Hệ ngoại công		Hệ Mộc		5	pvp				13	2	1	771	10
Thanh Long Triền Thủ	Trang bị cam PVP_Thanh Long Triền Thủ (Chưởng Độc)	Hệ nội công		Hệ Mộc		5	pvp				11	2	1	781	10
Yển Nguyệt Đao	Trang bị cam PVP_Yển Nguyệt Đao (Đao Thúy)	Hệ ngoại công		Hệ Thủy		5	pvp				13	2	1	791	10
Thanh Long Triền Thủ	Trang bị cam PVP_Thanh Long Triền Thủ (Chỉ Đoàn)	Hệ cách đấu		Hệ Thủy		5	pvp				11	2	1	801	10
Thanh Long Triền Thủ	Trang bị cam PVP_Thanh Long Triền Thủ (Chưởng Nga)	Hệ nội công		Hệ Thủy		5	pvp				11	2	1	811	10
Long Uyên Kiếm	Trang bị cam PVP_Long Uyên Kiếm (Kiếm Thúy, Khí Đoàn, Phụ Nga)	Hệ nội công		Hệ Thủy		5	pvp				12	2	1	821	10
Kim Cô Bổng	Trang bị cam PVP_Kim Cô Bổng (Côn Cái)	Hệ ngoại công		Hệ Hỏa		5	pvp				14	2	1	831	10
Phá Thiên Kích	Trang bị cam PVP_Phá Thiên Kích (Chiến Nhẫn)	Hệ ngoại công		Hệ Hỏa		5	pvp				15	2	1	841	10
Thanh Long Triền Thủ	Trang bị cam PVP_Thanh Long Triền Thủ (Chưởng Cái)	Hệ nội công		Hệ Hỏa		5	pvp				11	2	1	851	10
Yển Nguyệt Đao	Trang bị cam PVP_Yển Nguyệt Đao (Ma Nhẫn)	Hệ nội công		Hệ Hỏa		5	pvp				13	2	1	861	10
Yển Nguyệt Đao	Trang bị cam PVP_Yển Nguyệt Đao (Đao Côn)	Hệ ngoại công		Hệ Thổ		5	pvp				13	2	1	871	10
Long Uyên Kiếm	Trang bị cam PVP_Long Uyên Kiếm (Kiếm Võ)	Hệ ngoại công		Hệ Thổ		5	pvp				12	2	1	881	10
Long Uyên Kiếm	Trang bị cam PVP_Long Uyên Kiếm (Khí Võ)	Hệ nội công		Hệ Thổ		5	pvp				12	2	1	891	10
Long Uyên Kiếm	Trang bị cam PVP_Long Uyên Kiếm (Kiếm Côn)	Hệ nội công		Hệ Thổ		5	pvp				12	2	1	901	10
Phá Thiên Chùy	Trang bị xanh_Phá Thiên Chùy (Chùy Minh)	Hệ ngoại công		Hệ Mộc		3	pve				16	2	1	911	10
Long Uyên Kiếm	Trang bị xanh_Long Uyên Kiếm (Kiếm Minh)	Hệ nội công		Hệ Mộc		3	pve				12	2	1	921	10
Phá Thiên Chùy	Trang bị tím PVE_Phá Thiên Chùy (Chùy Minh)	Hệ ngoại công		Hệ Mộc		4	pve				16	2	1	931	10
Long Uyên Kiếm	Trang bị tím PVE_Long Uyên Kiếm (Kiếm Minh)	Hệ nội công		Hệ Mộc		4	pve				12	2	1	941	10
Phá Thiên Chùy	Trang bị tím PVP_Phá Thiên Chùy (Chùy Minh)	Hệ ngoại công		Hệ Mộc		4	pvp				16	2	1	951	10
Long Uyên Kiếm	Trang bị tím PVP_Long Uyên Kiếm (Kiếm Minh)	Hệ nội công		Hệ Mộc		4	pvp				12	2	1	961	10
Phá Thiên Chùy	Trang bị cam PVE_Phá Thiên Chùy (Chùy Minh)	Hệ ngoại công		Hệ Mộc		5	pve				16	2	1	971	10
Long Uyên Kiếm	Trang bị cam PVE_Long Uyên Kiếm (Kiếm Minh)	Hệ nội công		Hệ Mộc		5	pve				12	2	1	981	10
Phá Thiên Chùy	Trang bị cam PVP_Phá Thiên Chùy (Chùy Minh)	Hệ ngoại công		Hệ Mộc		5	pvp				16	2	1	991	10
Long Uyên Kiếm	Trang bị cam PVP_Long Uyên Kiếm (Kiếm Minh)	Hệ nội công		Hệ Mộc		5	pvp				12	2	1	1001	10
Kim Cô Bổng	Trang bị xanh_hệ cách đấu_Kim_Côn	Hệ cách đấu		Hệ Kim		3	pve				14	2	1	1002	10
Yển Nguyệt Đao	Trang bị xanh_hệ cách đấu_Kim_Đao	Hệ cách đấu		Hệ Kim		3	pve				13	2	1	1003	10
Long Uyên Kiếm	Trang bị xanh_hệ cách đấu_Kim_Kiếm	Hệ cách đấu		Hệ Kim		3	pve				12	2	1	1004	10
Thanh Long Triền Thủ	Trang bị xanh_hệ cách đấu_Kim_Thủ	Hệ cách đấu		Hệ Kim		3	pve				11	2	1	1005	10
Kim Cô Bổng	Trang bị xanh_hệ cách đấu_Mộc_Côn	Hệ cách đấu		Hệ Mộc		3	pve				14	2	1	1006	10
Yển Nguyệt Đao	Trang bị xanh_hệ cách đấu_Mộc_Đao	Hệ cách đấu		Hệ Mộc		3	pve				13	2	1	1007	10
Long Uyên Kiếm	Trang bị xanh_hệ cách đấu_Mộc_Kiếm	Hệ cách đấu		Hệ Mộc		3	pve				12	2	1	1008	10
Phá Thiên Kích	Trang bị xanh_hệ cách đấu_Mộc_Thương	Hệ cách đấu		Hệ Mộc		3	pve				15	2	1	1009	10
Thanh Long Triền Thủ	Trang bị xanh_hệ cách đấu_Mộc_Thủ	Hệ cách đấu		Hệ Mộc		3	pve				11	2	1	1010	10
Kim Cô Bổng	Trang bị xanh_hệ cách đấu_Thủy_Côn	Hệ cách đấu		Hệ Thủy		3	pve				14	2	1	1011	10
Yển Nguyệt Đao	Trang bị xanh_hệ cách đấu_Thủy_Đao	Hệ cách đấu		Hệ Thủy		3	pve				13	2	1	1012	10
Long Uyên Kiếm	Trang bị xanh_hệ cách đấu_Thủy_Kiếm	Hệ cách đấu		Hệ Thủy		3	pve				12	2	1	1013	10
Phá Thiên Kích	Trang bị xanh_hệ cách đấu_Thủy_Thương	Hệ cách đấu		Hệ Thủy		3	pve				15	2	1	1014	10
Phá Thiên Chùy	Trang bị xanh_hệ cách đấu_Thủy_Chùy	Hệ cách đấu		Hệ Thủy		3	pve				16	2	1	1015	10
Kim Cô Bổng	Trang bị xanh_hệ cách đấu_Hỏa_Côn	Hệ cách đấu		Hệ Hỏa		3	pve				14	2	1	1016	10
Yển Nguyệt Đao	Trang bị xanh_hệ cách đấu_Hỏa_Đao	Hệ cách đấu		Hệ Hỏa		3	pve				13	2	1	1017	10
Long Uyên Kiếm	Trang bị xanh_hệ cách đấu_Hỏa_Kiếm	Hệ cách đấu		Hệ Hỏa		3	pve				12	2	1	1018	10
Phá Thiên Kích	Trang bị xanh_hệ cách đấu_Hỏa_Thương	Hệ cách đấu		Hệ Hỏa		3	pve				15	2	1	1019	10
Phá Thiên Chùy	Trang bị xanh_hệ cách đấu_Hỏa_Chùy	Hệ cách đấu		Hệ Hỏa		3	pve				16	2	1	1020	10
Thanh Long Triền Thủ	Trang bị xanh_hệ cách đấu_Hỏa_Thủ	Hệ cách đấu		Hệ Hỏa		3	pve				11	2	1	1021	10
Kim Cô Bổng	Trang bị xanh_hệ cách đấu_Thổ_Côn	Hệ cách đấu		Hệ Thổ		3	pve				14	2	1	1022	10
Yển Nguyệt Đao	Trang bị xanh_hệ cách đấu_Thổ_Đao	Hệ cách đấu		Hệ Thổ		3	pve				13	2	1	1023	10
Long Uyên Kiếm	Trang bị xanh_hệ cách đấu_Thổ_Kiếm	Hệ cách đấu		Hệ Thổ		3	pve				12	2	1	1024	10
Phá Thiên Kích	Trang bị xanh_hệ cách đấu_Thổ_Thương	Hệ cách đấu		Hệ Thổ		3	pve				15	2	1	1025	10
Phá Thiên Chùy	Trang bị xanh_hệ cách đấu_Thổ_Chùy	Hệ cách đấu		Hệ Thổ		3	pve				16	2	1	1026	10
Thanh Long Triền Thủ	Trang bị xanh_hệ cách đấu_Thổ_Thủ	Hệ cách đấu		Hệ Thổ		3	pve				11	2	1	1027	10
Long Uyên Kiếm	Trang bị xanh_hệ ngoại công_Kim_Kiếm	Hệ ngoại công		Hệ Kim		3	pve				12	2	1	1028	10
Phá Thiên Kích	Trang bị xanh_hệ ngoại công_Kim_Thương	Hệ ngoại công		Hệ Kim		3	pve				15	2	1	1029	10
Phá Thiên Chùy	Trang bị xanh_hệ ngoại công_Kim_Chùy	Hệ ngoại công		Hệ Kim		3	pve				16	2	1	1030	10
Thanh Long Triền Thủ	Trang bị xanh_hệ ngoại công_Kim_Thủ	Hệ ngoại công		Hệ Kim		3	pve				11	2	1	1031	10
Kim Cô Bổng	Trang bị xanh_hệ ngoại công_Mộc_Côn	Hệ ngoại công		Hệ Mộc		3	pve				14	2	1	1032	10
Long Uyên Kiếm	Trang bị xanh_hệ ngoại công_Mộc_Kiếm	Hệ ngoại công		Hệ Mộc		3	pve				12	2	1	1033	10
Phá Thiên Kích	Trang bị xanh_hệ ngoại công_Mộc_Thương	Hệ ngoại công		Hệ Mộc		3	pve				15	2	1	1034	10
Phá Thiên Chùy	Trang bị xanh_hệ ngoại công_Mộc_Chùy	Hệ ngoại công		Hệ Mộc		3	pve				16	2	1	1035	10
Thanh Long Triền Thủ	Trang bị xanh_hệ ngoại công_Mộc_Thủ	Hệ ngoại công		Hệ Mộc		3	pve				11	2	1	1036	10
Kim Cô Bổng	Trang bị xanh_hệ ngoại công_Thủy_Côn	Hệ ngoại công		Hệ Thủy		3	pve				14	2	1	1037	10
Long Uyên Kiếm	Trang bị xanh_hệ ngoại công_Thủy_Kiếm	Hệ ngoại công		Hệ Thủy		3	pve				12	2	1	1038	10
Phá Thiên Kích	Trang bị xanh_hệ ngoại công_Thủy_Thương	Hệ ngoại công		Hệ Thủy		3	pve				15	2	1	1039	10
Phá Thiên Chùy	Trang bị xanh_hệ ngoại công_Thủy_Chùy	Hệ ngoại công		Hệ Thủy		3	pve				16	2	1	1040	10
Thanh Long Triền Thủ	Trang bị xanh_hệ ngoại công_Thủy_Thủ	Hệ ngoại công		Hệ Thủy		3	pve				11	2	1	1041	10
Yển Nguyệt Đao	Trang bị xanh_hệ ngoại công_Hỏa_Đao	Hệ ngoại công		Hệ Hỏa		3	pve				13	2	1	1042	10
Long Uyên Kiếm	Trang bị xanh_hệ ngoại công_Hỏa_Kiếm	Hệ ngoại công		Hệ Hỏa		3	pve				12	2	1	1043	10
Phá Thiên Chùy	Trang bị xanh_hệ ngoại công_Hỏa_Chùy	Hệ ngoại công		Hệ Hỏa		3	pve				16	2	1	1044	10
Thanh Long Triền Thủ	Trang bị xanh_hệ ngoại công_Hỏa_Thủ	Hệ ngoại công		Hệ Hỏa		3	pve				11	2	1	1045	10
Kim Cô Bổng	Trang bị xanh_hệ ngoại công_Thổ_Côn	Hệ ngoại công		Hệ Thổ		3	pve				14	2	1	1046	10
Phá Thiên Kích	Trang bị xanh_hệ ngoại công_Thổ_Thương	Hệ ngoại công		Hệ Thổ		3	pve				15	2	1	1047	10
Phá Thiên Chùy	Trang bị xanh_hệ ngoại công_Thổ_Chùy	Hệ ngoại công		Hệ Thổ		3	pve				16	2	1	1048	10
Thanh Long Triền Thủ	Trang bị xanh_hệ ngoại công_Thổ_Thủ	Hệ ngoại công		Hệ Thổ		3	pve				11	2	1	1049	10
Kim Cô Bổng	Trang bị xanh_hệ nội công_Kim_Côn	Hệ nội công		Hệ Kim		3	pve				14	2	1	1050	10
Yển Nguyệt Đao	Trang bị xanh_hệ nội công_Kim_Đao	Hệ nội công		Hệ Kim		3	pve				13	2	1	1051	10
Long Uyên Kiếm	Trang bị xanh_hệ nội công_Kim_Kiếm	Hệ nội công		Hệ Kim		3	pve				12	2	1	1052	10
Phá Thiên Kích	Trang bị xanh_hệ nội công_Kim_Thương	Hệ nội công		Hệ Kim		3	pve				15	2	1	1053	10
Phá Thiên Chùy	Trang bị xanh_hệ nội công_Kim_Chùy	Hệ nội công		Hệ Kim		3	pve				16	2	1	1054	10
Thanh Long Triền Thủ	Trang bị xanh_hệ nội công_Kim_Thủ	Hệ nội công		Hệ Kim		3	pve				11	2	1	1055	10
Kim Cô Bổng	Trang bị xanh_hệ nội công_Mộc_Côn	Hệ nội công		Hệ Mộc		3	pve				14	2	1	1056	10
Yển Nguyệt Đao	Trang bị xanh_hệ nội công_Mộc_Đao	Hệ nội công		Hệ Mộc		3	pve				13	2	1	1057	10
Phá Thiên Kích	Trang bị xanh_hệ nội công_Mộc_Thương	Hệ nội công		Hệ Mộc		3	pve				15	2	1	1058	10
Phá Thiên Chùy	Trang bị xanh_hệ nội công_Mộc_Chùy	Hệ nội công		Hệ Mộc		3	pve				16	2	1	1059	10
Kim Cô Bổng	Trang bị xanh_hệ nội công_Thủy_Côn	Hệ nội công		Hệ Thủy		3	pve				14	2	1	1060	10
Yển Nguyệt Đao	Trang bị xanh_hệ nội công_Thủy_Đao	Hệ nội công		Hệ Thủy		3	pve				13	2	1	1061	10
Phá Thiên Kích	Trang bị xanh_hệ nội công_Thủy_Thương	Hệ nội công		Hệ Thủy		3	pve				15	2	1	1062	10
Phá Thiên Chùy	Trang bị xanh_hệ nội công_Thủy_Chùy	Hệ nội công		Hệ Thủy		3	pve				16	2	1	1063	10
Kim Cô Bổng	Trang bị xanh_hệ nội công_Hỏa_Côn	Hệ nội công		Hệ Hỏa		3	pve				14	2	1	1064	10
Long Uyên Kiếm	Trang bị xanh_hệ nội công_Hỏa_Kiếm	Hệ nội công		Hệ Hỏa		3	pve				12	2	1	1065	10
Phá Thiên Kích	Trang bị xanh_hệ nội công_Hỏa_Thương	Hệ nội công		Hệ Hỏa		3	pve				15	2	1	1066	10
Phá Thiên Chùy	Trang bị xanh_hệ nội công_Hỏa_Chùy	Hệ nội công		Hệ Hỏa		3	pve				16	2	1	1067	10
Kim Cô Bổng	Trang bị xanh_hệ nội công_Thổ_Côn	Hệ nội công		Hệ Thổ		3	pve				14	2	1	1068	10
Yển Nguyệt Đao	Trang bị xanh_hệ nội công_Thổ_Đao	Hệ nội công		Hệ Thổ		3	pve				13	2	1	1069	10
Phá Thiên Kích	Trang bị xanh_hệ nội công_Thổ_Thương	Hệ nội công		Hệ Thổ		3	pve				15	2	1	1070	10
Phá Thiên Chùy	Trang bị xanh_hệ nội công_Thổ_Chùy	Hệ nội công		Hệ Thổ		3	pve				16	2	1	1071	10
Thanh Long Triền Thủ	Trang bị xanh_hệ nội công_Thổ_Thủ	Hệ nội công		Hệ Thổ		3	pve				11	2	1	1072	10
Kim Cô Bổng	Trang bị tím PVE_hệ cách đấu_Kim_Côn	Hệ cách đấu		Hệ Kim		4	pve				14	2	1	1073	10
Yển Nguyệt Đao	Trang bị tím PVE_hệ cách đấu_Kim_Đao	Hệ cách đấu		Hệ Kim		4	pve				13	2	1	1074	10
Long Uyên Kiếm	Trang bị tím PVE_hệ cách đấu_Kim_Kiếm	Hệ cách đấu		Hệ Kim		4	pve				12	2	1	1075	10
Thanh Long Triền Thủ	Trang bị tím PVE_hệ cách đấu_Kim_Thủ	Hệ cách đấu		Hệ Kim		4	pve				11	2	1	1076	10
Kim Cô Bổng	Trang bị tím PVE_hệ cách đấu_Mộc_Côn	Hệ cách đấu		Hệ Mộc		4	pve				14	2	1	1077	10
Yển Nguyệt Đao	Trang bị tím PVE_hệ cách đấu_Mộc_Đao	Hệ cách đấu		Hệ Mộc		4	pve				13	2	1	1078	10
Long Uyên Kiếm	Trang bị tím PVE_hệ cách đấu_Mộc_Kiếm	Hệ cách đấu		Hệ Mộc		4	pve				12	2	1	1079	10
Phá Thiên Kích	Trang bị tím PVE_hệ cách đấu_Mộc_Thương	Hệ cách đấu		Hệ Mộc		4	pve				15	2	1	1080	10
Thanh Long Triền Thủ	Trang bị tím PVE_hệ cách đấu_Mộc_Thủ	Hệ cách đấu		Hệ Mộc		4	pve				11	2	1	1081	10
