Id	Describe	Faction1	Faction2	Faction3	Faction4	Faction5	Faction6	Faction7	Faction8	Faction9	Faction10	Faction11	Faction12	Faction13
15	Phi Phong Sồ Phượng Linh Vũ - Nữ	1,17,2,7	1,17,2,7	1,17,4,7	1,17,4,7	1,17,6,7	1,17,6,7	1,17,8,7	1,17,8,7	1,17,10,7	1,17,10,7	1,17,4,7	1,17,6,7	1,17,10,7
16	Phi Phong Tiềm Long Ngâm Uyên - Nam	1,17,1,8	1,17,1,8	1,17,3,8	1,17,3,8	1,17,5,8	1,17,5,8	1,17,7,8	1,17,7,8	1,17,9,8	1,17,9,8	1,17,3,8	1,17,5,8	1,17,9,8
17	Phi Phong Tiềm Long Ngâm Uyên - Nữ	1,17,2,8	1,17,2,8	1,17,4,8	1,17,4,8	1,17,6,8	1,17,6,8	1,17,8,8	1,17,8,8	1,17,10,8	1,17,10,8	1,17,4,8	1,17,6,8	1,17,10,8
18	Phi Phong Chí Tôn Truyền Thuyết - Nam	1,17,1,9	1,17,1,9	1,17,3,9	1,17,3,9	1,17,5,9	1,17,5,9	1,17,7,9	1,17,7,9	1,17,9,9	1,17,9,9	1,17,3,9	1,17,5,9	1,17,9,9
19	Phi Phong Chí Tôn Truyền Thuyết - Nữ	1,17,2,9	1,17,2,9	1,17,4,9	1,17,4,9	1,17,6,9	1,17,6,9	1,17,8,9	1,17,8,9	1,17,10,9	1,17,10,9	1,17,4,9	1,17,6,9	1,17,10,9
20	Phi Phong Vô Song Vương Giả - Nam	1,17,1,10	1,17,1,10	1,17,3,10	1,17,3,10	1,17,5,10	1,17,5,10	1,17,7,10	1,17,7,10	1,17,9,10	1,17,9,10	1,17,3,10	1,17,5,10	1,17,9,10
21	Phi Phong Vô Song Vương Giả - Nữ	1,17,2,10	1,17,2,10	1,17,4,10	1,17,4,10	1,17,6,10	1,17,6,10	1,17,8,10	1,17,8,10	1,17,10,10	1,17,10,10	1,17,4,10	1,17,6,10	1,17,10,10
22	Quan ấn cấp 1	1,18,1,1	1,18,1,1	1,18,2,1	1,18,2,1	1,18,3,1	1,18,3,1	1,18,4,1	1,18,4,1	1,18,5,1	1,18,5,1	1,18,2,1	1,18,3,1	1,18,5,1
23	Quan ấn cấp 2	1,18,1,2	1,18,1,2	1,18,2,2	1,18,2,2	1,18,3,2	1,18,3,2	1,18,4,2	1,18,4,2	1,18,5,2	1,18,5,2	1,18,2,2	1,18,3,2	1,18,5,2
24	Quan ấn cấp 3	1,18,1,3	1,18,1,3	1,18,2,3	1,18,2,3	1,18,3,3	1,18,3,3	1,18,4,3	1,18,4,3	1,18,5,3	1,18,5,3	1,18,2,3	1,18,3,3	1,18,5,3
25	Quan ấn cấp 4	1,18,1,4	1,18,1,4	1,18,2,4	1,18,2,4	1,18,3,4	1,18,3,4	1,18,4,4	1,18,4,4	1,18,5,4	1,18,5,4	1,18,2,4	1,18,3,4	1,18,5,4
26	Quan ấn cấp 5	1,18,1,5	1,18,1,5	1,18,2,5	1,18,2,5	1,18,3,5	1,18,3,5	1,18,4,5	1,18,4,5	1,18,5,5	1,18,5,5	1,18,2,5	1,18,3,5	1,18,5,5
27	Quan ấn cấp 6	1,18,1,6	1,18,1,6	1,18,2,6	1,18,2,6	1,18,3,6	1,18,3,6	1,18,4,6	1,18,4,6	1,18,5,6	1,18,5,6	1,18,2,6	1,18,3,6	1,18,5,6
28	Quan ấn cấp 7	1,18,1,7	1,18,1,7	1,18,2,7	1,18,2,7	1,18,3,7	1,18,3,7	1,18,4,7	1,18,4,7	1,18,5,7	1,18,5,7	1,18,2,7	1,18,3,7	1,18,5,7
29	Quan ấn cấp 8	1,18,1,8	1,18,1,8	1,18,2,8	1,18,2,8	1,18,3,8	1,18,3,8	1,18,4,8	1,18,4,8	1,18,5,8	1,18,5,8	1,18,2,8	1,18,3,8	1,18,5,8
