LEVEL	EXP_UPGRADE	POTENTIAL	STRENGTH	DEXTERITY	VITALITY	ENERGY	FIGHT_SKILL_POINT	LIFE	MANA	STAMINA	LUCK	GATHER	MAKE	SPEED_WALK	SPEED_RUN	ATTACK_SPEED	CAST_SPEED	ATTACK_RATE	DEFENCE	DAMAGE_PHYSICS	DAMAGE_MAGIC	RESIST_METAL	RESIST_WOOD	RESIST_WATER	RESIST_FIRE	RESIST_EARTH	RESIST_CONQUER	RESIST_BE_CONQUER	MOVESPEED_ADDP	BASE_AWARD_EXP	BASE_ANGERATK	PRODUCTIVITY	MAX_CARRY_MONEY
28	572000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	2000	1200	30	1000000
29	993000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	2000	1200	30	1000000
30	1030000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	3334	1300	40	3000000
31	1069000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	3334	1300	40	3000000
32	1111000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	3334	1400	40	3000000
33	1158000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	3334	1400	40	3000000
34	1213000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	3334	1400	40	3000000
35	1282000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	3334	1500	40	3000000
36	1373000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	3334	1500	40	3000000
37	1494000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	3334	1500	40	3000000
38	1650000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	3334	1600	40	3000000
39	1820000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	3334	1600	40	3000000
40	1830000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	5000	1700	50	10000000
41	1905200	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	5000	1700	50	10000000
42	2000400	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	5000	1700	50	10000000
43	2200000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	5000	1800	50	10000000
44	2420000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	5000	1800	50	10000000
45	2662000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	5000	1800	50	10000000
46	3058000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	5000	1900	50	10000000
47	3520000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	5000	1900	50	10000000
48	4219600	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	5000	1900	50	10000000
49	5884800	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	5000	2000	50	10000000
50	5900000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	7000	2000	60	30000000
51	5990000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	7000	2100	60	30000000
52	6240000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	7000	2100	60	30000000
53	6540000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	7000	2100	60	30000000
54	6940000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	7000	2200	60	30000000
55	7440000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	7000	2300	60	30000000
56	8040000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	7000	2400	60	30000000
57	8740000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	7000	2500	60	30000000
58	9740000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	7000	2600	60	30000000
59	12550000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	7000	2700	60	30000000
60	12600000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	9334	2800	70	50000000
61	12800000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	9334	2900	70	50000000
62	13100000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	9334	3000	70	50000000
63	13500000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	9334	3100	70	50000000
64	14000000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	9334	3200	70	50000000
65	14700000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	9334	3300	70	50000000
66	15700000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	9334	3300	70	50000000
67	17250000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	9334	3400	70	50000000
68	19250000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	9334	3500	70	50000000
69	23340000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	9334	3600	70	50000000
70	23600000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	12000	3700	80	100000000
71	25100000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	12000	3800	80	100000000
72	26700000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	12000	3800	80	100000000
73	28400000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	12000	3900	80	100000000
74	30200000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	12000	3900	80	100000000
75	33100000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	12000	4000	80	100000000
76	36200000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	12000	4000	80	100000000
77	39500000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	12000	4100	80	100000000
78	43000000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	12000	4100	80	100000000
79	49000000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	12000	4200	80	100000000
80	50490000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15000	4300	85	200000000
81	52104000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15000	4300	85	200000000
82	54060000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15000	4400	85	200000000
83	57240000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15000	4400	85	200000000
84	62700000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15000	4500	85	200000000
85	70560000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15000	4500	85	200000000
86	79800000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15000	4600	85	200000000
87	91640000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15000	4600	85	200000000
88	105020000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15000	4700	85	200000000
89	129600000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15000	4700	85	200000000
90	129840000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15667	5300	90	300000000
91	132480000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15667	5500	90	300000000
92	139080000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15667	5600	90	300000000
93	150240000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15667	5700	90	300000000
94	165240000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15667	6000	90	300000000
95	181800000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15667	6200	90	300000000
96	199920000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15667	6400	90	300000000
97	216120000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15667	6600	90	300000000
98	237840000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15667	6800	90	300000000
99	284880000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	15667	7000	90	300000000
100	285600000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	16500	7300	95	500000000
101	286800000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	16500	7600	95	500000000
102	292800000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	16500	7900	95	500000000
103	300000000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	16500	8200	95	500000000
104	312000000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	16500	8400	95	500000000
105	328800000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	16500	8700	95	500000000
106	350400000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	16500	9000	95	500000000
107	375600000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	16500	9300	95	500000000
108	406800000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	16500	9600	95	500000000
109	506400000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	16500	9900	95	500000000
110	507000000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	17500	10000	100	1000000000
111	508200000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	17500	10100	100	1000000000
112	510600000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	17500	10200	100	1000000000
113	516600000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	17500	10300	100	1000000000
114	528600000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	17500	10400	100	1000000000
115	552600000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	17500	10600	100	1000000000
116	612360000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	17500	10700	100	1000000000
117	730200000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	17500	10800	100	1000000000
118	895800000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	17500	10900	100	1000000000
119	1152600000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	17500	11000	100	1000000000
120	1164000000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	18667	11100	105	2000000000
121	1178400000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	18667	11400	105	2000000000
122	1214400000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	18667	11700	105	2000000000
123	1262400000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	18667	12000	105	2000000000
124	1334400000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	18667	12300	105	2000000000
125	1430400000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	18667	12600	105	2000000000
126	1550400000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	18667	12900	105	2000000000
127	1694400000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	18667	13200	105	2000000000
128	1917120000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	18667	13500	105	2000000000
129	2454720000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	18667	13800	105	2000000000
130	2460000000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	20000	14100	110	2000000000
131	2484000000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	20000	14400	110	2000000000
132	2532000000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	20000	14700	110	2000000000
133	2604000000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	20000	15000	110	2000000000
134	2724000000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	20000	15300	110	2000000000
135	2964000000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	20000	15600	110	2000000000
136	3444000000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	20000	15900	110	2000000000
137	4164000000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	20000	16200	110	2000000000
138	5144760000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	20000	16500	110	2000000000
139	6557640000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	20000	16800	110	2000000000
140	6588840000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	22500	17100	120	2000000000
141	6720720000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	22500	17400	120	2000000000
142	6855120000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	22500	17700	120	2000000000
143	6992280000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	22500	18000	120	2000000000
144	7132080000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	22500	18300	120	2000000000
145	7274760000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	22500	18600	120	2000000000
146	7420200000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	22500	18900	120	2000000000
147	7568640000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	22500	19200	120	2000000000
148	7719960000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	22500	19500	120	2000000000
149	7874280000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	22500	19800	120	2000000000
150	8032320000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	22500	20100	120	2000000000
