ShopId	CurrencyType	ServerRunDayNeeded	MapType
168	1	0	city|village
169	1	0	city|village
170	1	0	city|village
171	1	0	city|village
172	1	0	city|village
173	1	0	city|village
174	1	0	city|village
175	1	0	city|village
176	1	0	city|village
177	1	0	city|village
178	1	0	city|village
179	1	0	city|village
180	1	0	city|village
181	1	0	city|village
182	1	0	city|village
183	1	0	city|village
184	1	0	city|village
185	1	0	city|village
186	1	0	city|village
187	1	0	city|village
188	1	0	city|village
189	1	0	city|village
190	1	0	city|village
191	1	0	city|village
192	1	0	city|village
193	1	0	city|village
194	1	0	city|village
195	1	0	city|village
196	1	0	city|village
197	1	0	city|village
198	1	0	city|village
199	1	0	city|village
200	1	0	city|village
201	1	0	city|village
202	1	0	city|village
203	1	0	city|village
204	1	0	city|village
205	1	0	city|village
206	1	0	city|village
207	1	0	city|village
208	1	0	city|village
209	1	0	city|village
210	1	0	city|village
211	1	0	city|village
212	1	0	city|village
213	1	0	city|village
214	1	0	city|village
215	1	0	city|village
216	1	0	city|village
217	1	0	city|village
218	1	0	city|village
219	1	0	city|village
220	1	0	city|village
221	1	0	city|village
222	1	0	city|village
223	1	0	city|village
224	1	0	city|village
225	1	0	city|village
226	1	0	city|village
227	1	0	city|village
228	1	0	city|village
229	3	0	city|village
230	3	0	city|village
231	3	0	city|village
232	3	0	city|village
233	1	0	city|village
234	1	0	city|village
235	1	0	city|village
236	1	0	city|village
237	1	0	city|village
238	1	0	city|village
239	1	0	city|village
240	1	0	city|village
241	1	0	city|village
242	1	90	city|village
243	1	90	city|village
244	1	90	city|village
245	1	90	city|village
246	1	90	city|village
247	1	90	city|village
248	1	90	city|village
249	1	90	city|village
250	1	90	city|village
251	1	90	city|village
252	1	90	city|village
253	1	90	city|village
254	1	90	city|village
255	1	90	city|village
256	1	90	city|village
257	1	90	city|village
258	1	90	city|village
259	1	90	city|village
260	1	90	city|village
261	1	90	city|village
262	1	90	city|village
263	1	90	city|village
264	1	90	city|village
265	1	90	city|village
266	1	90	city|village
267	1	90	city|village
268	1	90	city|village
269	1	90	city|village
270	1	90	city|village
271	1	90	city|village
272	1	90	city|village
273	1	90	city|village
274	1	90	city|village
275	1	90	city|village
276	1	90	city|village
277	1	90	city|village
278	1	90	city|village
279	1	90	city|village
280	1	90	city|village
281	1	90	city|village
282	1	90	city|village
283	1	90	city|village
284	1	90	city|village
285	1	90	city|village
286	1	90	city|village
287	1	90	city|village
288	1	90	city|village
289	1	90	city|village
300	1	90	city|village
