TASK_GROUP	TASK_ID_FIRST	TASK_ID_LAST	TASK_NAME	TASK_OVERDATE	SYNC_FLAG	CLIENT_FLAG	TASK_DESCRIBE
1022	106	106	春蚕新丝		1		
1022	107	107	奖励补发判定		1		
1022	108	108	主线任务区域选择		1		
1022	109	109	神州往事		1		
1022	110	110	柳青青		1		
1022	111	111	大马虎		1		
1022	112	112	九绝剑魔		1		
1022	113	113	刘铁匠		1		
1022	114	114	知春台		1		
1022	115	115	藏剑山庄		1		
1022	116	116	义军精英令牌		1		
1022	117	117	兵书/机关术书		1		
1022	118	118	90兵书日常		1		
1022	119	119	90兵书完成变量		1		
1022	120	120	90机关书完成变量		1		
1022	121	121	扩展区域任务完成数量统计		1		
1022	122	122	90-91		1		
1022	123	123	91-92		1		
1022	124	124	92-93		1		
1022	125	125	93-94		1		
1022	126	126	94-95		1		
1022	127	127	95-96		1		
1022	128	128	96-97		1		
1022	129	129	97-98		1		
1022	130	130	98-99		1		
1022	131	131	90机关书日常		1		
1022	132	132	90军饷袋日常		1		
1022	133	133	90军饷袋完成变量		1		
1022	134	134	朱熹讲学地图		1		
1022	135	135	彭龟年后院		1		
1022	136	136	副本随机任务控制		1		
1022	137	137	赵府入门判断		1		
1022	138	138	赵府2出门判断		1		
1022	139	139	朱府2出门去沈府		1		
1022	140	140	沈府密室		1		
1022	141	141	朱府入门判断		1		
1022	142	142	100-101		1		
1022	143	143	101-102		1		
1022	144	144	102-103		1		
1022	145	145	103-104		1		
1022	146	146	104-105		1		
1022	147	147	105-106		1		
1022	148	148	106-107		1		
1022	149	149	107-108		1		
1022	150	150	108-109		1		
1022	151	151	长歌门细作房间		1		
1022	152	152	朱熹密室入口		1		
1022	153	153	韩府		1		
1022	154	154	窦昊传送		1		
1022	155	155	110-111		1		
1022	156	156	111-112		1		
1022	157	157	112-113		1		
1022	158	158	113-114		1		
1022	159	159	114-115		1		
1022	160	160	115-116		1		
1022	161	161	116-117		1		
1022	162	162	117-118		1		
1022	163	163	118-119		1		
1022	164	164	110兵书日常		1		
1022	165	165	110兵书完成		1		
1022	166	166	110机关书日常		1		
1022	167	167	110机关书完成		1		
1022	168	168	90-100等级段连接		1		
1022	169	169	100-110等级段连接		1		
1022	170	170	110-120等级段连接		1		
1022	171	171	110军饷袋日常		1		
1022	172	172	110军饷袋完成变量		1		
1022	173	173	师徒传功任务可接条件		1		
1022	174	174	传功任务周次数限制		1		
1022	175	175	120-130等级段连接		1		
1022	176	176	海陵王墓_任务控制		1		
1022	177	177	海陵王墓_隐藏区域1		1		
1022	178	178	海陵王墓_隐藏区域2		1		
1022	179	179	海陵王墓_隐藏区域3		1		
1022	180	180	扩展区任务次数限制		1		
1022	181	181	130兵书日常		1		
1022	182	182	130兵书完成		1		
1022	183	183	130机关书日常		1		
1022	184	184	130机关书完成		1		
1022	185	185	130军饷袋日常		1		
1022	186	186	130军饷袋完成变量		1		
1022	187	187	军营探索任务控制		1		
1022	188	188	20级门派任务互斥控制		1		
1022	189	189	30级门派任务互斥控制		1		
1022	190	190	40级门派任务互斥控制		1		
1022	200	202	四次任务记录		1		
1022	203	203	少林110级技能控制		1		
1022	204	204	天王110级技能控制		1		
1022	205	205	唐门110级技能控制		1		
1022	206	206	五毒110级技能控制		1		
1022	207	207	峨嵋110级技能控制		1		
1022	208	208	翠烟110级技能控制		1		
1022	209	209	丐帮110级技能控制		1		
1022	210	210	天忍110级技能控制		1		
1022	211	211	武当110级技能控制		1		
1022	212	212	昆仑110级技能控制		1		
1022	213	213	明教110级技能控制		1		
1022	214	214	段氏110级技能控制		1		
1022	215	215	记录是否完成升级110技能所需要的任务，每个门派占用一位		1		
1022	216	216	了解红娘1		1		
1022	217	217	了解红娘2		1		
1022	218	218	了解红娘3		1		
1022	219	219	了解红娘4		1		
1022	220	220	了解红娘5		1		
1022	221	221	了解红娘6		1		
1022	222	222	分别领取12门派路线的技能体验		1		
1022	223	223	添加好友，好友亲密度2级		1		
1022	224	224	成为家族记名成员，领取周奖励		1		
1022	225	225	玩家在12门派的任务中		1		
1022	226	226	10月拉新任务可见可接条件		1		
1022	227	227	6种礼包任务变量判断1-6		1		
1022	228	228	完成采石矶第一阶段周常		1		
1022	229	229	采石矶第一阶段周常次数控制		1		
1022	230	230	采石矶第二阶段周常次数控制		1		
1022	231	231	完成采石矶第二阶段周常		1		
1022	232	232	周常控制，接取任务两个任务互斥		1		
1022	233	233	周常第一任务识别变量		1		
1022	234	234	周常进阶任务识别变量		1		
1022	235	235	江南联中原		1		
1022	236	236	中原联西南		1		
1022	237	237	江南开始		1		
1022	238	238	趣味/家族竞技		1		
1022	239	239	本日进行西夏任务标识		1		
1022	240	240	西夏军需任务识别		1		
1022	241	241	西夏选择任务数量控制		1		
1022	242	242	西夏过渡任务完成识别		1		
1022	243	243	西夏普通任务完成识别1		1		
1022	244	244	西夏普通任务完成识别2		1		
1022	245	245	西夏普通任务完成识别3		1		
1022	246	246	西夏普通任务完成识别4		1		
1022	247	247	西夏普通任务完成识别5		1		
1022	248	248	西夏普通任务完成识别6		1		
1022	249	249	西夏普通任务进行识别1		1		
1022	250	250	西夏普通任务进行识别2		1		
1022	251	251	西夏普通任务进行识别3		1		
1022	252	252	西夏普通任务进行识别4		1		
1022	253	253	西夏普通任务进行识别5		1		
1022	254	254	西夏普通任务进行识别6		1		
1022	255	255	西夏高级任务完成1		1		
1022	256	256	西夏高级任务完成2		1		
1022	257	257	西夏高级任务完成3		1		
1022	258	258	西夏高级任务完成4		1		
1022	259	259	西夏高级任务完成5		1		
1022	260	260	本日进行蒙古任务标识		1		
1022	261	261	蒙古军需任务完成		1		
1022	262	262	蒙古选择任务数量控制		1		
1022	263	263	蒙古过渡任务完成识别		1		
1022	264	264	蒙古普通任务完成识别1		1		
1022	265	265	蒙古普通任务完成识别2		1		
1022	266	266	蒙古普通任务完成识别3		1		
1022	267	267	蒙古普通任务完成识别4		1		
1022	268	268	蒙古普通任务完成识别5		1		
1022	269	269	蒙古普通任务完成识别6		1		
1022	270	270	蒙古普通任务进行识别1		1		
1022	271	271	蒙古普通任务进行识别2		1		
1022	272	272	蒙古普通任务进行识别3		1		
1022	273	273	蒙古普通任务进行识别4		1		
1022	274	274	蒙古普通任务进行识别5		1		
1022	275	275	蒙古普通任务进行识别6		1		
1022	276	276	蒙古高级任务完成1		1		
1022	277	277	蒙古高级任务完成2		1		
1022	278	278	蒙古高级任务完成3		1		
1022	279	279	蒙古高级任务完成4		1		
1022	280	280	蒙古高级任务完成5		1		
1023	1	1	修炼系统的最后更新时间		1	0	
1023	2	2	修炼系统的剩余累积时间，单位：小时乘10		1	0	
1023	3	3	修炼系统的经验加倍剩余值（程序绑定）		1	0	
1023	4	4	秘籍系统的剩余修炼量		1	0	
1023	5	5	回归老玩家还能领取的修炼时间		1	0	
1023	6	6	回归老玩家是否开始领取奖励的修炼时间		1	0	
1023	7	7	修炼时间额外赠送		1	0	
1024	1	1	寇锐小屋trap判断		1		
1024	2	2	峡谷入口判断		1		
1024	3	3	太祖宝库入口判断		1		
1024	4	4	武当仓库的门口判断		1		
1024	5	5	少林知客房入口判断		1		
1024	6	6	少林知客房出口判断		1		
1024	7	7	临安太后房间入口判断				
1024	8	8	太后囚所TRAP判断				
1024	9	9	柔娥门口trap判断				
1024	10	10	蛊女门口trap				
1024	11	11	大理刀皇后门口标记2为不能进				
1024	12	12	点苍山铸剑山谷门口trap点判断				
1024	13	13	梅一支门口trap点判断				
1024	14	14	大理密道trap判断				
1024	15	15	剑阁蜀道丸峰入口trap				
1024	16	16	九嶷溪韩忠囚房的trap				
1024	17	17	九嶷溪娄一关门口trap				
1024	18	18	唐门别院trap判断				
1024	19	19	大散关trap判断				
1024	20	20	愚叟后院trap判断				
1024	21	21	太后銮驾trap判断				
1024	22	22	龙脉密室trap判断				
1024	23	23	怪老头密室trap判断				
1024	24	24	多摩门口判断				
1024	25	25	51-60级主线中原区领取需求		1		
1024	26	26	51-60级主线江南区领取需求		1		
1024	27	27	51-60级主线西南区领取需求		1		
1024	28	28	61-70级主线中原区领取需求		1		
1024	29	29	61-70级主线江南区领取需求		1		
1024	30	30	61-70级主线西南区领取需求		1		
1024	31	31	71-80级主线西南区领取需求		1		
1024	32	32	71-80级主线江南区领取需求		1		
1024	33	33	71-80级主线中原区领取需求		1		
1024	34	34	81-90级主线中原区领取需求		1		
1024	35	35	81-90级主线西南区领取需求		1		
1024	36	36	81-90级主线江南区领取需求		1		
1024	37	37	龙王庙判断				
1024	38	38	灵隐寺判断				
1024	39	39	小春子		1		
1024	50	50	备战任务		1		
1024	51	51	副本任务限制		1		
1024	52	52	剧情任务限制		1		
1024	53	53	伏牛山扩展区任务		1		
1024	54	54	伏牛山后山扩展区任务每周限制		1		
1024	55	55	伏牛山庄旧址任务		1		
1024	56	56	扩展4任务冲突		1		
1024	57	57	机关术心得书上限		1		
1024	58	58	百蛮山扩展区领取任务数量上限		1		
1024	59	59	百蛮山初级任务日常剧情互斥变量		1		
1024	60	60	百蛮山中级任务日常剧情互斥变量		1		
1024	61	61	百蛮山扩展区领取任务限制		1		
1024	62	62	授予仪式判断		1		
1024	63	63	同伴捕捉判断		1		
1024	64	64	同伴等级提升判断		1		
1024	65	65	同伴技能等级提升判断				
1024	66	66	同伴悟性判断		1		
1024	67	67	龙影珠1		1		
1024	68	68	龙影珠2		1		
1025	1	1	春节大拜年任务限制变量		1		
1025	2	2	130-139主线任务完成		1		
1025	3	3	135主线任务如火如荼		1		
1025	4	4	135主线任务抢渡涟水		1		
1025	5	5	135主线任务声东击西		1		
1025	6	6	135主线任务舍生取义		1		
1025	7	7	135主线任务似曾相识		1		
1025	8	8	135主线任务不如怀念		1		
1025	9	9	135主线任务白府童梦		1		
1025	10	10	135主线任务山寨情缘		1		
1025	11	11	135主线任务身世迷踪		1		
1025	12	12	135主线任务游龙再现		1		
1025	13	13	135主线任务侠骨柔情		1		
1025	14	14	虎年大拜年任务限制变量		1		
1025	15	15	为灾区人民祈愿活动平安香				
1025	16	16	为灾区人民祈愿活动				
1025	17	17	铁浮城城主任务完成变量		1		
1025	18	18	铁浮城城主护卫任务完成变量		1		
1025	19	19	任务交东西变量		1		
1025	20	20	同伴转化成真元步骤完成变量		1		
1025	21	21	真元参加历练步骤完成变量		1		
1025	22	22	真元参加修炼步骤完成变量		1		
1025	23	23	真元炼化成功步骤完成		1		
1025	24	24	2010七夕任务变量		1		
1025	25	25	20级剧情任务第1步完成变量		1		
1025	26	26	20级剧情任务第2步完成变量		1		
1025	27	27	20级剧情任务第3步完成变量		1		
1025	28	28	20级剧情任务第4步完成变量		1		
1025	29	29	20级剧情任务第5步完成变量		1		
1025	30	30	20级剧情任务第6步完成变量		1		
1025	31	31	20级剧情任务第7步完成变量		1		
1025	32	32	20级剧情任务第8步完成变量		1		
1025	33	33	10级剧情任务变量		1		
1025	34	34	10级剧情任务变量		1		
1025	35	35	10级剧情任务变量		1		
1025	36	36	10级剧情任务变量		1		
1025	37	37	10级剧情任务变量		1		
1025	38	38	10级剧情任务变量		1		
1025	39	39	10级剧情任务变量		1		
1025	40	40	10级剧情任务变量		1		
1025	41	41	10级剧情任务变量		1		
1025	42	42	10级剧情任务变量		1		
1025	43	43	10级剧情任务变量		1		
1025	44	44	10级剧情任务变量		1		
1025	45	45	10级剧情任务变量		1		
1025	46	46	新手教育任务变量		1		
1025	47	47	入门派变量		1		
1025	48	48	10级灭火任务变量		1		
1025	49	49	10级采草任务变量		1		
1025	50	50	20级剧情任务完成变量		1		
1025	51	51	20级剧情任务完成变量		1		
1025	52	52	20级剧情任务完成变量		1		
1025	53	53	20级剧情任务完成变量		1		
1025	54	54	军营无尽的征程额伦河源		1		
1025	55	55	占位		1		
1025	56	56	占位		1		
1025	57	57	鄂伦河原第一关完成		1		
1025	58	58	鄂伦河原套马场完成		1		
1025	59	59	鄂伦河原狩猎场完成		1		
1025	60	60	鄂伦河原挑战铁木真完成		1		
1025	61	61	鄂伦河原完成变量		1		
1025	62	62	军营可用次数		1		
1025	63	63	累加次数日期		1		
1025	64	64	新伏牛山任务控制		1		
1025	65	65	新百蛮任务控制		1		
1025	66	66	新海陵王任务控制		1		
1025	67	67	鄂伦河原任务控制		1		
1025	68	68	新无尽的征程两次鄂伦河原控制		1		
1025	69	69	80级无尽的征程控制		1		
1025	70	70	90级无尽的征程控制		1		
1025	71	71	100级无尽的征程控制		1		
1025	72	72	鄂伦河原击败木华黎		1		
1025	73	73	鄂伦河原击败拖雷		1		
1025	74	74	鄂伦河原击败大祭祀		1		
1025	75	75	龙魂侠影任务完成变量		1		
1025	76	76	辰虫旧事任务完成		1		
1025	77	77	皇陵日常任务完成		1		
1025	78	78	皇陵日常任务5次累计变量		1		
1025	79	79	看热闹		1		
1025	80	80	爆炸		1		
1025	81	81	演戏		1		
1025	82	82	演戏保护		1		
1025	83	83	新手村乘船保护		1		
1025	84	84	青螺岛战国任务		1		
1025	85	85	古墓日常逍遥完成		1		
1025	86	86	古墓日常逍遥5次累计变量		1		
1025	87	87	时光殿每周完成1次		1		
1025	88	88	辰虫镇每周完成1次		1		
1025	89	89	逍遥谷		1		
1025	90	90	藏宝图		1		
1025	91	91	青螺岛任务完成		1		
1025	92	92	25级新手村过渡任务完成		1		
1025	109	109	Nhiem vu Co Mo		1		
1026	1	1	宝石任务之普通打孔				
1026	2	2	宝石任务之镶嵌宝石				
1026	3	3	宝石任务打特殊孔				
1026	4	4	宝石任务完成不能重复接取				
1027	52	53	军营任务参加次数统计使用				
2000	1	1	大牢系统-探监状态				
2000	2	2	大牢系统-洗PK剩余Timer时间				
2000	3	3	天牢系统坐牢剩余时间,时间单位（分钟）				
2000	4	4	禁言功能		1		
2000	5	5	禁止客户端操作		1		
2000	6	6	客户端屏蔽其他玩家显示		1	0	
2001			宋金系统占用，暂不详				
2001	9	9	宋金战场的军需点		1		
2001	12	12	宋金战场玩家没有获得令牌的标记		1		
2001	13	13	宋金战场福袋获得标记		1		
2002	1	1	辉煌之果的使用日期		1		
2002	2	2	辉煌之果每天使用次数		1		
2002	3	3	黄金之果使用时间		1		
2002	4	4	黄金之果使用次数（废除）				
2002	5	5	辉煌之国威望周上限		1		
2003	1	1000	玩家行为统计记录				
2004	1	1	每日触发事件				
2004	1	2	每周触发事件				
2004	1	3	每月触发事件				
2005	1	1	临时加精力活力点				
2006	1	1	心得书每日可以使用的上限		1		
2006	2	2	是否正在使用心得书修炼				
2006	3	3	积累升级经验				
2007	1	1	慈悲心经-记录一天当中使用的慈悲心经的数量				
2008	1	50	公平子擂台占用				
2009	1	1	白虎堂PK次数		1	0	
2009	2	2	白虎堂威望周上限		1		
2009	3	3	白虎堂令牌周使用次数上限				
2009	4	4	白虎堂令牌周数记录				
2009	5	5	白虎堂额外PK次数		1	0	
2009	6	6	白虎堂时间戳		1	0	
2010	1	1	藏宝图玩家挖掘等级				
2011	1	1	洗髓岛的洗髓令牌需要使用次数				
2011	15	18	洗髓岛任务变量				
2012	1	10	猜灯谜语		1		
2013	1	4	福袋使用次数		1		
2013	1	7	通用补充修炼时间		1		
2013	5	7	合服之后子服务器玩家额外领取福袋的次数和标志		0	0	
2014	1	1	怒气使用		1		
2015	1	1	野艘任务威望周上限		1		
2015	2	11	江湖威望上限		1		
2015	12	400	藏宝图使用		1		
2015	1001	1009	野艘任务存储随机数		1		
2015	1010	1020	江湖威望上限(扩充，以后需要扩充在此基础上扩充)				
2015	1021	1021	江湖威望上限(家族趣味竞技)				
2016	1	5	门派竞技场		1		
2017	1	3	门派选举				
2018			帮助锦囊-静态最新消息激活时间		1	0	 -
2019			帮助锦囊-静态最新消息阅读标记,bit型		1	1	
2020			帮助锦囊-动态最新消息阅读标记,bit型		1	1	
2021			题库组,bit型		1	0	
2022	1	5	交易税		1		
2023	1	1	公测邮件通知				
2023	2	2	防盗号邮件				
2023	3	3	临时调整特别公告				
2023	4	4	反外挂邮件通知				
2023	5	5	发放五行印				
2023	6	6	庆元宵，玩家回馈活动				
2023	7	7	威望领取福利提示邮件				
2023	8	8	运营平台全服玩家发邮件				
2024	1	1	(小类型)精气散每天限制使用5个,记录天		1		
2024	2	2	(小类型)精气散每天限制使用5个,记录个数		1		
2024	3	3	(小类型)活力散每天限制使用5个,记录天		1		
2024	4	4	(小类型)活力散每天限制使用5个,记录个数		1		
2024	5	5	(中类型)精气散每天限制使用5个,记录天		1		
2024	6	6	(中类型)精气散每天限制使用5个,记录个数		1		
2024	7	7	(中类型)活力散每天限制使用5个,记录天		1		
2024	8	8	(中类型)活力散每天限制使用5个,记录个数		1		
2024	9	9	(小类型)精气散优惠领取每天限制5个,记录天		1		
2024	10	10	(小类型)精气散优惠领取每天限制5个,记录个数		1		
2024	11	11	(小类型)活力散优惠领取每天限制5个,记录天		1		
2024	12	12	(小类型)活力散优惠领取每天限制5个,记录个数		1		
2024	13	13	(大类型)精气散每天限制5个,记录天		1		
2024	14	14	(大类型)精气散每天限制5个,记录个数		1		
2024	15	15	(大类型)活力散每天限制5个,记录天		1		
2024	16	16	(大类型)活力散每天限制5个,记录个数		1		
2024	17	17	使用扩展箱分页类型		1		
2024	18	19	修炼丹使用限制		0		
2024	20	20	小精气散额外使用次数		1		
2024	21	21	小活气散额外使用次数		1		
2024	22	22	使用扩展箱分页类型		1		
2024	23	23	福利精活小精气散购买次数		1		
2024	24	24	福利精活小活气散购买次数		1		
2024	25	25	弹一次标记		1		
2024	26	26	Phúc lợi tinh hoạt (trung)		1		
2024	27	27	Phúc lợi tinh hoạt (đại)		1		
2025	1	1	绑定金币		1		
2025	2	2	机关耐久度		1		
2026			活动系统使用		1	0	
2027	1	1	紧急更新使用(2008.05.23)		1	0	
2027	2	2	封测发奖活动使用(2008.06.06到2008.07.06)				
2027	3	3	移民奖励领取使用(2008.06.24到2008.06.30)				
2027	4	8	推荐服务器使用登记和各等级段的奖励领取。		1	0	
2027	9	9	紧急更新使用(2008.08.12)(时间轴错误开启补偿使用)		1	0	
2027	10	10	普通物品金钱补偿使用		1	0	
2027	11	19	新手卡奖励，内测玩家反馈奖励				
2027	20	23	金山20周年活动		1	0	
2027	24	27	2008圣诞元旦活动		1	0	
2027	28	50	2009元宵节活动		1	0	
2027	51	51	2009元宵节活动-打雪仗		1	0	
2027	52	54	充值领取江湖威望令牌		1	0	
2027	55	55	充值领取江湖威望令牌具体数值		1	0	
2027	56	65	2009植树节				
2027	66	66	补偿1小时基准经验(2009.04.13到200904.15)	20090515			
2027	67	67	军营探索初始任务变量修正标志	20090609			
2027	68	68	福利版工资领取		1		
2027	69	69	09新版剑侠世界推广员系统领奖标志				
2027	70	70	可以用金币购买和氏壁的次数				
2027	71	72	使用盛夏幸运蛋				
2027	73	73	联想合作礼包激活标记		1	0	
2027	74	74	联想合作礼包物品领取标记		1	0	
2027	75	75	领取江湖威望激活角色		1	0	
2027	76	76	百事合作礼包激活标记		1	0	
2027	77	77	百事合作礼包物品领取标记		1	0	
2027	80	81	武林世家新手礼包				
2027	82	88	武林世家腰牌    				
2027	89	89	中秋月满西楼月饼食用次数(最多100个)    		1	0	
2027	90	90	辅修令牌使用间隔				
2027	91	91	和氏壁增加次数时间(两次时间间隔超过20天清0)				
2027	92	92	戴尔合作礼包激活标记		1	0	
2027	93	93	戴尔合作礼包物品领取标记		1	0	
2027	94	100	2009圣诞元旦活动		1	0	
2027	101	112	越南6月植树		1	0	
2027	113	113	经验新道具每日使用数量		1	0	
2027	114	153	2010年世界杯活动		1	0	
2027	154	154	可以用金币购买武林英雄令牌的次数				
2027	155	155	武林英雄令牌增加次数时间(两次时间间隔超过20天清0)				
2027	156	157	激活充值		1	0	
2027	157	157	可以用金币购买盛夏徽章的次数				
2027	158	158	盛夏徽章增加次数时间(两次时间间隔超过20天清0)				
2027	159	159	可以用金币购买精华液的次数				
2027	160	160	精华液增加次数时间(两次时间间隔超过20天清0)				
2027	161	161	可以用金币购买和氏璧的次数				
2027	162	162	和氏璧增加次数时间(两次时间间隔超过20天清0)				
2027	163	168	越南9月植树__有冲突慎用		1	0	
2027	164	164	可以用金币购买白玉的次数__与越南版有冲突				
2027	165	165	白玉增加次数时间(两次时间间隔超过20天清0)__与越南版有冲突				
2027	169	173	2010年大陆国庆活动		1	0	
2027	174	176	资料片新功能开放奖励		1	0	
2027	177	177	圣诞节开箱子个数		1	0	
2027	178	189	越南添加购买道具资格		1	0	
2027	190	192	春节年兽活动		1	0	
2027	193	194	24格背包购买次数		1	0	
2027	195	202	越南添加购买道具资格		1	0	
2027	203	204	雪魂令次数		1	0	
2027	205	210	越南添加购买道具资格		1	0	
2027	211	219	端午活动	20110615		1	0
2027	220	221	第四页储物箱		1	0	
2027	222	223	4折精气散（小）x5		1	0	
2027	224	225	4折活气散（小）x5		1	0	
2027	226	227	8月充值极品真元箱		1	0	
2027	228	229	10月充值雷霆印碎片		1	0	
2027	230	230	传回灵秀村标记		0	0	
2027	231	238	推广员优惠购买资格		0	0	
2027	239	239	网银积分累加		0	0	
