nFactionId	nRouteId	nIndex	nReqLv	nSkillId	Name
6	2	6	70	124	冰心倩影
6	2	7	90	125	冰踪无影
6	2	8	100	486	千里冰封
6	2	9	110	841	归去来兮
6	2	10	120	842	120级技能
6	2	11	20	10	初级秘籍
6	2	12	70	1210	中级秘籍
6	2	13	100	1252	高级秘籍
7	1	1	10	128	见人伸手
7	1	2	30	130	化险为夷
7	1	3	40	132	滑不溜手
7	1	4	50	131	亢龙有悔
7	1	5	60	489	时乘六龙
7	1	6	70	133	醉蝶狂舞
7	1	7	90	134	飞龙在天
7	1	8	100	487	降龙掌
7	1	9	110	843	擒龙功
7	1	10	120	844	120级技能
7	1	11	20	10	初级秘籍
7	1	12	70	1211	中级秘籍
7	1	13	100	1253	高级秘籍
7	2	1	10	137	沿门托钵
7	2	2	30	139	逍遥功
7	2	3	40	132	滑不溜手
7	2	4	50	140	棒打恶狗
7	2	5	60	491	恶狗拦路
7	2	6	70	238	混天气功
7	2	7	90	141	天下无狗
7	2	8	100	488	打狗棒法
7	2	9	110	845	打狗阵法
7	2	10	120	846	120级技能
7	2	11	20	10	初级秘籍
7	2	12	70	1212	中级秘籍
7	2	13	100	1254	高级秘籍
8	1	1	10	143	残阳如血
8	1	2	30	492	幻影追魂枪
8	1	3	40	145	金蝉脱壳
8	1	4	50	146	烈火情天
8	1	5	60	147	悲酥清风
8	1	6	70	148	魔音噬魄
8	1	7	90	149	云龙击
8	1	8	100	493	魔炎在天
8	1	9	110	847	飞鸿无迹
8	1	10	120	848	120级技能
8	1	11	20	10	初级秘籍
8	1	12	70	1213	中级秘籍
8	1	13	100	1255	高级秘籍
8	2	1	10	151	弹指烈焰
8	2	2	30	154	厉魔夺魂
8	2	3	40	145	金蝉脱壳
8	2	4	50	153	推山填海
8	2	5	60	494	火莲焚华
8	2	6	70	155	慑魂乱心
8	2	7	90	156	天外流星
8	2	8	100	496	魔焰七杀
8	2	9	110	849	束缚咒
8	2	10	120	850	120级技能
8	2	11	20	10	初级秘籍
8	2	12	70	1214	中级秘籍
8	2	13	100	1256	高级秘籍
9	1	1	10	159	剥及而复
9	1	2	30	161	坐忘无我
9	1	3	40	163	梯云纵
9	1	4	50	162	无我无剑
9	1	5	60	497	纯阳无极
9	1	6	70	164	真武七截
9	1	7	90	165	天地无极
9	1	8	100	498	太极神功
9	1	9	110	851	武当九阳功
9	1	10	120	852	120级技能
9	1	11	20	10	初级秘籍
9	1	12	70	1215	中级秘籍
9	1	13	100	1257	高级秘籍
9	2	1	10	167	剑飞惊天
9	2	2	30	783	无我心法
9	2	3	40	163	梯云纵
9	2	4	50	169	三环套月
9	2	5	60	499	太一真气
9	2	6	70	170	七星诀
9	2	7	90	171	人剑合一
9	2	8	100	500	太极剑法
9	2	9	110	853	迷踪幻影
9	2	10	120	854	120级技能
9	2	11	20	10	初级秘籍
9	2	12	70	1216	中级秘籍
9	2	13	100	1258	高级秘籍
10	1	1	10	175	呼风法
10	1	2	30	179	玄天无极
10	1	3	40	177	清风符
10	1	4	50	178	狂风骤电
10	1	5	60	697	开神术
10	1	6	70	180	一气三清
10	1	7	90	181	傲雪啸风
10	1	8	100	698	霜傲昆仑
10	1	9	110	855	无人无我
10	1	10	120	856	120级技能
10	1	11	20	10	初级秘籍
10	1	12	70	1217	中级秘籍
10	1	13	100	1259	高级秘籍
10	2	1	10	188	狂雷震地
10	2	2	30	179	玄天无极
10	2	3	40	177	清风符
10	2	4	50	190	天际迅雷
10	2	5	60	699	醉仙错骨
10	2	6	70	191	道骨仙风
10	2	7	90	192	雷动九天
10	2	8	100	767	混元乾坤
10	2	9	110	857	雷霆诀
10	2	10	120	858	120级技能
10	2	11	20	10	初级秘籍
10	2	12	70	1218	中级秘籍
10	2	13	100	1260	高级秘籍
11	1	1	10	194	开天式
11	1	2	30	199	困虎云啸
11	1	3	40	768	烈阳功
11	1	4	50	198	劈地势
11	1	5	60	201	金戈铁马
11	1	6	70	197	驭马术
11	1	7	90	202	龙吞式
11	1	8	100	769	空绝心法
11	1	9	110	859	九曦混阳
11	1	10	120	860	120级技能
11	1	11	20	10	初级秘籍
11	1	12	70	1219	中级秘籍
11	1	13	100	1261	高级秘籍
11	2	1	10	205	圣火焚心
11	2	2	30	207	弥气飘踪
11	2	3	40	209	飘翼身法
11	2	4	50	208	万物俱焚
11	2	5	60	210	乾坤大挪移
11	2	6	70	770	偷天换日
11	2	7	90	211	圣火燎原
11	2	8	100	772	圣火神功
11	2	9	110	861	圣火令法
11	2	10	120	862	120级技能
11	2	11	20	10	初级秘籍
11	2	12	70	1220	中级秘籍
11	2	13	100	1262	高级秘籍
12	1	1	10	213	神指点穴
12	1	2	30	216	一阳指
12	1	3	40	219	凌波微步
12	1	4	50	217	一指乾坤
12	1	5	60	773	慈悲诀
12	1	6	70	220	弑元诀
12	1	7	90	223	乾阳神指
12	1	8	100	775	乾天指法
12	1	9	110	863	妙谛指
12	1	10	120	864	120级技能
12	1	11	20	10	初级秘籍
12	1	12	70	1221	中级秘籍
12	1	13	100	1263	高级秘籍
12	2	1	10	226	风云变幻
12	2	2	30	228	北冥神功
12	2	3	40	230	天南步法
12	2	4	50	229	金玉满堂
12	2	5	60	776	六剑齐发
12	2	6	70	231	枯荣禅功
12	2	7	90	232	六脉神剑
12	2	8	100	778	段家气剑
12	2	9	110	865	惊天一剑
12	2	10	120	866	疏影
12	2	11	20	10	初级秘籍
12	2	12	70	1222	中级秘籍
12	2	13	100	1264	高级秘籍
13	1	1	10	2803	秋雁彷徨
13	1	2	30	2806	红袖缠
13	1	3	40	2808	静影沉璧
13	1	4	50	2804	白云回望
13	1	5	60	2809	暮云凝碧
13	1	6	70	2807	寒山独立
13	1	7	90	2805	孤月徘徊
13	1	8	100	2814	玉女心经
13	1	9	110	2811	终南晚照
13	1	10	120	2810	飞天舞
13	1	11	20	10	初级秘籍
13	1	12	70	2815	中级秘籍
13	1	13	100	2816	高级秘籍
13	2	1	85	2830	行云带雨
13	2	2	30	2827	惊鸿照影
13	2	3	40	2822	冰魄银针
13	2	4	45	2837	看朱成碧
13	2	5	60	2831	蓄势待发
13	2	6	70	2824	玉蜂针
13	2	7	90	2825	离恨
13	2	8	105	2828	风流云散
13	2	9	110	2832	黄泉蹒跚
13	2	10	120	2829	雾集云合
13	2	11	20	10	初级秘籍
13	2	12	70	2826	中级秘籍
13	2	13	100	2838	高级秘籍
