MissileId	MissileName	MoveKind	NegativeDirection	PenetrateBarrier	ColFollowTarget	MissileHeight	CollidRange	RangeType	DmgRange	CanRepeatDamage	DmgInterval	LifeTime	Speed	Zspeed	Zacc	LoopPlay	SubLoop	SubStart	SubStop	ColVanish	AutoExplode	MissRate	MultiShow	Param1	Param2	Param3	HurtRandX	HurtRandY	BlurMaxNum	BlurDistance	BlurAlphaAttenuateP	HideWait2FlyEffect	UseNpcBlur1	NpcBlurAnimal1	AnimalStartAlpha1	AnimalChangeAlpha1	AnimFile1	SndFile1	UseNpcBlur2	NpcBlurAnimal2	AnimalStartAlpha2	AnimalChangeAlpha2	AnimFile2	SndFile2	UseNpcBlur3	NpcBlurAnimal3	AnimalStartAlpha3	AnimalChangeAlpha3	AnimFile3	SndFile3	UseNpcBlur4	NpcBlurAnimal4	AnimalStartAlpha4	AnimalChangeAlpha4	AnimFile4	SndFile4	AnimFileB1	SndFileB1	AnimFileB2	SndFileB2	AnimFileB3	SndFileB3	AnimFileB4	SndFileB4	RedLum	GreenLum	BlueLum	LightRadius
19	奔雷钻龙枪子	0			1	10	27	0	27	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1																											\image\effect\fightskill\tianwang\tw_110_blzlq_d.spr	\audio\fightskill\tianwang\tw_dhc_c.wav									255	255	255	0
20	Đả Cẩu Trận Pháp_Ảnh	1		1	1	10	1	0	1	0	0	3	20	0	0	1	0	0	0	0	0	0	0	0	0	0	50	0							128	32							\image\effect\fightskill\gaibang\gb_110_dgzf_c.spr	\audio\fightskill\gaibang\gb_txwg_f.wav											\image\effect\fightskill\gaibang\gb_90_txwg_d.spr	\audio\fightskill\gaibang\gb_txwg_c.wav									255	255	255	0
21	伏魔刀法	1			1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	35	10												\image\effect\fightskill\shaolin\sl_10_fmdf_c.spr	\audio\fightskill\shaolin\sl_fmdf_f.wav											\image\effect\fightskill\shaolin\sl_10_fmdf_d.spr	\audio\fightskill\shaolin\sl_fmdf_c.wav									255	255	255	0
22	破戒刀法	1			1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	5	30	8												\image\effect\fightskill\shaolin\sl_50_pjdf_c.spr	\audio\fightskill\shaolin\sl_pjdf_f.wav											\image\effect\fightskill\shaolin\sl_50_pjdf_d.spr	\audio\fightskill\shaolin\sl_pjdf_c.wav									255	255	255	0
23	阿罗汉神功	0			1	10	41	0	41	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																																					255	255	255	0
24	天竺绝刀	1			1	10	3	0	3	0	0	13	40	0	0	1	0	0	0	2	0	0	0	0	0	0	50	50															\image\effect\fightskill\shaolin\sl_90_wxz_c.spr	\audio\fightskill\shaolin\sl_wxz_f.wav											\image\effect\fightskill\shaolin\sl_90_wxz_d.spr	\audio\fightskill\shaolin\sl_wxz_c.wav									255	255	255	0
25	普渡棍法	0			1	10	1	0	1	0	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50																											\image\effect\fightskill\shaolin\sl_10_pdgf_d.spr	\audio\fightskill\shaolin\sl_pdgf_c.wav									255	255	255	0
26	狮子吼	0			1	10	21	0	21	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																											\image\effect\fightskill\shaolin\sl_50_szh_d.spr	\audio\fightskill\shaolin\sl_szh_c.wav									255	255	255	0
27	伏魔棍法	0			1	10	5	0	5	0	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50																											\image\effect\fightskill\shaolin\sl_50_fmgf_d.spr	\audio\fightskill\shaolin\sl_fmgf_c.wav									255	255	255	0
28	不动明王子	0			1	10	13	0	13	0	12	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	50	50															\image\effect\fightskill\shaolin\sl_30_bdmw_a.spr												\image\effect\fightskill\shaolin\sl_30_bdmw_d.spr	\audio\fightskill\shaolin\sl_bdmw_c.wav									255	255	255	0
29	七星罗刹棍	0			1	10	11	0	11	0	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0															\image\effect\fightskill\shaolin\sl_90_hslh_c.spr												\image\effect\fightskill\shaolin\sl_90_hslh_d.spr	\audio\fightskill\shaolin\sl_hslh_c.wav									255	255	255	0
30	回风落雁子	1			1	10	1	0	1	0	0	2	70	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50																											\image\effect\fightskill\tianwang\tw_10_hfly_d.spr	\audio\fightskill\tianwang\tw_hfly_c.wav									255	255	255	0
31	断魂刺子	1			1	10	3	0	3	0	0	2	60	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1																											\image\effect\fightskill\tianwang\tw_30_dhc_d.spr	\audio\fightskill\tianwang\tw_dhc_c.wav									255	255	255	0
32	阳关三叠子	1			1	10	1	0	1	0	0	2	70	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50																											\image\effect\fightskill\tianwang\tw_50_ygsd_d.spr	\audio\fightskill\tianwang\tw_ygsd_c.wav									255	255	255	0
33	天王战意	0			0	10	31	0	31	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																																					255	255	255	0
34	追星逐月子	1			1	10	3	0	3	0	0	2	70	0	0	1	0	0	0	2	0	0	0	0	0	0	50	50															\image\effect\fightskill\tianwang\tw_90_zxzy_c.spr												\image\effect\fightskill\tianwang\tw_90_zxzy_d.spr	\audio\fightskill\tianwang\tw_zxzy_c.wav									255	255	255	0
35	行云诀子	1			1	10	1	0	1	0	0	1	80	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50																											\image\effect\fightskill\tianwang\tw_10_xyj_d.spr	\audio\fightskill\tianwang\tw_xyj_c.wav									255	255	255	0
36	追风诀子	1			1	10	1	0	1	0	0	1	80	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50																											\image\effect\fightskill\tianwang\tw_50_zfj_d.spr	\audio\fightskill\tianwang\tw_zfj_c.wav									255	255	255	0
37	金钟罩	0			0	10	31	0	31	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																																					255	255	255	0
38	乘龙诀子	0			0	10	7	0	7	0	4	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0																											\image\effect\fightskill\tianwang\tw_90_clj_d.spr	\audio\fightskill\tianwang\tw_clj_c.wav									255	255	255	0
39	追心箭	1			1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	5	30	8												\image\effect\fightskill\tangmen\tm_10_zxj_c.spr	\audio\fightskill\tangmen\tm_zxj_f.wav											\image\effect\fightskill\tangmen\tm_10_zxj_d.spr	\audio\fightskill\tangmen\tm_zxj_c.wav									255	255	255	0
40	淬毒术	0			1	10	41	0	41	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																																					255	255	255	0
41	天罗地网	5			1	10	1	0	1	0	0	23	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	5	30	8												\image\effect\fightskill\tangmen\tm_50_tldw_c.spr	\audio\fightskill\tangmen\tm_tldw_f.wav											\image\effect\fightskill\tangmen\tm_50_tldw_d.spr	\audio\fightskill\tangmen\tm_tldw_c.wav									255	255	255	0
42	天罗地网_发散	1			1	10	1	0	1	0	0	17	30	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	3	35	10												\image\effect\fightskill\tangmen\tm_50_tldw_c.spr	\audio\fightskill\tangmen\tm_tldw_f.wav											\image\effect\fightskill\tangmen\tm_50_tldw_d.spr	\audio\fightskill\tangmen\tm_tldw_c.wav									255	255	255	0
43	暴雨梨花	0			1	10	5	0	5	0	9	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	50	50															\image\effect\fightskill\tangmen\tm_90_bylh_b.spr	\audio\fightskill\tangmen\tm_bylh_f.wav																					255	255	255	0
44	npc追星逐电	1			1	10	1	0	1	0	0	11	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50															\image\effect\fightskill\tangmen\tm_90_zxzd_c.spr	\audio\fightskill\tangmen\tm_zxzd_f.wav											\image\effect\fightskill\tangmen\tm_90_zxzd_d.spr	\audio\fightskill\tangmen\tm_zxzd_c.wav									255	255	255	0
45	npc毒刺骨	0			0	10	7	0	7	0	0	540	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0															\image\effect\fightskill\tangmen\tm_30_dcg_b.spr												\image\effect\fightskill\tangmen\tm_30_dcg_d.spr	\audio\fightskill\tangmen\tm_dcg_c.wav									255	255	255	0
46	勾魂阱	0			0	10	7	0	7	0	0	540	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0															\image\effect\fightskill\tangmen\tm_30_ghj_b.spr												\image\effect\fightskill\tangmen\tm_30_ghj_d.spr	\audio\fightskill\tangmen\tm_csc_c.wav									255	255	255	0
47	小李飞刀	0			1	10	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50																											\image\effect\fightskill\tangmen\tm_50_xlfd_d.spr	\audio\fightskill\tangmen\tm_xlfd_c.wav									255	255	255	0
48	缠身刺	0			0	10	7	0	7	0	0	540	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0															\image\effect\fightskill\tangmen\tm_70_csc_b.spr												\image\effect\fightskill\tangmen\tm_70_csc_d.spr	\audio\fightskill\tangmen\tm_csc_c.wav									255	255	255	0
49	乱环击	0			0	10	7	0	7	0	0	540	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0															\image\effect\fightskill\tangmen\tm_90_lhj_b.spr												\image\effect\fightskill\tangmen\tm_90_lhj_d.spr	\audio\fightskill\tangmen\tm_dcg_c.wav									255	255	255	0
50	npc毒刺骨子	0			0	10	5	0	5	0	9	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0															\image\effect\fightskill\tangmen\tm_30_dcg_d.spr	\audio\fightskill\tangmen\tm_dcg_c.wav																					255	255	255	0
51	勾魂阱子	0			0	10	5	0	5	0	14	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0															\image\effect\fightskill\tangmen\tm_30_ghj_d.spr	\audio\fightskill\tangmen\tm_csc_c.wav																					255	255	255	0
52	缠身刺子	0			0	10	5	0	5	0	9	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0																											\image\effect\fightskill\tangmen\tm_70_csc_d.spr	\audio\fightskill\tangmen\tm_csc_c.wav									255	255	255	0
53	乱环击子1	1			0	10	1	0	1	0	51	25	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0																																					255	255	255	0
54	血刀毒杀	1			1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	4	35	9												\image\effect\fightskill\wudu\wu_10_xdds_c.spr	\audio\fightskill\wudu\wu_xdds_f.wav											\image\effect\fightskill\wudu\wu_10_xdds_d.spr	\audio\fightskill\wudu\wu_xdds_c.wav									255	255	255	0
55	无形蛊_npc	0			1	10	13	0	13	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50																											\image\effect\fightskill\wudu\wu_30_wxg_d.spr	\audio\fightskill\wudu\wu_wxg_c.wav									255	255	255	0
56	百毒穿心	1			1	10	3	0	3	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	3	30	10												\image\effect\fightskill\wudu\wu_50_bdcx_c.spr	\audio\fightskill\wudu\wu_bdcx_f.wav											\image\effect\fightskill\wudu\wu_50_bdcx_d.spr	\audio\fightskill\wudu\wu_bdcx_c.wav									255	255	255	0
57	万蛊蚀心	0			1	10	13	0	13	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																											\image\effect\fightskill\wudu\wu_70_wgsx_d.spr	\audio\fightskill\wudu\wu_wgsx_c.wav									255	255	255	0
58	玄阴斩_npc	1			1	10	3	0	3	0	0	16	40	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0															\image\effect\fightskill\wudu\wu_90_xyz_c.spr	\audio\fightskill\wudu\wu_xyz_f.wav																					255	255	255	0
59	星空破_npc	0			0	10	5	0	5	0	13	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0																											\image\effect\fightskill\wudu\wu_90_xkp_d.spr	\audio\fightskill\wudu\wu_xkp_c.wav									255	255	255	0
60	毒砂掌	0			1	10	1	0	1	0	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															\image\effect\fightskill\wudu\wu_10_dsz_d.spr	\audio\fightskill\wudu\wu_dsz_c.wav																					255	255	255	0
61	悲魔血光	0			1	10	13	0	13	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																												\audio\fightskill\wudu\wu_bmxg_c.wav									255	255	255	0
62	陷阱120_子1	0			1	10	0	0	0	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0															\image\effect\fightskill\wudu\wu_10_dsz_d.spr																						255	255	255	0
63	天罡地煞	0			1	10	7	0	7	0	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															\image\effect\fightskill\wudu\wu_50_tgds_d.spr	\audio\fightskill\wudu\wu_tgds_c.wav											\image\effect\fightskill\wudu\wu_50_tgds_d.spr										255	255	255	0
64	穿心毒刺	0			1	10	5	0	5	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																											\image\effect\fightskill\wudu\wu_50_cxdc_d.spr	\audio\fightskill\wudu\wu_cxdc_c.wav									255	255	255	0
65	阴风蚀骨	0			1	10	9	0	9	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	50															\image\effect\fightskill\wudu\wu_90_yfsg_d.spr	\audio\fightskill\wudu\wu_yfsg_c.wav											\image\effect\fightskill\wudu\wu_90_yfsg_d.spr										255	255	255	0
66	天罡毒手	0			1	10	11	0	11	0	11	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0															\image\effect\fightskill\wudu\wu_90_tgds_d.spr	\audio\fightskill\wudu\wu_tgds_c.wav																					255	255	255	0
67	飘雪穿云	1			1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	5	35	8												\image\effect\fightskill\emei\em_10_pxcy_c.spr	\audio\fightskill\emei\em_pxcy_f.wav											\image\effect\fightskill\emei\em_10_pxcy_d.spr	\audio\fightskill\emei\em_pxcy_c.wav									255	255	255	0
68	慈航普渡	0			1	10	9	0	9	0	16	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0															\image\effect\fightskill\emei\em_30_chpd_d.spr												\image\effect\fightskill\emei\em_30_chpd_c.spr	\audio\fightskill\emei\em_chpd_c.wav									255	255	255	0
69	四象同归	0			1	10	3	0	3	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50																\audio\fightskill\emei\em_sxtg_f.wav											\image\effect\fightskill\emei\em_50_sxtg_d.spr	\audio\fightskill\emei\em_sxtg_c.wav									255	255	255	0
70	四象同归_发散	1			1	10	3	0	3	0	0	8	30	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	3	35	10												\image\effect\fightskill\emei\em_50_sxtg_c.spr	\audio\fightskill\emei\em_sxtg_f.wav											\image\effect\fightskill\emei\em_50_sxtg_d.spr	\audio\fightskill\emei\em_sxtg_c.wav									255	255	255	0
71	佛心慈佑	0			1	10	41	0	41	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																																					255	255	255	0
72	流水	0			1	10	41	0	41	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																																					255	255	255	0
73	风霜碎影	0			1	10	9	0	9	0	17	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	50															\image\effect\fightskill\emei\em_90_fssy_c.spr	\audio\fightskill\emei\em_fxsy_f.wav											\image\effect\fightskill\emei\em_90_fssy_d.spr	\audio\fightskill\emei\em_fxsy_c.wav									255	255	255	0
74	金顶佛光	5			1	10	1	0	1	0	0	15	50	0	0	1	0	0	0	2	0	0	0	0	0	0	50	50															\image\effect\fightskill\emei\em_90_jdfg_c.spr	\audio\fightskill\emei\em_jdfg_f.wav											\image\effect\fightskill\emei\em_90_jdfg_d.spr	\audio\fightskill\emei\em_jdfg_c.wav									255	255	255	0
75	梦蝶	0			1	10	41	0	41	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																																					255	255	255	0
76	佛音战意	1			1	10	2	0	2	0	0	13	45	0	0	1	0	0	0	2	0	0	0	0	0	0	50	50	3	35	10												\image\effect\fightskill\emei\em_10_fyzy_c.spr	\audio\fightskill\emei\em_pxcy_f.wav											\image\effect\fightskill\emei\em_10_fyzy_d.spr	\audio\fightskill\emei\em_pxcy_c.wav									255	255	255	0
77	清音梵唱	0			1	10	41	0	41	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																																					255	255	255	0
78	千佛千叶	0			1	10	41	0	41	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																																					255	255	255	0
79	佛光普照	0			1	10	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																											\image\effect\fightskill\emei\em_90_fgpz_d.spr	\audio\fightskill\emei\em_fgpz_c.wav									255	255	255	0
80	风卷残雪	1			1	10	1	0	1	0	0	16	40	0	0	1	0	0	0	0	0	0	0	0	0	0	50	50	3	40	10												\image\effect\fightskill\cuiyan\cy_10_fjcx_c.spr	\audio\fightskill\cuiyan\cy_fjcx_f.wav											\image\effect\fightskill\cuiyan\cy_10_fjcx_d.spr	\audio\fightskill\cuiyan\cy_fjcx_c.wav									255	255	255	0
81	碧海潮生	1			1	10	5	0	5	0	0	16	40	0	0	1	0	0	0	2	0	0	0	0	0	0	50	50	6	35	8												\image\effect\fightskill\cuiyan\cy_50_bhcs_c.spr	\audio\fightskill\cuiyan\cy_bhcs_f.wav											\image\effect\fightskill\cuiyan\cy_50_bhcs_d.spr	\audio\fightskill\cuiyan\cy_bhcs_c.wav									255	255	255	0
82	雪映红尘	0			1	10	41	0	41	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																																					255	255	255	0
83	冰心仙子	1			1	10	5	0	5	0	0	13	55	0	0	1	0	0	0	2	0	0	0	0	0	0	50	50															\image\effect\fightskill\cuiyan\cy_90_bxxz_c.spr	\audio\fightskill\cuiyan\cy_bxxz_f.wav											\image\effect\fightskill\cuiyan\cy_90_bxxz_d.spr	\audio\fightskill\cuiyan\cy_bxxz_c.wav									255	255	255	0
84	风雪冰天	0			1	10	5	0	5	0	20	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	50															\image\effect\fightskill\cuiyan\cy_90_fxbt_c.spr	\audio\fightskill\cuiyan\cy_fxbt_f.wav												\audio\fightskill\cuiyan\cy_fxbt_c.wav									255	255	255	0
85	风花雪月	1			1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50															\image\effect\fightskill\cuiyan\cy_10_fhxy_c.spr	\audio\fightskill\cuiyan\cy_fhxy_f.wav											\image\effect\fightskill\cuiyan\cy_10_fhxy_d.spr	\audio\fightskill\cuiyan\cy_fhxy_c.wav									255	255	255	0
86	牧野流星	1			1	1	3	0	3	0	0	18	35	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50															\image\effect\fightskill\cuiyan\cy_50_mylx_c.spr	\audio\fightskill\cuiyan\cy_mylx_f.wav											\image\effect\fightskill\cuiyan\cy_50_mylx_d.spr	\audio\fightskill\cuiyan\cy_mylx_c.wav									255	255	255	0
87	npc冰踪无影	1			1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50															\image\effect\fightskill\cuiyan\cy_90_bzwy_c.spr	\audio\fightskill\cuiyan\cy_bzwy_f.wav											\image\effect\fightskill\cuiyan\cy_90_bzwy_d.spr	\audio\fightskill\cuiyan\cy_bzwy_c.wav									255	255	255	0
88	npc冰心雪莲	0			0	10	3	0	3	0	0	8	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																											\image\effect\fightskill\cuiyan\cy_90_bxxl_d.spr	\audio\fightskill\cuiyan\cy_bxxl_c.wav									255	255	255	0
89	见人伸手	1			1	10	1	0	1	0	0	9	60	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	5	35	8												\image\effect\fightskill\gaibang\gb_10_jrss_c.spr	\audio\fightskill\gaibang\gb_jrss_f.wav											\image\effect\fightskill\gaibang\gb_10_jrss_d.spr	\audio\fightskill\gaibang\gb_jrss_c.wav									255	255	255	0
90	亢龙有悔_npc	1			1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50															\image\effect\fightskill\gaibang\gb_50_klyh_c.spr	\audio\fightskill\gaibang\gb_klyh_f.wav											\image\effect\fightskill\gaibang\gb_50_klyh_d.spr	\audio\fightskill\gaibang\gb_klyh_c.wav									255	255	255	0
91	飞龙在天	5			1	10	1	0	1	0	0	19	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50															\image\effect\fightskill\gaibang\gb_90_flzt_c.spr	\audio\fightskill\gaibang\gb_flzt_f.wav											\image\effect\fightskill\gaibang\gb_90_flzt_d.spr	\audio\fightskill\gaibang\gb_flzt_c.wav									255	255	255	0
92	龙战于野	0			1	10	5	0	5	0	19	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															\image\effect\fightskill\gaibang\gb_90_lzyy_d.spr	\audio\fightskill\gaibang\gb_lzyy_c.wav																					255	255	255	0
93	沿门托钵	1			1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	3	45	10												\image\effect\fightskill\gaibang\gb_10_ymtb_c.spr	\audio\fightskill\gaibang\gb_ymtb_f.wav											\image\effect\fightskill\gaibang\gb_10_ymtb_d.spr	\audio\fightskill\gaibang\gb_ymtb_c.wav									255	255	255	0
94	棒打恶狗	1			1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	3	60	10												\image\effect\fightskill\gaibang\gb_50_bdeg_c.spr	\audio\fightskill\gaibang\gb_bdeg_f.wav											\image\effect\fightskill\gaibang\gb_50_bdeg_d.spr	\audio\fightskill\gaibang\gb_bdeg_c.wav									255	255	255	0
95	天下无狗	5			1	10	1	0	3	0	0	19	40	0	0	1	0	0	0	0	0	0	0	0	0	0	50	0															\image\effect\fightskill\gaibang\gb_90_txwg_c.spr	\audio\fightskill\gaibang\gb_txwg_f.wav											\image\effect\fightskill\gaibang\gb_90_txwg_d.spr	\audio\fightskill\gaibang\gb_txwg_c.wav									255	255	255	0
