SkillName	Property	SkillId	SkillType	SkillForm	StartPosition	Kind	SkillStyle	SkillGenus	ReplaceType	AppendDamageP	ShotNumber	FactionLimit	RouteLimit	SkillIcon	PreCastEffectId	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	StateTime	IsNoClearOnDeath	StateType	IsAura	LRSkill	NeedShadow	AttackRadius	IgnoreDistance	MslsGenerate	MslsGenerateData	ChildSkillId	ChildSkillLevel	ChildSkillNum	IsMissileSkill	CastActionId	EventSkillLevel	IsMelee	WaitTime	ClientOnly	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	IsDamage	TargetOnly	Relation	IsUseAR	StartSkillId	FlySkillId	FlyEventTime	CollidSkillId	VanishedSkillId	HitSkillId	ReqLevel	MaxLevel	WeaponLimit	HorseLimit	AngerLimit	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	ClassName	SkillDesc
Thiếu Lâm Đao Pháp	Hỗ trợ bị động	22	3					1			-1			\image\icon\fightskill\shaolin\shaolindaofa.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	20	10	0	0	0	0	0		0					0	0	0	0	1	shaolindaofa	Đao pháp nhập môn Thiếu Lâm, tăng sát thương đao.
Dịch Cân Kinh	Hỗ trợ bị động	23	3					1			-1			\image\icon\fightskill\shaolin\yijinjing.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	30	10	0	0	0	0	0		0					0	0	0	0	1	yijinjing	Tuyệt kỹ nội công Thiếu Lâm, tăng sinh lực tối đa.
Phá Giới Đao Pháp	Chủ động	24	5	0	1		atk_phy_far	1			2			\image\icon\fightskill\shaolin\pojiedaofa.spr	152			0	0	0			0	0	0	520	0	2	6	22	-1	2	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	50	20	13	0	0	0	0		0					0	0	0	1	1	pojiedaofa	Đao pháp trung cấp Thiếu Lâm, tấn công 2 lần.
A La Hán Thần Công	Hỗ trợ tấn công	25	4	1	1		aura	1			1			\image\icon\fightskill\shaolin\aluohanshengong.spr				15	0	45			1	2	0	0	0	0	0	146	-1	1	1	14	-1	0	0	0	0	0	0	0	0	0	0	self	0	253	0	0	0	0	0	40	20	0	0	0	0	0		0					1	1	0	0	1	aluohanshengong	Nội công Thiếu Lâm, phản đòn cho mình và đồng đội trong vòng sáng.
Bồ Đề Tâm Pháp	Hỗ trợ Chủ động	26	2				buff	1			-1			\image\icon\fightskill\shaolin\putixinfa.spr	153			16	0	0			0	2	0	0	0	0	0	0	-1	0	0	11	0	0	0	0	0	0	0	0	1	0	0	self	0	0	0	0	0	0	0	70	20	0	0	0	0	0		0					0	0	0	0	1	putixinfa	Rút ngắn thời gian thọ thương, suy yếu, làm chậm, choáng, bất động
Thiên Trúc Tuyệt Đao	Chủ động	27	5	0	1		atk_phy_far	1			2			\image\icon\fightskill\shaolin\wuxiangzhan.spr	154			0	0	0			0	0	0	520	0	2	6	24	-1	2	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	90	20	13	0	0	0	0		0					0	0	0	1	1	tianzhujuedao	Đao pháp cao cấp Thiếu Lâm, tấn công 2 lần đối thủ trên đường thẳng trên phạm vi gần.
Hỗn Nguyên Nhất Khí	Hỗ trợ bị động	28	3					1			-1			\image\icon\fightskill\shaolin\hunyuanyiqi.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	80	20	0	0	0	0	0		0					0	0	0	0	1	hunyuanyiqi	Tăng xác suất hiệu quả tấn công và tốc độ xuất chiêu.
Phổ Độ Côn Pháp	Chủ động	29	5	1	2		atk_phy_near	1			1			\image\icon\fightskill\shaolin\pudugunfa.spr	155			0	0	0			0	0	0	140	0	0	0	25	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	10	20	14	1	0	0	0		0					0	0	0	1	1	pudugunfa	Côn pháp sơ cấp Thiếu Lâm, tấn công cận chiến một đối thủ.
Thiếu Lâm Côn Pháp	Hỗ trợ bị động	30	3					1			-1			\image\icon\fightskill\shaolin\shaolingunfa.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	20	10	0	0	0	0	0		0					0	0	0	0	1	shaolingunfa	Côn pháp nhập môn Thiếu Lâm, tăng sát thương côn.
Sư Tử Hống	Chủ động hạn chế	31	1	5	3			1			-1			\image\icon\fightskill\shaolin\shizihou.spr	157	\audio\fightskill\shaolin\sl_szh_m.wav		0	0	0			0	2	0	330	0	2	6	32	-1	1	0	11	0	0	0	0	0	0	0	0	0	0	0	enemy	0	0	0	0	0	0	0	30	10	0	1	0	0	0		0					0	0	0	0	1	shizihou	Nội công trung cấp Thiếu Lâm, dùng nội lực thâm hậu làm đối thủ bất động.
Sư Tử Hống_Tử		32	5	1	3		disable	1			-1							0	0	0			0	0	0	0	0	0	0	26	-1	1	1	9	0	0	0	0	0	0	0	0	0	0	0	enemy	0	0	0	0	0	0	0	0	10	0	1	0	0	0		0					0	0	0	0	1	shizihou	
Phục Ma Côn Pháp	Chủ động	33	5	1	3		atk_phy_near	1			1			\image\icon\fightskill\shaolin\fumogunfa.spr	156	\audio\fightskill\shaolin\sl_fmgf_m.wav		0	0	0			0	0	0	140	0	0	0	27	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	50	20	14	1	0	0	64		0					0	0	0	1	1	fumogunfa	Côn pháp trung cấp Thiếu Lâm, tấn công đối thủ trong phạm vi nhỏ phía trước.
Bất Động Minh Vương	Hỗ trợ bị động	34	3					1			-1			\image\icon\fightskill\shaolin\budongmingwang.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	60	10	0	0	0	0	0		0					0	0	0	0	1	budongmingwang	Tăng phòng, có tỷ lệ phản kích khi bị đánh làm giảm né tránh, tốc độ chạy địch
Bất Động Minh Vương_Tử		35	5	1	1		disable	1			-1							17	0	0			0	3	0	0	0	0	0	28	-1	1	1	14	0	0	0	0	0	0	0	0	0	0	0	enemy	0	0	0	0	0	0	0	0	10	0	0	0	0	0		0					0	0	0	0	1	budongmingwang_child	
Thất Tinh La Sát Côn	Chủ động	36	5	1	1		atk_phy_near	1			1			\image\icon\fightskill\shaolin\hengsaoliuhe.spr	158	\audio\fightskill\shaolin\sl_hslh_m.wav		0	0	0			0	0	0	160	0	0	0	29	-1	1	1	9	-1	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	90	20	14	1	0	0	0		0					0	1	0	1	1	qixingluoshagun	Côn pháp cao cấp Thiếu Lâm, tấn công đối thủ xung quanh trong phạm vi lớn.
Đạt Ma Vũ Kinh	Hỗ trợ bị động	37	3					1			-1			\image\icon\fightskill\shaolin\damodujiang.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	80	20	0	0	0	0	0		0					0	0	0	0	1	damowujing	Tăng xác suất hiệu quả tấn công và tốc độ xuất chiêu.
Hồi Phong Lạc Nhạn	Chủ động	38	1	5	1		atk_phy_near	1			2			\image\icon\fightskill\tianwang\huifengluoyan.spr	227			0	0	0			0	0	1	140	0	2	8	39	-1	2	0	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	10	20	15	1	0	0	0		0					0	0	0	1	1	huifengluoyan	Thương pháp sơ cấp Thiên Vương, tấn công liên tục 2 chiêu với tốc độ nhanh.
Hồi Phong Lạc Nhạn_Tử	Chủ động	39	5	0	1		atk_phy_near	1			2							0	0	0			0	0	0	0	0	0	0	30	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	15	1	0	0	0		0					0	0	0	1	1	huifengluoyan	
Thiên Vương Thương Pháp	Hỗ trợ bị động	40	3					1			-1			\image\icon\fightskill\tianwang\tianwangqiangfa.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	20	10	0	0	0	0	0		0					0	0	0	0	1	tianwangqiangfa	Thương pháp nhập môn Thiên Vương, tăng sát thương thương.
Đoạn Hồn Thích	Chủ động hạn chế	41	1	4	1			1			-1			\image\icon\fightskill\tianwang\duanhunci.spr	159	\audio\fightskill\tianwang\tw_dhc_m.wav	\audio\fightskill\tianwang\tw_dhc_fm.wav	0	0	0			0	0	1	550	0	1	16	42	-1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	enemy	0	0	0	0	0	0	0	30	10	0	1	0	0	32		0					0	1	0	0	1	duanhunci	Võ công trung cấp Thiên Vương, xung kích đối thủ gây bất động.
Đoạn Hồn Thích_Tử		42	5	0	1		disable	1			-1							0	0	0			0	2	0	0	0	0	0	31	-1	1	1	9	0	0	0	0	0	0	0	0	0	0	0	enemy	0	0	0	0	0	0	0	0	10	0	1	0	0	0		0					0	0	0	0	1	duanhunci	
Dương Quan Tam Điệp	Chủ động	43	1	5	1		atk_phy_near	1			2			\image\icon\fightskill\tianwang\yangguansandie.spr	228			0	0	0			0	0	1	140	0	2	7	44	-1	3	0	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	50	20	15	1	0	0	0		0					0	0	0	1	1	yangguansandie	Thương pháp Thiên Vương, tấn công liên tục 3 chiêu với tốc độ nhanh.
Dương Quan Tam Điệp_Tử	Chủ động	44	5	0	1		atk_phy_near	1			2							0	0	0			0	0	0	0	0	0	0	32	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	15	1	0	0	0		0					0	0	0	1	1	yangguansandie	
Tĩnh Tâm Quyết	Hỗ trợ bị động	45	3					1			-1			\image\icon\fightskill\tianwang\jingxinjue.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	40	20	0	0	0	0	0		0					0	0	0	0	1	jingxinjue	Tâm pháp Thiên Vương, tăng sinh lực tối đa, rút ngắn thời gian trúng độc
Thiên Vương Chiến Ý	Hỗ trợ Chủ động 	46	2				buff	1			-1			\image\icon\fightskill\tianwang\tianwwangzhanyi.spr	160			18	0	0			0	2	0	0	0	0	0	0	-1	1	0	11	-1	0	0	0	0	0	0	0	1	0	0	self	0	239	0	0	0	0	0	70	20	0	0	0	0	0		0					0	1	0	0	1	tianwangzhanyi	Tâm pháp cao cấp Thiên Vương, tăng hiệu quả và lực tấn công phe ta.
Truy Tinh Trục Nguyệt	Chủ động	47	1	5	1		atk_phy_near	1			2			\image\icon\fightskill\tianwang\zhuixingzhuyue.spr	229			0	0	0			0	0	1	140	0	2	5	48	-1	4	0	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	90	20	15	1	0	0	0		0					0	0	0	1	1	zhuixingzhuyue	Liên tục tấn công kẻ địch phía trước với tốc độ cực nhanh
Truy Tinh Trục Nguyệt_Tử	Chủ động	48	5	0	1		atk_phy_near	1			2							0	0	0			0	0	0	0	0	0	0	34	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	15	1	0	0	0		0					0	0	0	1	1	zhuixingzhuyue	
Thiên Canh Chiến Khí	Hỗ trợ bị động	49	3					1			-1			\image\icon\fightskill\tianwang\tiangangzhanqi.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	80	20	0	0	0	0	0		0					0	0	0	0	1	tiangangzhanqi	Tăng xác suất hiệu quả tấn công và hiệu suất hồi phục sinh lực
Hành Vân Quyết	Chủ động	50	1	5	1		atk_phy_near	1			1			\image\icon\fightskill\tianwang\xingyunjue.spr	230			0	0	0			0	0	1	80	0	2	10	51	-1	1	0	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	10	20	16	1	0	0	0		0					0	0	0	1	1	xingyunjue	Chùy pháp sơ cấp Thiên Vương, chiêu tấn công một đối thủ
Hành Vân Quyết_Tử	Chủ động	51	5	0	1		atk_phy_near	1			1							0	0	0			0	0	0	0	0	0	0	35	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	16	1	0	0	0		0					0	0	0	1	1	xingyunjue	
Thiên Vương Chùy Pháp	Hỗ trợ bị động	52	3					1			-1			\image\icon\fightskill\tianwang\tianwangchuifa.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	20	10	0	0	0	0	0		0					0	0	0	0	1	tianwangchuifa	Chùy pháp nhập môn Thiên Vương, tăng sát thương chùy.
Truy Phong Quyết	Chủ động	53	1	5	1		atk_phy_near	1			1			\image\icon\fightskill\tianwang\zhuifengjue.spr	231			0	0	0			0	0	1	80	0	2	7	54	-1	1	0	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	50	20	16	1	0	0	0		0					0	0	0	1	1	zhuifengjue	Chùy pháp trung cấp Thiên Vương, tấn công một đối thủ với tốc độ nhanh.
Truy Phong Quyết_Tử	Chủ động	54	5	0	1		atk_phy_near	1			1							0	0	0			0	0	0	0	0	0	0	36	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	16	1	0	0	0		0					0	0	0	1	1	zhuifengjue	
Kim Chung Tráo	 Hỗ trợ Chủ động	55	2				buff	1			-1			\image\icon\fightskill\tianwang\jinzhongzhao.spr	161			19	0	0			0	2	0	0	0	0	0	0	-1	1	0	11	-1	0	0	0	0	0	0	0	1	0	0	self	0	240	0	0	0	0	0	70	20	0	0	0	0	0		0					0	1	0	0	1	jinzhongzhao	Nội công cao cấp Thiên Vương, tăng phòng thủ bản thân và đồng đội ở gần, đồng thời tăng hiệu quả tấn công bản thân.
Thừa Long Quyết	Chủ động	56	1	5	1		atk_phy_near	1			1			\image\icon\fightskill\tianwang\chenglongjue.spr	232			0	0	0			0	0	0	140	0	2	5	57	-1	1	0	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	90	20	16	1	0	0	0		0					0	0	0	1	1	chenglongjue	Tấn công trong phạm vi nhỏ trước mặt với tốc độ cực nhanh
Thừa Long Quyết_Tử	Chủ động	57	5	1	3		atk_phy_near	1			1							0	0	0			0	0	0	0	0	0	0	38	-1	1	1	9	-1	1	0	0	0	0	0	0	1	1	0	enemy	1	795	0	0	0	0	0	0	20	16	1	0	0	64		0					0	0	0	1	1	chenglongjue	
Đảo Hư Thiên	Hỗ trợ bị động	58	3					1			-1			\image\icon\fightskill\tianwang\daoxutian.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	80	20	0	0	0	0	0		0					0	0	0	0	1	daoxutian	Tăng xác suất hiệu quả tấn công và hiệu suất hồi phục sinh lực
Truy Tâm Tiễn	Chủ động	59	5	0	1		atk_phy_far	1			1			\image\icon\fightskill\tangmen\zhuixinjian.spr	162			0	0	0			0	0	0	520	0	0	0	39	-1	1	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	10	20	23	0	0	0	0		0					0	0	0	2	1	zhuixinjian	Võ công sơ cấp Đường Môn, tấn công tầm xa bằng tụ tiễn.
Đường Môn Tụ Tiễn	Hỗ trợ bị động	60	3					1			-1			\image\icon\fightskill\tangmen\tangmenxiujian.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	20	10	0	0	0	0	0		0					0	0	0	0	1	tangmenxiujian	Võ công nhập môn Đường Môn, tăng sát thương tụ tiễn.
Tôi Độc Thuật	Hỗ trợ bị động	61	3					1			-1			\image\icon\fightskill\tangmen\cuidushu.spr				20	0	0			0	3	0	0	0	0	0	0	-1	1	1	14	-1	0	0	0	0	0	0	0	0	0	0	self	0	0	0	0	0	0	0	40	20	0	0	0	0	0		0					1	0	0	0	1	cuidushu	Độc thuật Đường Môn, tăng sát thương chí mạng cho bản thân và đồng đội ở gần.
Thiên La Địa Võng	Chủ động	62	5	0	1		atk_phy_far	1			2			\image\icon\fightskill\tangmen\tianluodiwang.spr	163			0	0	0			0	0	0	520	0	0	0	41	-1	1	1	9	-1	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	63	0	0	50	20	23	0	0	0	0		0					0	4	0	2	1	tianluodiwang	Võ công trung cấp Đường Môn, tấn công địch tầm xa, sau khi tấn công sẽ bắn nhiều tên tấn công địch ở gần.
Thiên La Địa Võng_Phát tán	Chủ động	63	5	4	1		atk_phy_far	1			2							0	0	0			0	0	0	0	0	0	0	42	-1	3	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	23	0	0	0	64		0					0	0	0	2	1	tianluodiwang_child	
Mê Ảnh Tung	Hỗ trợ chủ động	64	1	6				1			-1			\image\icon\fightskill\tangmen\miyingzong.spr	164	\audio\fightskill\tangmen\tm_myz_h.wav	\audio\fightskill\tangmen\tm_myz_h.wav	0	0	0			0	0	0	0	0	0	0	0	-1	0	0	14	-1	0	3	0	0	0	0	0	0	0	0	enemy	0	0	0	0	0	0	0	30	10	0	0	0	0	0		0					0	1	0	0	1	miyingzong	Khinh công Đường Môn, di chuyển nhanh đến địa điểm chỉ định.
Ngự Độc Thuật	Hỗ trợ bị động	65	3					1			-1			\image\icon\fightskill\tangmen\yudushu.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	70	20	0	0	0	0	0		0					0	0	0	0	1	yudushu	Tăng độc công và xác suất chí mạng, giảm thời gian choáng.
Bạo Vũ Lê Hoa	Chủ động	66	5	1	2		atk_phy_far	1			3			\image\icon\fightskill\tangmen\baoyulihua.spr	165			0	0	0			0	0	0	520	0	0	0	43	-1	1	1	9	-1	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	90	20	23	0	0	0	0		0					0	0	0	2	1	baoyulihua	Võ công cao cấp Đường Môn, bắn tên liên tục về phía đối thủ, đồng thời bắn nhiều tên ra tứ phía.
Truy Tinh Trục Điện	Chủ động	67	5	4	1		atk_phy_far	1			16							0	0	0			0	0	0	0	0	0	0	1130	-1	8	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	23	0	0	0	-608		0					0	0	0	2	1	zhuixingzhudian	
Tâm Ma	Hỗ trợ bị động	68	3					1			-1			\image\icon\fightskill\tangmen\xinmo.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	80	20	0	0	0	0	0		0					0	0	0	0	1	xinmo	Tăng xác suất hiệu quả tấn công và tốc độ xuất chiêu.
Độc Thích Cốt	Cạm bẫy	69	5	1	1		trap	1			-1			\image\icon\fightskill\tangmen\ducigu.spr		\audio\fightskill\tangmen\tm_csc_h.wav	\audio\fightskill\tangmen\tm_csc_h.wav	0	0	0			0	0	0	96	0	0	0	1148	-1	1	1	11	-1	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	184	0	0	10	20	22	1	0	0	0		0					0	0	0	2	1	ducigu	Bẫy sơ cấp Đường Môn, khiến đối thủ trên phạm vi gần chịu 4 lần sát thương bẫy và bị trúng độc.
Đường Môn Hãm Tĩnh	Hỗ trợ bị động	70	3					1			-1			\image\icon\fightskill\tangmen\tangmenxianjing.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	20	10	0	0	0	0	0		0					0	0	0	0	1	tangmenxianjing	Võ công nhập môn Đường Môn, tăng sát thương bẫy.
