FromMapId	FromPosX	FromPosY	Type	Name	ToMapId	ToPosX	ToPosY	ToFightState	BeProtected	FromMap备注	ToMap备注		
12	50112	102784	trap	to_huanhuaxi	90	54496	103712	1	1	昆仑派	浣花溪		
12	50528	96992	trap	to_yueyaquan	131	56768	119040	1	1	昆仑派	月牙泉		
13	49504	108128	trap	to_fengxiangfu	24	62752	119200	0		西夏一品堂	凤翔府		
13	56960	110688	trap	to_afanggongfeixu	132	50208	102432	1	1	西夏一品堂	阿房宫废墟		
14	48512	92576	trap	to_yonglezhen	3	54336	108064	0		武当派	永乐镇		
14	49536	100960	trap	to_xiangyangfu	25	46720	94144	0		武当派	襄阳府		
14	41248	95232	trap	to_tianzhufeng	49	51616	125856	1	1	武当派	天柱峰		
15	48832	104672	trap	to_daoxiangcun	4	53408	108384	0		丐帮	稻香村		
15	53248	99168	trap	to_yangzhoufu	26	46336	106656	0		丐帮	扬州府		
15	48928	107552	trap	to_gusushuixie	50	58496	100480	1	1	丐帮	姑苏水榭		
16	45792	95424	trap	to_jiulaofeng	51	56832	100256	1	1	峨嵋派	九老峰		
16	45600	106016	trap	to_jiangjincun	5	47008	98368	0		峨嵋派	江津村		
16	49088	92736	trap	to_chengdufu	27	48128	108640	0		峨嵋派	成都府		
17	52928	105984	trap	to_shiguzhen	6	46720	105824	0		翠烟门	石鼓镇		
17	44352	90624	trap	to_baihuagu	52	62624	119616	1	1	翠烟门	百花谷		
18	50048	107200	trap	to_jiangjincun	5	46656	100000	0		唐门	江津村		
18	51136	97664	trap	to_feicuihu	53	59552	102624	1	1	唐门	翡翠湖		
19	48704	96224	trap	to_dalifu	28	45408	111968	0		大理段氏	大理府		
19	51008	107552	trap	to_shiguzhen	6	42976	99680	0		大理段氏	石鼓镇		
19	48000	105408	trap	to_baihuagu	52	62912	102272	1	1	大理段氏	百花谷		
20	46368	102464	trap	to_nanyibuluo	54	58432	102528	1	1	五毒教	南夷部落		
20	52064	101920	trap	to_longquancun	7	44992	106080	0		五毒教	龙泉村		
21	49856	103168	trap	to_longquancun	7	49408	112096	0		长歌门	龙泉村		
21	49216	110240	trap	to_gulangyu	136	50752	101504	1	1	长歌门	鼓浪屿		
22	50208	102144	trap	to_balingxian	8	53024	110464	0		天王帮	巴陵县		
22	51488	103392	trap	to_suoyunyuan	128	62176	100896	1	1	天王帮	锁云渊		
23	44064	104384	trap	to_shaolinpai	9	56960	94016	0		汴京府	少林派		
23	46016	106144	trap	to_funiushan	95	56288	103424	1	1	汴京府	伏牛山		
23	44448	102272	trap	to_longmenshiku	107	63616	109216	1	1	汴京府	龙门石窟		
23	46368	95680	trap	to_taihanggujing	86	62432	125216	1	1	汴京府	太行古径		
23	52960	92736	trap	to_tianrenjiao	10	49696	115296	0		汴京府	天忍教		
23	51936	92192	trap	to_yunzhongzhen	1	41856	100768	0		汴京府	云中镇		
24	52192	118752	trap	to_dasanguan	87	51072	108224	1	1	凤翔府	大散关		
24	63936	103584	trap	to_juyanze	94	51616	125856	1	1	凤翔府	居延泽		
24	64320	105792	trap	to_shamomigong	101	51968	124064	1	1	凤翔府	沙漠迷宫		
24	48416	104864	trap	to_kunlunpai	12	51232	103456	0		凤翔府	昆仑派		
24	62976	119456	trap	to_xixiayipintang	13	49728	108224	0		凤翔府	西夏一品堂		
24	50528	102688	trap	to_longmenzhen	2	55680	119424	0		凤翔府	龙门镇		
25	46656	93568	trap	to_wudangpai	14	49312	100416	0		襄阳府	武当派		
25	56160	106464	trap	to_hanshuigudu	88	51584	103264	1	1	襄阳府	汉水古渡		
25	46112	94912	trap	to_jianmenguan	111	62336	113696	1	1	襄阳府	剑门关		
25	47264	106144	trap	to_balingxian	8	51904	101536	0		襄阳府	巴陵县		
25	56896	95136	trap	to_yonglezhen	3	56064	107712	0		襄阳府	永乐镇		
26	46112	107072	trap	to_gaibang	15	53056	99424	0		扬州府	丐帮		
26	53280	97664	trap	to_shugangshan	103	57664	125024	1	1	扬州府	蜀冈山		
26	53984	108288	trap	to_hanshangucha	89	48896	108352	1	1	扬州府	寒山古刹		
26	46976	98656	trap	to_daoxiangcun	4	55296	105472	0		扬州府	稻香村		
27	47296	99488	trap	to_huanhuaxi	90	63008	113600	1	1	成都府	浣花溪		
27	54720	98752	trap	to_jiangeshudao	104	49472	118944	1	1	成都府	剑阁蜀道		
27	47744	108928	trap	to_emeipai	16	48864	93152	0		成都府	峨嵋派		
27	55872	107520	trap	to_jiangjincun	5	49440	95360	0		成都府	江津村		
28	53472	99424	trap	to_erhaimoyan	91	57536	122528	1	1	大理府	洱海摩岩		
28	43360	100928	trap	to_diancangshan	98	61632	121632	1	1	大理府	点苍山		
28	45696	112448	trap	to_daliduanshi	19	48928	96352	0		大理府	大理段氏		
28	53632	111520	trap	to_shiguzhen	6	45600	97536	0		大理府	石鼓镇		
29	45728	134080	trap	to_jiuyixi	106	61728	106368	1	1	临安府	九嶷溪		
29	57024	133856	trap	to_longquancun	7	54304	106528	0		临安府	龙泉村		
29	45376	131456	trap	to_caishiji	92	66208	110304	1	1	临安府	采石矶		
29	57568	119616	trap	to_huqiujianchi	96	57536	127072	1	1	临安府	虎丘剑池		
30	51616	129888	trap	to_yunzhongzhen	1	51072	103136	0		古战场	云中镇		
31	65536	113696	trap	to_longmenzhen	2	51456	114144	0		龙门客栈	龙门镇		
32	51168	127392	trap	to_yonglezhen	3	58816	99520	0		军马场	永乐镇		
33	64160	129632	trap	to_daoxiangcun	4	48672	99712	0		梅花岭	稻香村		
34	53792	108224	trap	to_jiangjincun	5	49664	104768	0		长江河谷	江津村		
35	64704	128320	trap	to_shiguzhen	6	53056	94432	0		白族市集	石鼓镇		
36	51200	126752	trap	to_longquancun	7	53056	110208	0		雁荡龙湫	龙泉村		
37	57120	103616	trap	to_balingxian	8	58528	112640	0		洞庭湖畔	巴陵县		
38	49632	113152	trap	to_yunzhongzhen	1	51136	103520	0		镇东墓园	云中镇		
39	65632	103488	trap	to_longmenzhen	2	51392	117856	0		祁连山	龙门镇		
40	58272	124800	trap	to_yonglezhen	3	55136	97536	0		潼关	永乐镇		
41	63712	108192	trap	to_daoxiangcun	4	49216	108576	0		淮水沙洲	稻香村		
42	65440	108992	trap	to_jiangjincun	5	48576	104224	0		蜀南竹海	江津村		
43	49696	100320	trap	to_erhaimoyan	91	63168	110272	1	1	茶马古道	洱海摩岩		
43	62976	123520	trap	to_shiguzhen	6	50240	94816	0		茶马古道	石鼓镇		
44	49248	112672	trap	to_longquancun	7	51200	110816	0		铸剑坊	龙泉村		
45	51424	122592	trap	to_balingxian	8	59520	107136	0		岳阳楼	巴陵县		
46	64384	105696	trap	to_shaolinpai	9	50432	93728	0		后山禁地	少林派		
46	51808	125184	trap	to_talin_1	56	63840	105184	1	1	后山禁地	塔林东部		
47	56736	101440	trap	to_jinguohuangling_1	57	46048	111520	1	1	天忍教禁地	金国皇陵一层		
47	52864	118112	trap	to_tianrenjiao	10	56608	96160	0		天忍教禁地	天忍教		
48	60384	119296	trap	to_kunlunpai	12	51008	97440	0		见性峰	昆仑派		
48	60256	110048	trap	to_bingxuemigong_1	58	52256	107776	1	1	见性峰	冰穴迷宫一层		
49	51168	126368	trap	to_wudangpai	14	41280	95840	0		天柱峰	武当派		
49	58432	103360	trap	to_longhuhuanjing_1	59	50816	101440	1	1	天柱峰	龙虎幻境东部		
50	58592	99616	trap	to_gaibang	15	49024	107264	0		姑苏水榭	丐帮		
50	50112	104512	trap	to_yanziwu_1	60	51584	86368	1	1	姑苏水榭	燕子坞外围		
51	57056	99776	trap	to_emeipai	16	46240	95808	0		九老峰	峨嵋派		
51	50208	114912	trap	to_jiulaodong_1	61	52256	122336	1	1	九老峰	九老洞一层		
52	63008	120160	trap	to_cuiyanmen	17	44640	90944	0		百花谷	翠烟门		
52	51168	103104	trap	to_baihuazhen_1	62	76096	120576	1	1	百花谷	百花阵外阵		
52	63040	102048	trap	to_daliduanshi	19	48192	105184	0		百花谷	大理段氏		
53	59744	102336	trap	to_tangmen	18	51424	98336	0		翡翠湖	唐门		
53	55264	119104	trap	to_hupanzhulin_1	63	56768	103744	1	1	翡翠湖	湖畔竹林东部		
54	58752	102336	trap	to_wudujiao	20	46688	102144	0		南夷部落	五毒教		
54	54400	117792	trap	to_yuanshisenlin_1	64	60064	103872	1	1	南夷部落	原始森林东部		
54	51264	107040	trap	to_mingjiao	224	56320	102880	0		南夷部落	明教		
56	64320	104480	trap	to_houshanjindi	46	52416	124864	1	1	塔林东部	后山禁地		
56	51712	128608	trap	to_talin_2	66	63840	105184	1	1	塔林东部	塔林西部		
57	45920	111776	trap	to_tianrenjiaojindi	47	56512	101696	1	1	金国皇陵一层	天忍教禁地		
57	53696	103616	trap	to_jinguohuangling_2	67	46048	111520	1	1	金国皇陵一层	金国皇陵二层		
58	52096	108128	trap	to_jianxingfeng	48	60064	110240	1	1	冰穴迷宫一层	见性峰		
58	56096	96448	trap	to_bingxuemigong_2	68	52256	107776	1	1	冰穴迷宫一层	冰穴迷宫二层		
59	51200	101888	trap	to_tianzhufeng	49	58496	104096	1	1	龙虎幻境东部	天柱峰		
59	36544	74112	trap	to_longhuhuanjing_2	69	50816	101440	1	1	龙虎幻境东部	龙虎幻境西部		
60	51744	85952	trap	to_gusushuixie	50	50784	104640	1	1	燕子坞外围	姑苏水榭		
60	42624	105728	trap	to_yanziwu_2	70	51584	86368	1	1	燕子坞外围	燕子坞中段		
61	51936	123072	trap	to_jiulaofeng	51	50048	115136	1	1	九老洞一层	九老峰		
61	61056	116224	trap	to_jiulaodong_2	71	52256	122336	1	1	九老峰一层	九老峰二层		
62	76416	120512	trap	to_baihuagu	52	51840	103296	1	1	百花阵外阵	百花谷		
62	55808	117824	trap	to_baihuazhen_2	72	76128	120512	1	1	百花阵外阵	百花阵内阵		
63	57120	103296	trap	to_feicuihu	53	55456	118560	1	1	湖畔竹林东部	翡翠湖		
63	56864	117248	trap	to_hupanzhulin_2	73	56768	103744	1	1	湖畔竹林东部	湖畔竹林西部		
64	60384	103072	trap	to_nanyibuluo	54	54496	117248	1	1	原始森林东部	南夷部落		
64	56032	123040	trap	to_yuanshisenlin_2	74	60000	103936	1	1	原始森林东部	原始森林西部		
65	51328	101696	trap	to_luweidang_2	75	62560	120640	1	1	芦苇荡东南部	芦苇荡西北部		
66	64320	104352	trap	to_talin_1	56	51808	128064	1	1	塔林西部	塔林东部		
67	45920	111776	trap	to_jinguohuangling_1	57	53472	103840	1	1	金国皇陵二层	金国皇陵一层		
68	52096	108128	trap	to_bingxuemigong_1	58	55936	96736	1	1	冰穴迷宫二层	冰穴迷宫一层		
69	51200	101888	trap	to_longhuhuanjing_1	59	36896	74368	1	1	龙虎幻境西部	龙虎幻境东部		
70	51744	85952	trap	to_yanziwu_1	60	42688	105440	1	1	燕子坞中段	燕子坞外围		
71	51936	123072	trap	to_jiulaodong_1	61	60832	116384	1	1	九老洞二层	九老峰一层		
72	76416	120480	trap	to_baihuazhen_1	62	56032	117856	1	1	百花阵内阵	百花阵外阵		
73	57120	103296	trap	to_hupanzhulin_1	63	57056	116704	1	1	湖畔竹林西部	湖畔竹林东部		
74	60416	103072	trap	to_yuanshisenlin_1	64	56192	122432	1	1	原始森林西部	原始森林东部		
75	62656	121312	trap	to_luweidang_1	65	51712	102496	1	1	芦苇荡西北部	芦苇荡东南部		
86	57376	125984	trap	to_longmenshiku	107	63776	103456	1	1	太行古径	龙门石窟		
86	62368	125952	trap	to_bianjingfu	23	46688	95968	0		太行古径	汴京府		
86	51136	115680	trap	to_fenglingdu	100	63168	104448	1	1	太行古径	风陵渡		
86	51680	103776	trap	to_yaowangdong	93	61216	118944	1	1	太行古径	药王洞		
87	50816	108032	trap	to_fengxiangfu	24	52288	118560	0		大散关	凤翔府		
87	58208	127040	trap	to_jiangeshudao	104	58464	101952	1	1	大散关	剑阁蜀道		
87	62464	125088	trap	to_jianmenguan	111	51552	104608	1	1	大散关	剑门关		
87	62560	114112	trap	to_afanggongfeixu	132	50304	112416	1	1	大散关	阿房宫废墟		
88	61440	106112	trap	to_funiushan	95	56416	126656	1	1	汉水古渡	伏牛山		
88	62784	120672	trap	to_huanghelou	109	51552	113888	1	1	汉水古渡	黄鹤楼		
88	51456	102720	trap	to_xiangyangfu	25	56160	105920	0		汉水古渡	襄阳府		
88	53568	124160	trap	to_shennvfeng	134	56864	102208	1	1	汉水古渡	神女峰		
89	58976	101536	trap	to_shugangshan	103	63072	122752	1	1	寒山古刹	蜀冈山		
89	48352	108320	trap	to_yangzhoufu	26	53632	108384	0		寒山古刹	扬州府		
89	57120	120384	trap	to_huqiujianchi	96	58976	102304	1	1	寒山古刹	虎丘剑池		
90	52992	128224	trap	to_erhaimoyan	91	59872	103744	1	1	浣花溪	洱海摩岩		
90	63488	113696	trap	to_chengdufu	27	47744	99552	0		浣花溪	成都府		
90	57312	104064	trap	to_xiangshuidong	97	55040	121376	1	1	浣花溪	响水洞		
90	54464	103200	trap	to_kunlunpai	12	50368	103040	0		浣花溪	昆仑派		
91	63488	110144	trap	to_chamagudao	43	50144	101088	1	1	洱海摩岩	茶马古道		
91	60064	103200	trap	to_huanhuaxi	90	52960	127296	1	1	洱海摩岩	浣花溪		
91	51232	113792	trap	to_diancangshan	98	61600	106240	1	1	洱海摩岩	点苍山		
91	51232	104128	trap	to_tianlongsi	112	61024	112960	1	1	洱海摩岩	天龙寺		
91	57408	123136	trap	to_dalifu	28	53408	100192	0		洱海摩岩	大理府		
92	60128	121728	trap	to_jiuyixi	106	57600	103552	1	1	采石矶	九嶷溪		
92	49984	120992	trap	to_pengliguze	99	52032	78144	1	1	采石矶	彭蠡古泽		
92	66496	110144	trap	to_linanfu	29	45728	131712	0		采石矶	临安府		
92	66080	103392	trap	to_huqiujianchi	96	50240	117408	1	1	采石矶	虎丘剑池		
92	50080	111648	trap	to_huanghelou	109	61728	113440	1	1	采石矶	黄鹤楼		
92	55840	108928	trap	to_dukou1	92	56768	109856	1	1	采石矶渡口2	采石矶渡口1		
92	56512	109696	trap	to_dukou2	92	55712	108672	1	1	采石矶渡口1	采石矶渡口2		
92	55072	112352	trap	to_dukou3	92	54560	114176	1	1	采石矶渡口4	采石矶渡口3		
92	54432	113920	trap	to_dukou4	92	54944	112096	1	1	采石矶渡口3	采石矶渡口4		
93	61472	119488	trap	to_taihanggujing	86	51872	104064	1	1	药王洞	太行古径		
94	63488	115488	trap	to_shamomigong	101	51808	114304	1	1	居延泽	沙漠迷宫		
94	51104	126112	trap	to_fengxiangfu	24	63712	103680	0		居延泽	凤翔府		
94	51072	117184	trap	to_jiayuguan	115	57024	99136	1	1	居延泽	嘉峪关		
94	63520	103968	trap	to_mengguwangting	130	51232	119072	1	1	居延泽	蒙古王庭		
94	63552	126176	trap	to_keyimenyaoai	2147	51648	115296	1	1	居延泽	克夷门要隘		
94	56832	127520	trap	to_helanshandonglu	2148	48064	91456	1	1	居延泽	贺兰山东麓		
95	56288	103072	trap	to_bianjingfu	23	45792	105856	0		伏牛山	汴京府		
95	56480	127008	trap	to_hanshuigudu	88	61152	106336	1	1	伏牛山	汉水古渡		
95	51104	104576	trap	to_longmenshiku	107	62976	122368	1	1	伏牛山	龙门石窟		
95	51808	116928	trap	to_jiguandong	102	51008	102560	1	1	伏牛山	鸡冠洞		
95	60288	115072	trap	to_shugangmijing	117	44288	109120	1	1	伏牛山	蜀冈秘境		
95	60352	124736	trap	to_huanghelou	109	51328	104672	1	1	伏牛山	黄鹤楼		
96	49920	117824	trap	to_caishiji	92	65856	103648	1	1	虎丘剑池	采石矶		
96	59040	101760	trap	to_hanshangucha	89	57216	119264	1	1	虎丘剑池	寒山古刹		
96	57568	127488	trap	to_linanfu	29	57600	120128	0		虎丘剑池	临安府		
97	62432	116064	trap	to_jiangeshudao	104	49184	108960	1	1	响水洞	剑阁蜀道		
97	54880	121856	trap	to_huanhuaxi	90	57088	104320	1	1	响水洞	浣花溪		
98	57216	103200	trap	to_tianlongsi	112	56032	122272	1	1	点苍山	天龙寺		
98	61856	105952	trap	to_erhaimoyan	91	51776	113792	1	1	点苍山	洱海摩岩		
98	61856	121696	trap	to_dalifu	28	43776	101504	0		点苍山	大理府		
98	53536	105568	trap	to_duanshihuangling	105	44704	113408	1	1	点苍山	段氏皇陵		
99	52064	77472	trap	to_caishiji	92	50304	120960	1	1	彭蠡古泽	采石矶		
99	52128	102944	trap	to_jiuyixi	106	52160	103264	1	1	彭蠡古泽	九嶷溪		
99	38400	92768	trap	to_huanghelou	109	61664	121632	1	1	彭蠡古泽	黄鹤楼		
100	63296	119552	trap	to_longmenshiku	107	51392	104256	1	1	风陵渡	龙门石窟		
100	50784	107648	trap	to_shamomigong	101	60448	121952	1	1	风陵渡	沙漠迷宫		
100	63488	104064	trap	to_taihanggujing	86	51584	115712	1	1	风陵渡	太行古径		
100	53088	105984	trap	to_dukou1	100	51968	106720	1	1	风陵渡渡口2	风陵渡渡口1		
100	52192	106944	trap	to_dukou2	100	53376	106240	1	1	风陵渡渡口1	风陵渡渡口2		
100	53280	115936	trap	to_dukou3	100	52512	114144	1	1	风陵渡渡口4	风陵渡渡口3		
100	52768	113856	trap	to_dukou4	100	53536	116192	1	1	风陵渡渡口3	风陵渡渡口4		
100	50912	116160	trap	to_huashan	116	63104	108736	1	1	风陵渡	华山		
101	51264	114048	trap	to_juyanze	94	63104	115392	1	1	沙漠迷宫	居延泽		
101	51648	124800	trap	to_fengxiangfu	24	64064	106048	0		沙漠迷宫	凤翔府		
101	60960	122336	trap	to_fenglingdu	100	51328	107456	1	1	沙漠迷宫	风陵渡		
101	61184	111616	trap	to_xixiahuangling	108	53440	102848	1	1	沙漠迷宫	西夏皇陵		
101	61248	105056	trap	to_mengguwangting	130	53696	118976	1	1	沙漠迷宫	蒙古王庭		
101	56736	125024	trap	to_yanzhou	2149	61568	103680	1	1	沙漠迷宫	盐州		
101	59296	124864	trap	to_wulahaicheng	2150	51200	114848	1	1	沙漠迷宫	兀剌海城		
102	51456	102624	trap	to_funiushan	95	51968	117248	1	1	鸡冠洞	伏牛山		
103	63360	122752	trap	to_hanshangucha	89	59200	102400	1	1	蜀冈山	寒山古刹		
103	57760	125696	trap	to_yangzhoufu	26	53344	98240	0		蜀冈山	扬州府		
103	51808	102688	trap	to_jianjudong	110	53696	103168	1	1	蜀冈山	荐菊洞		
104	49120	118688	trap	to_chengdufu	27	54432	99104	0		剑阁蜀道	成都府		
104	58496	101344	trap	to_dasanguan	87	58144	126592	1	1	剑阁蜀道	大散关		
104	61824	116640	trap	to_jianmenguan	111	51776	113312	1	1	剑阁蜀道	剑门关		
104	48960	108640	trap	to_xiangshuidong	97	62304	116448	1	1	剑阁蜀道	响水洞		
105	44288	113856	trap	to_diancangshan	98	53376	105824	1	1	段氏皇陵	点苍山		
106	51744	103200	trap	to_pengliguze	99	51744	102048	1	1	九嶷溪	彭蠡古泽		
106	57952	103328	trap	to_caishiji	92	60320	121216	1	1	九嶷溪	采石矶		
106	61952	106080	trap	to_linanfu	29	45952	133792	0		九嶷溪	临安府		
106	51680	118848	trap	to_bangyuanmidong	113	61120	103136	1	1	九嶷溪	帮源秘洞		
106	56864	122720	trap	to_wuyishan	120	49792	116320	1	1	九嶷溪	武夷山		
107	63328	122752	trap	to_funiushan	95	51296	104800	1	1	龙门石窟	伏牛山		
107	63872	109184	trap	to_bianjingfu	23	44896	102688	0		龙门石窟	汴京府		
107	51040	104288	trap	to_fenglingdu	100	62816	118976	1	1	龙门石窟	风陵渡		
107	63904	103072	trap	to_taihanggujing	86	57312	125024	1	1	龙门石窟	太行古径		
107	51072	122944	trap	to_huashan	116	63136	115040	1	1	龙门石窟	华山		
108	53216	103104	trap	to_shamomigong	101	61024	111872	1	1	西夏皇陵	沙漠迷宫		
109	51136	113984	trap	to_hanshuigudu	88	62208	120480	1	1	黄鹤楼	汉水古渡		
109	61984	121888	trap	to_pengliguze	99	38688	92896	1	1	黄鹤楼	彭蠡古泽		
109	61984	113120	trap	to_caishiji	92	50400	111776	1	1	黄鹤楼	采石矶		
109	51104	104480	trap	to_funiushan	95	60000	124448	1	1	黄鹤楼	伏牛山		
110	43872	104864	trap	to_daoxiangcun	4	56384	101152	0		荐菊洞	稻香村		
110	53952	102848	trap	to_shugangshan	103	52000	102976	1	1	荐菊洞	蜀冈山		
110	42080	97536	trap	to_shugangmijing	117	56960	96992	1	1	荐菊洞	蜀冈秘境		
110	54368	92352	trap	to_liangshanpo	133	57248	119648	1	1	荐菊洞	梁山泊		
111	51200	104128	trap	to_dasanguan	87	62176	124992	1	1	剑门关	大散关		
111	51392	113344	trap	to_jiangeshudao	104	61504	116416	1	1	剑门关	剑阁蜀道		
111	62816	113536	trap	to_xiangyangfu	25	46464	94752	0		剑门关	襄阳府		
111	58240	102336	trap	to_afanggongfeixu	132	55488	123040	1	1	剑门关	阿房宫废墟		
112	61536	112768	trap	to_erhaimoyan	91	51712	105024	1	1	天龙寺	洱海摩岩		
112	55968	122976	trap	to_diancangshan	98	57184	103584	1	1	天龙寺	点苍山		
113	60768	107808	trap	to_longquancun	7	44736	103200	0		帮源秘洞	龙泉村		
