ID	DESC	SECT	FightState
71	燕子洞洞口	74, 2045, 3372	1
72	燕子洞洞口	74, 2116, 3551	1
73	燕子洞洞口	74, 1993, 3688	1
74	蚩尤洞内洞洞口	75, 1816, 3009	1
75	蚩尤洞内洞洞口	75, 1872, 3071	1
76	青螺洞内洞洞口	69, 1600, 3207	1
77	洞庭湖底	66, 1897, 3107	1
78	天王洞内洞洞口	65, 1596, 3250	1
79	白水洞内洞洞口	71, 1701, 3029	1
80	白水洞内洞洞口	71, 1721, 3107	1
81	白水洞内洞洞口	71, 1739, 3208	1
82	伏流洞内洞洞口	73, 1599, 2803	1
83	伏流洞内洞洞口	73, 1635, 2990	1
84	伏流洞内洞洞口	73, 1536, 3073	1
85	大酋洞内洞洞口	72, 1700, 2865	1
86	大酋洞内洞洞口	72, 1611, 2969	1
87	大酋洞内洞洞口	72, 1796, 3088	1
88	大酋洞内洞洞口	72, 1660, 3306	1
89	白水洞洞口	70, 1649, 3050	1
90	白水洞洞口	70, 1828, 2948	1
91	白水洞洞口	70, 1972, 2926	1
92	伏流洞内洞洞口	73, 1599, 3210	1
93	大酋洞洞口	70, 1691, 2873	1
94	大酋洞洞口	70, 1564, 2855	1
95	大酋洞洞口	70, 1540, 2953	1
96	大酋洞洞口	70, 1340, 2502	1
97	大酋洞内洞洞口	72, 1741, 3205	1
98	大酋洞内洞洞口	72, 1583, 3042	1
99	大酋洞内洞洞口	72, 1722, 3106	1
100	大酋洞内洞洞口	72, 1702, 3031	1
101	伏流洞洞口	70, 1173, 2751	1
102	伏流洞洞口	70, 1232, 2908	1
103	伏流洞洞口	70, 1393, 2674	1
104	白水洞内洞洞口	71, 1659, 3306	1
105	伏牛山北麓	41, 2078, 2804	1
106	铁塔迷宫	38, 1602, 3206	1
107	天心洞内洞洞口	42, 1584, 3221	1
108	天心洞内洞洞口	42, 1619, 2894	1
109	天心洞内洞洞口	42, 1676, 2901	1
110	天心洞洞口	41, 1685, 3268	1
111	天心洞洞口	41, 1788, 3085	1
112	天心洞洞口	41, 1951, 2989	1
113	剑阁蜀道	43, 1695, 3200	1
114	鸡冠洞内洞洞口	91, 1595, 3215	1
115	鸡冠洞内洞洞口	91, 1806, 2858	1
116	锁云洞内洞洞口	6, 1464, 3127	1
117	天心洞内洞洞口	42, 1648, 3119	1
118	鸡冠洞内洞洞口	91, 1469, 2870	1
119	鸡冠洞内洞洞口	91, 1511, 2861	1
120	鸡冠洞内洞洞口	91, 1622, 2736	1
121	鸡冠洞内洞洞口	91, 1582, 3144	1
122	鸡冠洞内洞洞口	91, 1785, 2820	1
123	鸡冠洞内洞洞口	91, 1570, 2661	1
124	鸡冠洞洞口	90, 1612, 3201	1
125	鸡冠洞洞口	90, 1629, 3062	1
126	鸡冠洞洞口	90, 1668, 3162	1
127	鸡冠洞洞口	90, 1839, 2856	1
128	鸡冠洞洞口	90, 1784, 3532	1
129	鸡冠洞洞口	90, 1920, 3353	1
130	天心洞内洞洞口	42, 1559, 3056	1
131	天心洞内洞洞口	42, 1701, 3012	1
132	荐菊洞洞口	92, 1852, 3240	1
133	荐菊洞洞口	92, 1894, 3208	1
134	荐菊洞洞口	92, 2025, 3040	1
135	灵谷洞内洞洞口	94, 1591, 3194	1
136	灵谷洞洞口	92, 1690, 2992	1
137	灵谷洞洞口	92, 1785, 2579	1
138	灵谷洞洞口	92, 1864, 2448	1
139	灵谷洞洞口	92, 1931, 2573	1
140	荐菊洞内洞洞口	93, 1722, 3110	1
141	灵谷洞内洞洞口	94, 1640, 3259	1
142	灵谷洞内洞洞口	94, 1670, 3045	1
143	灵谷洞内洞洞口	94, 1719, 3127	1
144	灵谷洞内洞洞口	94, 1751, 3107	1
145	荐菊洞内洞洞口	93, 1701, 3029	1
146	荐菊洞内洞洞口	93, 1573, 3121	1
147	荐菊洞内洞洞口	93, 1526, 3172	1
148	武当井底	82, 1593, 3193	1
149	火狼洞内洞洞口	83, 1584, 3248	1
150	伏牛山南麓	90, 1649, 3567	1
151	蜀冈山脚	92, 1637, 3302	1
152	罗宵山脚	179, 1738, 2559	1
153	罗宵山脚	179, 1618, 3292	1
154	武夷山脚	193, 1937, 2851	1
155	武夷山脚	193, 1584, 3217	1
156	雁荡山脚	195, 682, 2863	1
157	两水洞洞口	179, 1570, 3147	1
158	两水洞洞口	179, 1698, 2968	1
159	两水洞洞口	193, 1698, 2582	1
160	两水洞洞口	193, 1166, 3104	1
161	两水洞洞口	193, 1350, 3162	1
162	两水洞洞口	195, 1042, 3297	1
163	两水洞洞口	195, 1468, 3023	1
164	两水洞洞口	195, 1492, 3363	1
165	龙宫洞洞口	179, 1610, 3091	1
166	龙宫洞洞口	179, 1743, 2945	1
167	龙宫洞洞口	195, 1420, 3401	1
168	龙宫洞洞口	195, 1618, 3074	1
169	孽龙洞洞口	179, 1541, 3193	1
170	孽龙洞洞口	179, 1824, 3264	1
171	孽龙洞洞口	193, 1419, 2377	1
172	孽龙洞洞口	193, 1449, 2780	1
173	玉华洞洞口	193, 1057, 2780	1
174	玉华洞洞口	193, 1123, 2632	1
175	羊角洞洞口	195, 961, 2623	1
176	羊角洞洞口	195, 1164, 2751	1
177	老虎洞洞口	122, 1665, 3326	1
178	留仙洞洞口	122, 1644, 3205	1
179	留仙洞洞口	122, 1581, 3337	1
180	轩辕洞洞口	122, 1678, 3274	1
181	轩辕洞洞口	122, 1597, 3217	1
182	黄河源头	122, 1612, 3328	1
183	药王谷入口	140, 2429, 3731	1
184	药王洞洞口	140, 2441, 3278	1
185	药王洞洞口	140, 2307, 3287	1
186	点苍山脚	167, 1606, 3214	1
187	点苍洞洞口	167, 1411, 2748	1
188	点苍洞洞口	167, 1684, 3132	1
189	凤眼洞洞口	167, 1621, 2857	1
190	龙眼洞洞口	167, 1214, 2731	1
191	土匪洞洞口	167, 1859, 2770	1
192	芙蓉洞洞口	20, 3701, 6232	1
193	飞天洞洞口	100, 1852, 3356	1
194	阳中洞洞口	101, 1767, 2816	1
195	沙漠迷宫入口	136, 1716, 3144	1
196	临渝关入口	319, 1612, 3612	1
197	长白山脚入口	320, 1137, 3151	1
198	长白山南麓	321, 966, 2296	1
199	长白山南麓	321, 1573, 3150	1
200	长白山北麓	322, 2048,4120	1
201	长白山北麓	322, 1582, 3147	1
202	千寻塔一层	164, 1606, 3194	1
203	一百零八罗汉阵	114, 1499, 3312	1
204	祥云洞五层洞口	120, 1597, 3205	1
205	祥云洞五层洞口	120, 1815, 3195	1
206	秦始皇陵地下二层	206, 1598, 3212	1
207	秦始皇陵地下三层	207, 1595, 3205	1
208	药王洞三层洞口	143, 1686, 3262	1
209	药王洞四层洞口	144, 1592, 3106	1
210	药王洞四层洞口	144, 1690, 3023	1
211	清溪洞洞口	198, 1522, 2955	1
212	古阳洞洞口	200, 1612, 3171	1
213	冰河洞洞口	201, 1599, 3197	1
214	芙蓉洞洞口	202, 1786, 2823	1
215	无名洞洞口	203, 1551, 2992	1
216	飞天洞洞口	204, 1679, 3391	1
217	阳中洞洞口	205, 1698, 3408	1
218	武陵洞洞口	199, 1644 ,2906	1
219	老虎洞洞口	123, 1698, 3363	1
220	轩辕洞洞口	124, 1588, 3209	1
221	轩辕洞洞口	124, 1672, 3420	1
222	华山派	333, 1227, 3346	1
223	天龙寺	332, 1105, 3170	1
224	风陵渡	336, 1112, 3189	1
225	莫高窟	340, 1853, 3446	1
