MAP_CLASS	MAP_INFO	MAP_ID	MAP_X	MAP_Y	TO_FIGHTSTATE
Khu vực luyện công\Cấp 65	 Hổ Khâu Kiếm Trì	96	1798	3971	1
Khu vực luyện công\Cấp 65	 Hưởng Thủy Động	97	1720	3793	1
Khu vực luyện công\Cấp 65	 Điểm Thương Sơn	98	1926	3801	1
Khu vực luyện công\Cấp 65	 Bành Lãi Cổ Trạch	99	1626	2433	1
Khu vực luyện công\Cấp 75	 Phong Lăng Độ	100	1974	3264	1
Khu vực luyện công\Cấp 75	 Mê Cung Sa Mạc	101	1624	3877	1
Khu vực luyện công\Cấp 75	 Kê Quán Động	102	1599	3208	1
Khu vực luyện công\Cấp 75	 Thục Cương Sơn	103	1802	3907	1
Khu vực luyện công\Cấp 75	 Kiếm Các Thục Đạo	104	1546	3717	1
Khu vực luyện công\Cấp 75	 Hoàng Lăng Đoàn Thị	105	1397	3544	1
Khu vực luyện công\Cấp 75	 Cửu Nghi Khê	106	1929	3324	1
Khu vực luyện công\Cấp 85	 Long Môn Thạch Quật	107	1987	3415	1
Khu vực luyện công\Cấp 85	 Hoàng Lăng Tây Hạ	108	1670	3214	1
Khu vực luyện công\Cấp 85	 Hoàng Hạc Lâu	109	1929	3545	1
Khu vực luyện công\Cấp 85	 Tiến Cúc Động	110	1382	3279	1
Khu vực luyện công\Cấp 85	 Kiếm Môn Quan	111	1956	3549	1
Khu vực luyện công\Cấp 85	 Thiên Long Tự	112	1913	3537	1
Khu vực luyện công\Cấp 85	 Bang Nguyên Bí Động	113	1893	3383	1
Khu vực luyện công\Cấp 95	 Sắc Lặc Xuyên	114	1924	3808	1
Khu vực luyện công\Cấp 95	 Gia Du Quan	115	1789	3211	1
Khu vực luyện công\Cấp 95	 Hoa Sơn	116	1889	3821	1
Khu vực luyện công\Cấp 95	 Thục Cương Bí Cảnh	117	1772	3358	1
Khu vực luyện công\Cấp 95	 Phong Đô Quỷ Thành	118	1607	3910	1
Khu vực luyện công\Cấp 95	 Miêu Lĩnh	119	1547	3723	1
Khu vực luyện công\Cấp 95	 Vũ Di Sơn	120	1784	3326	1
Khu vực luyện công\Cấp 95	 Vũ Lăng Sơn	121	1800	3349	1
Khu vực luyện công\Cấp 105	 Mạc Bắc Thảo Nguyên	122	1797	3757	1
Khu vực luyện công\Cấp 105	 Đôn Hoàng Cổ Thành	123	1902	3910	1
Khu vực luyện công\Cấp 105	 Hoạt Tử Nhân Mộ	124	1734	3326	1
Khu vực luyện công\Cấp 105	 Đại Vũ Đài	125	1750	3855	1
Khu vực luyện công\Cấp 105	 Tam Hiệp Sạn Đạo	126	1523	3592	1
Khu vực luyện công\Cấp 105	 Xi Vưu Động	127	1605	3227	1
Khu vực luyện công\Cấp 105	 Tỏa Vân Uyên	128	1935	3406	1
Khu vực luyện công\Cấp 105	 Phục Lưu Động	129	1897	3586	1
Khu vực luyện công\Cấp 115	 Mông Cổ Vương Đình	130	1779	3716	1
Khu vực luyện công\Cấp 115	 Nguyệt Nha Tuyền	131	1938	3621	1
Khu vực luyện công\Cấp 115	 Tàn Tích Cung A Phòng	132	1973	3764	1
Khu vực luyện công\Cấp 115	 Lương Sơn Bạc	133	1570	3296	1
Khu vực luyện công\Cấp 115	 Thần Nữ Phong	134	1777	3194	1
Khu vực luyện công\Cấp 115	 Tàn Tích Dạ Lang	135	1603	3687	1
Khu vực luyện công\Cấp 115	 Cổ Lãng Dữ	136	1588	3169	1
Khu vực luyện công\Cấp 115	 Đào Hoa Nguyên	137	1848	3261	1
Môn phái	Cổ Mộ	2261	1689	3042	
