MapId	PointId	PosX	PosY	Type	Desc(程序不读)
2259	1	1682	3213	born	桃溪镇出生点
2154	2	1673	3713	save	桃溪镇出生点
2254	2	1673	3713	save	桃溪镇出生点
2255	2	1673	3713	save	桃溪镇出生点
2256	2	1673	3713	save	桃溪镇出生点
2257	2	1673	3713	save	桃溪镇出生点
2258	2	1673	3713	save	桃溪镇出生点
2259	2	1673	3713	save	桃溪镇出生点
2154	3	1914	3484	save	桃溪镇出生点
2254	3	1914	3484	save	桃溪镇出生点
2255	3	1914	3484	save	桃溪镇出生点
2256	3	1914	3484	save	桃溪镇出生点
2257	3	1914	3484	save	桃溪镇出生点
2258	3	1914	3484	save	桃溪镇出生点
2259	3	1914	3484	save	桃溪镇出生点
2261	1	1689	3042	born	古墓派出生点
2261	2	1715	3079	save	古墓物品保管人
55	1	1787	3465	save	青螺岛药商
2286	1	1787	3465	save	青螺岛药商
