Id	Faction	nRoute	Sex	szGDPL
4	13	1	1	"2,3,1375,3"
4	13	2	1	"2,3,1375,3"
5	1	1	0	"2,6,5,4"
5	1	2	0	"2,6,5,4"
5	2	1	0	"2,6,5,4"
5	2	2	0	"2,6,5,4"
5	3	1	0	"2,6,15,4"
5	3	2	0	"2,6,15,4"
5	4	1	0	"2,6,15,4"
5	4	2	0	"2,6,15,4"
5	5	1	0	"2,6,25,4"
5	5	2	0	"2,6,25,4"
5	6	1	0	"2,6,25,4"
5	6	2	0	"2,6,25,4"
5	7	1	0	"2,6,35,4"
5	7	2	0	"2,6,35,4"
5	8	1	0	"2,6,35,4"
5	8	2	0	"2,6,35,4"
5	9	1	0	"2,6,45,4"
5	9	2	0	"2,6,45,4"
5	10	1	0	"2,6,45,4"
5	10	2	0	"2,6,45,4"
5	11	1	0	"2,6,15,4"
5	11	2	0	"2,6,15,4"
5	12	1	0	"2,6,25,4"
5	12	2	0	"2,6,25,4"
5	13	1	0	"2,6,45,4"
5	13	2	0	"2,6,45,4"
5	1	1	1	"2,6,5,4"
5	1	2	1	"2,6,5,4"
5	2	1	1	"2,6,5,4"
5	2	2	1	"2,6,5,4"
5	3	1	1	"2,6,15,4"
5	3	2	1	"2,6,15,4"
5	4	1	1	"2,6,15,4"
5	4	2	1	"2,6,15,4"
5	5	1	1	"2,6,25,4"
5	5	2	1	"2,6,25,4"
5	6	1	1	"2,6,25,4"
5	6	2	1	"2,6,25,4"
5	7	1	1	"2,6,35,4"
5	7	2	1	"2,6,35,4"
5	8	1	1	"2,6,35,4"
5	8	2	1	"2,6,35,4"
5	9	1	1	"2,6,45,4"
5	9	2	1	"2,6,45,4"
5	10	1	1	"2,6,45,4"
5	10	2	1	"2,6,45,4"
5	11	1	1	"2,6,15,4"
5	11	2	1	"2,6,15,4"
5	12	1	1	"2,6,25,4"
5	12	2	1	"2,6,25,4"
5	13	1	1	"2,6,45,4"
5	13	2	1	"2,6,45,4"
6	1	1	0	"2,11,4,4"
6	1	2	0	"2,11,4,4"
6	2	1	0	"2,11,4,4"
6	2	2	0	"2,11,4,4"
6	3	1	0	"2,11,24,4"
6	3	2	0	"2,11,24,4"
6	4	1	0	"2,11,24,4"
6	4	2	0	"2,11,24,4"
6	5	1	0	"2,11,44,4"
6	5	2	0	"2,11,44,4"
6	6	1	0	"2,11,44,4"
6	6	2	0	"2,11,44,4"
6	7	1	0	"2,11,64,4"
6	7	2	0	"2,11,64,4"
6	8	1	0	"2,11,64,4"
6	8	2	0	"2,11,64,4"
6	9	1	0	"2,11,84,4"
6	9	2	0	"2,11,84,4"
6	10	1	0	"2,11,84,4"
6	10	2	0	"2,11,84,4"
6	11	1	0	"2,11,24,4"
6	11	2	0	"2,11,24,4"
6	12	1	0	"2,11,44,4"
6	12	2	0	"2,11,44,4"
6	13	1	0	"2,11,84,4"
6	13	2	0	"2,11,84,4"
6	1	1	1	"2,11,14,4"
6	1	2	1	"2,11,14,4"
6	2	1	1	"2,11,14,4"
6	2	2	1	"2,11,14,4"
6	3	1	1	"2,11,34,4"
6	3	2	1	"2,11,34,4"
6	4	1	1	"2,11,34,4"
6	4	2	1	"2,11,34,4"
6	5	1	1	"2,11,54,4"
6	5	2	1	"2,11,54,4"
6	6	1	1	"2,11,54,4"
6	6	2	1	"2,11,54,4"
6	7	1	1	"2,11,74,4"
6	7	2	1	"2,11,74,4"
6	8	1	1	"2,11,74,4"
6	8	2	1	"2,11,74,4"
6	9	1	1	"2,11,94,4"
6	9	2	1	"2,11,94,4"
6	10	1	1	"2,11,94,4"
6	10	2	1	"2,11,94,4"
6	11	1	1	"2,11,34,4"
6	11	2	1	"2,11,34,4"
6	12	1	1	"2,11,54,4"
6	12	2	1	"2,11,54,4"
6	13	1	1	"2,11,94,4"
6	13	2	1	"2,11,94,4"
7	1	1	0	"2,4,4,4"
7	1	2	0	"2,4,4,4"
7	2	1	0	"2,4,4,4"
7	2	2	0	"2,4,4,4"
7	3	1	0	"2,4,14,4"
7	3	2	0	"2,4,14,4"
7	4	1	0	"2,4,14,4"
7	4	2	0	"2,4,14,4"
7	5	1	0	"2,4,24,4"
7	5	2	0	"2,4,24,4"
7	6	1	0	"2,4,24,4"
7	6	2	0	"2,4,24,4"
7	7	1	0	"2,4,34,4"
7	7	2	0	"2,4,34,4"
7	8	1	0	"2,4,34,4"
7	8	2	0	"2,4,34,4"
7	9	1	0	"2,4,44,4"
7	9	2	0	"2,4,44,4"
7	10	1	0	"2,4,44,4"
7	10	2	0	"2,4,44,4"
7	11	1	0	"2,4,14,4"
7	11	2	0	"2,4,14,4"
7	12	1	0	"2,4,24,4"
7	12	2	0	"2,4,24,4"
7	13	1	0	"2,4,44,4"
7	13	2	0	"2,4,44,4"
7	1	1	1	"2,4,4,4"
7	1	2	1	"2,4,4,4"
7	2	1	1	"2,4,4,4"
7	2	2	1	"2,4,4,4"
7	3	1	1	"2,4,14,4"
7	3	2	1	"2,4,14,4"
7	4	1	1	"2,4,14,4"
7	4	2	1	"2,4,14,4"
7	5	1	1	"2,4,24,4"
7	5	2	1	"2,4,24,4"
7	6	1	1	"2,4,24,4"
7	6	2	1	"2,4,24,4"
7	7	1	1	"2,4,34,4"
7	7	2	1	"2,4,34,4"
7	8	1	1	"2,4,34,4"
7	8	2	1	"2,4,34,4"
7	9	1	1	"2,4,44,4"
7	9	2	1	"2,4,44,4"
7	10	1	1	"2,4,44,4"
7	10	2	1	"2,4,44,4"
7	11	1	1	"2,4,14,4"
7	11	2	1	"2,4,14,4"
7	12	1	1	"2,4,24,4"
7	12	2	1	"2,4,24,4"
7	13	1	1	"2,4,44,4"
7	13	2	1	"2,4,44,4"
8	1	1	0	"2,5,4,4"
8	1	2	0	"2,5,4,4"
8	2	1	0	"2,5,4,4"
8	2	2	0	"2,5,4,4"
8	3	1	0	"2,5,14,4"
8	3	2	0	"2,5,14,4"
8	4	1	0	"2,5,14,4"
8	4	2	0	"2,5,14,4"
8	5	1	0	"2,5,24,4"
8	5	2	0	"2,5,24,4"
8	6	1	0	"2,5,24,4"
8	6	2	0	"2,5,24,4"
8	7	1	0	"2,5,34,4"
8	7	2	0	"2,5,34,4"
8	8	1	0	"2,5,34,4"
8	8	2	0	"2,5,34,4"
8	9	1	0	"2,5,44,4"
8	9	2	0	"2,5,44,4"
8	10	1	0	"2,5,44,4"
8	10	2	0	"2,5,44,4"
8	11	1	0	"2,5,14,4"
8	11	2	0	"2,5,14,4"
8	12	1	0	"2,5,24,4"
8	12	2	0	"2,5,24,4"
8	13	1	0	"2,5,44,4"
8	13	2	0	"2,5,44,4"
8	1	1	1	"2,5,4,4"
8	1	2	1	"2,5,4,4"
8	2	1	1	"2,5,4,4"
8	2	2	1	"2,5,4,4"
8	3	1	1	"2,5,14,4"
8	3	2	1	"2,5,14,4"
8	4	1	1	"2,5,14,4"
8	4	2	1	"2,5,14,4"
8	5	1	1	"2,5,24,4"
8	5	2	1	"2,5,24,4"
8	6	1	1	"2,5,24,4"
8	6	2	1	"2,5,24,4"
8	7	1	1	"2,5,34,4"
8	7	2	1	"2,5,34,4"
8	8	1	1	"2,5,34,4"
8	8	2	1	"2,5,34,4"
8	9	1	1	"2,5,44,4"
8	9	2	1	"2,5,44,4"
8	10	1	1	"2,5,44,4"
8	10	2	1	"2,5,44,4"
8	11	1	1	"2,5,14,4"
8	11	2	1	"2,5,14,4"
8	12	1	1	"2,5,24,4"
8	12	2	1	"2,5,24,4"
8	13	1	1	"2,5,44,4"
8	13	2	1	"2,5,44,4"
9	1	1	0	"2,9,24,4"
9	1	2	0	"2,9,4,4"
9	2	1	0	"2,9,4,4"
9	2	2	0	"2,9,4,4"
9	3	1	0	"2,9,44,4"
9	3	2	0	"2,9,44,4"
9	4	1	0	"2,9,44,4"
9	4	2	0	"2,9,64,4"
9	5	1	0	"2,9,104,4"
9	5	2	0	"2,9,104,4"
9	6	1	0	"2,9,104,4"
9	6	2	0	"2,9,104,4"
9	7	1	0	"2,9,144,4"
9	7	2	0	"2,9,144,4"
9	8	1	0	"2,9,124,4"
9	8	2	0	"2,9,144,4"
9	9	1	0	"2,9,184,4"
9	9	2	0	"2,9,164,4"
9	10	1	0	"2,9,184,4"
9	10	2	0	"2,9,184,4"
9	11	1	0	"2,9,44,4"
9	11	2	0	"2,9,44,4"
9	12	1	0	"2,9,84,4"
9	12	2	0	"2,9,104,4"
9	13	1	0	"2,9,1004,4"
9	13	2	0	"2,9,1004,4"
9	1	1	1	"2,9,94,4"
9	1	2	1	"2,9,14,4"
9	2	1	1	"2,9,14,4"
9	2	2	1	"2,9,14,4"
9	3	1	1	"2,9,94,4"
9	3	2	1	"2,9,54,4"
9	4	1	1	"2,9,54,4"
9	4	2	1	"2,9,74,4"
9	5	1	1	"2,9,114,4"
9	5	2	1	"2,9,114,4"
9	6	1	1	"2,9,114,4"
9	6	2	1	"2,9,114,4"
9	7	1	1	"2,9,154,4"
9	7	2	1	"2,9,154,4"
9	8	1	1	"2,9,194,4"
9	8	2	1	"2,9,154,4"
9	9	1	1	"2,9,194,4"
9	9	2	1	"2,9,174,4"
9	10	1	1	"2,9,194,4"
9	10	2	1	"2,9,194,4"
9	11	1	1	"2,9,54,4"
9	11	2	1	"2,9,54,4"
9	12	1	1	"2,9,94,4"
9	12	2	1	"2,9,114,4"
9	13	1	1	"2,9,1014,4"
9	13	2	1	"2,9,1014,4"
10	1	1	0	"2,1,186,5"
10	1	2	0	"2,1,196,5"
10	2	1	0	"2,1,206,5"
10	2	2	0	"2,1,216,5"
10	3	1	0	"2,2,25,5"
10	3	2	0	"2,2,35,5"
10	4	1	0	"2,1,226,5"
10	4	2	0	"2,1,236,5"
10	5	1	0	"2,1,266,5"
10	5	2	0	"2,1,276,5"
10	6	1	0	"2,1,276,5"
10	6	2	0	"2,1,246,5"
10	7	1	0	"2,1,306,5"
10	7	2	0	"2,1,286,5"
10	8	1	0	"2,1,296,5"
10	8	2	0	"2,1,316,5"
10	9	1	0	"2,1,346,5"
10	9	2	0	"2,1,336,5"
10	10	1	0	"2,1,326,5"
10	10	2	0	"2,1,356,5"
10	11	1	0	"2,1,926,5"
10	11	2	0	"2,1,936,5"
10	12	1	0	"2,1,256,5"
10	12	2	0	"2,1,276,5"
10	13	1	0	"2,1,1481,5"
10	13	2	0	"2,2,179,5"
10	1	1	1	"2,1,186,5"
10	1	2	1	"2,1,196,5"
10	2	1	1	"2,1,206,5"
10	2	2	1	"2,1,216,5"
10	3	1	1	"2,2,25,5"
10	3	2	1	"2,2,35,5"
10	4	1	1	"2,1,226,5"
10	4	2	1	"2,1,236,5"
10	5	1	1	"2,1,266,5"
10	5	2	1	"2,1,276,5"
10	6	1	1	"2,1,276,5"
10	6	2	1	"2,1,246,5"
10	7	1	1	"2,1,306,5"
10	7	2	1	"2,1,286,5"
10	8	1	1	"2,1,296,5"
10	8	2	1	"2,1,316,5"
10	9	1	1	"2,1,346,5"
10	9	2	1	"2,1,336,5"
10	10	1	1	"2,1,326,5"
10	10	2	1	"2,1,356,5"
10	11	1	1	"2,1,926,5"
10	11	2	1	"2,1,936,5"
10	12	1	1	"2,1,256,5"
10	12	2	1	"2,1,276,5"
10	13	1	1	"2,1,1481,5"
10	13	2	1	"2,2,179,5"
11	1	1	0	"2,7,107,5"
11	1	2	0	"2,7,107,5"
11	2	1	0	"2,7,107,5"
11	2	2	0	"2,7,107,5"
11	3	1	0	"2,7,127,5"
11	3	2	0	"2,7,127,5"
11	4	1	0	"2,7,127,5"
11	4	2	0	"2,7,127,5"
11	5	1	0	"2,7,147,5"
11	5	2	0	"2,7,147,5"
11	6	1	0	"2,7,147,5"
11	6	2	0	"2,7,147,5"
11	7	1	0	"2,7,167,5"
11	7	2	0	"2,7,167,5"
11	8	1	0	"2,7,167,5"
11	8	2	0	"2,7,167,5"
11	9	1	0	"2,7,187,5"
11	9	2	0	"2,7,187,5"
11	10	1	0	"2,7,187,5"
11	10	2	0	"2,7,187,5"
11	11	1	0	"2,7,127,5"
11	11	2	0	"2,7,127,5"
11	12	1	0	"2,7,147,5"
11	12	2	0	"2,7,147,5"
11	13	1	0	"2,7,187,5"
11	13	2	0	"2,7,187,5"
11	1	1	1	"2,7,117,5"
11	1	2	1	"2,7,117,5"
11	2	1	1	"2,7,117,5"
11	2	2	1	"2,7,117,5"
11	3	1	1	"2,7,137,5"
11	3	2	1	"2,7,137,5"
11	4	1	1	"2,7,137,5"
11	4	2	1	"2,7,137,5"
11	5	1	1	"2,7,157,5"
11	5	2	1	"2,7,157,5"
11	6	1	1	"2,7,157,5"
11	6	2	1	"2,7,157,5"
11	7	1	1	"2,7,177,5"
11	7	2	1	"2,7,177,5"
11	8	1	1	"2,7,177,5"
11	8	2	1	"2,7,177,5"
11	9	1	1	"2,7,197,5"
11	9	2	1	"2,7,197,5"
11	10	1	1	"2,7,197,5"
11	10	2	1	"2,7,197,5"
11	11	1	1	"2,7,137,5"
11	11	2	1	"2,7,137,5"
11	12	1	1	"2,7,157,5"
11	12	2	1	"2,7,157,5"
11	13	1	1	"2,7,197,5"
11	13	2	1	"2,7,197,5"
12	1	1	0	"2,10,107,5"
12	1	2	0	"2,10,107,5"
12	2	1	0	"2,10,107,5"
12	2	2	0	"2,10,107,5"
12	3	1	0	"2,10,127,5"
12	3	2	0	"2,10,127,5"
12	4	1	0	"2,10,127,5"
12	4	2	0	"2,10,127,5"
12	5	1	0	"2,10,147,5"
12	5	2	0	"2,10,147,5"
12	6	1	0	"2,10,147,5"
12	6	2	0	"2,10,147,5"
12	7	1	0	"2,10,167,5"
12	7	2	0	"2,10,167,5"
12	8	1	0	"2,10,167,5"
12	8	2	0	"2,10,167,5"
12	9	1	0	"2,10,187,5"
12	9	2	0	"2,10,187,5"
12	10	1	0	"2,10,187,5"
12	10	2	0	"2,10,187,5"
12	11	1	0	"2,10,127,5"
12	11	2	0	"2,10,127,5"
12	12	1	0	"2,10,147,5"
12	12	2	0	"2,10,147,5"
12	13	1	0	"2,10,187,5"
12	13	2	0	"2,10,187,5"
12	1	1	1	"2,10,117,5"
12	1	2	1	"2,10,117,5"
12	2	1	1	"2,10,117,5"
12	2	2	1	"2,10,117,5"
12	3	1	1	"2,10,137,5"
12	3	2	1	"2,10,137,5"
12	4	1	1	"2,10,137,5"
12	4	2	1	"2,10,137,5"
12	5	1	1	"2,10,157,5"
12	5	2	1	"2,10,157,5"
12	6	1	1	"2,10,157,5"
12	6	2	1	"2,10,157,5"
12	7	1	1	"2,10,177,5"
12	7	2	1	"2,10,177,5"
12	8	1	1	"2,10,177,5"
12	8	2	1	"2,10,177,5"
12	9	1	1	"2,10,197,5"
12	9	2	1	"2,10,197,5"
12	10	1	1	"2,10,197,5"
12	10	2	1	"2,10,197,5"
12	11	1	1	"2,10,137,5"
12	11	2	1	"2,10,137,5"
12	12	1	1	"2,10,157,5"
12	12	2	1	"2,10,157,5"
12	13	1	1	"2,10,197,5"
12	13	2	1	"2,10,197,5"
13	1	1	0	"2,8,105,5"
13	1	2	0	"2,8,105,5"
13	2	1	0	"2,8,105,5"
13	2	2	0	"2,8,105,5"
13	3	1	0	"2,8,125,5"
13	3	2	0	"2,8,125,5"
13	4	1	0	"2,8,125,5"
13	4	2	0	"2,8,125,5"
13	5	1	0	"2,8,145,5"
13	5	2	0	"2,8,145,5"
13	6	1	0	"2,8,145,5"
13	6	2	0	"2,8,145,5"
13	7	1	0	"2,8,165,5"
13	7	2	0	"2,8,165,5"
13	8	1	0	"2,8,165,5"
13	8	2	0	"2,8,165,5"
13	9	1	0	"2,8,185,5"
13	9	2	0	"2,8,185,5"
13	10	1	0	"2,8,185,5"
13	10	2	0	"2,8,185,5"
13	11	1	0	"2,8,125,5"
13	11	2	0	"2,8,125,5"
13	12	1	0	"2,8,145,5"
13	12	2	0	"2,8,145,5"
13	13	1	0	"2,8,185,5"
13	13	2	0	"2,8,185,5"
13	1	1	1	"2,8,115,5"
13	1	2	1	"2,8,115,5"
13	2	1	1	"2,8,115,5"
13	2	2	1	"2,8,115,5"
13	3	1	1	"2,8,135,5"
13	3	2	1	"2,8,135,5"
13	4	1	1	"2,8,135,5"
13	4	2	1	"2,8,135,5"
13	5	1	1	"2,8,155,5"
13	5	2	1	"2,8,155,5"
13	6	1	1	"2,8,155,5"
13	6	2	1	"2,8,155,5"
13	7	1	1	"2,8,175,5"
13	7	2	1	"2,8,175,5"
13	8	1	1	"2,8,175,5"
13	8	2	1	"2,8,175,5"
13	9	1	1	"2,8,195,5"
13	9	2	1	"2,8,195,5"
13	10	1	1	"2,8,195,5"
13	10	2	1	"2,8,195,5"
13	11	1	1	"2,8,135,5"
13	11	2	1	"2,8,135,5"
13	12	1	1	"2,8,155,5"
13	12	2	1	"2,8,155,5"
13	13	1	1	"2,8,195,5"
13	13	2	1	"2,8,195,5"
14	1	1	0	"2,3,227,5"
14	1	2	0	"2,3,207,5"
14	2	1	0	"2,3,207,5"
14	2	2	0	"2,3,207,5"
14	3	1	0	"2,3,247,5"
14	3	2	0	"2,3,247,5"
14	4	1	0	"2,3,247,5"
14	4	2	0	"2,3,267,5"
14	5	1	0	"2,3,307,5"
14	5	2	0	"2,3,307,5"
14	6	1	0	"2,3,307,5"
14	6	2	0	"2,3,307,5"
14	7	1	0	"2,3,347,5"
14	7	2	0	"2,3,347,5"
14	8	1	0	"2,3,327,5"
14	8	2	0	"2,3,347,5"
14	9	1	0	"2,3,387,5"
14	9	2	0	"2,3,367,5"
14	10	1	0	"2,3,387,5"
14	10	2	0	"2,3,387,5"
14	11	1	0	"2,3,247,5"
14	11	2	0	"2,3,247,5"
14	12	1	0	"2,3,287,5"
14	12	2	0	"2,3,307,5"
14	13	1	0	"2,3,1399,5"
14	13	2	0	"2,3,1399,5"
14	1	1	1	"2,3,237,5"
14	1	2	1	"2,3,217,5"
14	2	1	1	"2,3,217,5"
14	2	2	1	"2,3,217,5"
14	3	1	1	"2,3,257,5"
14	3	2	1	"2,3,257,5"
14	4	1	1	"2,3,257,5"
14	4	2	1	"2,3,277,5"
14	5	1	1	"2,3,317,5"
14	5	2	1	"2,3,317,5"
14	6	1	1	"2,3,317,5"
14	6	2	1	"2,3,317,5"
14	7	1	1	"2,3,357,5"
14	7	2	1	"2,3,357,5"
14	8	1	1	"2,3,337,5"
14	8	2	1	"2,3,357,5"
14	9	1	1	"2,3,397,5"
14	9	2	1	"2,3,377,5"
14	10	1	1	"2,3,397,5"
14	10	2	1	"2,3,397,5"
14	11	1	1	"2,3,257,5"
14	11	2	1	"2,3,257,5"
14	12	1	1	"2,3,297,5"
14	12	2	1	"2,3,317,5"
14	13	1	1	"2,3,1409,5"
14	13	2	1	"2,3,1409,5"
15	1	1	0	"2,6,56,5"
15	1	2	0	"2,6,56,5"
15	2	1	0	"2,6,56,5"
15	2	2	0	"2,6,56,5"
15	3	1	0	"2,6,66,5"
15	3	2	0	"2,6,66,5"
15	4	1	0	"2,6,66,5"
15	4	2	0	"2,6,66,5"
15	5	1	0	"2,6,76,5"
15	5	2	0	"2,6,76,5"
15	6	1	0	"2,6,76,5"
15	6	2	0	"2,6,76,5"
15	7	1	0	"2,6,86,5"
15	7	2	0	"2,6,86,5"
15	8	1	0	"2,6,86,5"
15	8	2	0	"2,6,86,5"
15	9	1	0	"2,6,96,5"
15	9	2	0	"2,6,96,5"
15	10	1	0	"2,6,96,5"
15	10	2	0	"2,6,96,5"
15	11	1	0	"2,6,66,5"
15	11	2	0	"2,6,66,5"
15	12	1	0	"2,6,76,5"
15	12	2	0	"2,6,76,5"
15	13	1	0	"2,6,96,5"
15	13	2	0	"2,6,96,5"
15	1	1	1	"2,6,56,5"
15	1	2	1	"2,6,56,5"
15	2	1	1	"2,6,56,5"
15	2	2	1	"2,6,56,5"
15	3	1	1	"2,6,66,5"
15	3	2	1	"2,6,66,5"
15	4	1	1	"2,6,66,5"
15	4	2	1	"2,6,66,5"
15	5	1	1	"2,6,76,5"
15	5	2	1	"2,6,76,5"
15	6	1	1	"2,6,76,5"
15	6	2	1	"2,6,76,5"
15	7	1	1	"2,6,86,5"
15	7	2	1	"2,6,86,5"
15	8	1	1	"2,6,86,5"
15	8	2	1	"2,6,86,5"
15	9	1	1	"2,6,96,5"
15	9	2	1	"2,6,96,5"
15	10	1	1	"2,6,96,5"
15	10	2	1	"2,6,96,5"
