TaskId	SubId	Faction	nRoute	Sex	Index	Cost	nSeries	szCostGDPL	szGDPL
1	7	12	2	1	1	0		18,1,962,1	2,3,115,3
1	7	5	1	1	2	1		18,1,962,1	2,3,315,3
1	7	5	2	1	2	1		18,1,962,1	2,3,315,3
1	7	6	1	1	2	1		18,1,962,1	2,3,315,3
1	7	6	2	1	2	1		18,1,962,1	2,3,315,3
1	7	12	2	1	2	1		18,1,962,1	2,3,315,3
1	7	8	1	1	1	0		18,1,962,1	2,3,135,3
1	7	8	1	1	2	1		18,1,962,1	2,3,335,3
1	7	8	2	1	1	0		18,1,962,1	2,3,155,3
1	7	7	1	1	1	0		18,1,962,1	2,3,155,3
1	7	7	2	1	1	0		18,1,962,1	2,3,155,3
1	7	8	2	1	2	1		18,1,962,1	2,3,355,3
1	7	7	1	1	2	1		18,1,962,1	2,3,355,3
1	7	7	2	1	2	1		18,1,962,1	2,3,355,3
1	7	9	2	1	1	0		18,1,962,1	2,3,175,3
1	7	9	2	1	2	1		18,1,962,1	2,3,375,3
1	7	9	1	1	1	0		18,1,962,1	2,3,195,3
1	7	10	1	1	1	0		18,1,962,1	2,3,195,3
1	7	10	2	1	1	0		18,1,962,1	2,3,195,3
1	7	9	1	1	2	1		18,1,962,1	2,3,395,3
1	7	10	1	1	2	1		18,1,962,1	2,3,395,3
1	7	10	2	1	2	1		18,1,962,1	2,3,395,3
6	55	4	1	0	1	0		18,1,962,1	2,3,45,3
6	55	3	1	0	1	0		18,1,962,1	2,3,45,3
6	55	3	2	0	1	0		18,1,962,1	2,3,45,3
6	55	11	1	0	1	0		18,1,962,1	2,3,45,3
6	55	11	2	0	1	0		18,1,962,1	2,3,45,3
6	55	4	1	0	2	1		18,1,962,1	2,3,245,3
6	55	3	1	0	2	1		18,1,962,1	2,3,245,3
6	55	3	2	0	2	1		18,1,962,1	2,3,245,3
6	55	11	1	0	2	1		18,1,962,1	2,3,245,3
6	55	11	2	0	2	1		18,1,962,1	2,3,245,3
6	55	4	2	0	1	0		18,1,962,1	2,3,65,3
6	55	4	2	0	2	1		18,1,962,1	2,3,265,3
6	55	1	2	0	1	0		18,1,962,1	2,3,5,3
6	55	1	2	0	2	1		18,1,962,1	2,3,205,3
6	55	2	1	0	1	0		18,1,962,1	2,3,5,3
6	55	2	2	0	1	0		18,1,962,1	2,3,5,3
6	55	2	1	0	2	1		18,1,962,1	2,3,205,3
6	55	2	2	0	2	1		18,1,962,1	2,3,205,3
6	55	1	1	0	1	0		18,1,962,1	2,3,25,3
6	55	1	1	0	2	1		18,1,962,1	2,3,225,3
6	55	12	1	0	1	0		18,1,962,1	2,3,85,3
6	55	12	1	0	2	1		18,1,962,1	2,3,285,3
6	55	6	1	0	1	0		18,1,962,1	2,3,105,3
6	55	6	2	0	1	0		18,1,962,1	2,3,105,3
6	55	12	2	0	1	0		18,1,962,1	2,3,105,3
6	55	6	1	0	2	1		18,1,962,1	2,3,305,3
6	55	6	2	0	2	1		18,1,962,1	2,3,305,3
6	55	12	2	0	2	1		18,1,962,1	2,3,305,3
6	55	8	1	0	1	0		18,1,962,1	2,3,125,3
6	55	8	1	0	2	1		18,1,962,1	2,3,325,3
6	55	8	2	0	1	0		18,1,962,1	2,3,145,3
6	55	7	1	0	1	0		18,1,962,1	2,3,145,3
6	55	7	2	0	1	0		18,1,962,1	2,3,145,3
6	55	8	2	0	2	1		18,1,962,1	2,3,345,3
6	55	7	1	0	2	1		18,1,962,1	2,3,345,3
6	55	7	2	0	2	1		18,1,962,1	2,3,345,3
6	55	9	2	0	1	0		18,1,962,1	2,3,165,3
6	55	9	2	0	2	1		18,1,962,1	2,3,365,3
6	55	9	1	0	1	0		18,1,962,1	2,3,185,3
6	55	10	1	0	1	0		18,1,962,1	2,3,185,3
6	55	10	2	0	1	0		18,1,962,1	2,3,185,3
6	55	9	1	0	2	1		18,1,962,1	2,3,385,3
6	55	10	1	0	2	1		18,1,962,1	2,3,385,3
6	55	10	2	0	2	1		18,1,962,1	2,3,385,3
6	55	4	1	1	1	0		18,1,962,1	2,3,55,3
6	55	3	1	1	1	0		18,1,962,1	2,3,55,3
6	55	3	2	1	1	0		18,1,962,1	2,3,55,3
6	55	11	1	1	1	0		18,1,962,1	2,3,55,3
6	55	11	2	1	1	0		18,1,962,1	2,3,55,3
6	55	4	1	1	2	1		18,1,962,1	2,3,255,3
6	55	3	1	1	2	1		18,1,962,1	2,3,255,3
6	55	3	2	1	2	1		18,1,962,1	2,3,255,3
6	55	11	1	1	2	1		18,1,962,1	2,3,255,3
6	55	11	2	1	2	1		18,1,962,1	2,3,255,3
6	55	4	2	1	1	0		18,1,962,1	2,3,75,3
6	55	4	2	1	2	1		18,1,962,1	2,3,275,3
6	55	2	1	1	1	0		18,1,962,1	2,3,15,3
6	55	2	1	1	2	1		18,1,962,1	2,3,215,3
6	55	2	2	1	1	0		18,1,962,1	2,3,15,3
6	55	2	2	1	2	1		18,1,962,1	2,3,215,3
6	55	12	1	1	1	0		18,1,962,1	2,3,95,3
6	55	12	1	1	2	1		18,1,962,1	2,3,295,3
6	55	5	1	1	1	0		18,1,962,1	2,3,115,3
6	55	5	2	1	1	0		18,1,962,1	2,3,115,3
6	55	6	1	1	1	0		18,1,962,1	2,3,115,3
6	55	6	2	1	1	0		18,1,962,1	2,3,115,3
6	55	12	2	1	1	0		18,1,962,1	2,3,115,3
6	55	5	1	1	2	1		18,1,962,1	2,3,315,3
6	55	5	2	1	2	1		18,1,962,1	2,3,315,3
6	55	6	1	1	2	1		18,1,962,1	2,3,315,3
6	55	6	2	1	2	1		18,1,962,1	2,3,315,3
6	55	12	2	1	2	1		18,1,962,1	2,3,315,3
6	55	8	1	1	1	0		18,1,962,1	2,3,135,3
6	55	8	1	1	2	1		18,1,962,1	2,3,335,3
6	55	8	2	1	1	0		18,1,962,1	2,3,155,3
6	55	7	1	1	1	0		18,1,962,1	2,3,155,3
6	55	7	2	1	1	0		18,1,962,1	2,3,155,3
6	55	8	2	1	2	1		18,1,962,1	2,3,355,3
6	55	7	1	1	2	1		18,1,962,1	2,3,355,3
6	55	7	2	1	2	1		18,1,962,1	2,3,355,3
6	55	9	2	1	1	0		18,1,962,1	2,3,175,3
6	55	9	2	1	2	1		18,1,962,1	2,3,375,3
6	55	9	1	1	1	0		18,1,962,1	2,3,195,3
6	55	10	1	1	1	0		18,1,962,1	2,3,195,3
6	55	10	2	1	1	0		18,1,962,1	2,3,195,3
6	55	9	1	1	2	1		18,1,962,1	2,3,395,3
6	55	10	1	1	2	1		18,1,962,1	2,3,395,3
6	55	10	2	1	2	1		18,1,962,1	2,3,395,3
10	76	4	1	0	1	0		18,1,962,1	2,3,45,3
10	76	3	1	0	1	0		18,1,962,1	2,3,45,3
10	76	3	2	0	1	0		18,1,962,1	2,3,45,3
10	76	11	1	0	1	0		18,1,962,1	2,3,45,3
10	76	11	2	0	1	0		18,1,962,1	2,3,45,3
10	76	4	1	0	2	1		18,1,962,1	2,3,245,3
10	76	3	1	0	2	1		18,1,962,1	2,3,245,3
10	76	3	2	0	2	1		18,1,962,1	2,3,245,3
10	76	11	1	0	2	1		18,1,962,1	2,3,245,3
10	76	11	2	0	2	1		18,1,962,1	2,3,245,3
10	76	4	2	0	1	0		18,1,962,1	2,3,65,3
10	76	4	2	0	2	1		18,1,962,1	2,3,265,3
10	76	1	2	0	1	0		18,1,962,1	2,3,5,3
10	76	1	2	0	2	1		18,1,962,1	2,3,205,3
10	76	2	1	0	1	0		18,1,962,1	2,3,5,3
10	76	2	2	0	1	0		18,1,962,1	2,3,5,3
10	76	2	1	0	2	1		18,1,962,1	2,3,205,3
10	76	2	2	0	2	1		18,1,962,1	2,3,205,3
10	76	1	1	0	1	0		18,1,962,1	2,3,25,3
10	76	1	1	0	2	1		18,1,962,1	2,3,225,3
10	76	12	1	0	1	0		18,1,962,1	2,3,85,3
10	76	12	1	0	2	1		18,1,962,1	2,3,285,3
10	76	6	1	0	1	0		18,1,962,1	2,3,105,3
10	76	6	2	0	1	0		18,1,962,1	2,3,105,3
10	76	12	2	0	1	0		18,1,962,1	2,3,105,3
10	76	6	1	0	2	1		18,1,962,1	2,3,305,3
10	76	6	2	0	2	1		18,1,962,1	2,3,305,3
10	76	12	2	0	2	1		18,1,962,1	2,3,305,3
10	76	8	1	0	1	0		18,1,962,1	2,3,125,3
10	76	8	1	0	2	1		18,1,962,1	2,3,325,3
10	76	8	2	0	1	0		18,1,962,1	2,3,145,3
10	76	7	1	0	1	0		18,1,962,1	2,3,145,3
10	76	7	2	0	1	0		18,1,962,1	2,3,145,3
10	76	8	2	0	2	1		18,1,962,1	2,3,345,3
10	76	7	1	0	2	1		18,1,962,1	2,3,345,3
10	76	7	2	0	2	1		18,1,962,1	2,3,345,3
10	76	9	2	0	1	0		18,1,962,1	2,3,165,3
10	76	9	2	0	2	1		18,1,962,1	2,3,365,3
10	76	9	1	0	1	0		18,1,962,1	2,3,185,3
10	76	10	1	0	1	0		18,1,962,1	2,3,185,3
10	76	10	2	0	1	0		18,1,962,1	2,3,185,3
10	76	9	1	0	2	1		18,1,962,1	2,3,385,3
10	76	10	1	0	2	1		18,1,962,1	2,3,385,3
10	76	10	2	0	2	1		18,1,962,1	2,3,385,3
10	76	4	1	1	1	0		18,1,962,1	2,3,55,3
10	76	3	1	1	1	0		18,1,962,1	2,3,55,3
10	76	3	2	1	1	0		18,1,962,1	2,3,55,3
10	76	11	1	1	1	0		18,1,962,1	2,3,55,3
10	76	11	2	1	1	0		18,1,962,1	2,3,55,3
10	76	4	1	1	2	1		18,1,962,1	2,3,255,3
10	76	3	1	1	2	1		18,1,962,1	2,3,255,3
10	76	3	2	1	2	1		18,1,962,1	2,3,255,3
10	76	11	1	1	2	1		18,1,962,1	2,3,255,3
10	76	11	2	1	2	1		18,1,962,1	2,3,255,3
10	76	4	2	1	1	0		18,1,962,1	2,3,75,3
10	76	4	2	1	2	1		18,1,962,1	2,3,275,3
10	76	2	1	1	1	0		18,1,962,1	2,3,15,3
10	76	2	1	1	2	1		18,1,962,1	2,3,215,3
10	76	2	2	1	1	0		18,1,962,1	2,3,15,3
10	76	2	2	1	2	1		18,1,962,1	2,3,215,3
10	76	12	1	1	1	0		18,1,962,1	2,3,95,3
10	76	12	1	1	2	1		18,1,962,1	2,3,295,3
10	76	5	1	1	1	0		18,1,962,1	2,3,115,3
10	76	5	2	1	1	0		18,1,962,1	2,3,115,3
10	76	6	1	1	1	0		18,1,962,1	2,3,115,3
10	76	6	2	1	1	0		18,1,962,1	2,3,115,3
10	76	12	2	1	1	0		18,1,962,1	2,3,115,3
10	76	5	1	1	2	1		18,1,962,1	2,3,315,3
10	76	5	2	1	2	1		18,1,962,1	2,3,315,3
10	76	6	1	1	2	1		18,1,962,1	2,3,315,3
10	76	6	2	1	2	1		18,1,962,1	2,3,315,3
10	76	12	2	1	2	1		18,1,962,1	2,3,315,3
10	76	8	1	1	1	0		18,1,962,1	2,3,135,3
10	76	8	1	1	2	1		18,1,962,1	2,3,335,3
10	76	8	2	1	1	0		18,1,962,1	2,3,155,3
10	76	7	1	1	1	0		18,1,962,1	2,3,155,3
10	76	7	2	1	1	0		18,1,962,1	2,3,155,3
10	76	8	2	1	2	1		18,1,962,1	2,3,355,3
10	76	7	1	1	2	1		18,1,962,1	2,3,355,3
10	76	7	2	1	2	1		18,1,962,1	2,3,355,3
10	76	9	2	1	1	0		18,1,962,1	2,3,175,3
10	76	9	2	1	2	1		18,1,962,1	2,3,375,3
10	76	9	1	1	1	0		18,1,962,1	2,3,195,3
10	76	10	1	1	1	0		18,1,962,1	2,3,195,3
10	76	10	2	1	1	0		18,1,962,1	2,3,195,3
10	76	9	1	1	2	1		18,1,962,1	2,3,395,3
10	76	10	1	1	2	1		18,1,962,1	2,3,395,3
10	76	10	2	1	2	1		18,1,962,1	2,3,395,3
2	21			0	1	0	1	18,1,962,1	2,8,4,4
2	21			0	2	1	1	18,1,962,1	2,8,104,4
2	21			1	1	0	1	18,1,962,1	2,8,14,4
2	21			1	2	1	1	18,1,962,1	2,8,114,4
2	21			0	1	0	2	18,1,962,1	2,8,24,4
2	21			0	2	1	2	18,1,962,1	2,8,124,4
2	21			1	1	0	2	18,1,962,1	2,8,34,4
2	21			1	2	1	2	18,1,962,1	2,8,134,4
2	21			0	1	0	3	18,1,962,1	2,8,44,4
2	21			0	2	1	3	18,1,962,1	2,8,144,4
2	21			1	1	0	3	18,1,962,1	2,8,54,4
2	21			1	2	1	3	18,1,962,1	2,8,154,4
2	21			0	1	0	4	18,1,962,1	2,8,64,4
2	21			0	2	1	4	18,1,962,1	2,8,164,4
2	21			1	1	0	4	18,1,962,1	2,8,74,4
2	21			1	2	1	4	18,1,962,1	2,8,174,4
2	21			0	1	0	5	18,1,962,1	2,8,84,4
2	21			0	2	1	5	18,1,962,1	2,8,184,4
2	21			1	1	0	5	18,1,962,1	2,8,94,4
2	21			1	2	1	5	18,1,962,1	2,8,194,4
7	61			0	1	0	1	18,1,962,1	2,8,4,4
7	61			0	2	1	1	18,1,962,1	2,8,104,4
7	61			1	1	0	1	18,1,962,1	2,8,14,4
7	61			1	2	1	1	18,1,962,1	2,8,114,4
7	61			0	1	0	2	18,1,962,1	2,8,24,4
7	61			0	2	1	2	18,1,962,1	2,8,124,4
7	61			1	1	0	2	18,1,962,1	2,8,34,4
7	61			1	2	1	2	18,1,962,1	2,8,134,4
7	61			0	1	0	3	18,1,962,1	2,8,44,4
7	61			0	2	1	3	18,1,962,1	2,8,144,4
7	61			1	1	0	3	18,1,962,1	2,8,54,4
7	61			1	2	1	3	18,1,962,1	2,8,154,4
7	61			0	1	0	4	18,1,962,1	2,8,64,4
7	61			0	2	1	4	18,1,962,1	2,8,164,4
7	61			1	1	0	4	18,1,962,1	2,8,74,4
7	61			1	2	1	4	18,1,962,1	2,8,174,4
7	61			0	1	0	5	18,1,962,1	2,8,84,4
7	61			0	2	1	5	18,1,962,1	2,8,184,4
7	61			1	1	0	5	18,1,962,1	2,8,94,4
7	61			1	2	1	5	18,1,962,1	2,8,194,4
11	83			0	1	0	1	18,1,962,1	2,8,4,4
11	83			0	2	1	1	18,1,962,1	2,8,104,4
11	83			1	1	0	1	18,1,962,1	2,8,14,4
11	83			1	2	1	1	18,1,962,1	2,8,114,4
11	83			0	1	0	2	18,1,962,1	2,8,24,4
11	83			0	2	1	2	18,1,962,1	2,8,124,4
11	83			1	1	0	2	18,1,962,1	2,8,34,4
11	83			1	2	1	2	18,1,962,1	2,8,134,4
11	83			0	1	0	3	18,1,962,1	2,8,44,4
11	83			0	2	1	3	18,1,962,1	2,8,144,4
11	83			1	1	0	3	18,1,962,1	2,8,54,4
11	83			1	2	1	3	18,1,962,1	2,8,154,4
11	83			0	1	0	4	18,1,962,1	2,8,64,4
11	83			0	2	1	4	18,1,962,1	2,8,164,4
11	83			1	1	0	4	18,1,962,1	2,8,74,4
11	83			1	2	1	4	18,1,962,1	2,8,174,4
11	83			0	1	0	5	18,1,962,1	2,8,84,4
11	83			0	2	1	5	18,1,962,1	2,8,184,4
11	83			1	1	0	5	18,1,962,1	2,8,94,4
11	83			1	2	1	5	18,1,962,1	2,8,194,4
8	69			0	1	0	1	18,1,962,1	2,11,5,5
8	69			1	1	0	1	18,1,962,1	2,11,15,5
8	69			0	1	0	2	18,1,962,1	2,11,25,5
8	69			1	1	0	2	18,1,962,1	2,11,35,5
8	69			0	1	0	3	18,1,962,1	2,11,45,5
8	69			1	1	0	3	18,1,962,1	2,11,55,5
8	69			0	1	0	4	18,1,962,1	2,11,65,5
8	69			1	1	0	4	18,1,962,1	2,11,75,5
8	69			0	1	0	5	18,1,962,1	2,11,85,5
8	69			1	1	0	5	18,1,962,1	2,11,95,5
8	69			0	2	1	1	18,1,962,1	2,11,105,5
8	69			1	2	1	1	18,1,962,1	2,11,115,5
8	69			0	2	1	2	18,1,962,1	2,11,125,5
8	69			1	2	1	2	18,1,962,1	2,11,135,5
8	69			0	2	1	3	18,1,962,1	2,11,145,5
8	69			1	2	1	3	18,1,962,1	2,11,155,5
8	69			0	2	1	4	18,1,962,1	2,11,165,5
8	69			1	2	1	4	18,1,962,1	2,11,175,5
8	69			0	2	1	5	18,1,962,1	2,11,185,5
8	69			1	2	1	5	18,1,962,1	2,11,195,5
12	89			0	1	0	1	18,1,962,1	2,11,5,5
12	89			1	1	0	1	18,1,962,1	2,11,15,5
12	89			0	1	0	2	18,1,962,1	2,11,25,5
12	89			1	1	0	2	18,1,962,1	2,11,35,5
12	89			0	1	0	3	18,1,962,1	2,11,45,5
12	89			1	1	0	3	18,1,962,1	2,11,55,5
12	89			0	1	0	4	18,1,962,1	2,11,65,5
12	89			1	1	0	4	18,1,962,1	2,11,75,5
12	89			0	1	0	5	18,1,962,1	2,11,85,5
12	89			1	1	0	5	18,1,962,1	2,11,95,5
12	89			0	2	1	1	18,1,962,1	2,11,105,5
12	89			1	2	1	1	18,1,962,1	2,11,115,5
12	89			0	2	1	2	18,1,962,1	2,11,125,5
12	89			1	2	1	2	18,1,962,1	2,11,135,5
12	89			0	2	1	3	18,1,962,1	2,11,145,5
12	89			1	2	1	3	18,1,962,1	2,11,155,5
12	89			0	2	1	4	18,1,962,1	2,11,165,5
12	89			1	2	1	4	18,1,962,1	2,11,175,5
12	89			0	2	1	5	18,1,962,1	2,11,185,5
12	89			1	2	1	5	18,1,962,1	2,11,195,5
4	29			0	1	0	1	18,1,962,1	2,11,5,5
4	29			0	1	0	2	18,1,962,1	2,11,25,5
4	29			0	1	0	3	18,1,962,1	2,11,45,5
4	29			0	1	0	4	18,1,962,1	2,11,65,5
4	29			0	1	0	5	18,1,962,1	2,11,85,5
4	29			0	2	1	1	18,1,962,1	2,11,105,5
4	29			0	2	1	2	18,1,962,1	2,11,125,5
4	29			0	2	1	3	18,1,962,1	2,11,145,5
4	29			0	2	1	4	18,1,962,1	2,11,165,5
4	29			0	2	1	5	18,1,962,1	2,11,185,5
5	42			1	1	0	1	18,1,962,1	2,11,15,5
5	42			1	1	0	2	18,1,962,1	2,11,35,5
5	42			1	1	0	3	18,1,962,1	2,11,55,5
5	42			1	1	0	4	18,1,962,1	2,11,75,5
5	42			1	1	0	5	18,1,962,1	2,11,95,5
5	42			1	2	1	1	18,1,962,1	2,11,115,5
5	42			1	2	1	2	18,1,962,1	2,11,135,5
5	42			1	2	1	3	18,1,962,1	2,11,155,5
5	42			1	2	1	4	18,1,962,1	2,11,175,5
5	42			1	2	1	5	18,1,962,1	2,11,195,5
