Id	QuestionContent	Answer_A	Answer_B	Answer_C	Answer_D	CorrectIdx	QuestionPic
38	逍遥谷地图需要用什么名帖？	镶边帛帖	<color=yellow>穿珠银帖<color>	鎏金玉帖	大红拜帖	2	
39	有了名帖该怎么说服同伴呢？	等他自己跟过来	直接打晕拖回去	<color=yellow>选中后使用名帖等着就好了<color>	输入指令“说服”	3	
40	同伴没有说服成功名帖会消失吗？	当然不会了	<color=yellow>会<color>	有一定几率消失	视情况而定	2	
41	同伴界面如何找出来？	大喊一声“同伴出来吧！”	<color=yellow>点击人物头像附近的同伴按钮<color>	乱点一通总会点到	点击同伴	2	
42	如何叫出同伴？	吹个口哨	找NPC帮忙	<color=yellow>在同伴界面中点击[出手相助]<color>	需要时会自动出现	3	
43	如何隐藏同伴？	大喊一声“回去吧！”	<color=yellow>点击同伴界面中的[袖手旁观]<color>	打跑他	回城会自动消失	2	
44	同伴的亲密度少于多少无法召唤？	100	50	<color=yellow>40<color>	20	3	
45	同伴的亲密度如何获得？	依靠时间慢慢获得	<color=yellow>用月影之石兑换道具可获得<color>	说好听的哄他开心	杀怪	2	
46	同伴经验如何获得？	随便杀杀怪就有了	<color=yellow>击杀精英和首领获得<color>	做任务	杀普通怪	2	
47	同伴会自动升级吗？	会	有几率	<color=yellow>不会，要手动升级<color>	同伴无法升级	3	
48	同伴技能怎么升级？	用的多了就升级了呗	无法升级	<color=yellow>同伴每升级5级有一次提升机会<color>	每级都会有几率提升	3	
49	同伴技能每次升级是100%成功吗？	是的	50%	<color=yellow>根据同伴领悟度决定<color>	20%	3	
50	同伴技能每次升级所有技能都会提升吗？	是的	提升一半	<color=yellow>随机升级其中一个<color>	按顺序提升	3	
51	同伴领悟度可以提高吗？	<color=yellow>通过赠送礼物提高<color>	不可以提高	升级自动提高	杀怪就会提高	1	
52	下面哪种婚礼流程顺序是正确的？	订场地日期，求婚，举行典礼	求婚，订场地日期，举行典礼	订场地日期，举行典礼，求婚	玩家可自定义婚礼流程	2	
53	典礼过程中，伴郎伴娘主要负责些什么？	帮忙喝酒	放烟花，逗乐子	邀请和驱逐宾客，开启相关婚礼流程	吃喝	3	
54	如果有宾客在婚礼过程中捣乱怎么办？	新人或者伴郎伴娘用逐客令将他驱逐出去	密聊骂他	无法阻止有人捣乱	自认倒霉	1	
55	仆人侍女和花童都可以摆放在哪？	宋金战场	海陵王副本	任何非战斗地图	秦始皇墓	3	
56	何等婚礼可以获得白虎白鹿坐骑？	侠士	贵族	王侯	皇家	4	
