Name	kind	Id	Special	Style	Rate	MagicClass	Color	Helm	Armor	Belt	Cuff	Boots	Weapon	Necklace	Ring	Pendant	Amulet
Xích Ngưng Thạch	Kỹ năng môn phái cấp 110 +1	46	1	1	1	level110_added	purple						1				
Phong Vũ Thạch	Kỹ năng môn phái cấp 120 +1	47	1	1	1	level120_added	purple						1				
Phá Thiên Thạch	Kỹ năng bí kíp-sơ +1	48	1	1	1	jumplevel_added	purple					1					
Thúy Ngự Thạch	Kỹ năng bí kíp-trung +1	49	1	1	1	midbooklevel_added	purple							1			
Tinh Trần Thạch	Kỹ năng bí kíp-cao +1	50	1	1	1	adbooklevel_added	purple								1		
Băng Nguyệt Tinh Thạch	Trời ban ngẫu nhiên	51	1	2	0		purple						1				
Huyền Ảnh Phỉ Thúy	Biến thân ngẫu nhiên	52	1	3	0		purple										1
Đá Lạc Thần	Thưởng hoạt động Mỹ Nữ a	53	1	5	0	beauty_a	red									1	1
Đá Mị Vũ	Thưởng hoạt động Mỹ Nữ b	54	1	5	0	beauty_b	gold		1	1							
Đá Thiên Hương	Thưởng hoạt động Mỹ Nữ c	55	1	5	0	beauty_c	purple	1			1						
Hỏa Phượng Liêu Nguyên	Phần thưởng Hỏa Phượng Nguyên Chiến	2000	1	5	0	beauty_d	red									1	
Thanh Cổ Ngọc	Tăng độc ngoại giảm kháng tất cả	56	1	0	63604	phy_atk_p2_db	red						1	1	1	1	1
Tước Kim Ngọc	Tăng phổ ngoại giảm kháng tất cả	57	1	0	31648	phy_atk_p1_db	red						1	1	1	1	1
Băng Tàm Ngọc	Tăng băng ngoại giảm kháng tất cả	58	1	0	63604	phy_atk_p3_db	red						1	1	1	1	1
Cuồng Lôi Ngọc	Tăng lôi ngoại giảm kháng tất cả	59	1	0	63604	phy_atk_p5_db	red						1	1	1	1	1
Chúc Dung Ngọc	Tăng hỏa ngoại giảm kháng tất cả	60	1	0	63604	phy_atk_p4_db	red						1	1	1	1	1
U Minh Ngọc	Tăng độc nội giảm kháng tất cả	61	1	0	63604	mag_atk_p2_db	red						1	1	1	1	1
Phá Thiên Ngọc	Tăng phổ nội giảm kháng tất cả	62	1	0	31648	mag_atk_p1_db	red						1	1	1	1	1
Thương Hải Ngọc	Tăng băng nội giảm kháng tất cả	63	1	0	63604	mag_atk_p3_db	red						1	1	1	1	1
Tử Điện Ngọc	Tăng lôi nội giảm kháng tất cả	64	1	0	63604	mag_atk_p5_db	red						1	1	1	1	1
Xích Diễm Ngọc	Tăng hỏa nội giảm kháng tất cả	65	1	0	63604	mag_atk_p4_db	red						1	1	1	1	1
Truy Nguyệt Thạch	Tăng kháng tất cả giảm chí mạng	66	1	0	148148	damage_all_resist_db	gold						1	1	1	1	1
Huyền Dương Thạch	Tăng tỉ lệ SL và NL giảm thời gian kháng trạng thái bất lợi	67	1	0	133333	lifemax_permillage_db	gold	1	1	1	1	1					
Phá Lang Thạch	Tăng thời gian kháng trạng thái bất lợi giảm tỉ lệ SL và NL	68	1	0	166667	resist_time0_sp_db	gold	1	1	1	1	1					
Ngự Thiên Thạch	Tăng tránh đòn	69	1	1	1	ignoredefenseenhance_sp	purple										1
Lăng Ba Thạch	Tăng né tránh	70	1	1	1	adddefense_sp	purple										1
Bổ Nguyên Thạch	Tăng hiệu quả hồi sinh lực và nội lực	71	1	1	1	lifereplenish_sp	purple								1		
Huyền Thiên Thạch	Tăng ngũ hành tương khắc	72	1	1	1	seriesenhance_sp	purple							1			
Hạo Thiên Thạch	Giảm ngũ hành tương khắc	73	1	1	1	seriesabate_sp	purple							1			
Kinh Hồng Ngọc	Hoạt động Đỉnh Phong Chiến	74	1	5	0	beauty_a	blue									1	1
Linh Tê Ngọc	Hoạt động Đỉnh Phong Chiến	75	1	5	0	beauty_b	white		1	1							
Mộng Hoa Niên	Hoạt động kinh điển	76	1	5	0	magictime_a	red									1	1
Mộng Hoa Niên	Hoạt động kinh điển	77	1	5	0	magictime_b	red									1	1
Thủy Lưu Niên	Hoạt động kinh điển	78	1	5	0	magictime_c	gold		1	1							
Nhược Khúc	Hoạt động kinh điển	79	1	5	0	magictime_d	purple	1			1						
Đá Lạc Thần	Thưởng hoạt động Mỹ Nữ a	80	1	1	0	beauty_a	red									1	1
Đá Mị Vũ	Thưởng hoạt động Mỹ Nữ b	81	1	1	0	beauty_b	gold		1	1							
