Id	NPCId	EffectNpcId	Type	TypeLevel	LifeRatio	Rate	IsDrop	name
115	2124	2124	1	1	100	30	0	吴家刀兵
116	2125	2125	1	1	100	30	0	响水死士
117	2135	2135	1	1	100	30	0	乌蛮土兵
118	2136	2136	1	1	100	30	0	乌蛮弓手
119	2137	2137	1	1	100	30	0	乌蛮神巫
120	2130	2130	1	1	100	30	0	临安守军
121	2131	2131	1	1	100	30	0	马帮武师
122	2129	2129	1	1	100	30	0	漕帮帮众
123	3166	6148	4	2	20	30	0	叛军士兵
124	3167	6149	4	2	20	30	0	叛军士兵
125	3168	6150	4	2	20	30	0	叛军统领
126	3169	6151	4	2	20	30	0	叛军统领
127	3170	6152	4	2	20	30	0	山顶雪人
128	3171	6153	4	2	20	30	0	果农
129	3172	6154	4	2	20	30	0	果农
130	3173	6155	4	2	20	30	0	果农
131	3174	6156	4	2	20	30	0	劣质机关人
132	3175	6157	4	2	20	30	0	劣质机关人
133	3176	6158	4	2	20	30	0	劣质机关人
134	3177	6159	4	2	20	30	0	幽冥鬼
135	3178	6160	4	2	20	30	0	幽冥鬼
136	3179	6161	4	2	20	30	0	幽冥鬼
137	3181	6162	4	2	20	30	0	闯谷贼
138	3182	6163	4	2	20	30	0	闯谷贼
139	3183	6164	4	2	20	30	0	闯谷贼
140	3184	6165	4	2	20	30	0	闯谷贼
141	3185	6166	4	2	20	30	0	闯谷贼
142	3291	6167	4	2	20	30	0	闯谷贼
143	3186	6168	4	2	20	30	0	闯谷贼头领
144	3187	6169	4	2	20	30	0	闯谷贼头领
145	3188	6170	4	2	20	30	0	闯谷贼头领
146	3292	6171	4	2	20	30	0	闯谷贼头领
147	3192	6172	4	2	20	30	0	狂暴机关人
148	3193	6173	4	2	20	30	0	狂暴机关人
149	3194	6174	4	2	20	30	0	狂暴机关人
150	3324	6175	4	2	20	30	0	狂暴机关人
151	3235	6176	4	2	20	30	0	吴军统领
152	3236	6177	4	2	20	30	0	魏兵
153	3282	6178	4	2	20	30	0	吴兵
154	3195	6179	4	2	20	30	0	远征军
155	3196	6180	4	2	20	30	0	远征军
156	3198	6181	4	2	20	30	0	强盗
157	3199	6182	4	2	20	30	0	强盗
158	3200	6183	4	2	20	30	0	强盗
159	3201	6184	4	2	20	30	0	强盗
160	3202	6185	4	2	20	30	0	强盗
161	3203	6186	4	2	20	30	0	强盗头领
162	3204	6187	4	2	20	30	0	捕快
163	3205	6188	4	2	20	30	0	武装捕快
164	3206	6189	4	2	20	30	0	追踪者
165	3207	6190	4	2	20	30	0	寻宝者
166	3209	6191	4	2	20	30	0	魏军统领
167	3210	6192	4	2	20	30	0	侍卫长
168	3211	6193	4	2	20	30	0	侍卫长
169	3212	6194	4	2	20	30	0	侍卫长
170	3213	6195	4	2	20	30	0	侍卫长
171	3214	6196	4	2	20	30	0	竹叶青
172	3216	6197	4	2	20	30	0	羌郭来
173	3217	6198	4	2	20	30	0	吴建
174	3224	6199	4	2	20	30	0	异兽
175	3225	6129	4	2	20	30	0	煞大目
176	3226	6129	4	2	20	30	0	煞大目
177	3227	6130	4	2	20	30	0	紫苑
178	3228	6131	4	2	20	30	0	秦仲
179	3229	6200	4	2	20	30	0	幽冥鬼王
180	3233	6201	4	2	20	30	0	强盗
181	3241	6132	4	2	20	30	0	木超
182	3244	6133	4	2	20	30	0	夏小倩
183	3246	6202	4	2	20	30	0	督军
184	3286	6203	4	2	20	30	0	任淼
185	3294	6204	4	2	20	30	0	侍卫
186	3295	6205	4	2	20	30	0	侍卫
187	3296	6206	4	2	20	30	0	侍卫
188	3297	6207	4	2	20	30	0	侍卫
189	3301	6208	4	2	20	30	0	萧不实
190	4660	6209	4	2	20	30	0	十夫长
191	4662	6210	4	2	20	30	0	百夫长
192	4663	6211	4	2	20	30	0	金军大将
193	4665	6134	4	2	20	30	0	宝玉
194	4666	6212	4	2	20	30	0	莺莺
195	4667	6213	4	2	20	30	0	老妈子
196	4674	6214	4	2	20	30	0	护旗卫兵
197	5005	6215	4	2	20	30	0	张德恒
198	5006	6216	4	2	20	30	0	张德江
199	5007	6217	4	2	20	30	0	张德海
200	5008	6218	4	2	20	30	0	张德湖
201	5009	6219	4	2	20	30	0	张德横
202	5010	6220	4	2	20	30	0	张德衡
203	5011	6221	4	2	20	30	0	张德行
204	5012	6222	4	2	20	30	0	张德桓
205	5013	6223	4	2	20	30	0	张德洹
206	5014	6224	4	2	20	30	0	张德狟
207	5015	6225	4	2	20	30	0	张得恒
208	5016	6226	4	2	20	30	0	张得江
209	5017	6227	4	2	20	30	0	张得海
210	5018	6228	4	2	20	30	0	张得湖
211	5019	6229	4	2	20	30	0	张得横
212	5020	6230	4	2	20	30	0	张得衡
213	5021	6231	4	2	20	30	0	张得行
214	5022	6232	4	2	20	30	0	张得桓
215	5023	6233	4	2	20	30	0	张得洹
216	5024	6234	4	2	20	30	0	张得狟
217	5025	6235	4	2	20	30	0	张的恒
218	5026	6236	4	2	20	30	0	张的江
219	5027	6237	4	2	20	30	0	张的海
220	5028	6238	4	2	20	30	0	张的湖
221	5029	6239	4	2	20	30	0	张的横
222	5030	6240	4	2	20	30	0	张的衡
223	5031	6241	4	2	20	30	0	张的行
224	5032	6242	4	2	20	30	0	张的桓
225	5033	6243	4	2	20	30	0	张的洹
226	5034	6244	4	2	20	30	0	张的狟
227	5035	6245	4	2	20	30	0	张都恒
228	5036	6246	4	2	20	30	0	张都江
229	5037	6247	4	2	20	30	0	张都海
230	5038	6248	4	2	20	30	0	张都湖
231	5039	6249	4	2	20	30	0	张都横
232	5040	6250	4	2	20	30	0	张都衡
233	5041	6251	4	2	20	30	0	张都行
234	5042	6252	4	2	20	30	0	张都桓
235	5043	6253	4	2	20	30	0	张都洹
236	5044	6254	4	2	20	30	0	张都狟
237	6135	6135	8	2	20	30	0	夏侯小小
238	6136	6136	8	2	20	30	0	东方若寒
239	6801	6801	10	2	20	30	0	蚩尤
240	6802	6802	10	2	20	30	0	紫苏
241	6803	6803	11	2	20	30	0	叶静
242	6804	6804	12	2	20	30	0	夏侯小小
243	6805	6805	12	2	20	30	0	东方若寒
244	6800	6208	13	2	20	30	0	萧不实
245	7060	6804	14	2	20	30	0	夏侯小小
246	6916	6916	4	2	20	30	0	叶静
247	6725	6725	14	2	20	30	0	夏小倩
248	6726	6726	14	2	20	30	0	紫苑
249	6727	6727	13	2	20	30	0	宝玉
250	6728	6728	13	2	20	30	0	叶静
251	6729	6729	11	2	20	30	0	宝玉
252	7157	7157	13	2	20	30	0	紫苑
253	7158	7158	11	2	20	30	0	紫苑
254	7224	7224	13	2	20	30	0	东方若寒
255	7225	7225	15	2	20	30	0	纤纤
256	7226	7226	13	2	20	30	0	木超
257	9535	6256	16	2	20	30	0	卖火柴的小女孩
258	7139	6255	17	3	20	0	0	燕小楼
