G	D	P	L	UnBindValue	BindValue	Name
24	2	2	4	80000	80000	血蓝比原石（4级）
24	2	2	5	80000	80000	血蓝比原石（5级）
24	2	3	2	80000	80000	毒抗原石（2级）
24	2	3	3	80000	80000	毒抗原石（3级）
24	2	3	4	80000	80000	毒抗原石（4级）
24	2	3	5	80000	80000	毒抗原石（5级）
24	2	4	2	80000	80000	普抗原石（2级）
24	2	4	3	80000	80000	普抗原石（3级）
24	2	4	4	80000	80000	普抗原石（4级）
24	2	4	5	80000	80000	普抗原石（5级）
24	2	5	2	80000	80000	冰抗原石（2级）
24	2	5	3	80000	80000	冰抗原石（3级）
24	2	5	4	80000	80000	冰抗原石（4级）
24	2	5	5	80000	80000	冰抗原石（5级）
24	2	6	2	80000	80000	雷抗原石（2级）
24	2	6	3	80000	80000	雷抗原石（3级）
24	2	6	4	80000	80000	雷抗原石（4级）
24	2	6	5	80000	80000	雷抗原石（5级）
24	2	7	2	80000	80000	火抗原石（2级）
24	2	7	3	80000	80000	火抗原石（3级）
24	2	7	4	80000	80000	火抗原石（4级）
24	2	7	5	80000	80000	火抗原石（5级）
24	2	8	2	80000	80000	减虚弱时间原石（2级）
24	2	8	3	80000	80000	减虚弱时间原石（3级）
24	2	8	4	80000	80000	减虚弱时间原石（4级）
24	2	8	5	80000	80000	减虚弱时间原石（5级）
24	2	9	2	80000	80000	减受伤时间原石（2级）
24	2	9	3	80000	80000	减受伤时间原石（3级）
24	2	9	4	80000	80000	减受伤时间原石（4级）
24	2	9	5	80000	80000	减受伤时间原石（5级）
24	2	10	2	80000	80000	减迟缓时间原石（2级）
24	2	10	3	80000	80000	减迟缓时间原石（3级）
24	2	10	4	80000	80000	减迟缓时间原石（4级）
24	2	10	5	80000	80000	减迟缓时间原石（5级）
24	2	11	2	80000	80000	减眩晕时间原石（2级）
24	2	11	3	80000	80000	减眩晕时间原石（3级）
24	2	11	4	80000	80000	减眩晕时间原石（4级）
24	2	11	5	80000	80000	减眩晕时间原石（5级）
24	2	12	2	80000	80000	减灼伤时间原石（2级）
24	2	12	3	80000	80000	减灼伤时间原石（3级）
24	2	12	4	80000	80000	减灼伤时间原石（4级）
24	2	12	5	80000	80000	减灼伤时间原石（5级）
24	2	13	2	80000	80000	减虚弱几率原石（2级）
24	2	13	3	80000	80000	减虚弱几率原石（3级）
24	2	13	4	80000	80000	减虚弱几率原石（4级）
24	2	13	5	80000	80000	减虚弱几率原石（5级）
24	2	14	2	80000	80000	减受伤几率原石（2级）
24	2	14	3	80000	80000	减受伤几率原石（3级）
24	2	14	4	80000	80000	减受伤几率原石（4级）
24	2	14	5	80000	80000	减受伤几率原石（5级）
24	2	15	2	80000	80000	减迟缓几率原石（2级）
24	2	15	3	80000	80000	减迟缓几率原石（3级）
24	2	15	4	80000	80000	减迟缓几率原石（4级）
24	2	15	5	80000	80000	减迟缓几率原石（5级）
24	2	16	2	80000	80000	减眩晕几率原石（2级）
24	2	16	3	80000	80000	减眩晕几率原石（3级）
24	2	16	4	80000	80000	减眩晕几率原石（4级）
24	2	16	5	80000	80000	减眩晕几率原石（5级）
24	2	17	2	80000	80000	减灼伤几率原石（2级）
24	2	17	3	80000	80000	减灼伤几率原石（3级）
24	2	17	4	80000	80000	减灼伤几率原石（4级）
24	2	17	5	80000	80000	减灼伤几率原石（5级）
24	2	18	2	80000	80000	减负面效果时间原石（2级）
24	2	18	3	80000	80000	减负面效果时间原石（3级）
24	2	18	4	80000	80000	减负面效果时间原石（4级）
24	2	18	5	80000	80000	减负面效果时间原石（5级）
24	2	19	2	80000	80000	减负面效果概率原石（2级）
24	2	19	3	80000	80000	减负面效果概率原石（3级）
24	2	19	4	80000	80000	减负面效果概率原石（4级）
24	2	19	5	80000	80000	减负面效果概率原石（5级）
24	2	20	2	80000	80000	加负面效果时间原石（2级）
24	2	20	3	80000	80000	加负面效果时间原石（3级）
24	2	20	4	80000	80000	加负面效果时间原石（4级）
24	2	20	5	80000	80000	加负面效果时间原石（5级）
24	2	21	2	80000	80000	加负面效果概率原石（2级）
24	2	21	3	80000	80000	加负面效果概率原石（3级）
24	2	21	4	80000	80000	加负面效果概率原石（4级）
24	2	21	5	80000	80000	加负面效果概率原石（5级）
24	2	22	2	80000	80000	全抗原石（2级）
24	2	22	3	80000	80000	全抗原石（3级）
24	2	22	4	80000	80000	全抗原石（4级）
24	2	22	5	80000	80000	全抗原石（5级）
24	2	23	2	80000	80000	外毒原石（2级）
24	2	23	3	80000	80000	外毒原石（3级）
24	2	23	4	80000	80000	外毒原石（4级）
24	2	23	5	80000	80000	外毒原石（5级）
24	2	24	2	80000	80000	外普原石（2级）
24	2	24	3	80000	80000	外普原石（3级）
24	2	24	4	80000	80000	外普原石（4级）
24	2	24	5	80000	80000	外普原石（5级）
24	2	25	2	80000	80000	外冰原石（2级）
24	2	25	3	80000	80000	外冰原石（3级）
24	2	25	4	80000	80000	外冰原石（4级）
24	2	25	5	80000	80000	外冰原石（5级）
24	2	26	2	80000	80000	外雷原石（2级）
24	2	26	3	80000	80000	外雷原石（3级）
24	2	26	4	80000	80000	外雷原石（4级）
24	2	26	5	80000	80000	外雷原石（5级）
24	2	27	2	80000	80000	外火原石（2级）
24	2	27	3	80000	80000	外火原石（3级）
24	2	27	4	80000	80000	外火原石（4级）
24	2	27	5	80000	80000	外火原石（5级）
24	2	28	2	80000	80000	内毒原石（2级）
24	2	28	3	80000	80000	内毒原石（3级）
24	2	28	4	80000	80000	内毒原石（4级）
24	2	28	5	80000	80000	内毒原石（5级）
24	2	29	2	80000	80000	内普原石（2级）
24	2	29	3	80000	80000	内普原石（3级）
24	2	29	4	80000	80000	内普原石（4级）
24	2	29	5	80000	80000	内普原石（5级）
24	2	30	2	80000	80000	内冰原石（2级）
24	2	30	3	80000	80000	内冰原石（3级）
24	2	30	4	80000	80000	内冰原石（4级）
24	2	30	5	80000	80000	内冰原石（5级）
24	2	31	2	80000	80000	内雷原石（2级）
24	2	31	3	80000	80000	内雷原石（3级）
24	2	31	4	80000	80000	内雷原石（4级）
24	2	31	5	80000	80000	内雷原石（5级）
24	2	32	2	80000	80000	内火原石（2级）
24	2	32	3	80000	80000	内火原石（3级）
24	2	32	4	80000	80000	内火原石（4级）
24	2	32	5	80000	80000	内火原石（5级）
24	2	33	2	80000	80000	加五行效果时间原石（2级）
24	2	33	3	80000	80000	加五行效果时间原石（3级）
24	2	33	4	80000	80000	加五行效果时间原石（4级）
24	2	33	5	80000	80000	加五行效果时间原石（5级）
24	2	34	2	80000	80000	加五行效果概率原石（2级）
24	2	34	3	80000	80000	加五行效果概率原石（3级）
24	2	34	4	80000	80000	加五行效果概率原石（4级）
24	2	34	5	80000	80000	加五行效果概率原石（5级）
24	2	35	2	80000	80000	加会心原石（2级）
24	2	35	3	80000	80000	加会心原石（3级）
24	2	35	4	80000	80000	加会心原石（4级）
24	2	35	5	80000	80000	加会心原石（5级）
24	2	36	2	80000	80000	减会心原石（2级）
24	2	36	3	80000	80000	减会心原石（3级）
24	2	36	4	80000	80000	减会心原石（4级）
24	2	36	5	80000	80000	减会心原石（5级）
24	1	1	2	80000	80000	血蓝值宝石（2级）
24	1	1	3	80000	80000	血蓝值宝石（3级）
24	1	1	4	80000	80000	血蓝值宝石（4级）
24	1	1	5	80000	80000	血蓝值宝石（5级）
24	1	2	2	80000	80000	血蓝比宝石（2级）
24	1	2	3	80000	80000	血蓝比宝石（3级）
24	1	2	4	80000	80000	血蓝比宝石（4级）
24	1	2	5	80000	80000	血蓝比宝石（5级）
24	1	3	2	80000	80000	毒抗宝石（2级）
24	1	3	3	80000	80000	毒抗宝石（3级）
24	1	3	4	80000	80000	毒抗宝石（4级）
24	1	3	5	80000	80000	毒抗宝石（5级）
24	1	4	2	80000	80000	普抗宝石（2级）
24	1	4	3	80000	80000	普抗宝石（3级）
24	1	4	4	80000	80000	普抗宝石（4级）
24	1	4	5	80000	80000	普抗宝石（5级）
24	1	5	2	80000	80000	冰抗宝石（2级）
24	1	5	3	80000	80000	冰抗宝石（3级）
24	1	5	4	80000	80000	冰抗宝石（4级）
24	1	5	5	80000	80000	冰抗宝石（5级）
24	1	6	2	80000	80000	雷抗宝石（2级）
24	1	6	3	80000	80000	雷抗宝石（3级）
24	1	6	4	80000	80000	雷抗宝石（4级）
24	1	6	5	80000	80000	雷抗宝石（5级）
24	1	7	2	80000	80000	火抗宝石（2级）
24	1	7	3	80000	80000	火抗宝石（3级）
24	1	7	4	80000	80000	火抗宝石（4级）
24	1	7	5	80000	80000	火抗宝石（5级）
24	1	8	2	80000	80000	减虚弱时间宝石（2级）
24	1	8	3	80000	80000	减虚弱时间宝石（3级）
24	1	8	4	80000	80000	减虚弱时间宝石（4级）
24	1	8	5	80000	80000	减虚弱时间宝石（5级）
24	1	9	2	80000	80000	减受伤时间宝石（2级）
24	1	9	3	80000	80000	减受伤时间宝石（3级）
24	1	9	4	80000	80000	减受伤时间宝石（4级）
24	1	9	5	80000	80000	减受伤时间宝石（5级）
24	1	10	2	80000	80000	减迟缓时间宝石（2级）
24	1	10	3	80000	80000	减迟缓时间宝石（3级）
24	1	10	4	80000	80000	减迟缓时间宝石（4级）
24	1	10	5	80000	80000	减迟缓时间宝石（5级）
24	1	11	2	80000	80000	减眩晕时间宝石（2级）
24	1	11	3	80000	80000	减眩晕时间宝石（3级）
24	1	11	4	80000	80000	减眩晕时间宝石（4级）
24	1	11	5	80000	80000	减眩晕时间宝石（5级）
24	1	12	2	80000	80000	减灼伤时间宝石（2级）
24	1	12	3	80000	80000	减灼伤时间宝石（3级）
24	1	12	4	80000	80000	减灼伤时间宝石（4级）
24	1	12	5	80000	80000	减灼伤时间宝石（5级）
24	1	13	2	80000	80000	减虚弱几率宝石（2级）
24	1	13	3	80000	80000	减虚弱几率宝石（3级）
24	1	13	4	80000	80000	减虚弱几率宝石（4级）
24	1	13	5	80000	80000	减虚弱几率宝石（5级）
24	1	14	2	80000	80000	减受伤几率宝石（2级）
24	1	14	3	80000	80000	减受伤几率宝石（3级）
24	1	14	4	80000	80000	减受伤几率宝石（4级）
24	1	14	5	80000	80000	减受伤几率宝石（5级）
24	1	15	2	80000	80000	减迟缓几率宝石（2级）
24	1	15	3	80000	80000	减迟缓几率宝石（3级）
24	1	15	4	80000	80000	减迟缓几率宝石（4级）
24	1	15	5	80000	80000	减迟缓几率宝石（5级）
24	1	16	2	80000	80000	减眩晕几率宝石（2级）
24	1	16	3	80000	80000	减眩晕几率宝石（3级）
24	1	16	4	80000	80000	减眩晕几率宝石（4级）
24	1	16	5	80000	80000	减眩晕几率宝石（5级）
24	1	17	2	80000	80000	减灼伤几率宝石（2级）
24	1	17	3	80000	80000	减灼伤几率宝石（3级）
24	1	17	4	80000	80000	减灼伤几率宝石（4级）
24	1	17	5	80000	80000	减灼伤几率宝石（5级）
24	1	18	2	80000	80000	减负面效果时间宝石（2级）
24	1	18	3	80000	80000	减负面效果时间宝石（3级）
24	1	18	4	80000	80000	减负面效果时间宝石（4级）
24	1	18	5	80000	80000	减负面效果时间宝石（5级）
24	1	19	2	80000	80000	减负面效果概率宝石（2级）
24	1	19	3	80000	80000	减负面效果概率宝石（3级）
24	1	19	4	80000	80000	减负面效果概率宝石（4级）
24	1	19	5	80000	80000	减负面效果概率宝石（5级）
24	1	20	2	80000	80000	加负面效果时间宝石（2级）
24	1	20	3	80000	80000	加负面效果时间宝石（3级）
24	1	20	4	80000	80000	加负面效果时间宝石（4级）
24	1	20	5	80000	80000	加负面效果时间宝石（5级）
24	1	21	2	80000	80000	加负面效果概率宝石（2级）
24	1	21	3	80000	80000	加负面效果概率宝石（3级）
24	1	21	4	80000	80000	加负面效果概率宝石（4级）
24	1	21	5	80000	80000	加负面效果概率宝石（5级）
24	1	22	2	80000	80000	全抗宝石（2级）
24	1	22	3	80000	80000	全抗宝石（3级）
24	1	22	4	80000	80000	全抗宝石（4级）
24	1	22	5	80000	80000	全抗宝石（5级）
24	1	23	2	80000	80000	外毒宝石（2级）
24	1	23	3	80000	80000	外毒宝石（3级）
24	1	23	4	80000	80000	外毒宝石（4级）
24	1	23	5	80000	80000	外毒宝石（5级）
24	1	24	2	80000	80000	外普宝石（2级）
24	1	24	3	80000	80000	外普宝石（3级）
24	1	24	4	80000	80000	外普宝石（4级）
24	1	24	5	80000	80000	外普宝石（5级）
24	1	25	2	80000	80000	外冰宝石（2级）
24	1	25	3	80000	80000	外冰宝石（3级）
24	1	25	4	80000	80000	外冰宝石（4级）
24	1	25	5	80000	80000	外冰宝石（5级）
24	1	26	2	80000	80000	外雷宝石（2级）
24	1	26	3	80000	80000	外雷宝石（3级）
24	1	26	4	80000	80000	外雷宝石（4级）
24	1	26	5	80000	80000	外雷宝石（5级）
24	1	27	2	80000	80000	外火宝石（2级）
24	1	27	3	80000	80000	外火宝石（3级）
24	1	27	4	80000	80000	外火宝石（4级）
24	1	27	5	80000	80000	外火宝石（5级）
24	1	28	2	80000	80000	内毒宝石（2级）
24	1	28	3	80000	80000	内毒宝石（3级）
24	1	28	4	80000	80000	内毒宝石（4级）
24	1	28	5	80000	80000	内毒宝石（5级）
24	1	29	2	80000	80000	内普宝石（2级）
24	1	29	3	80000	80000	内普宝石（3级）
24	1	29	4	80000	80000	内普宝石（4级）
24	1	29	5	80000	80000	内普宝石（5级）
24	1	30	2	80000	80000	内冰宝石（2级）
24	1	30	3	80000	80000	内冰宝石（3级）
24	1	30	4	80000	80000	内冰宝石（4级）
24	1	30	5	80000	80000	内冰宝石（5级）
24	1	31	2	80000	80000	内雷宝石（2级）
24	1	31	3	80000	80000	内雷宝石（3级）
24	1	31	4	80000	80000	内雷宝石（4级）
24	1	31	5	80000	80000	内雷宝石（5级）
24	1	32	2	80000	80000	内火宝石（2级）
24	1	32	3	80000	80000	内火宝石（3级）
24	1	32	4	80000	80000	内火宝石（4级）
24	1	32	5	80000	80000	内火宝石（5级）
24	1	33	2	80000	80000	加五行效果时间宝石（2级）
24	1	33	3	80000	80000	加五行效果时间宝石（3级）
24	1	33	4	80000	80000	加五行效果时间宝石（4级）
24	1	33	5	80000	80000	加五行效果时间宝石（5级）
24	1	34	2	80000	80000	加五行效果概率宝石（2级）
24	1	34	3	80000	80000	加五行效果概率宝石（3级）
24	1	34	4	80000	80000	加五行效果概率宝石（4级）
24	1	34	5	80000	80000	加五行效果概率宝石（5级）
24	1	35	2	80000	80000	加会心宝石（2级）
24	1	35	3	80000	80000	加会心宝石（3级）
24	1	35	4	80000	80000	加会心宝石（4级）
24	1	35	5	80000	80000	加会心宝石（5级）
24	1	36	2	80000	80000	减会心宝石（2级）
24	1	36	3	80000	80000	减会心宝石（3级）
24	1	36	4	80000	80000	减会心宝石（4级）
24	1	36	5	80000	80000	减会心宝石（5级）
