PartnerId	NPCId1	NPCId2	name
97	2251		夷人刀客
98	2089		南夷女巫
99	2090		夷人武士
100	2248		匪徒帮凶
101	2249		邪恶绑匪
102	2087		快刀客
103	2088		快剑客
104	2119		剿匪兵
105	2117		武装的村民
106	2118		暴怒的矿工
107	2134		西夏游兵
108	2122		襄阳官兵
109	2121		漕帮道领
110	2120		漕帮舵手
111	2126		逃难文官
112	2127		逃难武官
113	2128		大宋禁军
114	2123		吴家枪兵
115	2124		吴家刀兵
116	2125		响水死士
117	2135		乌蛮土兵
118	2136		乌蛮弓手
119	2137		乌蛮神巫
120	2130		临安守军
121	2131		马帮武师
122	2129		漕帮帮众
123	3166		叛军士兵
124	3167		叛军士兵
125	3168		叛军统领
126	3169		叛军统领
127	3170		山顶雪人
128	3171		果农
129	3172		果农
130	3173		果农
131	3174		劣质机关人
132	3175		劣质机关人
133	3176		劣质机关人
134	3177		幽冥鬼
135	3178		幽冥鬼
136	3179		幽冥鬼
137	3181		闯谷贼
138	3182		闯谷贼
139	3183		闯谷贼
140	3184		闯谷贼
141	3185		闯谷贼
142	3291		闯谷贼
143	3186		闯谷贼头领
144	3187		闯谷贼头领
145	3188		闯谷贼头领
146	3292		闯谷贼头领
147	3192		狂暴机关人
148	3193		狂暴机关人
149	3194		狂暴机关人
150	3324		狂暴机关人
151	3235		吴军统领
152	3236		魏兵
153	3282		吴兵
154	3195		远征军
155	3196		远征军
156	3198		强盗
157	3199		强盗
158	3200		强盗
159	3201		强盗
160	3202		强盗
161	3203		强盗头领
162	3204		捕快
163	3205		武装捕快
164	3206		追踪者
165	3207		寻宝者
166	3209		魏军统领
167	3210		侍卫长
168	3211		侍卫长
169	3212		侍卫长
170	3213		侍卫长
171	3214		竹叶青
172	3216		羌郭来
173	3217		吴建
174	3224		异兽
175	3225		煞大目
176	3226		煞大目
177	3227	6898	紫苑
178	3228	6896	秦仲
179	3229		幽冥鬼王
180	3233		强盗
181	3241	6897	木超
182	3244	6895	夏小倩
183	3246		督军
184	3286		任淼
185	3294		侍卫
186	3295		侍卫
187	3296		侍卫
188	3297		侍卫
189	3301		萧不实
190	4660		十夫长
191	4662		百夫长
192	4663		金军大将
193	4665	6917	宝玉
194	4666	6910	莺莺
195	4667		老妈子
196	4674		护旗卫兵
197	5005		张德恒
198	5006		张德江
199	5007		张德海
200	5008		张德湖
201	5009		张德横
202	5010		张德衡
203	5011		张德行
204	5012		张德桓
205	5013		张德洹
206	5014		张德狟
207	5015		张得恒
208	5016		张得江
209	5017		张得海
210	5018		张得湖
211	5019		张得横
212	5020		张得衡
213	5021		张得行
214	5022		张得桓
215	5023		张得洹
216	5024		张得狟
217	5025		张的恒
218	5026		张的江
219	5027		张的海
220	5028		张的湖
221	5029		张的横
222	5030		张的衡
223	5031		张的行
224	5032		张的桓
225	5033		张的洹
226	5034		张的狟
227	5035		张都恒
228	5036		张都江
229	5037		张都海
230	5038		张都湖
231	5039		张都横
232	5040		张都衡
233	5041		张都行
234	5042		张都桓
235	5043		张都洹
236	5044		张都狟
237	6135		夏侯小小
238	6136		东方若寒
239	6801		蚩尤
240	6802		紫苏
241	6803		叶静
242	6804		夏侯小小
243	6805		东方若寒
244	6800		萧不实
245	7060		夏侯小小
246	6916	3316	叶静
247	6725		夏小倩
248	6726		紫苑
249	6727		宝玉
250	6728		叶静
251	6729		宝玉
252	7157		紫苑
253	7158		紫苑
254	7224		东方若寒
255	7225		纤纤
256	7226		木超
257	9535		卖火柴的小女孩
258	7139		燕小楼
