NpcId	MapId	MapX	MapY	Type
6649	3	1609	3177	3
6651	3	1609	3169	3
6652	3	1607	3173	3
6652	3	1673	3358	3
6652	3	1695	3208	3
6652	3	1684	3345	3
6652	3	1693	3385	3
6652	3	1695	3364	3
6652	3	1683	3370	3
6652	3	1702	3215	3
6652	3	1700	3372	3
6636	3	1718	3249	3
6637	3	1742	3289	3
6637	3	1733	3303	3
6637	3	1741	3336	3
6637	3	1741	3365	3
6637	3	1758	3361	3
6637	3	1763	3323	3
6638	3	1538	3117	3
6638	3	1545	3112	3
6638	3	1544	3135	3
6638	3	1554	3128	3
6638	3	1605	3170	3
6639	3	1739	3131	3
6640	3	1729	3122	3
6641	3	1716	3247	3
6642	3	1685	3069	3
6645	3	1497	3219	3
6645	3	1506	3228	3
6645	3	1624	3156	3
6645	3	1633	3164	3
6645	3	1642	3286	3
6645	3	1634	3276	3
6645	3	1649	3180	3
6645	3	1705	3060	3
6645	3	1703	3235	3
6645	3	1709	3241	3
6645	3	1717	3044	3
6645	3	1719	3075	3
6645	3	1728	3053	3
6647	1	1409	3024	3
6647	1	1428	3040	3
6647	1	1504	3099	3
6648	1	1506	3094	3
6649	1	1503	3095	3
6651	1	1508	3096	3
6652	1	1305	3151	3
6652	1	1311	3151	3
6652	1	1323	3126	3
6652	1	1328	3131	3
6652	1	1413	3027	3
6652	1	1430	3042	3
6652	1	1470	3085	3
6652	1	1466	3090	3
6637	1	1508	3092	3
6636	1	1489	3105	3
6637	1	1366	3105	3
6637	1	1392	3078	3
6638	1	1363	3083	3
6638	1	1370	3076	3
6638	1	1482	3101	3
6638	1	1492	3103	3
6638	1	1505	3092	3
6638	1	1579	3223	3
6638	1	1585	3217	3
6639	1	1387	3071	3
6640	1	1366	2999	3
6640	1	1365	3010	3
6640	1	1556	3155	3
6640	1	1562	3150	3
6640	1	1381	3066	3
6641	1	1487	3105	3
6645	1	1382	2995	3
6645	1	1388	2995	3
6645	1	1413	3119	3
6645	1	1416	3122	3
6645	1	1423	3129	3
6645	1	1450	3156	3
6645	1	1497	3203	3
6645	1	1502	3208	3
6645	1	1514	3220	3
6645	1	1523	3229	3
6645	1	1536	3242	3
6646	1	1368	3090	3
6646	1	1378	3100	3
