NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme		Dir
6059	0	6059	5	5	1	1	20	20	20	20	20	1		58912	112992						
6092	0	6092	5	5	1	1	20	20	20	20	20	1		59264	111104						
6042	0	6042	5	5	1	1	20	20	20	20	20	1		58848	111808						
827	0	827	5	5	1	1	20	20	20	20	20	1		60640	108096						
6113	0	6113	5	5	1	1	20	20	20	20	20	1		60096	108800						48
6116	0	6116	5	5	1	1	20	20	20	20	20	1		60512	109280						
6108	0	6108	5	5	1	1	20	20	20	20	20	1		60320	108512						
124	0	124	5	5	1	1	20	20	20	20	20	1		60704	108064						
143	0	143	5	5	1	1	20	20	20	20	20	1		60672	108032						
509	0	509	5	5	1	1	20	20	20	20	20	1		60960	107904						
1437	0	1437	5	5	1	1	20	20	20	20	20	1		60928	107936						
1450	0	1450	5	5	1	1	20	20	20	20	20	1		61152	107904						
to_fight	1															\setting\map\map_info\taoxizhen\trap\to_fight.txt					
to_peace	1															\setting\map\map_info\taoxizhen\trap\to_peace.txt					
174	0	174	5	5	1	1	20	20	20	20	20	1		61216	107936						
324	0	324	5	5	1	1	20	20	20	20	20	1		61248	107936						
474	0	474	5	5	1	1	20	20	20	20	20	1		61728	108352						
5205	0	5205	5	5	1	1	20	20	20	20	20	1		60288	108416						
5206	0	5206	5	5	1	1	20	20	20	20	20	1		60256	108448						
7240	0	7240	5	5	1	1	20	20	20	20	20	1		60256	108672						
1050	0	1050	5	5	1	1	20	20	20	20	20	1		61440	109152						
1094	0	1094	5	5	1	1	20	20	20	20	20	1		60224	108576						40
4055	0	4055	5	5	1	1	20	20	20	20	20	1		59712	108896						
Tử Thư Thanh	0	10312	3	5	60	1	20	20	20	20	20	1		57088	112864		1				56
Lục Thanh Hoài	0	9770	3	5	30	1	20	20	20	20	20	1		53696	103680		1				48
Lục Thanh Hoài	0	9770	3	5	30	1	20	20	20	20	20	1		57984	110976		1				48
rukou	1															\setting\map\map_info\taoxizhen\trap\rukou.txt					
4046	0	4046	5	6	1	1	20	20	20	20	20	1		61376	109472						
6525	0	6525	5	6	1	1	20	20	20	20	20	1		50144	115680						
6525	0	6525	5	6	1	1	20	20	20	20	20	1		50144	115552						
6525	0	6525	5	6	1	1	20	20	20	20	20	1		50240	115584						
6525	0	6525	5	6	1	1	20	20	20	20	20	1		50144	116192						
6525	0	6525	5	6	1	1	20	20	20	20	20	1		50112	116672						
6524	0	6524	5	6	1	1	20	20	20	20	20	1		49888	115936						
6524	0	6524	5	6	1	1	20	20	20	20	20	1		49920	115808						
6524	0	6524	5	6	1	1	20	20	20	20	20	1		49984	115904						
6524	0	6524	5	6	1	1	20	20	20	20	20	1		50240	116096						
39	0	39	5	6	1	1	20	20	20	20	20	1		50848	116064						
39	0	39	5	6	1	1	20	20	20	20	20	1		50784	116096						56
39	0	39	5	6	1	1	20	20	20	20	20	1		50784	116224						40
39	0	39	5	6	1	1	20	20	20	20	20	1		50560	116128						24
10173	0	10173	5	6	1	1	20	20	20	20	20	1		50720	116416						8
10173	0	10173	5	6	1	1	20	20	20	20	20	1		50944	116416						24
10173	0	10173	5	6	1	1	20	20	20	20	20	1		50560	115872						8
1878	0	1878	5	6	1	1	20	20	20	20	20	1		59136	110880						8
11064	0	11064	5	6	1	1	20	20	20	20	20	1		59808	114240						8
81	0	81	5	6	1	1	20	20	20	20	20	1		59456	114912						40
7123	0	7123	5	6	1	1	20	20	20	20	20	1		50048	115744						56
6524	0	6524	5	6	1	1	20	20	20	20	20	1		50880	116160						
11066	0	11066	5	6	1	1	20	20	20	20	20	1		50464	115552						16
11066	0	11066	5	6	1	1	20	20	20	20	20	1		50464	115680						16
11066	0	11066	5	6	1	1	20	20	20	20	20	1		49728	116032						40
11065	0	11065	5	6	1	1	20	20	20	20	20	1		49824	116224						24
11065	0	11065	5	6	1	1	20	20	20	20	20	1		50432	115840						24
6584	0	6584	5	6	1	1	20	20	20	20	20	1		58080	111520						40
10308	0	10308	5	6	1	1	20	20	20	20	20	1		58144	111584						32
10309	0	10309	5	6	1	1	20	20	20	20	20	1		58208	111584						32
10310	0	10310	5	6	1	1	20	20	20	20	20	1		60256	112096						56
6042	0	6042	5	6	1	1	20	20	20	20	20	1		61856	113056						8
6062	0	6062	5	6	1	1	20	20	20	20	20	1		62720	112416						40
1080	0	1080	5	6	1	1	20	20	20	20	20	1		62240	112160						56
4010	0	4010	5	6	1	1	20	20	20	20	20	1		63680	111968						8
6053	0	6053	5	6	1	1	20	20	20	20	20	1		63008	110496						
6072	0	6072	5	6	1	1	20	20	20	20	20	1		58464	110144						24
1080	0	1080	5	6	1	1	20	20	20	20	20	1		58944	110336						8
6070	0	6070	5	6	1	1	20	20	20	20	20	1		63264	111008						24
6067	0	6067	5	6	1	1	20	20	20	20	20	1		58688	110560						8
