Name	RefineId	Index	ProduceGenre	ProduceDetail	ProduceParti	ProduceLevel	Faction	AttRoute	Sex	EquipGenre	EquipDetail	EquipParti	EquipLevel	Fee
Bộ Tiêu Dao Tím_Hộ uyển nam ngoại công hệ Mộc	1	18	4	10	11	10	-1	-1	-1	2	10	132	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam ngoại công hệ Mộc	1	19	4	10	11	10	-1	-1	-1	2	10	232	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam ngoại công hệ Mộc	1	20	4	10	7	10	-1	-1	-1	2	10	332	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam ngoại công hệ Mộc	1	21	4	10	7	10	-1	-1	-1	2	10	432	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam ngoại công hệ Mộc	1	22	4	10	15	10	-1	-1	-1	2	10	520	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam ngoại công hệ Mộc	1	23	4	10	11	10	-1	-1	-1	2	10	580	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam ngoại công hệ Mộc	1	24	4	10	7	10	-1	-1	-1	2	10	640	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ ngoại công hệ Mộc	1	25	4	10	16	10	-1	-1	-1	2	10	42	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ ngoại công hệ Mộc	1	26	4	10	12	10	-1	-1	-1	2	10	142	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ ngoại công hệ Mộc	1	27	4	10	12	10	-1	-1	-1	2	10	242	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ ngoại công hệ Mộc	1	28	4	10	8	10	-1	-1	-1	2	10	342	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ ngoại công hệ Mộc	1	29	4	10	8	10	-1	-1	-1	2	10	442	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ ngoại công hệ Mộc	1	30	4	10	16	10	-1	-1	-1	2	10	526	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ ngoại công hệ Mộc	1	31	4	10	12	10	-1	-1	-1	2	10	586	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ ngoại công hệ Mộc	1	32	4	10	8	10	-1	-1	-1	2	10	646	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam nội công hệ Mộc	1	33	4	10	17	10	-1	-1	-1	2	10	32	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam nội công hệ Mộc	1	34	4	10	13	10	-1	-1	-1	2	10	132	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam nội công hệ Mộc	1	35	4	10	13	10	-1	-1	-1	2	10	232	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam nội công hệ Mộc	1	36	4	10	9	10	-1	-1	-1	2	10	332	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam nội công hệ Mộc	1	37	4	10	9	10	-1	-1	-1	2	10	432	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam nội công hệ Mộc	1	38	4	10	17	10	-1	-1	-1	2	10	520	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam nội công hệ Mộc	1	39	4	10	13	10	-1	-1	-1	2	10	580	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam nội công hệ Mộc	1	40	4	10	9	10	-1	-1	-1	2	10	640	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ nội công hệ Mộc	1	41	4	10	18	10	-1	-1	-1	2	10	42	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ nội công hệ Mộc	1	42	4	10	14	10	-1	-1	-1	2	10	142	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ nội công hệ Mộc	1	43	4	10	14	10	-1	-1	-1	2	10	242	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ nội công hệ Mộc	1	44	4	10	10	10	-1	-1	-1	2	10	342	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ nội công hệ Mộc	1	45	4	10	10	10	-1	-1	-1	2	10	442	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ nội công hệ Mộc	1	46	4	10	18	10	-1	-1	-1	2	10	526	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ nội công hệ Mộc	1	47	4	10	14	10	-1	-1	-1	2	10	586	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ nội công hệ Mộc	1	48	4	10	10	10	-1	-1	-1	2	10	646	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam ngoại công hệ Thủy	1	49	4	10	27	10	-1	-1	-1	2	10	52	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam ngoại công hệ Thủy	1	50	4	10	23	10	-1	-1	-1	2	10	152	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam ngoại công hệ Thủy	1	51	4	10	23	10	-1	-1	-1	2	10	252	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam ngoại công hệ Thủy	1	52	4	10	19	10	-1	-1	-1	2	10	352	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam ngoại công hệ Thủy	1	53	4	10	19	10	-1	-1	-1	2	10	452	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam ngoại công hệ Thủy	1	54	4	10	27	10	-1	-1	-1	2	10	532	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam ngoại công hệ Thủy	1	55	4	10	23	10	-1	-1	-1	2	10	592	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam ngoại công hệ Thủy	1	56	4	10	19	10	-1	-1	-1	2	10	652	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ ngoại công hệ Thủy	1	57	4	10	28	10	-1	-1	-1	2	10	62	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ ngoại công hệ Thủy	1	58	4	10	24	10	-1	-1	-1	2	10	162	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ ngoại công hệ Thủy	1	59	4	10	24	10	-1	-1	-1	2	10	262	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ ngoại công hệ Thủy	1	60	4	10	20	10	-1	-1	-1	2	10	362	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ ngoại công hệ Thủy	1	61	4	10	20	10	-1	-1	-1	2	10	462	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ ngoại công hệ Thủy	1	62	4	10	28	10	-1	-1	-1	2	10	538	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ ngoại công hệ Thủy	1	63	4	10	24	10	-1	-1	-1	2	10	598	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ ngoại công hệ Thủy	1	64	4	10	20	10	-1	-1	-1	2	10	658	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam nội công hệ Thủy	1	65	4	10	29	10	-1	-1	-1	2	10	52	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam nội công hệ Thủy	1	66	4	10	25	10	-1	-1	-1	2	10	152	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam nội công hệ Thủy	1	67	4	10	25	10	-1	-1	-1	2	10	252	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam nội công hệ Thủy	1	68	4	10	21	10	-1	-1	-1	2	10	352	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam nội công hệ Thủy	1	69	4	10	21	10	-1	-1	-1	2	10	452	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam nội công hệ Thủy	1	70	4	10	29	10	-1	-1	-1	2	10	532	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam nội công hệ Thủy	1	71	4	10	25	10	-1	-1	-1	2	10	592	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam nội công hệ Thủy	1	72	4	10	21	10	-1	-1	-1	2	10	652	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ nội công hệ Thủy	1	73	4	10	30	10	-1	-1	-1	2	10	62	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ nội công hệ Thủy	1	74	4	10	26	10	-1	-1	-1	2	10	162	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ nội công hệ Thủy	1	75	4	10	26	10	-1	-1	-1	2	10	262	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ nội công hệ Thủy	1	76	4	10	22	10	-1	-1	-1	2	10	362	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ nội công hệ Thủy	1	77	4	10	22	10	-1	-1	-1	2	10	462	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ nội công hệ Thủy	1	78	4	10	30	10	-1	-1	-1	2	10	538	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ nội công hệ Thủy	1	79	4	10	26	10	-1	-1	-1	2	10	598	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ nội công hệ Thủy	1	80	4	10	22	10	-1	-1	-1	2	10	658	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam ngoại công hệ Hỏa	1	81	4	10	39	10	-1	-1	-1	2	10	72	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam ngoại công hệ Hỏa	1	82	4	10	35	10	-1	-1	-1	2	10	172	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam ngoại công hệ Hỏa	1	83	4	10	35	10	-1	-1	-1	2	10	272	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam ngoại công hệ Hỏa	1	84	4	10	31	10	-1	-1	-1	2	10	372	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam ngoại công hệ Hỏa	1	85	4	10	31	10	-1	-1	-1	2	10	472	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam ngoại công hệ Hỏa	1	86	4	10	39	10	-1	-1	-1	2	10	544	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam ngoại công hệ Hỏa	1	87	4	10	35	10	-1	-1	-1	2	10	604	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam ngoại công hệ Hỏa	1	88	4	10	31	10	-1	-1	-1	2	10	664	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ ngoại công hệ Hỏa	1	89	4	10	40	10	-1	-1	-1	2	10	82	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ ngoại công hệ Hỏa	1	90	4	10	36	10	-1	-1	-1	2	10	182	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ ngoại công hệ Hỏa	1	91	4	10	36	10	-1	-1	-1	2	10	282	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ ngoại công hệ Hỏa	1	92	4	10	32	10	-1	-1	-1	2	10	382	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ ngoại công hệ Hỏa	1	93	4	10	32	10	-1	-1	-1	2	10	482	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ ngoại công hệ Hỏa	1	94	4	10	40	10	-1	-1	-1	2	10	550	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ ngoại công hệ Hỏa	1	95	4	10	36	10	-1	-1	-1	2	10	610	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ ngoại công hệ Hỏa	1	96	4	10	32	10	-1	-1	-1	2	10	670	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam nội công hệ Hỏa	1	97	4	10	41	10	-1	-1	-1	2	10	72	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam nội công hệ Hỏa	1	98	4	10	37	10	-1	-1	-1	2	10	172	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam nội công hệ Hỏa	1	99	4	10	37	10	-1	-1	-1	2	10	272	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam nội công hệ Hỏa	1	100	4	10	33	10	-1	-1	-1	2	10	372	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam nội công hệ Hỏa	1	101	4	10	33	10	-1	-1	-1	2	10	472	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam nội công hệ Hỏa	1	102	4	10	41	10	-1	-1	-1	2	10	544	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam nội công hệ Hỏa	1	103	4	10	37	10	-1	-1	-1	2	10	604	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam nội công hệ Hỏa	1	104	4	10	33	10	-1	-1	-1	2	10	664	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ nội công hệ Hỏa	1	105	4	10	42	10	-1	-1	-1	2	10	82	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ nội công hệ Hỏa	1	106	4	10	38	10	-1	-1	-1	2	10	182	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ nội công hệ Hỏa	1	107	4	10	38	10	-1	-1	-1	2	10	282	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ nội công hệ Hỏa	1	108	4	10	34	10	-1	-1	-1	2	10	382	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ nội công hệ Hỏa	1	109	4	10	34	10	-1	-1	-1	2	10	482	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ nội công hệ Hỏa	1	110	4	10	42	10	-1	-1	-1	2	10	550	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ nội công hệ Hỏa	1	111	4	10	38	10	-1	-1	-1	2	10	610	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ nội công hệ Hỏa	1	112	4	10	34	10	-1	-1	-1	2	10	670	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam ngoại công hệ Thổ	1	113	4	10	51	10	-1	-1	-1	2	10	92	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam ngoại công hệ Thổ	1	114	4	10	47	10	-1	-1	-1	2	10	192	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam ngoại công hệ Thổ	1	115	4	10	47	10	-1	-1	-1	2	10	292	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam ngoại công hệ Thổ	1	116	4	10	43	10	-1	-1	-1	2	10	392	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam ngoại công hệ Thổ	1	117	4	10	43	10	-1	-1	-1	2	10	492	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam ngoại công hệ Thổ	1	118	4	10	51	10	-1	-1	-1	2	10	556	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam ngoại công hệ Thổ	1	119	4	10	47	10	-1	-1	-1	2	10	616	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam ngoại công hệ Thổ	1	120	4	10	43	10	-1	-1	-1	2	10	676	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ ngoại công hệ Thổ	1	121	4	10	52	10	-1	-1	-1	2	10	102	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ ngoại công hệ Thổ	1	122	4	10	48	10	-1	-1	-1	2	10	202	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ ngoại công hệ Thổ	1	123	4	10	48	10	-1	-1	-1	2	10	302	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ ngoại công hệ Thổ	1	124	4	10	44	10	-1	-1	-1	2	10	402	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ ngoại công hệ Thổ	1	125	4	10	44	10	-1	-1	-1	2	10	502	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ ngoại công hệ Thổ	1	126	4	10	52	10	-1	-1	-1	2	10	562	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ ngoại công hệ Thổ	1	127	4	10	48	10	-1	-1	-1	2	10	622	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ ngoại công hệ Thổ	1	128	4	10	44	10	-1	-1	-1	2	10	682	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam nội công hệ Thổ	1	129	4	10	53	10	-1	-1	-1	2	10	92	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam nội công hệ Thổ	1	130	4	10	49	10	-1	-1	-1	2	10	192	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam nội công hệ Thổ	1	131	4	10	49	10	-1	-1	-1	2	10	292	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam nội công hệ Thổ	1	132	4	10	45	10	-1	-1	-1	2	10	392	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam nội công hệ Thổ	1	133	4	10	45	10	-1	-1	-1	2	10	492	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam nội công hệ Thổ	1	134	4	10	53	10	-1	-1	-1	2	10	556	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam nội công hệ Thổ	1	135	4	10	49	10	-1	-1	-1	2	10	616	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam nội công hệ Thổ	1	136	4	10	45	10	-1	-1	-1	2	10	676	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ nội công hệ Thổ	1	137	4	10	54	10	-1	-1	-1	2	10	102	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ nội công hệ Thổ	1	138	4	10	50	10	-1	-1	-1	2	10	202	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ nội công hệ Thổ	1	139	4	10	50	10	-1	-1	-1	2	10	302	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ nội công hệ Thổ	1	140	4	10	46	10	-1	-1	-1	2	10	402	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ nội công hệ Thổ	1	141	4	10	46	10	-1	-1	-1	2	10	502	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ nội công hệ Thổ	1	142	4	10	54	10	-1	-1	-1	2	10	562	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ nội công hệ Thổ	1	143	4	10	50	10	-1	-1	-1	2	10	622	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ nội công hệ Thổ	1	144	4	10	46	10	-1	-1	-1	2	10	682	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam nội công hệ Kim	1	145	4	10	439	10	-1	-1	-1	2	10	12	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam nội công hệ Kim	1	146	4	10	437	10	-1	-1	-1	2	10	112	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam nội công hệ Kim	1	147	4	10	437	10	-1	-1	-1	2	10	212	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam nội công hệ Kim	1	148	4	10	435	10	-1	-1	-1	2	10	312	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam nội công hệ Kim	1	149	4	10	435	10	-1	-1	-1	2	10	412	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam nội công hệ Kim	1	150	4	10	439	10	-1	-1	-1	2	10	508	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam nội công hệ Kim	1	151	4	10	437	10	-1	-1	-1	2	10	568	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam nội công hệ Kim	1	152	4	10	435	10	-1	-1	-1	2	10	628	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ nội công hệ Kim	1	153	4	10	440	10	-1	-1	-1	2	10	22	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ nội công hệ Kim	1	154	4	10	438	10	-1	-1	-1	2	10	122	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ nội công hệ Kim	1	155	4	10	438	10	-1	-1	-1	2	10	222	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ nội công hệ Kim	1	156	4	10	436	10	-1	-1	-1	2	10	322	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ nội công hệ Kim	1	157	4	10	436	10	-1	-1	-1	2	10	422	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ nội công hệ Kim	1	158	4	10	440	10	-1	-1	-1	2	10	514	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ nội công hệ Kim	1	159	4	10	438	10	-1	-1	-1	2	10	574	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ nội công hệ Kim	1	160	4	10	436	10	-1	-1	-1	2	10	634	10	10000
Bộ Tiêu Dao Bạch Ngân_Hộ uyển nam ngoại công hệ kim	1	161	4	10	441	10	-1	-1	-1	2	10	703	10	10000
Bộ Tiêu Dao Bạch Ngân_Thủ trạc nữ ngoại công hệ kim	1	162	4	10	442	10	-1	-1	-1	2	10	704	10	10000
Bộ Tiêu Dao Bạch Ngân_Hộ uyển nam nội công hệ kim	1	163	4	10	443	10	-1	-1	-1	2	10	703	10	10000
Bộ Tiêu Dao Bạch Ngân_Thủ trạc nữ nội công hệ kim	1	164	4	10	444	10	-1	-1	-1	2	10	704	10	10000
Bộ Tiêu Dao Bạch Ngân_Hộ uyển nam ngoại công hệ mộc	1	165	4	10	445	10	-1	-1	-1	2	10	705	10	10000
Bộ Tiêu Dao Bạch Ngân_Thủ trạc nữ ngoại công hệ mộc	1	166	4	10	446	10	-1	-1	-1	2	10	706	10	10000
Bộ Tiêu Dao Bạch Ngân_Hộ uyển nam nội công hệ mộc	1	167	4	10	447	10	-1	-1	-1	2	10	705	10	10000
Bộ Tiêu Dao Bạch Ngân_Thủ trạc nữ nội công hệ mộc	1	168	4	10	448	10	-1	-1	-1	2	10	706	10	10000
Bộ Tiêu Dao Bạch Ngân_Hộ uyển nam ngoại công hệ thủy	1	169	4	10	449	10	-1	-1	-1	2	10	707	10	10000
Bộ Tiêu Dao Bạch Ngân_Thủ trạc nữ ngoại công hệ thủy	1	170	4	10	450	10	-1	-1	-1	2	10	708	10	10000
Bộ Tiêu Dao Bạch Ngân_Hộ uyển nam nội công hệ thủy	1	171	4	10	451	10	-1	-1	-1	2	10	707	10	10000
Bộ Tiêu Dao Bạch Ngân_Thủ trạc nữ nội công hệ thủy	1	172	4	10	452	10	-1	-1	-1	2	10	708	10	10000
Bộ Tiêu Dao Bạch Ngân_Hộ uyển nam ngoại công hệ hỏa	1	173	4	10	453	10	-1	-1	-1	2	10	709	10	10000
Bộ Tiêu Dao Bạch Ngân_Thủ trạc nữ ngoại công hệ hỏa	1	174	4	10	454	10	-1	-1	-1	2	10	710	10	10000
Bộ Tiêu Dao Bạch Ngân_Hộ uyển nam nội công hệ hỏa	1	175	4	10	455	10	-1	-1	-1	2	10	709	10	10000
Bộ Tiêu Dao Bạch Ngân_Thủ trạc nữ nội công hệ hỏa	1	176	4	10	456	10	-1	-1	-1	2	10	710	10	10000
Bộ Tiêu Dao Bạch Ngân_Hộ uyển nam ngoại công hệ thổ	1	177	4	10	457	10	-1	-1	-1	2	10	711	10	10000
Bộ Tiêu Dao Bạch Ngân_Thủ trạc nữ ngoại công hệ thổ	1	178	4	10	458	10	-1	-1	-1	2	10	712	10	10000
Bộ Tiêu Dao Bạch Ngân_Hộ uyển nam nội công hệ thổ	1	179	4	10	459	10	-1	-1	-1	2	10	711	10	10000
Bộ Tiêu Dao Bạch Ngân_Thủ trạc nữ nội công hệ thổ	1	180	4	10	460	10	-1	-1	-1	2	10	712	10	10000
Bộ Tiêu Dao Hoàng Kim_Hộ uyển nam ngoại công hệ kim	1	181	4	10	461	10	-1	-1	-1	2	10	713	10	10000
Bộ Tiêu Dao Hoàng Kim_Thủ trạc nữ ngoại công hệ kim	1	182	4	10	462	10	-1	-1	-1	2	10	714	10	10000
Bộ Tiêu Dao Hoàng Kim_Hộ uyển nam nội công hệ kim	1	183	4	10	463	10	-1	-1	-1	2	10	713	10	10000
Bộ Tiêu Dao Hoàng Kim_Thủ trạc nữ nội công hệ kim	1	184	4	10	464	10	-1	-1	-1	2	10	714	10	10000
Bộ Tiêu Dao Hoàng Kim_Hộ uyển nam ngoại công hệ mộc	1	185	4	10	465	10	-1	-1	-1	2	10	715	10	10000
Bộ Tiêu Dao Hoàng Kim_Thủ trạc nữ ngoại công hệ mộc	1	186	4	10	466	10	-1	-1	-1	2	10	716	10	10000
Bộ Tiêu Dao Hoàng Kim_Hộ uyển nam nội công hệ mộc	1	187	4	10	467	10	-1	-1	-1	2	10	715	10	10000
Bộ Tiêu Dao Hoàng Kim_Thủ trạc nữ nội công hệ mộc	1	188	4	10	468	10	-1	-1	-1	2	10	716	10	10000
Bộ Tiêu Dao Hoàng Kim_Hộ uyển nam ngoại công hệ thủy	1	189	4	10	469	10	-1	-1	-1	2	10	717	10	10000
Bộ Tiêu Dao Hoàng Kim_Thủ trạc nữ ngoại công hệ thủy	1	190	4	10	470	10	-1	-1	-1	2	10	718	10	10000
Bộ Tiêu Dao Hoàng Kim_Hộ uyển nam nội công hệ thủy	1	191	4	10	471	10	-1	-1	-1	2	10	717	10	10000
Bộ Tiêu Dao Hoàng Kim_Thủ trạc nữ nội công hệ thủy	1	192	4	10	472	10	-1	-1	-1	2	10	718	10	10000
Bộ Tiêu Dao Hoàng Kim_Hộ uyển nam ngoại công hệ hỏa	1	193	4	10	473	10	-1	-1	-1	2	10	719	10	10000
Bộ Tiêu Dao Hoàng Kim_Thủ trạc nữ ngoại công hệ hỏa	1	194	4	10	474	10	-1	-1	-1	2	10	720	10	10000
Bộ Tiêu Dao Hoàng Kim_Hộ uyển nam nội công hệ hỏa	1	195	4	10	475	10	-1	-1	-1	2	10	719	10	10000
Bộ Tiêu Dao Hoàng Kim_Thủ trạc nữ nội công hệ hỏa	1	196	4	10	476	10	-1	-1	-1	2	10	720	10	10000
