MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	Ghi chú
23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Biện Kinh Phủ
24	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Phượng Tường Phủ
25	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Tương Dương Phủ
26	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Dương Châu Phủ
27	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Thành Đô Phủ
28	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Đại Lý Phủ
29	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Lâm An Phủ
30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Chiến Trường Cổ
31	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Quán Trọ Long Môn
32	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Quân Mã Trường
33	1	1	2	2	4	4	4	4	4	4	4	4	4	4	1	4	Mai Hoa Lĩnh
34	1	2	3	3	5	5	5	5	5	5	5	5	5	5	2	5	Trường Giang Hà Cốc
35	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Thị trấn Bạch Tộc
36	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Nhạn Đãng Long Thu
37	1	2	2	4	5	5	7	7	7	7	7	7	7	7	7	7	Bờ Hồ Động Đình
38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Trấn Đông Mộ Viên
39	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Kỳ Liên Sơn
40	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Đồng Quan
41	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hoài Thủy Sa Châu
42	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Thục Nam Trúc Hải
43	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Trà Mã Cổ Đạo
44	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Phường Đúc Kiếm
45	1	2	2	4	5	5	7	7	7	7	7	7	7	7	7	7	Nhạc Dương Lâu
46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Cấm Địa Hậu Sơn
47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Cấm Địa Thiên Nhẫn
48	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Kiến Tính Phong
49	1	1	1	2	3	3	3	3	3	3	3	3	3	3	10	3	Thiên Trụ Phong
50	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	4	Cô Tô Thủy Tạ
51	1	2	3	3	5	5	5	5	5	5	5	5	5	5	12	5	Cửu Lão Phong
52	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Bách Hoa Cốc
53	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Hồ Phỉ Thúy
54	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Bộ Lạc Nam Di
55	1	2	2	4	5	5	6	6	6	6	6	6	6	6	12	9	Thanh Loa Đảo
56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Đông Tháp Lâm
57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoàng Lăng Kim Quốc 1
58	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Băng Huyệt 1
59	1	1	1	2	3	3	2	2	2	2	2	2	2	2	2	2	Đông Long Hổ Huyễn Cảnh
60	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Ngoài Yến Tử Ổ
61	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Cửu Lão Động 1
62	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Ngoài Bách Hoa Trận
63	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Đông Bờ Hồ Trúc Lâm
64	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Đông Rừng Nguyên Sinh
65	1	2	2	4	5	5	7	7	7	7	7	7	7	7	7	7	Đông Nam Lư Vĩ Đãng
66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Tây Tháp Lâm
67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Hoàng Lăng Kim Quốc 2
68	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Mê Cung Băng Huyệt 2
69	1	1	1	2	3	3	2	2	2	2	2	2	2	2	9	2	Tây Long Hổ Huyễn Cảnh
70	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	4	Giữa Yến Tử Ổ
71	1	2	3	3	5	5	5	5	5	5	5	5	5	5	12	5	Cửu Lão Động 2
72	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Trong Bách Hoa Trận
73	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Tây Bờ Hồ Trúc Lâm
74	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Tây Rừng Nguyên Sinh
75	1	2	2	4	5	5	5	5	5	5	5	5	5	5	12	5	Tây Bắc Lư Vĩ Đãng
76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Giữa Tháp Lâm
77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoàng Lăng Kim Quốc 3
78	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Băng Huyệt 3
79	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Giữa Long Hổ Huyễn Cảnh
80	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Trong Yến Tử Ổ
81	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Cửu Lão Động 3
82	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Giữa Bách Hoa Trận
83	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Giữa Bờ Hồ Trúc Lâm
84	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Giữa Rừng Nguyên Sinh
85	1	2	2	4	5	5	7	7	7	7	7	7	7	7	7	7	Trung Lư Vĩ Đãng
86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Thái Hành Cổ Kính
87	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Đại Tán Quan
88	1	1	1	2	3	3	7	7	7	7	7	7	7	7	8	7	Hán Thủy Cổ Độ
89	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	4	Hàn Sơn Cổ Sát
90	1	2	3	3	5	5	5	5	5	5	5	5	5	5	11	5	Cán Hoa Khê
91	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Nhĩ Hải Ma Nham
92	1	2	2	4	2	4	3	3	3	3	3	3	3	3	9	3	Thái Thạch Cơ
93	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Dược Vương Động
94	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Cư Diên Trạch
95	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Phục Ngưu Sơn
96	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hổ Khâu Kiếm Trì
97	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Hưởng Thủy Động
98	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Điểm Thương Sơn
99	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Bành Lãi Cổ Trạch
100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phong Lăng Độ
101	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Sa Mạc
102	1	1	1	2	3	3	7	7	7	7	7	7	7	7	3	3	Kê Quán Động
103	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	4	Thục Cương Sơn
104	1	2	3	3	5	5	5	5	5	5	5	5	5	5	12	5	Kiếm Các Thục Đạo
105	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Hoàng Lăng Đoàn Thị
106	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Cửu Nghi Khê
107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Long Môn Thạch Quật
108	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Hoàng Lăng Tây Hạ
109	1	1	1	2	3	3	7	7	7	7	7	7	7	7	6	6	Hoàng Hạc Lâu
110	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Tiến Cúc Động
111	1	2	3	3	5	5	5	5	5	5	5	5	5	5	9	5	Kiếm Môn Quan
112	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Thiên Long Tự
113	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Bang Nguyên Bí Động
114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Sắc Lặc Xuyên
115	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Gia Dụ Quan
116	1	1	1	2	3	3	7	7	7	7	7	7	7	7	5	5	Hoa Sơn
117	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	4	Thục Cương Bí Cảnh
118	1	2	3	3	5	5	5	5	5	5	5	5	5	5	12	5	Phong Đô Quỷ Thành
119	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Miêu Lĩnh
120	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Vũ Di Sơn
121	1	2	2	4	5	5	7	7	7	7	7	7	7	7	8	4	Vũ Lăng Sơn
122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Mạc Bắc Thảo Nguyên
123	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Đôn Hoàng Cổ Thành
124	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Hoạt Tử Nhân Mộ
125	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Đại Vũ Đài
126	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Tam Hiệp Sạn Đạo
127	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Xi Vưu Động
128	1	2	2	4	2	4	3	3	3	3	3	3	3	3	13	3	Tỏa Vân Uyên
129	1	2	2	4	5	5	7	7	7	7	7	7	7	7	2	2	Phục Lưu Động
130	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Mông Cổ Vương Đình
131	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Nguyệt Nha Tuyền
132	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Tàn Tích Cung A Phòng
133	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	4	Lương Sơn Bạc
134	1	2	3	3	5	5	5	5	5	5	5	5	5	5	13	5	Thần Nữ Phong
135	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Tàn Tích Dạ Lang
136	1	2	2	4	2	4	3	3	3	3	3	3	3	3	14	3	Cổ Lãng Dữ
137	1	2	2	4	5	5	7	7	7	7	7	7	7	7	14	4	Đào Hoa Nguyên
138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Vân Trung Trấn_Trong
139	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Long Môn Trấn_Trong
140	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Vĩnh Lạc Trấn_Trong
141	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Đạo Hương Thôn_Trong
142	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Giang Tân Thôn_Trong
143	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Giang Tân Thôn_Trong
144	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Long Tuyền Thôn_Trong
145	1	2	2	4	5	5	7	7	7	7	7	7	7	7	7	7	Ba Lăng Huyện_Trong
146	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiếu Lâm Phái_Trong
147	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiên Nhẫn Giáo_Trong
148	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tát Mãn Giáo_Trong
149	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Côn Lôn Phái_Trong
150	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Tây Hạ Nhất Phẩm Đường_Trong
151	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Võ Đang Phái_Trong
152	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Cái Bang_Trong
153	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Nga My Phái_Trong
154	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Thúy Yên Môn_Trong
155	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Đường Môn_Trong
156	1	2	3	3	3	6	2	2	2	2	2	2	2	2	2	2	Đại Lý Đoàn Thị_Trong
157	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Ngũ Độc Giáo_Trong
158	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Trường Ca Môn_Trong
159	1	2	2	4	5	5	7	7	7	7	7	7	7	7	7	7	Thiên Vương Bang_Trong
160	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Biện Kinh Phủ_Trong
161	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Phượng Tường Phủ_Trong
162	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Tương Dương Phủ_Trong
163	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Dương Châu Phủ_Trong
164	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Thành Đô Phủ_Trong
165	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Đại Lý Phủ_Trong
166	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Lâm An Phủ_Trong
167	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Lôi Đài Võ Lâm (Biện Kinh)
168	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Lôi Đài Võ Lâm (Phượng Tường)
169	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Lôi Đài Võ Lâm (Tương Dương)
170	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Lôi Đài Võ Lâm (Dương Châu)
171	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Lôi Đài Võ Lâm (Thành Đô)
172	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Lôi Đài Võ Lâm (Đại Lý)
173	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Lôi Đài Võ Lâm (Lâm An)
174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiết Sách Sạn Kiều (Biện Kinh)
175	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Thiết Sách Sạn Kiều (Phượng Tường)
176	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Thiết Sách Sạn Kiều (Tương Dương)
177	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Thiết Sách Sạn Kiều (Dương Châu)
178	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Thiết Sách Sạn Kiều (Thành Đô)
179	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Thiết Sách Sạn Kiều (Đại Lý)
180	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Thiết Sách Sạn Kiều (Lâm An)
181	1	1	1	1	4	4	4	4	4	4	4	4	4	4	11	11	Báo Danh_Mông Cổ (Dương Châu 1)
182	1	2	2	2	2	1	2	2	2	2	2	2	2	2	9	9	Báo Danh_Mông Cổ (Phượng Tường 1)
183	1	2	3	3	5	6	7	7	7	7	7	7	7	7	14	14	Báo Danh_Mông Cổ (Tương Dương 1)
184	1	1	1	1	4	4	4	4	4	4	4	4	4	4	11	11	Báo Danh_Tây Hạ (Dương Châu 1)
185	1	2	2	2	2	1	2	2	2	2	2	2	2	2	9	9	Báo Danh_Tây Hạ (Phượng Tường 1)
186	1	2	3	3	5	6	7	7	7	7	7	7	7	7	14	14	Báo Danh_Tây Hạ (Tương Dương 1)
187	1	1	1	1	4	4	4	4	4	4	4	4	4	4	11	11	Cửu Khúc Chiến (Dương Châu 1)
188	1	2	2	2	2	1	2	2	2	2	2	2	2	2	9	9	Cửu Khúc Chiến (Phượng Tường 1)
189	1	2	3	3	5	6	7	7	7	7	7	7	7	7	14	14	Cửu Khúc Chiến (Tương Dương 1)
190	1	1	1	1	4	4	4	4	4	4	4	4	4	4	11	11	Ngũ Trượng Nguyên Chiến (Dương Châu 1)
191	1	2	2	2	2	1	2	2	2	2	2	2	2	2	9	9	Ngũ Trượng Nguyên Chiến (Phượng Tường 1)
192	1	2	3	3	5	6	7	7	7	7	7	7	7	7	14	14	Ngũ Trượng Nguyên Chiến (Tương Dương 1)
193	1	1	1	1	4	4	4	4	4	4	4	4	4	4	11	11	Bàn Long Cốc Chiến (Dương Châu 1)
194	1	2	2	2	2	1	2	2	2	2	2	2	2	2	9	9	Bàn Long Cốc Chiến (Phượng Tường 1)
195	1	2	3	3	5	6	7	7	7	7	7	7	7	7	14	14	Bàn Long Cốc Chiến (Tương Dương 1)
196	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Kiến Tính Phong_Trong
197	1	2	3	3	5	5	5	5	5	5	5	5	5	5	12	5	Cửu Lão Phong_Trong
198	1	2	2	4	5	5	7	7	7	7	7	7	7	7	14	7	Thanh Loa Đảo_Trong
199	1	1	1	2	3	3	3	3	3	3	3	3	3	3	10	3	Đông Long Hổ Huyễn Cảnh_Trong
200	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	4	Ngoài Yến Tử Ổ_Trong
201	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Đông Bờ Hồ Trúc Lâm_Trong
202	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Tây Tháp Lâm_Trong
203	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Hoàng Lăng Kim Quốc 2_Trong
204	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Trong Bách Hoa Trận_Trong
205	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Tây Rừng Nguyên Sinh_Trong
206	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Đại Tán Quan_Trong
207	1	1	1	2	3	3	7	7	7	7	7	7	7	7	14	7	Hán Thủy Cổ Độ_Trong
208	1	2	3	3	5	5	5	5	5	5	5	5	5	5	12	5	Cán Hoa Khê_Trong
209	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Nhĩ Hải Ma Nham_Trong
210	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Cư Diên Trạch_Trong
211	1	1	1	2	3	3	7	7	7	7	7	7	7	7	14	7	Phục Ngưu Sơn_Trong
212	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Điểm Thương Sơn_Trong
213	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Bành Lãi Cổ Trạch_Trong
214	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Mê Cung Sa Mạc_Trong
215	1	1	1	2	3	3	7	7	7	7	7	7	7	7	14	7	Kê Quán Động_Trong
216	1	2	3	3	5	5	5	5	5	5	5	5	5	5	12	5	Kiếm Các Thục Đạo_Trong
217	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Cửu Nghi Khê_Trong
218	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Long Môn Thạch Quật_Trong
219	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Hoàng Lăng Tây Hạ_Trong
220	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Thiên Long Tự_Trong
221	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Bang Nguyên Bí Động_Trong
222	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Đại Lao Biện Kinh
223	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Đại Lao Lâm An
224	1	2	2	4	2	4	7	7	7	7	7	7	7	7	14	14	Minh Giáo
225	1	1	1	2	3	3	6	6	6	6	6	6	6	6	13	13	Đại điện Bạch Hổ Đường (sơ 1)
226	1	1	1	2	3	3	6	6	6	6	6	6	6	6	13	13	Bạch Hổ Đường 1_Đông (sơ 1)
227	1	1	1	2	3	3	6	6	6	6	6	6	6	6	13	13	Bạch Hổ Đường 1_Nam (sơ 1)
228	1	1	1	2	3	3	6	6	6	6	6	6	6	6	13	13	Bạch Hổ Đường 1_Tây (sơ 1)
229	1	1	1	2	3	3	6	6	6	6	6	6	6	6	13	13	Bạch Hổ Đường 1_Bắc (sơ 1)
230	1	1	1	2	3	3	6	6	6	6	6	6	6	6	13	13	Bạch Hổ Đường 2_Âm (sơ 1)
231	1	1	1	2	3	3	6	6	6	6	6	6	6	6	13	13	Bạch Hổ Đường 2_Dương (sơ 1)
232	1	1	1	2	3	3	6	6	6	6	6	6	6	6	13	13	Bạch Hổ Đường 3 (sơ 1)
233	1	2	3	3	5	2	5	5	5	5	5	5	5	5	12	12	Đại điện Bạch Hổ Đường (cao)
234	1	2	3	3	5	2	5	5	5	5	5	5	5	5	12	12	Bạch Hổ Đường 1_Đông (cao)
235	1	2	3	3	5	2	5	5	5	5	5	5	5	5	12	12	Bạch Hổ Đường 1_Nam (cao)
236	1	2	3	3	5	2	5	5	5	5	5	5	5	5	12	12	Bạch Hổ Đường 1_Tây (cao)
237	1	2	3	3	5	2	5	5	5	5	5	5	5	5	12	12	Bạch Hổ Đường 1_Bắc (cao)
238	1	2	3	3	5	2	5	5	5	5	5	5	5	5	12	12	Bạch Hổ Đường 2_Âm (cao)
239	1	2	3	3	5	2	5	5	5	5	5	5	5	5	12	12	Bạch Hổ Đường 2_Dương (cao)
240	1	2	3	3	5	2	5	5	5	5	5	5	5	5	12	12	Bạch Hổ Đường 3 (cao)
241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	9	Đấu trường môn phái (Thiếu Lâm)
242	1	2	2	4	5	5	7	7	7	7	7	7	7	7	13	13	Đấu trường môn phái (Thiên Vương)
243	1	2	3	3	3	6	6	6	6	6	6	6	6	6	12	12	Đấu trường môn phái (Đường Môn)
244	1	2	2	4	2	4	3	3	3	3	3	3	3	3	13	13	Đấu trường môn phái (Ngũ Độc)
245	1	2	3	3	5	5	5	5	5	5	5	5	5	5	11	11	Đấu trường môn phái (Nga My)
246	1	2	3	3	3	6	6	6	6	6	6	6	6	6	12	12	Đấu trường môn phái (Thúy Yên)
247	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	11	Đấu trường môn phái (Cái Bang)
248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	9	Đấu trường môn phái (Thiên Nhẫn)
249	1	1	1	2	3	3	3	3	3	3	3	3	3	3	10	10	Đấu trường môn phái (Võ Đang)
250	1	1	1	1	2	2	2	2	2	2	2	2	2	2	10	10	Đấu trường môn phái (Côn Lôn)
251	1	2	2	4	2	4	7	7	7	7	7	7	7	7	14	14	Đấu trường môn phái (Minh Giáo)
252	1	2	3	3	3	6	2	2	2	2	2	2	2	2	13	13	Đấu trường môn phái (Đoàn Thị)
255	1	1	2	2	4	1	4	4	4	4	4	4	4	4	11	4	Tẩy Tủy Đảo
256	1	1	2	2	4	1	4	4	4	4	4	4	4	4	11	4	Tẩy Tủy Đảo Sơn Động
257	1	1	1	1	1	2	1	1	1	1	1	1	1	1	8	8	Báo Danh_Mông Cổ (Dương Châu 2)
258	1	2	2	4	2	5	3	3	3	3	3	3	3	3	10	10	Báo Danh_Mông Cổ (Phượng Tường 2)
259	1	2	3	3	5	3	6	6	6	6	6	6	6	6	13	13	Báo Danh_Mông Cổ (Tương Dương 2)
260	1	1	1	1	1	2	1	1	1	1	1	1	1	1	8	8	Báo Danh_Tây Hạ (Dương Châu 2)
261	1	2	2	4	2	5	3	3	3	3	3	3	3	3	10	10	Báo Danh_Tây Hạ (Phượng Tường 2)
262	1	2	3	3	5	3	6	6	6	6	6	6	6	6	13	13	Báo Danh_Tây Hạ (Tương Dương 2)
263	1	1	1	1	1	2	1	1	1	1	1	1	1	1	8	8	Cửu Khúc Chiến (Dương Châu 2)
264	1	2	2	4	2	5	3	3	3	3	3	3	3	3	10	10	Cửu Khúc Chiến (Phượng Tường 2)
265	1	2	3	3	5	3	6	6	6	6	6	6	6	6	13	13	Cửu Khúc Chiến (Tương Dương 2)
266	1	1	1	1	1	2	1	1	1	1	1	1	1	1	8	8	Ngũ Trượng Nguyên Chiến (Dương Châu 2)
267	1	2	2	4	2	5	3	3	3	3	3	3	3	3	10	10	Ngũ Trượng Nguyên Chiến (Phượng Tường 2)
268	1	2	3	3	5	3	6	6	6	6	6	6	6	6	13	13	Ngũ Trượng Nguyên Chiến (Tương Dương 2)
