MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	Ghi chú
23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Biện Kinh Phủ
24	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Phượng Tường Phủ
25	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Tương Dương Phủ
26	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Dương Châu Phủ
27	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Thành Đô Phủ
28	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Đại Lý Phủ
29	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Lâm An Phủ
30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Chiến Trường Cổ
31	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Quán Trọ Long Môn
32	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Quân Mã Trường
33	1	1	2	2	4	4	4	4	4	4	4	4	4	4	1	4	Mai Hoa Lĩnh
34	1	2	3	3	5	5	5	5	5	5	5	5	5	5	2	5	Trường Giang Hà Cốc
35	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Thị trấn Bạch Tộc
36	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Nhạn Đãng Long Thu
37	1	2	2	4	5	5	7	7	7	7	7	7	7	7	7	7	Bờ Hồ Động Đình
38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Trấn Đông Mộ Viên
39	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Kỳ Liên Sơn
40	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Đồng Quan
41	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hoài Thủy Sa Châu
42	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Thục Nam Trúc Hải
43	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Trà Mã Cổ Đạo
44	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Phường Đúc Kiếm
45	1	2	2	4	5	5	7	7	7	7	7	7	7	7	7	7	Nhạc Dương Lâu
46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Cấm Địa Hậu Sơn
47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Cấm Địa Thiên Nhẫn
48	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Kiến Tính Phong
49	1	1	1	2	3	3	3	3	3	3	3	3	3	3	10	3	Thiên Trụ Phong
50	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	4	Cô Tô Thủy Tạ
51	1	2	3	3	5	5	5	5	5	5	5	5	5	5	12	5	Cửu Lão Phong
52	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Bách Hoa Cốc
53	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Hồ Phỉ Thúy
54	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Bộ Lạc Nam Di
55	1	2	2	4	5	5	6	6	6	6	6	6	6	6	12	9	Thanh Loa Đảo
56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Đông Tháp Lâm
57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoàng Lăng Kim Quốc 1
58	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Băng Huyệt 1
59	1	1	1	2	3	3	2	2	2	2	2	2	2	2	2	2	Đông Long Hổ Huyễn Cảnh
60	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Ngoài Yến Tử Ổ
61	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Cửu Lão Động 1
62	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Ngoài Bách Hoa Trận
63	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Đông Bờ Hồ Trúc Lâm
64	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Đông Rừng Nguyên Sinh
65	1	2	2	4	5	5	7	7	7	7	7	7	7	7	7	7	Đông Nam Lư Vĩ Đãng
66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Tây Tháp Lâm
67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Hoàng Lăng Kim Quốc 2
68	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Mê Cung Băng Huyệt 2
69	1	1	1	2	3	3	2	2	2	2	2	2	2	2	9	2	Tây Long Hổ Huyễn Cảnh
70	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	4	Giữa Yến Tử Ổ
71	1	2	3	3	5	5	5	5	5	5	5	5	5	5	12	5	Cửu Lão Động 2
72	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Trong Bách Hoa Trận
73	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Tây Bờ Hồ Trúc Lâm
74	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Tây Rừng Nguyên Sinh
75	1	2	2	4	5	5	5	5	5	5	5	5	5	5	12	5	Tây Bắc Lư Vĩ Đãng
76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Giữa Tháp Lâm
77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoàng Lăng Kim Quốc 3
78	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Băng Huyệt 3
79	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Giữa Long Hổ Huyễn Cảnh
80	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Trong Yến Tử Ổ
81	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Cửu Lão Động 3
82	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Giữa Bách Hoa Trận
83	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Giữa Bờ Hồ Trúc Lâm
84	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Giữa Rừng Nguyên Sinh
85	1	2	2	4	5	5	7	7	7	7	7	7	7	7	7	7	Trung Lư Vĩ Đãng
86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Thái Hành Cổ Kính
87	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Đại Tán Quan
88	1	1	1	2	3	3	7	7	7	7	7	7	7	7	8	7	Hán Thủy Cổ Độ
89	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	4	Hàn Sơn Cổ Sát
90	1	2	3	3	5	5	5	5	5	5	5	5	5	5	11	5	Cán Hoa Khê
91	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Nhĩ Hải Ma Nham
92	1	2	2	4	2	4	3	3	3	3	3	3	3	3	9	3	Thái Thạch Cơ
93	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Dược Vương Động
94	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Cư Diên Trạch
95	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Phục Ngưu Sơn
96	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hổ Khâu Kiếm Trì
97	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Hưởng Thủy Động
98	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Điểm Thương Sơn
99	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Bành Lãi Cổ Trạch
100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phong Lăng Độ
101	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Sa Mạc
102	1	1	1	2	3	3	7	7	7	7	7	7	7	7	3	3	Kê Quán Động
103	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	4	Thục Cương Sơn
104	1	2	3	3	5	5	5	5	5	5	5	5	5	5	12	5	Kiếm Các Thục Đạo
105	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Hoàng Lăng Đoàn Thị
106	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Cửu Nghi Khê
107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Long Môn Thạch Quật
108	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Hoàng Lăng Tây Hạ
109	1	1	1	2	3	3	7	7	7	7	7	7	7	7	6	6	Hoàng Hạc Lâu
110	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Tiến Cúc Động
111	1	2	3	3	5	5	5	5	5	5	5	5	5	5	9	5	Kiếm Môn Quan
112	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Thiên Long Tự
113	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Bang Nguyên Bí Động
114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Sắc Lặc Xuyên
115	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Gia Dụ Quan
116	1	1	1	2	3	3	7	7	7	7	7	7	7	7	5	5	Hoa Sơn
117	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	4	Thục Cương Bí Cảnh
118	1	2	3	3	5	5	5	5	5	5	5	5	5	5	12	5	Phong Đô Quỷ Thành
119	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Miêu Lĩnh
120	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Vũ Di Sơn
121	1	2	2	4	5	5	7	7	7	7	7	7	7	7	8	4	Vũ Lăng Sơn
122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Mạc Bắc Thảo Nguyên
123	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Đôn Hoàng Cổ Thành
124	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Hoạt Tử Nhân Mộ
125	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Đại Vũ Đài
126	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Tam Hiệp Sạn Đạo
127	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Xi Vưu Động
128	1	2	2	4	2	4	3	3	3	3	3	3	3	3	13	3	Tỏa Vân Uyên
129	1	2	2	4	5	5	7	7	7	7	7	7	7	7	2	2	Phục Lưu Động
130	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Mông Cổ Vương Đình
131	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Nguyệt Nha Tuyền
132	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Tàn Tích Cung A Phòng
133	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	4	Lương Sơn Bạc
134	1	2	3	3	5	5	5	5	5	5	5	5	5	5	13	5	Thần Nữ Phong
135	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	6	Tàn Tích Dạ Lang
136	1	2	2	4	2	4	3	3	3	3	3	3	3	3	14	3	Cổ Lãng Dữ
137	1	2	2	4	5	5	7	7	7	7	7	7	7	7	14	4	Đào Hoa Nguyên
181	1	1	1	1	4	4	4	4	4	4	4	4	4	4	11	11	Báo Danh_Mông Cổ (Dương Châu 1)
182	1	2	2	2	2	1	2	2	2	2	2	2	2	2	9	9	Báo Danh_Mông Cổ (Phượng Tường 1)
183	1	2	3	3	5	6	7	7	7	7	7	7	7	7	14	14	Báo Danh_Mông Cổ (Tương Dương 1)
184	1	1	1	1	4	4	4	4	4	4	4	4	4	4	11	11	Báo Danh_Tây Hạ (Dương Châu 1)
185	1	2	2	2	2	1	2	2	2	2	2	2	2	2	9	9	Báo Danh_Tây Hạ (Phượng Tường 1)
186	1	2	3	3	5	6	7	7	7	7	7	7	7	7	14	14	Báo Danh_Tây Hạ (Tương Dương 1)
224	1	2	2	4	2	4	7	7	7	7	7	7	7	7	14	14	Minh Giáo
225	1	1	1	2	3	3	6	6	6	6	6	6	6	6	13	13	Đại điện Bạch Hổ Đường (sơ 1)
226	1	1	1	2	3	3	6	6	6	6	6	6	6	6	13	13	Bạch Hổ Đường 1_Đông (sơ 1)
227	1	1	1	2	3	3	6	6	6	6	6	6	6	6	13	13	Bạch Hổ Đường 1_Nam (sơ 1)
228	1	1	1	2	3	3	6	6	6	6	6	6	6	6	13	13	Bạch Hổ Đường 1_Tây (sơ 1)
229	1	1	1	2	3	3	6	6	6	6	6	6	6	6	13	13	Bạch Hổ Đường 1_Bắc (sơ 1)
230	1	1	1	2	3	3	6	6	6	6	6	6	6	6	13	13	Bạch Hổ Đường 2_Âm (sơ 1)
231	1	1	1	2	3	3	6	6	6	6	6	6	6	6	13	13	Bạch Hổ Đường 2_Dương (sơ 1)
232	1	1	1	2	3	3	6	6	6	6	6	6	6	6	13	13	Bạch Hổ Đường 3 (sơ 1)
233	1	2	3	3	5	2	5	5	5	5	5	5	5	5	12	12	Đại điện Bạch Hổ Đường (cao)
234	1	2	3	3	5	2	5	5	5	5	5	5	5	5	12	12	Bạch Hổ Đường 1_Đông (cao)
235	1	2	3	3	5	2	5	5	5	5	5	5	5	5	12	12	Bạch Hổ Đường 1_Nam (cao)
236	1	2	3	3	5	2	5	5	5	5	5	5	5	5	12	12	Bạch Hổ Đường 1_Tây (cao)
237	1	2	3	3	5	2	5	5	5	5	5	5	5	5	12	12	Bạch Hổ Đường 1_Bắc (cao)
238	1	2	3	3	5	2	5	5	5	5	5	5	5	5	12	12	Bạch Hổ Đường 2_Âm (cao)
239	1	2	3	3	5	2	5	5	5	5	5	5	5	5	12	12	Bạch Hổ Đường 2_Dương (cao)
240	1	2	3	3	5	2	5	5	5	5	5	5	5	5	12	12	Bạch Hổ Đường 3 (cao)
246	1	2	3	3	3	6	6	6	6	6	6	6	6	6	12	12	Đấu trường môn phái (Thúy Yên)
255	1	1	2	2	4	1	4	4	4	4	4	4	4	4	11	4	Tẩy Tủy Đảo
256	1	1	2	2	4	1	4	4	4	4	4	4	4	4	11	4	Tẩy Tủy Đảo Sơn Động
399	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Thiên Lao
400	1	2	2	4	5	5	6	6	6	6	6	6	6	6	12	9	Khoang Thuyền 1
401	1	2	2	4	5	5	6	6	6	6	6	6	6	6	12	9	Khoang Thuyền 2
402	1	2	2	4	5	5	6	6	6	6	6	6	6	6	12	9	Khoang Thuyền 3
556	1	1	2	2	4	4	4	4	4	4	4	4	4	4	10	10	Phục Ngưu Sơn Quân Doanh [Thanh Long]
558	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11	11	Phục Ngưu Sơn Quân Doanh [Chu Tước]
559	1	2	2	4	2	5	3	3	3	3	3	3	3	3	12	12	Phục Ngưu Sơn Quân Doanh [Huyền Vũ]
575	1	2	3	4	4	4	4	4	4	4	4	4	4	4	4	4	Hoàng Gia Tiên Cảnh
576	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phòng trọ 1
577	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Phòng trọ 2
578	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Phòng trọ 3 
579	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Phòng trọ 4
580	1	2	2	3	5	5	5	5	5	5	5	5	5	5	5	5	Phòng trọ 5
581	1	2	3	3	1	6	6	6	6	6	6	6	6	6	6	6	Phòng trọ 6
582	1	2	3	4	2	1	7	7	7	7	7	7	7	7	7	7	Phòng trọ 7
583	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Trạm Gác Tiền Tuyến 1 
584	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Trạm Gác Tiền Tuyến 2 
585	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Trạm Gác Tiền Tuyến 3 
587	1	2	2	4	2	4	4	4	4	4	4	4	4	4	4	4	Ngọc Lộ Thôn (1)
800	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Phòng bên Trường Ca Môn
801	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Phòng bên Trường Ca Môn
802	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Vũ Di Sơn Tinh Xá
803	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Vũ Di Sơn Tinh Xá
804	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Vũ Di Sơn Tinh Xá
805	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Phủ đệ Chu Hy
806	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Mật Thất Chu Hy
807	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Mật Thất Chu Hy
808	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Hậu viện tinh xá Vũ Di Sơn
809	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Đại sảnh Hàn Phủ
810	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Phòng bên Trường Ca Môn
811	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Lâm An Thành
812	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Phòng giam Hoàn Nhan Quang
813	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Phòng Trần Quý Thường
814	1	2	2	4	5	5	7	7	7	7	7	7	7	7	7	7	Lạc Nữ Động
815	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Trong Phục Ngưu Sơn Trang
816	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Bách Cổ Trận 1
817	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Bách Cổ Trận 2
818	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Tiên Linh Động
819	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Hoàng Cung Đại Lý
820	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Hậu Viện Hoàng Cung
821	1	2	3	3	5	2	5	5	5	5	5	5	5	5	14	14	Đại Điện (Hoàng Kim)
822	1	2	3	3	5	2	5	5	5	5	5	5	5	5	14	14	Bạch Hổ 1_Đông (Hoàng Kim)
823	1	2	3	3	5	2	5	5	5	5	5	5	5	5	14	14	Bạch Hổ 1_Nam (Hoàng Kim)
824	1	2	3	3	5	2	5	5	5	5	5	5	5	5	14	14	Bạch Hổ 1_Tây (Hoàng Kim)
825	1	2	3	3	5	2	5	5	5	5	5	5	5	5	14	14	Bạch Hổ 1_Bắc (Hoàng Kim)
826	1	2	3	3	5	2	5	5	5	5	5	5	5	5	14	14	Bạch Hổ 2_Âm (Hoàng Kim)
827	1	2	3	3	5	2	5	5	5	5	5	5	5	5	14	14	Bạch Hổ 2_Dương (Hoàng Kim)
828	1	2	3	3	5	2	5	5	5	5	5	5	5	5	14	14	Bạch Hổ 3 (Hoàng Kim)
1497	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Đào Nguyên 1
1498	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Đào Nguyên 2
1499	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Đào Nguyên 3
1500	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Đào Nguyên 4
1501	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Đào Nguyên 5
1502	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Đào Nguyên 6
1503	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Đào Nguyên 7
1507	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	8	Phi Tự Nhai
1536	1	1	1	1	1	1	1	1	1	1	1	1	1	1	15	15	Tần Lăng 1
1537	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14	14	Tần Lăng 2
1538	1	1	1	2	3	3	7	7	7	7	7	7	7	7	13	13	Tần Lăng 3
1539	1	1	1	2	3	3	7	7	7	7	7	7	7	7	12	12	Tần Lăng 4
1540	1	1	1	2	3	3	7	7	7	7	7	7	7	7	11	11	Tần Lăng 5
1541	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Triều Thánh Các
1635	1	1	1	1	4	4	4	4	4	4	4	4	4	4	11	11	Gia Dụ Quan Chiến-Dương Châu 1
1638	1	2	2	2	2	1	2	2	2	2	2	2	2	2	9	9	Gia Dụ Quan Chiến-Phượng Tường 1
1641	1	2	2	4	5	5	7	7	7	7	7	7	7	7	14	14	Gia Dụ Quan Chiến-Tương Dương 1
1665	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Mật Thất Du Long (1)
1666	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Mật Thất Du Long (2)
1667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Mật Thất Du Long (3)
1668	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Mật Thất Du Long (4)
1669	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Mật Thất Du Long (5)
1670	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Mật Thất Du Long (6)
1671	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Mật Thất Du Long (7)
1672	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Mật Thất Du Long (8)
1723	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Đắc Duyệt Phường
1724	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	Đắc Duyệt Phường
1725	1	1	3	4	2	4	3	3	3	3	3	3	3	3	3	3	Đắc Duyệt Phường
1726	1	2	1	2	4	4	4	4	4	4	4	4	4	4	4	4	Đắc Duyệt Phường
1727	1	1	2	3	5	5	5	5	5	5	5	5	5	5	5	5	Đắc Duyệt Phường
1728	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Đắc Duyệt Phường
1839	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	8	Chiến trường gia tộc
1840	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	9	Chiến trường gia tộc
1841	1	1	1	2	3	3	7	7	7	7	7	7	7	7	14	14	Chiến trường gia tộc
1842	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	11	Chiến trường gia tộc
1846	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	8	Khu chuẩn bị Gia tộc chiến
1847	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	8	Khu chuẩn bị Gia tộc chiến
1848	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	9	Khu chuẩn bị Gia tộc chiến
1849	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	9	Khu chuẩn bị Gia tộc chiến
1850	1	1	1	2	3	3	7	7	7	7	7	7	7	7	14	14	Khu chuẩn bị Gia tộc chiến
1851	1	1	1	2	3	3	7	7	7	7	7	7	7	7	14	14	Khu chuẩn bị Gia tộc chiến
1852	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	11	Khu chuẩn bị Gia tộc chiến
1853	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	11	Khu chuẩn bị Gia tộc chiến
1860	1	2	3	3	3	6	3	3	3	3	3	3	3	3	3	3	Hậu hoa viên Dạ Lam Quan
1861	1	2	1	2	4	4	4	4	4	4	4	4	4	4	4	4	Hậu hoa viên Dạ Lam Quan
1862	1	1	2	3	5	5	5	5	5	5	5	5	5	5	5	5	Hậu hoa viên Dạ Lam Quan
2013	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	Lâu Lan Cổ Thành
2088	1	2	3	4	5	6	7	7	7	7	7	7	7	7	14	7	Ngọc Lộ Thôn (2)
2089	1	1	2	3	4	5	6	6	6	6	6	6	6	6	13	6	Ngọc Lộ Thôn (3)
2090	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Linh Sơn Đỉnh
2092	1	2	3	3	5	5	5	5	5	5	5	5	5	5	12	8	Sân nhà Án Nhược Tuyết (1)
2093	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	9	Sân nhà Án Nhược Tuyết (2)
2094	1	1	1	2	3	3	7	7	7	7	7	7	7	7	14	10	Sân nhà Án Nhược Tuyết (3)
2095	1	2	3	3	3	6	3	3	3	3	3	3	3	3	3	3	Hậu hoa viên Dạ Lam Quan
2096	1	2	1	2	4	4	4	4	4	4	4	4	4	4	4	4	Hậu hoa viên Dạ Lam Quan
2097	1	1	2	3	5	5	5	5	5	5	5	5	5	5	5	5	Hậu hoa viên Dạ Lam Quan
2098	1	2	3	3	5	5	5	5	5	5	5	5	5	5	12	8	Trạm Gác Tiền Tuyến 1 
2099	1	2	3	3	3	6	6	6	6	6	6	6	6	6	13	9	Trạm Gác Tiền Tuyến 2 
2100	1	1	1	2	3	3	7	7	7	7	7	7	7	7	14	10	Trạm Gác Tiền Tuyến 3 
2101	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	8	Tịch Mịch Hoạch Thủy Trại (1)
2102	1	2	3	3	5	5	5	5	5	5	5	5	5	5	12	9	Tịch Mịch Hoạch Thủy Trại (2)
