MapId	TemplateId	PosX	PosY
27	9909	51328	103168
27	9910	52192	102112
27	9910	51552	102464
27	9911	52544	102816
28	9912	47424	104832
28	9912	48128	104224
28	9912	48896	104832
28	9912	48192	105504
28	9907	48608	104064
28	9907	48448	105280
28	9908	49056	104416
28	9908	47936	104160
28	9909	48704	104096
28	9910	48512	105216
28	9910	47840	104256
