Name	DataID	Kind	ClassName	ImageName	SoundName	LifeTime	Height	ImageTotalFrame	ImageCurFrame	ImageTotalDir	ImageCurDir	ImageInterval	ImageCgXpos	ImageCgYpos	ImageDropName	ImageDropTotalFrame	ImageDropCurFrame	ImageDropTotalDir	ImageDropCurDir	ImageDropInterval(Ö¡¼ä¸ô£©	ImageDropCgXpos	ImageDropCgYpos	IsUnseen	ObstacleKind	LoopAnimation
Å®ÒÂ·þ	21	Item		\image\item\obj\equip\f_nvyifu.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\nvyifu.spr	10	0	1	0	18	70	110	0	0	0
Ð¬×Ó	22	Item		\image\item\obj\equip\f_xiezi.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\xiezi.spr	10	0	1	0	18	70	110	0	0	0
»¤Íó	23	Item		\image\item\obj\equip\f_huwan.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\huwan.spr	10	0	1	0	18	70	110	0	0	0
ÊÖïí	24	Item		\image\item\obj\equip\f_shouzhuo.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\shouzhuo.spr	10	0	1	0	18	70	110	0	0	0
»¤Éí·û	25	Item		\image\item\obj\equip\f_hushenfu.spr	\audio\obj\si004.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\hushenfu.spr	10	0	1	0	18	70	110	0	0	0
ÓñÅå	26	Item		\image\item\obj\equip\f_yupei.spr	\audio\obj\si004.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\yupei.spr	10	0	1	0	18	70	110	0	0	0
ÏãÄÒ	27	Item		\image\item\obj\equip\f_xiangnang.spr	\audio\obj\si004.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\xiangnang.spr	10	0	1	0	18	70	110	0	0	0
Ñü´ø	28	Item		\image\item\obj\equip\f_yaodai.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\yaodai.spr	10	0	1	0	18	70	110	0	0	0
½äÖ¸	29	Item		\image\item\obj\equip\f_jiezhi.spr	\audio\obj\si004.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\jiezhi.spr	10	0	1	0	18	70	110	0	0	0
ÏîÁ´	30	Item		\image\item\obj\equip\f_xianglian.spr	\audio\obj\si004.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\xianglian.spr	10	0	1	0	18	70	110	0	0	0
óô»ð	31	Item		\image\item\obj\other\f_gouhuo_weidianran.spr	\audio\obj\si002.wav	6000	8	1	0	1	0	18	70	110	\image\item\obj\other\gouhuo_weidianran.spr	10	0	1	0	18	70	110	0	0	0
°ü¹ü	32	Item		\image\item\obj\other\f_baoguo.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\baoguo.spr	10	0	1	0	18	70	110	0	0	0
Êé±¾	33	Item		\image\item\obj\other\f_miji.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\miji.spr	10	0	1	0	18	70	110	0	0	0
¾íÖá	34	Item		\image\item\obj\other\f_juanzhou.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\juanzhou.spr	10	0	1	0	18	70	110	0	0	0
Ïä×Ó	35	Item		\image\item\obj\other\f_xiangzi.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xiangzi.spr	10	0	1	0	18	70	110	0	0	0
Ò©Æ¿	36	Item		\image\item\obj\other\f_yaoping.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\yaoping.spr	10	0	1	0	18	70	110	0	0	0
½ðÇ®1	37	Money		\image\item\obj\other\f_money_01.spr	\audio\obj\si005.wav	2400	8	7	0	1	0	18	70	110	\image\item\obj\other\money_01.spr	13	0	1	0	18	70	110	0	0	0
½ðÇ®2	38	Money		\image\item\obj\other\f_money_02.spr	\audio\obj\si005.wav	2400	8	7	0	1	0	18	70	110	\image\item\obj\other\money_02.spr	13	0	1	0	18	70	110	0	0	0
½ðÇ®3	39	Money		\image\item\obj\other\f_money_03.spr	\audio\obj\si005.wav	2400	8	7	0	1	0	18	70	110	\image\item\obj\other\money_03.spr	15	0	1	0	18	70	110	0	0	0
½ðÇ®4	40	Money		\image\item\obj\other\f_money_04.spr	\audio\obj\si005.wav	2400	8	7	0	1	0	18	70	110	\image\item\obj\other\money_04.spr	15	0	1	0	18	70	110	0	0	0
½ðÇ®5	41	Money		\image\item\obj\other\f_money_05.spr	\audio\obj\si005.wav	2400	8	7	0	1	0	18	70	110	\image\item\obj\other\money_05.spr	15	0	1	0	18	70	110	0	0	0
Í­Ç®	42	Item		\image\item\obj\other\f_tongqian.spr	\audio\obj\si005.wav	2400	8	8	0	1	0	18	70	110	\image\item\obj\other\tongqian.spr	10	0	1	0	18	70	110	0	0	0
ÂÜ²·	43	Item		\image\item\obj\other\f_luobo.spr	\audio\obj\si005.wav	540	8	1	0	1	0	18	70	110	\image\item\obj\other\baoguo.spr	10	0	1	0	18	70	110	0	0	0
	44	Wave		\image\effect\other\task_wavelet.spr		90	8	15	0	1	0	20	50	40											
