Session	LeagueType	AwardFile	AwardSegFile	AdvRank	PreMaxLeague	Desc	ExInfo	OpenTime
63	2	award_session_6	award_session_6_type.txt	1500	200	Tam đấu	2014-01-01	201401
64	6	award_session_8	award_session_8_type.txt	1500	200	Song đấu ngũ hành tương khắc	2014-02-01	201402
65	8	award_session_6	award_session_6_type.txt	1500	200	Đơn đấu 3 người	2014-03-01	201403
66	7	award_session_9	award_session_9_type.txt	1500	200	Song đấu cùng hệ	2014-04-01	201404
67	3	award_session_3	award_session_3_type.txt	1500	200	Tứ đấu	2014-05-01	201405
68	4	award_session_5	award_session_5_type.txt	3000	400	Đơn đấu phối hợp	2014-06-01	201406
69	1	award_session_4	award_session_4_type.txt	1500	200	Song đấu	2014-07-01	201407
70	7	award_session_9	award_session_9_type.txt	1500	200	Song đấu cùng hệ	2014-08-01	201408
71	2	award_session_6	award_session_6_type.txt	1500	200	Tam đấu	2014-09-01	201409
72	6	award_session_8	award_session_8_type.txt	1500	200	Song đấu ngũ hành tương khắc	2014-10-01	201410
73	8	award_session_6	award_session_6_type.txt	1500	200	Đơn đấu 3 người	2014-11-01	201411
74	7	award_session_9	award_session_9_type.txt	1500	200	Song đấu cùng hệ	2014-12-01	201412
75	1	award_session_4	award_session_4_type.txt	1500	200	Song đấu	2022-07-01	202207
76	6	award_session_8	award_session_8_type.txt	1500	200	Song đấu ngũ hành tương khắc	2022-08-01	202208
77	2	award_session_6	award_session_6_type.txt	1500	200	Tam đấu	2022-09-01	202209
