nId	Name	Kind	Genre	DetailType	ParticularType	Level	Part	Rate	Series	Type	Sex
46	天蚕护腕	橙装PVP_金系所有路线天蚕护腕	2	10	412	10	5	920			
47	龙凤血玉镯	橙装PVP_金系所有路线龙凤血玉镯	2	10	422	10	5				
48	天蚕护腕	橙装PVP_木系所有路线天蚕护腕	2	10	432	10	5				
49	龙凤血玉镯	橙装PVP_木系所有路线龙凤血玉镯	2	10	442	10	5				
50	天蚕护腕	橙装PVP_水系所有路线天蚕护腕	2	10	452	10	5				
51	龙凤血玉镯	橙装PVP_水系所有路线龙凤血玉镯	2	10	462	10	5				
52	天蚕护腕	橙装PVP_火系所有路线天蚕护腕	2	10	472	10	5				
53	龙凤血玉镯	橙装PVP_火系所有路线龙凤血玉镯	2	10	482	10	5				
54	天蚕护腕	橙装PVP_土系所有路线天蚕护腕	2	10	492	10	5				
55	龙凤血玉镯	橙装PVP_土系所有路线龙凤血玉镯	2	10	502	10	5				
56	掩日盔	橙装PVP_棍少、天王掩日盔	2	9	810	10	6	920			
57	双凤朝天冠	橙装PVP_棍少、天王双凤朝天冠	2	9	820	10	6				
58	修罗发结	橙装PVP_刀少修罗发结	2	9	830	10	6				
59	玄犀面罩	橙装PVP_刀少玄犀面罩	2	9	840	10	6				
60	修罗发结	橙装PVP_刀毒、唐门、明教修罗发结	2	9	850	10	6				
61	玄犀面罩	橙装PVP_刀毒、唐门、明教玄犀面罩	2	9	860	10	6				
62	通天发冠	橙装PVP_掌毒通天发冠	2	9	870	10	6				
63	长生发结	橙装PVP_掌毒长生发结	2	9	880	10	6				
64	掩日盔	橙装PVP_指段掩日盔	2	9	890	10	6				
65	双凤朝天冠	橙装PVP_指段双凤朝天冠	2	9	900	10	6				
66	通天发冠	橙装PVP_气段、翠烟、峨嵋通天发冠	2	9	910	10	6				
67	长生发结	橙装PVP_气段、翠烟、峨嵋长生发结	2	9	920	10	6				
68	掩日盔	橙装PVP_战忍掩日盔	2	9	930	10	6				
69	双凤朝天冠	橙装PVP_战忍双凤朝天冠	2	9	940	10	6				
70	修罗发结	橙装PVP_魔忍、丐帮修罗发结	2	9	950	10	6				
71	玄犀面罩	橙装PVP_魔忍、丐帮玄犀面罩	2	9	960	10	6				
72	掩日盔	橙装PVP_剑武掩日盔	2	9	970	10	6				
73	双凤朝天冠	橙装PVP_剑武双凤朝天冠	2	9	980	10	6				
74	通天发冠	橙装PVP_气武、昆仑通天发冠	2	9	990	10	6				
75	长生发结	橙装PVP_气武、昆仑长生发结	2	9	1000	10	6				
76	朝露之链	橙装PVP_金系所有路线朝露之链	2	5	210	10	7	460			
77	朝露之链	橙装PVP_木系所有路线朝露之链	2	5	220	10	7				
78	朝露之链	橙装PVP_水系所有路线朝露之链	2	5	230	10	7				
79	朝露之链	橙装PVP_火系所有路线朝露之链	2	5	240	10	7				
80	朝露之链	橙装PVP_土系所有路线朝露之链	2	5	250	10	7				
81	北冥佩	橙装PVP_金系所有路线北冥佩	2	11	410	10	8	920			
82	龙涎香囊	橙装PVP_金系所有路线龙涎香囊	2	11	420	10	8				
83	北冥佩	橙装PVP_木系所有路线北冥佩	2	11	430	10	8				
84	龙涎香囊	橙装PVP_木系所有路线龙涎香囊	2	11	440	10	8				
85	北冥佩	橙装PVP_水系所有路线北冥佩	2	11	450	10	8				
86	龙涎香囊	橙装PVP_水系所有路线龙涎香囊	2	11	460	10	8				
87	北冥佩	橙装PVP_火系所有路线北冥佩	2	11	470	10	8				
88	龙涎香囊	橙装PVP_火系所有路线龙涎香囊	2	11	480	10	8				
89	北冥佩	橙装PVP_土系所有路线北冥佩	2	11	490	10	8				
90	龙涎香囊	橙装PVP_土系所有路线龙涎香囊	2	11	500	10	8				
91	应龙之戒	橙装PVP_金系所有路线应龙之戒	2	4	210	10	9	460			
92	应龙之戒	橙装PVP_木系所有路线应龙之戒	2	4	220	10	9				
93	应龙之戒	橙装PVP_水系所有路线应龙之戒	2	4	230	10	9				
94	应龙之戒	橙装PVP_火系所有路线应龙之戒	2	4	240	10	9				
95	应龙之戒	橙装PVP_土系所有路线应龙之戒	2	4	250	10	9				
96	逍遥之怒龙护腕	橙色逍遥套装_金系内功男护腕	4	10	435	10	10	780	1	1	1
97	逍遥之翔凤手镯	橙色逍遥套装_金系内功女手镯	4	10	436	10	10		1	1	2
98	逍遥之怒龙护腕	橙色逍遥套装_金系外功男护腕	4	10	1	10	10		1	2	1
99	逍遥之翔凤手镯	橙色逍遥套装_金系外功女手镯	4	10	2	10	10		1	2	2
100	逍遥之怒龙护腕	橙色逍遥套装_木系外功男护腕	4	10	7	10	10		2	2	1
101	逍遥之翔凤手镯	橙色逍遥套装_木系外功女手镯	4	10	8	10	10		2	2	2
102	逍遥之怒龙护腕	橙色逍遥套装_木系内功男护腕	4	10	9	10	10		2	1	1
103	逍遥之翔凤手镯	橙色逍遥套装_木系内功女手镯	4	10	10	10	10		2	1	2
104	逍遥之怒龙护腕	橙色逍遥套装_水系外功男护腕	4	10	19	10	10		3	2	1
105	逍遥之翔凤手镯	橙色逍遥套装_水系外功女手镯	4	10	20	10	10		3	2	2
106	逍遥之怒龙护腕	橙色逍遥套装_水系内功男护腕	4	10	21	10	10		3	1	1
107	逍遥之翔凤手镯	橙色逍遥套装_水系内功女手镯	4	10	22	10	10		3	1	2
108	逍遥之怒龙护腕	橙色逍遥套装_火系外功男护腕	4	10	31	10	10		4	2	1
109	逍遥之翔凤手镯	橙色逍遥套装_火系外功女手镯	4	10	32	10	10		4	2	2
110	逍遥之怒龙护腕	橙色逍遥套装_火系内功男护腕	4	10	33	10	10		4	1	1
111	逍遥之翔凤手镯	橙色逍遥套装_火系内功女手镯	4	10	34	10	10		4	1	2
112	逍遥之怒龙护腕	橙色逍遥套装_土系外功男护腕	4	10	43	10	10		5	2	1
113	逍遥之翔凤手镯	橙色逍遥套装_土系外功女手镯	4	10	44	10	10		5	2	2
114	逍遥之怒龙护腕	橙色逍遥套装_土系内功男护腕	4	10	45	10	10		5	1	1
115	逍遥之翔凤手镯	橙色逍遥套装_土系内功女手镯	4	10	46	10	10		5	1	2
116	逍遥之火云佩	橙色逍遥套装_金系男玉佩	4	11	1	10	11	390	1	0	1
117	逍遥之冰月香囊	橙色逍遥套装_金系女香囊	4	11	2	10	11		1	0	2
118	逍遥之火云佩	橙色逍遥套装_木系男玉佩	4	11	7	10	11		2	0	1
119	逍遥之冰月香囊	橙色逍遥套装_木系女香囊	4	11	8	10	11		2	0	2
120	逍遥之火云佩	橙色逍遥套装_水系男玉佩	4	11	13	10	11		3	0	1
121	逍遥之冰月香囊	橙色逍遥套装_水系女香囊	4	11	14	10	11		3	0	2
122	逍遥之火云佩	橙色逍遥套装_火系男玉佩	4	11	19	10	11		4	0	1
123	逍遥之冰月香囊	橙色逍遥套装_火系女香囊	4	11	20	10	11		4	0	2
124	逍遥之火云佩	橙色逍遥套装_土系男玉佩	4	11	25	10	11		5	0	1
125	逍遥之冰月香囊	橙色逍遥套装_土系女香囊	4	11	26	10	11		5	0	2
126	逍遥之乘风靴	橙色逍遥套装_金系男鞋子	4	7	1	10	12	130	1	0	1
127	逍遥之踏浪靴	橙色逍遥套装_金系女鞋子	4	7	2	10	12		1	0	2
128	逍遥之乘风靴	橙色逍遥套装_木系男鞋子	4	7	7	10	12		2	0	1
129	逍遥之踏浪靴	橙色逍遥套装_木系女鞋子	4	7	8	10	12		2	0	2
130	逍遥之乘风靴	橙色逍遥套装_水系男鞋子	4	7	13	10	12		3	0	1
131	逍遥之踏浪靴	橙色逍遥套装_水系女鞋子	4	7	14	10	12		3	0	2
132	逍遥之乘风靴	橙色逍遥套装_火系男鞋子	4	7	19	10	12		4	0	1
133	逍遥之踏浪靴	橙色逍遥套装_火系女鞋子	4	7	20	10	12		4	0	2
134	逍遥之乘风靴	橙色逍遥套装_土系男鞋子	4	7	25	10	12		5	0	1
135	逍遥之踏浪靴	橙色逍遥套装_土系女鞋子	4	7	26	10	12		5	0	2
136	逐鹿之苍穹冠	橙色争夺套装_金系男铁帽	4	9	175	10	13	780	1	0	1
137	逐鹿之苍穹冠	橙色争夺套装_金系女铁帽	4	9	176	10	13		1	0	2
138	逐鹿之苍穹冠	橙色争夺套装_金系男皮帽	4	9	177	10	13		1	0	1
139	逐鹿之苍穹冠	橙色争夺套装_金系女皮帽	4	9	178	10	13		1	0	2
140	逐鹿之苍穹冠	橙色争夺套装_金系男铁帽	4	9	179	10	13		1	0	1
141	逐鹿之苍穹冠	橙色争夺套装_金系女铁帽	4	9	180	10	13		1	0	2
142	逐鹿之苍穹冠	橙色争夺套装_金系男皮帽	4	9	181	10	13		1	0	1
143	逐鹿之苍穹冠	橙色争夺套装_金系女皮帽	4	9	182	10	13		1	0	2
144	逐鹿之苍穹冠	橙色争夺套装_木系男皮帽	4	9	195	10	13		2	0	1
145	逐鹿之苍穹冠	橙色争夺套装_木系女皮帽	4	9	196	10	13		2	0	2
146	逐鹿之苍穹冠	橙色争夺套装_木系男布帽	4	9	197	10	13		2	0	1
147	逐鹿之苍穹冠	橙色争夺套装_木系女布帽	4	9	198	10	13		2	0	2
148	逐鹿之苍穹冠	橙色争夺套装_木系男皮帽	4	9	199	10	13		2	0	1
149	逐鹿之苍穹冠	橙色争夺套装_木系女皮帽	4	9	200	10	13		2	0	2
150	逐鹿之苍穹冠	橙色争夺套装_木系男布帽	4	9	201	10	13		2	0	1
151	逐鹿之苍穹冠	橙色争夺套装_木系女布帽	4	9	202	10	13		2	0	2
152	逐鹿之苍穹冠	橙色争夺套装_水系男铁帽	4	9	215	10	13		3	0	1
153	逐鹿之苍穹冠	橙色争夺套装_水系女铁帽	4	9	216	10	13		3	0	2
154	逐鹿之苍穹冠	橙色争夺套装_水系男布帽	4	9	217	10	13		3	0	1
155	逐鹿之苍穹冠	橙色争夺套装_水系女布帽	4	9	218	10	13		3	0	2
156	逐鹿之苍穹冠	橙色争夺套装_水系男铁帽	4	9	219	10	13		3	0	1
157	逐鹿之苍穹冠	橙色争夺套装_水系女铁帽	4	9	220	10	13		3	0	2
158	逐鹿之苍穹冠	橙色争夺套装_水系男布帽	4	9	221	10	13		3	0	1
159	逐鹿之苍穹冠	橙色争夺套装_水系女布帽	4	9	222	10	13		3	0	2
160	逐鹿之苍穹冠	橙色争夺套装_火系男铁帽	4	9	235	10	13		4	0	1
161	逐鹿之苍穹冠	橙色争夺套装_火系女铁帽	4	9	236	10	13		4	0	2
162	逐鹿之苍穹冠	橙色争夺套装_火系男皮帽	4	9	237	10	13		4	0	1
163	逐鹿之苍穹冠	橙色争夺套装_火系女皮帽	4	9	238	10	13		4	0	2
164	逐鹿之苍穹冠	橙色争夺套装_火系男铁帽	4	9	239	10	13		4	0	1
165	逐鹿之苍穹冠	橙色争夺套装_火系女铁帽	4	9	240	10	13		4	0	2
166	逐鹿之苍穹冠	橙色争夺套装_火系男皮帽	4	9	241	10	13		4	0	1
167	逐鹿之苍穹冠	橙色争夺套装_火系女皮帽	4	9	242	10	13		4	0	2
168	逐鹿之苍穹冠	橙色争夺套装_土系男铁帽	4	9	255	10	13		5	0	1
169	逐鹿之苍穹冠	橙色争夺套装_土系女铁帽	4	9	256	10	13		5	0	2
170	逐鹿之苍穹冠	橙色争夺套装_土系男布帽	4	9	257	10	13		5	0	1
171	逐鹿之苍穹冠	橙色争夺套装_土系女布帽	4	9	258	10	13		5	0	2
172	逐鹿之苍穹冠	橙色争夺套装_土系男铁帽	4	9	259	10	13		5	0	1
173	逐鹿之苍穹冠	橙色争夺套装_土系女铁帽	4	9	260	10	13		5	0	2
174	逐鹿之苍穹冠	橙色争夺套装_土系男布帽	4	9	261	10	13		5	0	1
175	逐鹿之苍穹冠	橙色争夺套装_土系女布帽	4	9	262	10	13		5	0	2
176	逐鹿之天佑之链	橙色争夺套装_金系外功项链	4	5	266	10	14	130	1	2	0
177	逐鹿之天佑之链	橙色争夺套装_金系外功项链	4	5	267	10	14		1	2	0
178	逐鹿之天佑之链	橙色争夺套装_木系外功项链	4	5	274	10	14		2	2	0
179	逐鹿之天佑之链	橙色争夺套装_木系外功项链	4	5	275	10	14		2	2	0
180	逐鹿之天佑之链	橙色争夺套装_木系外功项链	4	5	278	10	14		2	2	0
181	逐鹿之天佑之链	橙色争夺套装_木系内功项链	4	5	282	10	14		2	1	0
182	逐鹿之天佑之链	橙色争夺套装_木系内功项链	4	5	286	10	14		2	1	0
183	逐鹿之天佑之链	橙色争夺套装_水系外功项链	4	5	290	10	14		3	2	0
184	逐鹿之天佑之链	橙色争夺套装_水系外功项链	4	5	291	10	14		3	2	0
185	逐鹿之天佑之链	橙色争夺套装_水系内功项链	4	5	298	10	14		3	1	0
186	逐鹿之天佑之链	橙色争夺套装_水系内功项链	4	5	299	10	14		3	1	0
187	逐鹿之天佑之链	橙色争夺套装_水系内功项链	4	5	302	10	14		3	1	0
188	逐鹿之天佑之链	橙色争夺套装_火系外功项链	4	5	306	10	14		4	2	0
189	逐鹿之天佑之链	橙色争夺套装_火系外功项链	4	5	307	10	14		4	2	0
190	逐鹿之天佑之链	橙色争夺套装_火系外功项链	4	5	310	10	14		4	2	0
191	逐鹿之天佑之链	橙色争夺套装_火系内功项链	4	5	314	10	14		4	1	0
192	逐鹿之天佑之链	橙色争夺套装_火系内功项链	4	5	315	10	14		4	1	0
193	逐鹿之天佑之链	橙色争夺套装_火系内功项链	4	5	318	10	14		4	1	0
194	逐鹿之天佑之链	橙色争夺套装_土系外功项链	4	5	322	10	14		5	2	0
195	逐鹿之天佑之链	橙色争夺套装_土系外功项链	4	5	323	10	14		5	2	0
196	逐鹿之天佑之链	橙色争夺套装_土系外功项链	4	5	326	10	14		5	2	0
197	逐鹿之天佑之链	橙色争夺套装_土系内功项链	4	5	330	10	14		5	1	0
198	逐鹿之天佑之链	橙色争夺套装_土系内功项链	4	5	331	10	14		5	1	0
199	逐鹿之天佑之链	橙色争夺套装_土系内功项链	4	5	334	10	14		5	1	0
200	逐鹿之黄龙缠腰	橙色争夺套装_金系男腰带	4	8	341	10	15	390	1	0	1
201	逐鹿之黄龙缠腰	橙色争夺套装_金系女腰带	4	8	342	10	15		1	0	2
202	逐鹿之黄龙缠腰	橙色争夺套装_金系男腰带	4	8	343	10	15		1	0	1
203	逐鹿之黄龙缠腰	橙色争夺套装_金系女腰带	4	8	344	10	15		1	0	2
204	逐鹿之黄龙缠腰	橙色争夺套装_金系男腰带	4	8	349	10	15		1	0	1
205	逐鹿之黄龙缠腰	橙色争夺套装_金系女腰带	4	8	350	10	15		1	0	2
206	逐鹿之黄龙缠腰	橙色争夺套装_木系男腰带	4	8	361	10	15		2	0	1
207	逐鹿之黄龙缠腰	橙色争夺套装_木系女腰带	4	8	362	10	15		2	0	2
208	逐鹿之黄龙缠腰	橙色争夺套装_木系男腰带	4	8	363	10	15		2	0	1
209	逐鹿之黄龙缠腰	橙色争夺套装_木系女腰带	4	8	364	10	15		2	0	2
210	逐鹿之黄龙缠腰	橙色争夺套装_木系男腰带	4	8	369	10	15		2	0	1
211	逐鹿之黄龙缠腰	橙色争夺套装_木系女腰带	4	8	370	10	15		2	0	2
212	逐鹿之黄龙缠腰	橙色争夺套装_水系男腰带	4	8	381	10	15		3	0	1
213	逐鹿之黄龙缠腰	橙色争夺套装_水系女腰带	4	8	382	10	15		3	0	2
214	逐鹿之黄龙缠腰	橙色争夺套装_水系男腰带	4	8	383	10	15		3	0	1
215	逐鹿之黄龙缠腰	橙色争夺套装_水系女腰带	4	8	384	10	15		3	0	2
216	逐鹿之黄龙缠腰	橙色争夺套装_水系男腰带	4	8	389	10	15		3	0	1
217	逐鹿之黄龙缠腰	橙色争夺套装_水系女腰带	4	8	390	10	15		3	0	2
218	逐鹿之黄龙缠腰	橙色争夺套装_火系男腰带	4	8	401	10	15		4	0	1
219	逐鹿之黄龙缠腰	橙色争夺套装_火系女腰带	4	8	402	10	15		4	0	2
220	逐鹿之黄龙缠腰	橙色争夺套装_火系男腰带	4	8	403	10	15		4	0	1
221	逐鹿之黄龙缠腰	橙色争夺套装_火系女腰带	4	8	404	10	15		4	0	2
222	逐鹿之黄龙缠腰	橙色争夺套装_火系男腰带	4	8	409	10	15		4	0	1
223	逐鹿之黄龙缠腰	橙色争夺套装_火系女腰带	4	8	410	10	15		4	0	2
224	逐鹿之黄龙缠腰	橙色争夺套装_土系男腰带	4	8	421	10	15		5	0	1
225	逐鹿之黄龙缠腰	橙色争夺套装_土系女腰带	4	8	422	10	15		5	0	2
226	逐鹿之黄龙缠腰	橙色争夺套装_土系男腰带	4	8	423	10	15		5	0	1
227	逐鹿之黄龙缠腰	橙色争夺套装_土系女腰带	4	8	424	10	15		5	0	2
228	逐鹿之黄龙缠腰	橙色争夺套装_土系男腰带	4	8	429	10	15		5	0	1
229	逐鹿之黄龙缠腰	橙色争夺套装_土系女腰带	4	8	430	10	15		5	0	2
230	虎魄天晶符	金系祈福白银护身符	2	6	252	10	16	500	1	0	0
231	虎魄天晶符	木系祈福白银护身符	2	6	253	10	16		2	0	0
232	虎魄天晶符	水系祈福白银护身符	2	6	254	10	16		3	0	0
233	虎魄天晶符	火系祈福白银护身符	2	6	255	10	16		4	0	0
234	虎魄天晶符	土系祈福白银护身符	2	6	256	10	16		5	0	0
